id,name,icon,description,sceneid,pathTipId,cleared,collectrewards,dragonWatiDrama,taskunlock,levelmax,CleanOnDramaBegin,DramaControl,CollectInDrama,CleanOnDramaOver,bubbleType,bubbleImg,RepairableTips,MutiArrow,repairingspine,levelspine,levelitem1,rewarditem1,levelitem2,rewarditem2,levelitem3,rewarditem3,levelitem4,rewarditem4,levelitem5,rewarditem5,levelitem6,rewarditem6,levelitem7,rewarditem7,levelitem8,rewarditem8,levelitem9,rewarditem9,levelitem10,rewarditem10,levelitem11,rewarditem11,levelitem12,rewarditem12,repairableTipsUnlock,moveCamera,ispaylabel,
25,missioncity_building_mirrordoor,building_city_magiccircle,missioncity_building_mirrordoor_des,city,,0,[],,Missioncity_011finishorder,2,,[1],0,,16,,1,1,['repairing'],['repaired'],"[[2001,8]]","[['1000',180]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
300076,missioncity_building_OrderTaskBorad,missioncity_building_OrderTaskBorad,missioncity_building_OrderTaskBorad_des,city,,0,[],,Missioncity_008receiveproduct,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[5016,3],[2002,2]]","[['1002',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
9106,missioncity_building_city_dining_table,missioncity_building_city_dining_table,missioncity_building_city_dining_table_des,city,,0,[],,Missioncity_005finddiningtableA,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[2001,3],[2002,3]]","[['1002',50]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
9105,ui_city_cave1,icon_guide_cave,ui_city_cave1_des,city,,0,[],City_Opening004Buildgoldenparadise,,2,,[],0,,16,,1,0,['repairing'],['repaired'],"[[2001,15]]","[['1000',40],['1002',50]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
9124,ui_city_fairybook,icon_guide_cave,ui_city_fairybook_des,city,,0,[],City_Opening004Buildgoldenparadise,Missioncity_004harvestberries,2,,[1],0,,16,,1,0,['repairing'],['repaired'],"[[1003,5]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
22,mission2_building_brokenbridge,building_story2_storagepoint,mission2_building_brokenbridge_des,2,,0,[],,Mission2_08followthesound,2,,[],0,,0,,1,1,['repairing'],['repaired'],"[[1003,7]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
26,mission2_building_brokenbridge,building_huaqiao_lv1,mission2_building_brokenbridge_des,2,,0,[],,Mission2_01Forwarddirection,2,,[],0,,16,,1,1,['repairing1'],['repaired2'],"[[2001,5],[2004,5]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
27,mission2_building_circlelmprint,building_story2_circlelmprint,mission2_building_circlelmprint_des,2,,0,[],,Mission2_02Repairbridge,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[4110,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
33,mission2_building_hurtdoris,building_story2_hurtdoris,mission2_building_hurtdoris_des,2,,1,"[[103001,1]]",,Mission2_09TheHauntingofDoris1,2,zone2_10TheHauntingofDoris2,[],0,,15,,1,1,[],[],"[[4112,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
34,mission2_factory_medicinepot,mission1_factory_staminapot,mission2_factory_medicinepot_des,2,,0,[],,Mission2_08followthesound,1,,[],0,,0,,1,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
35,mission2_building_magictree,building_story2_magictree,mission2_building_magictree_des,2,,0,[],,Mission2_12magictree,2,,[1],0,,16,,1,1,['repairing1'],['repaired'],"[[5016,10]]","[['1000',130]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
49,mission2_building_nuthole1,building_story2_storagepoint,mission2_building_brokenbridge_des,2,,0,[],,Mission2_05BtrapedDoris,2,,[1],0,,0,,1,1,['repairing'],['repaired'],"[[1003,8]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
50,mission2_building_nuthole1,building_story2_storagepoint,mission2_building_brokenbridge_des,2,,0,[],,Mission2_05BtrapedDoris,2,,[],0,,0,,1,1,['repaired'],['repaired'],"[[1003,8]]","[['4114',2]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
51,mission2_building_nuthole1,building_story2_storagepoint,mission2_building_brokenbridge_des,2,,0,[],,Mission2_05BtrapedDoris,2,,[],0,,0,,1,1,['repaired'],['repaired'],"[[1003,8]]","[['4114',2]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
52,mission2_building_nuthole1,building_story2_storagepoint,mission2_building_brokenbridge_des,2,,0,[],,Mission2_05BtrapedDoris,2,,[],0,,0,,1,1,['repaired'],['repaired'],"[[1003,8]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
54,mission2_building_pool,building_story2_pool,mission2_building_pool_des,2,,0,[],,Mission2_11lookingforsquirrels,2,,[1],0,,0,,1,1,['repairing'],['repaired'],"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
55,mission2_building_gintrap1,building_story2_storagepoint,mission2_building_brokenbridge_des,2,,0,[],,Mission2_08followthesound,2,,[],0,,0,,1,1,['repairing2'],['repaired'],"[[1003,7]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
56,mission3_building_crystalcoffin,building_story3_CheckCoffin,mission3_building_crystalcoffin_des,3,,0,[],,Mission3_001CrystalCoffin,2,,[1],0,,16,,1,1,['repairing'],['repaired'],"[[5009,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
57,mission3_building_treewands,building_story3_WandTree,mission3_building_treewands_des,3,,0,[],,Mission3_002CheckCoffin,1,,[],0,,0,,1,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
58,mission3_building_fairyspring,building_story3_springwater,mission3_building_fairyspring_des,3,,1,"[[104001,1]]",,Mission3_004buyfactory,2,,[],1,,16,,1,1,['repairing'],['repaired'],"[[3004,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
59,mission3_building_magicbridge,building_story20_treebridge,mission3_building_magicbridge_des,3,,0,[],,Mission3_005RepairSpring,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[4121,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
60,mission3_building_fairyroom,building_story22_mushroomhouse,mission3_building_fairyroom_des,3,,0,[],,Mission3_007FairyHome,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
61,mission3_building_swing,building_story3_swing,mission3_building_swing_des,3,,0,[],,Mission3_008NotePiece1,1,,[],0,,0,,1,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
62,mission3_building_workbench,building_story3_workbench,mission3_building_workbench_des,3,,0,[],,Mission3_009NotePiece2,1,,[],0,,0,,1,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
63,mission3_building_portal,building_story3_unknownahead,mission3_building_portal_des,3,,0,[],,Mission3_010GetNote,2,,[],1,,16,,1,1,['repairing'],['repaired'],"[[4120,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
76,mission4_building_expansionmushroom,building_story4_expmushroom,mission4_building_expansionmushroom_des,4,,0,[],,Mission4_001DeadRoad,2,,[1],0,,16,,1,1,['repairing1'],['repaired2'],"[[4130,1],[4131,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
77,mission4_building_petrifiedstatue,building_story4_stonestatute,mission4_building_petrifiedstatue_des,4,,0,[],,Mission4_003StrangeStatue,2,,[1],0,,16,,1,1,['repairing'],['repaired'],"[[4133,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
78,mission4_building_octopusclaw,building_story20_octopus,mission4_building_octopusclaw_des,4,,0,[],,Mission4_005InTheFog,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[4134,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
79,mission4_factory_souppot,building_event9_magicpot,mission4_factory_souppot_des,4,,0,[],,Mission4_003StrangeStatue,1,,[],0,,0,,1,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
80,mission4_building_scaredoll,building_event9_scarecrow,mission4_building_scaredoll_des,4,,0,[],,Mission4_007DollShock1,2,,[1],0,,16,,1,1,['repairing'],['repaired'],"[[4135,6]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
81,mission4_building_streetlight1,building_story4_pumpkinlight,mission4_building_streetlight1_des,4,,0,[],,Mission4_008DollShock2,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[5009,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
82,mission4_building_streetlight2,building_story4_pumpkinlight,mission4_building_streetlight1_des,4,,0,[],,Mission4_008DollShock2,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[5009,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
84,mission4_building_memoryball1,building_story4_memoryball1,mission4_building_memoryball1_des,4,,1,"[[81004,1]]",,Mission4_009VisitWitch,2,,[],0,,16,,1,1,['repairing1'],['repaired1'],"[[1003,15]]","[['1000',80],['4137',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
85,mission4_building_memoryball2,building_story4_memoryball2,mission4_building_memoryball1_des,4,,1,"[[81004,1]]",,Mission4_010FindMemory,2,,[],0,,16,,1,1,['repairing2'],['repaired2'],"[[1003,15]]","[['1000',80],['4138',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
86,mission4_building_memoryball3,building_story4_memoryball3,mission4_building_memoryball1_des,4,,1,"[[81004,1]]",,Mission4_010FindMemory2,2,,[],0,,16,,1,1,['repairing3'],['repaired3'],"[[1003,15]]","[['1000',80],['4139',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
87,mission4_building_teleportationcircle,building_story2_circlelmprint,mission4_building_teleportationcircle_des,4,,0,[],,Mission4_011CrackedCurse,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[4136,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
100,mission4_building_blackcat,building_story4_blackcat,mission4_building_blackcat_des,4,,0,[],,Mission4_005BlackCat1,2,,[1],0,,16,,1,1,['repairing'],['repaired'],"[[4140,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
101,mission4_building_broom,building_story4_broom,mission4_building_broom_des,4,,0,[],,Mission4_005BlackCat1,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[1003,20]]","[['1000',80],['4140',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
102,mission4_building_broom,building_story4_broom,mission4_building_broom_des,4,,0,[],,Mission4_005BlackCat1,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[1003,20]]","[['1000',80],['4140',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
103,mission4_building_broom,building_story4_broom,mission4_building_broom_des,4,,0,[],,Mission4_005BlackCat1,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[1003,20]]","[['1000',80],['4140',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
105,mission5_building_summoningarray,missioncity_building_mirrordoor,mission5_building_summoningarray_des,5,,0,[],,Mission5_003Needmagic,2,,[1],0,,16,,1,1,[],['repaired'],"[[4147,4]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
311,mission5_building_pumpkinfarm,building_event10_giantpumpkin,mission5_building_pumpkinfarm_des,5,,0,[],,Mission5_003Needmagicb,3,,[],0,,16,,1,1,"['repairing','repairing1']","['repaired','repaired1']","[[4148,4]]","[['1000',80]]","[[1003,25]]","[['4159',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
312,mission5_building_pumpkincarriage,mission5_building_pumpkincarriage,mission5_building_pumpkincarriage_des,5,,0,[],,Mission5_010Importantfriend,2,,[1],1,,16,,1,1,['repairing1'],['ruined'],"[[4159,1],[4155,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
313,mission5_building_ratclip,mission5_building_ratclip1,mission5_building_ratclip_des,5,,0,[],,Mission5_007Sweetbait,3,,[],0,,16,,1,1,"['repairing1','repairing2']","['repaired1','repaired2']","[[4156,1]]","[['1000',80]]","[[1003,25]]","[['4155',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
314,mission5_building_ratclip,mission5_building_ratclip1,mission5_building_ratclip_des,5,,0,[],,Mission5_007Sweetbait,3,,[],0,,16,,1,1,"['repairing1','repairing2']","['repaired1','repaired2']","[[4156,1]]","[['1000',80]]","[[1003,25]]","[['4155',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
315,mission5_building_cookingbench,mission5_building_cookingbench,mission5_building_cookingbench_des,5,,0,[],,Mission5_006Strangedemands,1,,[],0,,0,,1,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
317,mission5_building_decorate,mission5_building_decorate,mission5_building_decorate_des,5,,0,[],,Mission5_001Difficulties,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[4160,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
318,mission5_building_decorate,mission5_building_decorate,mission5_building_decorate_des,5,,0,[],,Mission5_001Difficulties,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[4160,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
319,mission5_building_decorate,mission5_building_decorate,mission5_building_decorate_des,5,,0,[],,Mission5_001Difficulties,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[4160,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
320,mission5_building_decorate,mission5_building_decorate,mission5_building_decorate_des,5,,0,[],,Mission5_001Difficulties,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[4160,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
146,mission5_building_gate,building_event4_dancedoor,mission5_building_gate_des,5,,0,[],,Mission5_000Rethink,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
147,mission5_building_restaurantdoor,building_event4_sideyarddoor,mission5_building_restaurantdoor_des,5,,0,[],,Mission5_004Pumpkincarriage1,2,,[],0,,16,,1,1,['repairing1'],['repaired1'],"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
148,mission5_building_utilityroomdoor,building_event4_lockerroomdoor,mission5_building_utilityroomdoor_des,5,,0,[],,Mission5_011Deliciousgifts,2,,[],0,,16,,1,0,['repairing'],['repaired'],"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
150,mission5_building_pumpkincarriage,mission5_building_pumpkincarriage,mission5_building_pumpkincarriage_des,5,,0,[],,,2,,[1],0,,0,,1,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
192,missionEvent5_building_fountain1,building_event15_Rafflecoins1,missionEvent5_building_fountain1_des,5,,0,[],,Mission5_002Thecommand,2,,[],0,,16,,1,0,['repairing'],['repaired'],"[[4176,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
225,mission5_building_utilityroomdoor,mission5_building_utilityroomdoor,mission5_building_utilityroomdoor_des,5,,0,[],,Mission5_005Depot,2,,[],0,,16,,1,0,['repairing'],['repaired'],"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
226,mission5_building_utilityroomdoor,mission5_building_utilityroomdoor,mission5_building_utilityroomdoor_des,5,,0,[],,Mission5_008Sweettrap,2,,[],0,,16,,1,0,['repairing'],['repaired'],"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
227,mission5_building_utilityroomdoor,mission5_building_utilityroomdoor,mission5_building_utilityroomdoor_des,5,,0,[],,Mission5_006Strangedemands,2,,[],0,,16,,1,0,['repairing'],['repaired'],"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
222,mission5_building_doris,building_story2_hurtdoris,mission5_building_doris_des,5,,0,[],,Mission5_012Wonderfulmagic2,2,zone5_013Finalpreparation,[],0,,15,,1,0,[],[],"[[4153,2],[4154,2]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
153,mission5_building_wine,,,5,,0,[],,Mission5_008Sweettrap,2,,[],0,,0,,1,1,[],[],"[[1003,15]]","[['4163',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
154,mission5_building_wine,,,5,,0,[],,Mission5_008Sweettrap,2,,[],0,,0,,1,1,[],[],"[[1003,15]]","[['4163',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
191,mission5_building_wine,,,5,,0,[],,Mission5_008Sweettrap,2,,[],0,,0,,1,1,[],[],"[[1003,15]]","[['4163',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
155,mission6_building_stonepillar,mission6_building_stonepillar,mission6_building_stonepillar_des,6,,0,[],,Mission6_002Escapedprincess,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[3006,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
156,mission6_building_vine,mission6_building_vine,mission6_building_vine_des,6,,0,[],,Mission6_003Thechoose1,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[4165,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
157,mission6_factory_pot,mission1_factory_staminapot,mission6_factory_pot_des,6,,0,[],,Mission6_005Thechoose3,1,,[],0,,0,,1,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
158,mission6_building_flametrap,mission6_building_flametrap,mission6_building_flametrap_des,6,,0,[],,Mission6_004Thechoose2,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[4172,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
159,mission6_building_drunkendwarf,mission6_building_drunkendwarf,mission6_building_drunkendwarf_des,6,,1,"[[105001,1]]",,Mission6_004Thechoose2,2,zone6_007Wakeup,[],1,,15,,1,1,[],[],"[[4175,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
161,mission6_building_supplydevice,mission6_building_supplydevice,mission6_building_supplydevice_des,6,,0,[],,Mission6_008Alcoholic,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[1003,25]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
162,mission6_building_supplydevice,mission6_building_supplydevice,mission6_building_supplydevice_des,6,,0,[],,Mission6_008Alcoholic,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[1003,25]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
163,mission6_building_frozenhouse,mission6_building_frozenhouse,mission6_building_frozenhouse_des,6,,0,[],,Mission6_009Magicbarrier,2,,[],0,,16,,1,1,['repairing'],['repaired'],"[[4169,2],[4170,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
164,mission6_building_cellarentrance,building_story23_cellar,mission6_building_cellarentrance_des,6,,0,[],,Mission6_011Losttrackb,3,,[],0,,16,,1,1,"['repairing1','repairing2']","['repaired1','repaired2']","[[4171,2],[3004,2]]","[['1000',80]]","[[4166,4]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
165,mission6_building_interiordoor,mission6_building_interiordoor,mission6_building_interiordoor_des,60001,,0,[],,Mission6_013Dungeon,2,,[],0,,16,,1,1,['repairing1'],['repaired1'],"[[1003,25]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
166,mission6_building_outdoor,mission6_building_outdoor,mission6_building_outdoor_des,6,,0,[],,Mission6_016Activateexit,2,,[1],0,,16,,1,1,['repairing'],['repaired'],"[[4174,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,"[1,0]",0,
