id,nameStr,type,icon,unlockCondition,param,times,bornPosition,lastScene,chapter,giftPos,accomplishStar1,star1ward,accomplishStar2,star2ward,accomplishStar3,star3ward,timeLimited,timeLimitedReward,backSceneItem,commissionID,activityLink,completeReward,whetherRecordPos,activityIcon,boxGiftBg,completeskinReward,desc,taskButtonIcon,lastTask,sceneCamera_ios,sceneCamera_android,graphId,isRedEnergy
9,ui_scene_9,1,ui_map_icon09,10,"[""Mission8_011backintime"",15]",-1,"[-4.952,0,-6.615]",8,2,[],[901],"[[16000,5]]","[902,903]","[[1003,100]]","[904,905]","[[1002,1500],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",9,,"[[6200,2]]",1,,,,,,,,,,
10,ui_scene_10,1,ui_map_icon10,10,"[""Mission9_014BackFuture"",16]",-1,"[20.93918,0,27.36]",9,2,[],[1001],"[[16000,5]]","[1002,1003]","[[1003,100]]","[1004,1005]","[[1002,1500],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",10,,"[[6200,2]]",1,,,"[[100002,1]]",,,,,,,
11,ui_scene_11,1,ui_map_icon11,10,"[""Mission10_014clockgame"",17]",-1,"[5.8,0,2.23]",10,3,[],[1101],"[[16000,5]]","[1102,1103]","[[1003,100]]","[1104,1105]","[[1002,1500],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",11,,"[[6200,2]]",1,,,,,,,,,,
12,ui_scene_12,1,ui_map_icon12,10,"[""Mission11_013heartoftheocean2"",18]",-1,"[-1.18,0,-2.041145]",11,3,[],[1201],"[[16000,5]]","[1202,1203]","[[1003,100]]","[1204,1205]","[[1002,1500],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",12,,"[[6200,2]]",1,,,,,,,,,,
13,ui_scene_13,1,ui_map_icon13,10,"[""Mission12_014secretbase"",19]",-1,"[6.97,0,-8.21]",12,3,[],[1301],"[[16000,5]]","[1302,1303]","[[1003,100]]","[1304,1305]","[[1002,2000],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",13,,"[[6200,2]]",1,,,,,,,,,,
14,ui_scene_14,1,ui_map_icon14,10,"[""Mission13_010FaceDifficulties2"",20]",-1,"[4.422,0,27.891]",13,3,[],[1401],"[[16000,5]]","[1402,1403]","[[1003,100]]","[1404,1405]","[[1002,2500],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",14,,"[[6200,2]]",1,,,,,,,,,,
15,ui_scene_15,1,ui_map_icon15,10,"[""Mission14_010wish"",21]",-1,"[29.475,0,-7.58]",14,3,[],[1501],"[[16000,5]]","[1502,1503]","[[1003,100]]","[1504,1505]","[[1002,2500],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",15,,"[[6200,2]]",1,,,"[[100003,1]]",,,,,,,
16,ui_scene_16,1,ui_map_icon16,10,"[""Mission15_015SadEnd2"",22]",-1,"[21.36101,0,-9.051003]",15,4,[],[1601],"[[16000,5]]","[1602,1603]","[[1003,150]]","[1604,1605]","[[1002,2500],[1003,250]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",16,,"[[6200,2]]",1,,,,,,,,,,
17,ui_scene_17,1,ui_map_icon17,10,"[""Mission16_016Witchstrack2"",23]",-1,"[-5.389,0,-9.620]",16,4,[],[1701],"[[16000,5]]","[1702,1703]","[[1003,150]]","[1704,1705]","[[1002,2500],[1003,300]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",17,,"[[6200,2]]",1,,,,,,,,,,
18,ui_scene_18,1,ui_map_icon18,10,"[""Mission17_018waytoleave"",24]",-1,"[33.80,0,-6.84]",17,4,[],[1801],"[[16000,5]]","[1802,1803]","[[1003,200]]","[1804,1805]","[[1002,2500],[1003,300]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",18,,"[[6200,2]]",1,,,,,,,,,,
19,ui_scene_19,1,ui_map_icon19,10,"[""Mission18_020quickacting"",25]",-1,"[34.44,0,-21.862]",18,4,[],[1901],"[[16000,5]]","[1902,1903]","[[1003,100]]","[1904,1905]","[[1002,2500],[1003,50]]",72,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",19,,"[[6200,2]]",1,,,,,,,,,,
20,ui_scene_20,1,ui_map_icon20,1,Mission19_012Endofthemine,-1,"[4.29,0,-7.81]",19,4,[],[],"[[16000,5]]",[],"[[1003,100]]",[],"[[1002,2500],[1003,50]]",96,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",20,,[],1,,,,,,,,,,
21,ui_scene_21,1,ui_map_icon21,1,Mission20_013Unknownahead,-1,"[25.21,0,-9.27]",20,4,[],[],"[[16000,5]]",[],"[[1003,100]]",[],"[[1002,2500],[1003,50]]",96,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",21,,[],1,,,,,,,,,,
22,ui_scene_22,1,ui_map_icon22,1,Mission21_013ShiresTreasure,-1,"[30.06,0,-7.99]",21,5,[],[],"[[16000,5]]",[],"[[1003,100]]",[],"[[1002,2500],[1003,50]]",96,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",22,,[],1,,,,,,,,,,
23,ui_scene_23,1,ui_map_icon23,1,Mission22_013moveon,-1,"[31.93,0,7.09]",22,5,[],[],"[[16000,5]]",[],"[[1003,100]]",[],"[[1002,2500],[1003,50]]",96,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",23,,[],1,,,,,,,,,,
24,ui_scene_24,1,ui_map_icon24,1,Mission23_013Mountainsexit,-1,"[17.14,0,27.51]",23,5,[],[],"[[16000,5]]",[],"[[1003,100]]",[],"[[1002,2500],[1003,50]]",96,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",24,,[],1,,,,,,,,,,
25,ui_scene_25,1,ui_map_icon25,1,Mission24_011funnycrystalball,-1,"[-14.23,0.16,-3.53]",24,5,[],[],"[[16000,5]]",[],"[[1003,100]]",[],"[[1002,2500],[1003,50]]",96,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",25,,[],1,,,,,,,,,,
26,ui_scene_26,1,ui_map_icon26,1,Mission25_016AbyssEntrance,-1,"[24.83,0,-7.99]",25,5,[],[],"[[16000,5]]",[],"[[1003,100]]",[],"[[1002,2500],[1003,50]]",96,"[[11001,1],[1001,5],[1003,100]]","[1002,100]",26,,[],1,,,,,,,,,,
301,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,5,5]",-1,"[11.92,0,4.71]",3,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
401,ui_dragonscene_title,4,ui_dragonscene_volcano_grass,5,"[1,10,6]",-1,"[10.5,0,2]",4,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
402,ui_dragonscene_title,4,ui_dragonscene_volcano_tree,5,"[2,15,9]",-1,"[10.5,0,2]",4,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
501,ui_dragonscene_title,4,ui_dragonscene_normal_stone,5,"[3,15,8]",-1,"[11.92,0,4.71]",5,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
502,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,20,10]",-1,"[11.92,0,4.71]",5,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
601,ui_dragonscene_title,4,ui_dragonscene_normal_stone,5,"[3,20,10]",-1,"[11.92,0,4.71]",6,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
602,ui_dragonscene_title,4,ui_dragonscene_volcano_tree,5,"[2,22,10]",-1,"[11.92,0,4.71]",6,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
701,ui_dragonscene_title,4,ui_dragonscene_volcano_grass,5,"[1,55,15]",-1,"[11.92,0,4.71]",7,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
702,ui_dragonscene_title,4,ui_dragonscene_normal_stone,5,"[3,35,15]",-1,"[11.92,0,4.71]",7,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
703,ui_dragonscene_title,4,ui_dragonscene_volcano_tree,5,"[2,45,15]",-1,"[11.92,0,4.71]",7,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
801,ui_dragonscene_title,4,ui_dragonscene_volcano_stone,5,"[3,40,15]",-1,"[11.92,0,4.71]",8,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
802,ui_dragonscene_title,4,ui_dragonscene_volcano_mine,5,"[4,55,15]",-1,"[11.92,0,4.71]",8,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
803,ui_dragonscene_title,4,ui_dragonscene_volcano_grass,5,"[1,50,15]",-1,"[11.92,0,4.71]",8,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
901,ui_dragonscene_title,4,ui_dragonscene_normal_stone,5,"[3,45,15]",-1,"[11.92,0,4.71]",9,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
902,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,55,20]",-1,"[11.92,0,4.71]",9,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
903,ui_dragonscene_title,4,ui_dragonscene_normal_mine,5,"[4,60,20]",-1,"[11.92,0,4.71]",9,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1001,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,60,20]",-1,"[11.92,0,4.71]",10,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1002,ui_dragonscene_title,4,ui_dragonscene_normal_mine,5,"[4,70,20]",-1,"[11.92,0,4.71]",10,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1003,ui_dragonscene_title,4,ui_dragonscene_normal_grass,5,"[1,80,20]",-1,"[11.92,0,4.71]",10,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1101,ui_dragonscene_title,4,ui_dragonscene_volcano_stone,5,"[3,80,20]",-1,"[11.92,0,4.71]",11,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1102,ui_dragonscene_title,4,ui_dragonscene_volcano_tree,5,"[2,70,20]",-1,"[11.92,0,4.71]",11,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1103,ui_dragonscene_title,4,ui_dragonscene_volcano_grass,5,"[1,90,25]",-1,"[11.92,0,4.71]",11,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1201,ui_dragonscene_title,4,ui_dragonscene_volcano_mine,5,"[4,80,20]",-1,"[11.92,0,4.71]",12,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1202,ui_dragonscene_title,4,ui_dragonscene_volcano_stone,5,"[3,85,25]",-1,"[11.92,0,4.71]",12,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1203,ui_dragonscene_title,4,ui_dragonscene_volcano_grass,5,"[1,100,25]",-1,"[11.92,0,4.71]",12,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1301,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,80,20]",-1,"[11.92,0,4.71]",13,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1302,ui_dragonscene_title,4,ui_dragonscene_normal_stone,5,"[3,90,20]",-1,"[11.92,0,4.71]",13,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1303,ui_dragonscene_title,4,ui_dragonscene_normal_mine,5,"[4,90,25]",-1,"[11.92,0,4.71]",13,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1401,ui_dragonscene_title,4,ui_dragonscene_normal_grass,5,"[1,110,25]",-1,"[11.92,0,4.71]",14,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1402,ui_dragonscene_title,4,ui_dragonscene_normal_stone,5,"[3,95,25]",-1,"[11.92,0,4.71]",14,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1403,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,85,25]",-1,"[11.92,0,4.71]",14,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1501,ui_dragonscene_title,4,ui_dragonscene_normal_mine,5,"[4,100,25]",-1,"[11.92,0,4.71]",15,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1502,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,90,25]",-1,"[11.92,0,4.71]",15,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1503,ui_dragonscene_title,4,ui_dragonscene_normal_grass,5,"[1,120,25]",-1,"[11.92,0,4.71]",15,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1601,ui_dragonscene_title,4,ui_dragonscene_normal_stone,5,"[3,105,25]",-1,"[11.92,0,4.71]",16,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1602,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,100,25]",-1,"[11.92,0,4.71]",16,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1603,ui_dragonscene_title,4,ui_dragonscene_normal_grass,5,"[1,130,25]",-1,"[11.92,0,4.71]",16,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1701,ui_dragonscene_title,4,ui_dragonscene_normal_mine,5,"[4,105,25]",-1,"[11.92,0,4.71]",17,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1702,ui_dragonscene_title,4,ui_dragonscene_normal_grass,5,"[1,135,25]",-1,"[11.92,0,4.71]",17,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1703,ui_dragonscene_title,4,ui_dragonscene_normal_stone,5,"[3,110,25]",-1,"[11.92,0,4.71]",17,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1801,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,110,25]",-1,"[11.92,0,4.71]",18,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1802,ui_dragonscene_title,4,ui_dragonscene_normal_mine,5,"[4,115,25]",-1,"[11.92,0,4.71]",18,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1803,ui_dragonscene_title,4,ui_dragonscene_normal_grass,5,"[1,140,25]",-1,"[11.92,0,4.71]",18,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1901,ui_dragonscene_title,4,ui_dragonscene_underground_grass,5,"[1,32]",-1,"[11.92,0,4.71]",19,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1902,ui_dragonscene_title,4,ui_dragonscene_underground_tree,5,"[2,48]",-1,"[11.92,0,4.71]",19,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
1903,ui_dragonscene_title,4,ui_dragonscene_underground_stone,5,"[3,28]",-1,"[11.92,0,4.71]",19,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2001,ui_dragonscene_title,4,ui_dragonscene_normal_mine,5,"[4,36]",-1,"[11.92,0,4.71]",20,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2002,ui_dragonscene_title,4,ui_dragonscene_normal_grass,5,"[1,34]",-1,"[11.92,0,4.71]",20,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2003,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,52]",-1,"[11.92,0,4.71]",20,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2101,ui_dragonscene_title,4,ui_dragonscene_normal_stone,5,"[3,32]",-1,"[11.92,0,4.71]",21,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2102,ui_dragonscene_title,4,ui_dragonscene_normal_grass,5,"[1,35]",-1,"[11.92,0,4.71]",21,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2103,ui_dragonscene_title,4,ui_dragonscene_normal_mine,5,"[4,39]",-1,"[11.92,0,4.71]",21,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2201,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,58]",-1,"[11.92,0,4.71]",22,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2202,ui_dragonscene_title,4,ui_dragonscene_normal_stone,5,"[3,35]",-1,"[11.92,0,4.71]",22,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2203,ui_dragonscene_title,4,ui_dragonscene_normal_mine,5,"[4,45]",-1,"[11.92,0,4.71]",22,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2301,ui_dragonscene_title,4,ui_dragonscene_snow_grass,5,"[1,38]",-1,"[11.92,0,4.71]",23,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2302,ui_dragonscene_title,4,ui_dragonscene_snow_tree,5,"[2,60]",-1,"[11.92,0,4.71]",23,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2303,ui_dragonscene_title,4,ui_dragonscene_snow_mine,5,"[4,50]",-1,"[11.92,0,4.71]",23,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2401,ui_dragonscene_title,4,ui_dragonscene_normal_tree,5,"[2,65]",-1,"[11.92,0,4.71]",24,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2402,ui_dragonscene_title,4,ui_dragonscene_normal_stone,5,"[3,38]",-1,"[11.92,0,4.71]",24,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2403,ui_dragonscene_title,4,ui_dragonscene_normal_mine,5,"[4,60]",-1,"[11.92,0,4.71]",24,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2501,ui_dragonscene_title,4,ui_dragonscene_normal_grass,5,"[1,42]",-1,"[11.92,0,4.71]",25,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2502,ui_dragonscene_title,4,ui_dragonscene_snow_stone,5,"[3,40]",-1,"[11.92,0,4.71]",25,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
2503,ui_dragonscene_title,4,ui_dragonscene_volcano_tree,5,"[2,70]",-1,"[11.92,0,4.71]",25,,[],[],[],[],[],[],[],,[],[],,,[],1,,,,,,,,,,
10001,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[1,12]",-1,"[9,0,4]",16,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10002,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[2,18]",-1,"[7.5,0,4]",10001,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10003,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[3,18]",-1,"[4,0,4.5]",10002,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10004,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[4,12]",-1,"[16,0,10]",10003,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10005,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[1,24]",-1,"[4.5,0,3]",10004,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10006,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[2,28]",-1,"[13,0,3]",10005,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10007,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[3,23]",-1,"[4.4,0,3.6]",10006,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10008,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[4,28]",-1,"[4,0,3]",10007,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10009,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[1,30]",-1,"[15.9,0,10.3]",10008,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10010,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[2,42]",-1,"[10,0,7]",10009,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10011,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[3,42]",-1,"[8,0,3]",10010,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10012,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[4,42]",-1,"[4,0,3]",10011,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10013,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[1,42]",-1,"[4,0,3]",10012,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10014,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[2,42]",-1,"[15,0,6]",10013,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10015,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[3,42]",-1,"[12,0,4]",10014,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10016,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[4,81]",-1,"[4,0,3]",10015,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10017,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[1,87]",-1,"[4,0,3]",10016,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10018,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[2,94]",-1,"[15,0,6]",10017,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10019,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[3,92]",-1,"[12,0,3.5]",10018,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10020,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[4,108]",-1,"[8.5,0,3.5]",10019,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10021,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[1,130]",-1,"[4,0,3]",10020,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10022,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[2,136]",-1,"[15,0,6]",10021,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10023,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[3,128]",-1,"[12,0,3.5]",10022,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10024,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[4,150]",-1,"[12,0,3]",10023,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10025,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[1,160]",-1,"[4,0,3]",10024,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10026,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[2,136]",-1,"[15,0,6]",10025,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10027,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[3,128]",-1,"[12,0,4.5]",10026,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10028,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[4,150]",-1,"[12,0,3]",10027,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10029,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[1,160]",-1,"[4,0,3]",10028,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10030,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[2,136]",-1,"[15,0,6]",10029,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
10031,ui_dragonscene_title,6,ui_dragonscene_normal_grass,5,"[3,128]",-1,"[8.5,0,3.5]",10030,,[],[],[],[],[],[],[],,[],[],,,[],0,,,,,,,,,,
