id,level,smallBpId,exp,icon,normalType,normalReward,vipType,vipReward,title,desc,specialReward,stageReward,payIcon,payLabel,payshopid,
97,0,116,200,ui_active_bp_dragon_116,0,"[1003,10]",2,"[309001,1]",partner_name_309,partner_desc_309,1,1,"[3,309001]",[],800,
98,1,116,200,ui_active_bp_buy_icon_extra1,0,"[1003,10]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[1,51002]",[],0,
99,2,116,300,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
100,3,116,300,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
101,4,116,400,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
102,5,116,400,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
103,6,116,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
104,7,116,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
105,8,116,500,,0,"[1003,20]",0,"[1003,100]",,,0,1,[],[],0,
106,9,116,600,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
107,10,116,600,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
108,11,116,800,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
109,12,116,800,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
110,13,116,1000,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
111,14,116,1000,,0,"[1003,60]",0,"[11001,4]",,,1,1,"[2,11001]",[],0,
112,15,116,-1,,0,"[1003,100]",0,"[1003,800]",,,1,0,[],[],0,
129,0,119,500,ui_active_bp_buy_icon_extra1,0,"[1003,30]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[3,51002]",[],800,
130,1,119,300,,0,"[1002,500]",0,"[1001,3]",,,0,0,[],[],0,
131,2,119,200,,0,"[1003,50]",0,"[42000,10]",,,0,1,"[6,42000]",[],0,
132,3,119,500,,0,"[1001,3]",0,"[11001,2]",,,1,1,"[4,11001]",[],0,
133,4,119,500,,0,"[42000,3]",0,"[1003,100]",,,0,0,[],[],0,
134,5,119,500,,0,"[11001,1]",0,"[15000,10]",,,0,0,[],[],0,
135,6,119,500,,0,"[1002,1000]",0,"[83012,20]",,,1,1,"[1,83012]",[],0,
136,7,119,500,,0,"[15000,3]",0,"[34019,20]",,,0,0,"[2,34019]",[],0,
137,8,119,500,,0,"[1001,5]",0,"[11001,2]",,,0,0,[],[],0,
138,9,119,500,,0,"[1003,60]",0,"[15000,20]",,,0,0,[],[],0,
139,10,119,500,,0,"[11001,1]",0,"[34019,40]",,,1,1,[],[],0,
140,11,119,1000,,0,"[1002,1500]",0,"[1002,3000]",,,0,0,[],[],0,
141,12,119,1000,,0,"[15000,5]",0,"[42000,20]",,,0,0,[],[],0,
142,13,119,1000,ui_active_bp_dragon_119,0,"[1003,80]",2,"[312001,1]",partner_name_312,partner_desc_312,1,1,"[7,312001]",[],0,
143,14,119,1000,,0,"[42000,5]",0,"[11001,2]",,,0,0,[],[],0,
144,15,119,-1,,0,"[1003,300]",0,"[1001,20]",,,1,1,"[5,51001]",[],0,
161,0,105,500,ui_active_bp_buy_icon_extra1,0,"[1003,30]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[3,51002]",[],800,
162,1,105,300,,0,"[1002,500]",0,"[1001,3]",,,0,0,[],[],0,
163,2,105,200,,0,"[1003,50]",0,"[42000,10]",,,0,1,"[6,42000]",[],0,
164,3,105,500,,0,"[1001,3]",0,"[11001,2]",,,1,1,"[4,11001]",[],0,
165,4,105,500,,0,"[42000,3]",0,"[1003,100]",,,0,0,[],[],0,
166,5,105,500,,0,"[11001,1]",0,"[15000,10]",,,0,0,[],[],0,
167,6,105,500,,0,"[1002,1000]",0,"[83013,20]",,,1,1,"[1,83013]",[],0,
168,7,105,500,,0,"[15000,3]",0,"[34005,20]",,,0,0,"[2,34005]",[],0,
169,8,105,500,,0,"[1001,5]",0,"[11001,2]",,,0,0,[],[],0,
170,9,105,500,,0,"[1003,60]",0,"[15000,20]",,,0,0,[],[],0,
171,10,105,500,,0,"[11001,1]",0,"[34005,40]",,,1,1,[],[],0,
172,11,105,1000,,0,"[1002,1500]",0,"[1002,3000]",,,0,0,[],[],0,
173,12,105,1000,,0,"[15000,5]",0,"[42000,20]",,,0,0,[],[],0,
174,13,105,1000,ui_active_bp_dragon_105,0,"[1003,80]",2,"[313001,1]",partner_name_313,partner_desc_313,1,1,"[7,313001]",[],0,
175,14,105,1000,,0,"[42000,5]",0,"[11001,2]",,,0,0,[],[],0,
176,15,105,-1,,0,"[1003,300]",0,"[1001,20]",,,1,1,"[5,51001]",[],0,
145,0,121,500,ui_active_bp_buy_icon_extra1,0,"[1003,30]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[3,51002]",[],800,
146,1,121,300,,0,"[1001,5]",0,"[1001,15]",,,0,0,[],[],0,
147,2,121,200,,0,"[1003,50]",0,"[42000,10]",,,0,1,"[6,42000]",[],0,
148,3,121,500,,0,"[1001,10]",0,"[11001,2]",,,1,1,"[4,11001]",[],0,
149,4,121,500,,0,"[42000,3]",0,"[1003,100]",,,0,0,[],[],0,
150,5,121,500,,0,"[11001,1]",0,"[1001,20]",,,0,0,[],[],0,
151,6,121,500,,0,"[1001,15]",0,"[83014,20]",,,1,1,"[1,83014]",[],0,
152,7,121,500,,0,"[1001,15]",0,"[34021,20]",,,0,0,"[2,34021]",[],0,
153,8,121,500,,0,"[1001,15]",0,"[11001,2]",,,0,0,[],[],0,
154,9,121,500,,0,"[1003,60]",0,"[1001,50]",,,0,0,[],[],0,
155,10,121,500,,0,"[11001,1]",0,"[34021,40]",,,1,1,[],[],0,
156,11,121,1000,,0,"[1001,15]",0,"[1001,65]",,,0,0,[],[],0,
157,12,121,1000,,0,"[1001,30]",0,"[42000,20]",,,0,0,[],[],0,
158,13,121,1000,ui_active_bp_dragon_121,0,"[1003,80]",2,"[314001,1]",partner_name_314,partner_desc_314,1,1,"[7,314001]",[],0,
159,14,121,1000,,0,"[42000,5]",0,"[11001,2]",,,0,0,[],[],0,
160,15,121,-1,,0,"[1003,300]",0,"[1001,150]",,,1,1,"[5,51001]",[],0,
177,0,108,500,ui_active_bp_buy_icon_extra1,0,"[1003,30]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[3,51002]",[],800,
178,1,108,300,,0,"[1001,5]",0,"[1001,15]",,,0,0,[],[],0,
179,2,108,200,,0,"[1003,50]",0,"[42000,10]",,,0,1,"[6,42000]",[],0,
180,3,108,500,,0,"[1001,10]",0,"[11001,2]",,,1,1,"[4,11001]",[],0,
181,4,108,500,,0,"[42000,3]",0,"[1003,100]",,,0,0,[],[],0,
182,5,108,500,,0,"[11001,1]",0,"[1001,20]",,,0,0,[],[],0,
183,6,108,500,,0,"[1001,15]",0,"[83015,20]",,,1,1,"[1,83015]",[],0,
184,7,108,500,,0,"[1001,15]",0,"[34006,20]",,,0,0,"[2,34006]",[],0,
185,8,108,500,,0,"[1001,15]",0,"[11001,2]",,,0,0,[],[],0,
186,9,108,500,,0,"[1003,60]",0,"[1001,50]",,,0,0,[],[],0,
187,10,108,500,,0,"[11001,1]",0,"[34006,40]",,,1,1,[],[],0,
188,11,108,1000,,0,"[1001,15]",0,"[1001,65]",,,0,0,[],[],0,
189,12,108,1000,,0,"[1001,30]",0,"[42000,20]",,,0,0,[],[],0,
190,13,108,1000,ui_active_bp_dragon_108,0,"[1003,80]",2,"[315001,1]",partner_name_315,partner_desc_315,1,1,"[7,315001]",[],0,
191,14,108,1000,,0,"[42000,5]",0,"[11001,2]",,,0,0,[],[],0,
192,15,108,-1,,0,"[1003,300]",0,"[1001,150]",,,1,1,"[5,51001]",[],0,
193,0,124,200,ui_active_bp_dragon_124,0,"[1003,10]",2,"[316001,1]",partner_name_316,partner_desc_316,1,1,"[3,316001]",[],800,
194,1,124,200,ui_active_bp_buy_icon_extra1,0,"[1003,10]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[1,51002]",[],0,
195,2,124,300,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
196,3,124,300,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
197,4,124,400,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
198,5,124,400,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
199,6,124,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
200,7,124,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
201,8,124,500,,0,"[1003,20]",0,"[1003,100]",,,0,1,[],[],0,
202,9,124,600,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
203,10,124,600,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
204,11,124,800,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
205,12,124,800,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
206,13,124,1000,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
207,14,124,1000,,0,"[1003,60]",0,"[11001,4]",,,1,1,"[2,11001]",[],0,
208,15,124,-1,,0,"[1003,100]",0,"[1003,800]",,,1,0,[],[],0,
209,0,117,450,ui_active_bp_buy_icon_extra1,0,"[1003,30]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[3,51002]",[],800,
210,1,117,550,,0,"[1001,5]",0,"[1001,15]",,,0,0,[],[],0,
211,2,117,750,,0,"[1003,50]",0,"[42000,10]",,,0,1,"[6,42000]",[],0,
212,3,117,750,,0,"[1001,10]",0,"[11001,2]",,,1,1,"[4,11001]",[],0,
213,4,117,750,,0,"[42000,3]",0,"[1003,100]",,,0,0,"[1,1003]",[],0,
214,5,117,750,,0,"[11001,1]",0,"[1001,20]",,,0,0,[],[],0,
215,6,117,750,,0,"[1001,15]",0,"[83010,5]",,,1,1,[],[],0,
216,7,117,750,,0,"[1001,15]",0,"[34027,30]",,,0,0,"[2,34027]",[],0,
217,8,117,750,,0,"[1001,15]",0,"[11001,3]",,,0,0,[],[],0,
218,9,117,750,,0,"[1003,60]",0,"[1001,50]",,,0,0,[],[],0,
219,10,117,750,,0,"[11001,1]",0,"[83010,5]",,,1,1,[],[],0,
220,11,117,1250,,0,"[1001,15]",0,"[1001,65]",,,0,0,[],[],0,
221,12,117,1250,,0,"[1001,20]",0,"[42000,20]",,,0,0,[],[],0,
222,13,117,1250,petscuttle_patch,0,"[1003,60]",0,"[83010,10]",partner_item_fragment_text_310,item_gene_desc310,1,1,"[7,83010]",[],0,
223,14,117,1250,,0,"[42000,5]",0,"[11001,4]",,,0,0,[],[],0,
224,15,117,-1,,0,"[1003,300]",0,"[1001,150]",,,1,1,"[5,51001]",[],0,
225,0,122,200,ui_active_bp_dragon_122,0,"[1003,10]",2,"[318001,1]",dragon_name_145501,dragon_desc_145501,1,1,"[3,318001]",[],800,
226,1,122,200,ui_active_bp_buy_icon_extra1,0,"[1003,10]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[1,51002]",[],0,
227,2,122,300,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
228,3,122,300,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
229,4,122,400,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
230,5,122,400,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
231,6,122,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
232,7,122,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
233,8,122,500,,0,"[1003,20]",0,"[1003,100]",,,0,1,[],[],0,
234,9,122,600,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
235,10,122,600,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
236,11,122,800,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
237,12,122,800,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
238,13,122,1000,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
239,14,122,1000,,0,"[1003,60]",0,"[11001,4]",,,1,1,"[2,11001]",[],0,
240,15,122,-1,,0,"[1003,100]",0,"[1003,800]",,,1,0,[],[],0,
241,0,123,200,ui_active_bp_dragon_123,0,"[1003,10]",2,"[317001,1]",dragon_name_144701,dragon_desc_144701,1,1,"[3,317001]",[],800,
242,1,123,200,ui_active_bp_buy_icon_extra1,0,"[1003,10]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[1,51002]",[],0,
243,2,123,300,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
244,3,123,300,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
245,4,123,400,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
246,5,123,400,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
247,6,123,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
248,7,123,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
249,8,123,500,,0,"[1003,20]",0,"[1003,100]",,,0,1,[],[],0,
250,9,123,600,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
251,10,123,600,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
252,11,123,800,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
253,12,123,800,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
254,13,123,1000,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
255,14,123,1000,,0,"[1003,60]",0,"[11001,4]",,,1,1,"[2,11001]",[],0,
256,15,123,-1,,0,"[1003,100]",0,"[1003,800]",,,1,0,[],[],0,
257,0,126,500,ui_active_bp_dragon_126,0,"[1003,10]",2,"[320001,1]",partner_name_320,partner_desc_320,1,0,"[3,320001]",[],800,
258,1,126,300,ui_active_bp_buy_icon_extra1,0,"[1003,10]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[1,51002]",[],0,
259,2,126,200,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
260,3,126,500,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
261,4,126,500,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
262,5,126,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
263,6,126,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
264,7,126,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
265,8,126,500,,0,"[1003,20]",0,"[1003,100]",,,0,1,[],[],0,
266,9,126,500,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
267,10,126,500,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
268,11,126,1000,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
269,12,126,1000,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
270,13,126,1000,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
271,14,126,1000,,0,"[1003,60]",0,"[11001,4]",,,1,1,"[2,11001]",[],0,
272,15,126,-1,,0,"[1003,100]",0,"[1003,800]",,,1,0,[],[],0,
273,0,125,750,ui_active_bp_dragon_125,0,"[1003,10]",2,"[321001,1]",partner_name_321,partner_desc_321,1,0,"[3,321001]",[],800,
274,1,125,550,ui_active_bp_buy_icon_extra1,0,"[1003,10]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[1,51002]",[],0,
275,2,125,450,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
276,3,125,750,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
277,4,125,750,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
278,5,125,750,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
279,6,125,750,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
280,7,125,750,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
281,8,125,750,,0,"[1003,20]",0,"[1003,100]",,,0,1,[],[],0,
282,9,125,750,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
283,10,125,750,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
284,11,125,1250,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
285,12,125,1250,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
286,13,125,1250,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
287,14,125,1250,,0,"[1003,60]",0,"[11001,4]",,,1,1,"[2,11001]",[],0,
288,15,125,-1,,0,"[1003,100]",0,"[1003,800]",,,1,0,[],[],0,
289,0,127,500,ui_active_bp_dragon_127,0,"[1003,10]",2,"[324001,1]",partner_name_324,partner_desc_324,1,0,"[3,324001]",[],800,
290,1,127,300,ui_active_bp_buy_icon_extra1,0,"[1003,10]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[1,51002]",[],0,
291,2,127,200,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
292,3,127,500,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
293,4,127,500,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
294,5,127,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
295,6,127,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
296,7,127,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
297,8,127,500,,0,"[1003,20]",0,"[1003,100]",,,0,1,[],[],0,
298,9,127,500,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
299,10,127,500,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
300,11,127,1000,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
301,12,127,1000,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
302,13,127,1000,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
303,14,127,1000,,0,"[1003,60]",0,"[11001,4]",,,1,1,"[2,11001]",[],0,
304,15,127,-1,,0,"[1003,100]",0,"[1003,800]",,,1,0,[],[],0,
305,0,133,200,ui_active_bp_dragon_133,0,"[1003,10]",2,"[319001,1]",partner_name_319,partner_desc_319,1,0,"[3,319001]",[],800,
306,1,133,200,ui_active_bp_buy_icon_extra1,0,"[1003,10]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[1,51002]",[],0,
307,2,133,300,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
308,3,133,300,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
309,4,133,400,,0,"[1003,10]",0,"[1003,50]",,,0,0,[],[],0,
310,5,133,400,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
311,6,133,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
312,7,133,500,,0,"[1003,15]",0,"[1003,80]",,,0,0,[],[],0,
313,8,133,500,,0,"[1003,20]",0,"[1003,100]",,,0,1,[],[],0,
314,9,133,600,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
315,10,133,600,,0,"[1003,20]",0,"[1003,100]",,,0,0,[],[],0,
316,11,133,800,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
317,12,133,800,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
318,13,133,1000,,0,"[1003,30]",0,"[1003,200]",,,0,0,[],[],0,
319,14,133,1000,,0,"[1003,60]",0,"[11001,4]",,,1,1,"[2,11001]",[],0,
320,15,133,-1,,0,"[1003,100]",0,"[1003,800]",,,1,0,[],[],0,
321,0,120,750,ui_active_bp_buy_icon_extra1,0,"[1003,30]",1,[1],eventmapslot,eventmapslot_desc,1,0,"[3,51002]",[],800,
322,1,120,550,,0,"[1001,5]",0,"[1001,15]",,,0,0,[],[],0,
