id,name,model,icon,length,width,attribute,dragonSkillAttribute,cleanTool,type,obstacleType,achievementType,taskunlock,consumeType,consume,whetherHide,rewardItem,rewardItem1,probabilityRewardItem1,probabilityRewardItem2,probabilityRewardItem3,dragonReward,roleLevel,FuncParam,group4ReturnEnergy,group5ReturnEnergy,group6ReturnEnergy,group7ReturnEnergy,display,
17,toy,mission1_lock_goright,,1,1,0,0,Shovel,1,0,0,Mission1_10ObserveCinderella1,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
18,flower,mission1_lock_gogarden,,1,1,0,0,Shovel,1,0,0,Mission1_04Grapewine,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
19,flower,mission1_lock_footprint,,1,1,0,0,Shovel,1,0,0,Mission1_05Grapewine,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
20,toy,mission1_lock_cinderella,,1,1,0,0,Shovel,1,0,0,Mission1_08Enterthecastle,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
21,toy,mission1_lock_goroom,,1,1,0,0,Shovel,1,0,0,Mission1_10ObserveCinderella2,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
22,,mission2_building_gintrap1,,1,1,0,0,box,23,2022,0,Mission2_08followthesound,3,[],1,[],[],[],[],[],[],1,,,,,,[],
23,shrub,mission2_lock_glassshoe,,1,1,0,0,Shovel,1,0,0,Mission2_03CircleImprint,1,"[1003,9]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
24,toy,missioncity_task_mirrordoor,,1,1,0,0,Shovel,1,0,0,,1,"[1003,3]",0,"[[2001,1],[1000,1]]","[[2001,0,1]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
25,,missioncity_building_mirrordoor,,1,1,0,0,box,32,1,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
26,,mission2_building_brokenbridge,,1,1,0,0,,3,0,0,Mission2_01Forwarddirection,3,[],1,[],[],[],[],[],[],1,,,,,,[],
27,,mission2_building_circlelmprint,,1,1,0,0,,3,0,0,Mission2_02Repairbridge,3,[],1,[],[],[],[],[],[],1,,,,,,[],
28,,mission2_building_pumicestones1,,1,1,0,0,,3,2028,0,Mission2_04Suspicioustrace,3,[],1,[],[],[],[],[],[],1,,,,,,[],
29,,mission2_building_pumicestones2,,1,1,0,0,,3,2028,0,Mission2_04Suspicioustrace,3,[],1,[],[],[],[],[],[],1,,,,,,[],
30,,mission2_building_pumicestones3,,1,1,0,0,,3,2028,0,Mission2_04Suspicioustrace,3,[],1,[],[],[],[],[],[],1,,,,,,[],
31,,mission2_building_trappeddoris,,1,1,0,0,,3,0,0,Mission2_04Suspicioustrace,3,[],0,[],[],[],[],[],[],1,,,,,,[],
32,shrub,mission2_lock_hurtdoris,,1,1,0,0,Shovel,1,0,0,Mission2_07Powerball2,1,"[1003,9]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
33,,mission2_building_hurtdoris,,1,1,0,0,,3,0,0,Mission2_09TheHauntingofDoris1,3,[],0,[],[],[],[],[],[],1,,,,,,[],
34,,mission2_factory_medicinepot,,1,1,0,0,,31,0,0,Mission2_08followthesound,3,[],1,[],[],[],[],[],[],1,,,,,,[],
35,,mission2_building_magictree,,1,1,0,0,,32,3,0,Mission2_12magictree,3,[],1,[],[],[],[],[],[],1,,,,,,[],
36,tree_pine,mission2_treasure_pine,,1,1,0,0,Hatchet,75,0,0,Mission2_10TheHauntingofDoris2,1,"[1003,18]",0,[],[],[],[],[],[],1,"[0,50,8001,8001,8001]",,,,,[],
37,crystalshoes,mission2_item_crystalslipper,,1,1,0,0,box,1,0,0,Mission2_03CircleImprint,1,"[1003,12]",0,"[[4104,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
38,sage,mission2_item_sage,,1,1,0,0,Shovel,1,0,0,Mission2_02Repairbridge,1,"[1003,12]",0,"[[4110,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
39,elderberry,mission2_item_elderberry,,1,1,0,0,Shovel,1,0,0,Mission2_08followthesound,1,"[1003,12]",0,"[[4111,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
40,rueflower,mission2_item_rueflower,,1,1,0,0,Shovel,1,0,0,Mission2_13buyfactory,1,"[1003,12]",0,"[[4113,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
41,eyestone,mission2_associate_stone1,,1,1,0,0,box,1,0,0,Mission2_03CircleImprint,1,"[1003,9]",0,"[[2004,2],[1000,2]]",[],[],[],[],[],1,,,,,,[],
42,eyestone,mission2_associate_stone2,,1,1,0,0,box,1,0,0,Mission2_03CircleImprint,1,"[1003,9]",0,"[[2004,2],[1000,2]]",[],[],[],[],[],1,,,,,,[],
43,eyestone,mission2_associate_stone3,,1,1,0,0,box,1,0,0,Mission2_03CircleImprint,1,"[1003,9]",0,"[[2004,2],[1000,2]]",[],[],[],[],[],1,,,,,,[],
44,shrub,mission2_lock_gostaminapot,,1,1,0,0,Shovel,1,0,0,Mission2_05BtrapedDoris,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
45,fence,mission2_lock_gowillingnessball,,1,1,0,0,Shovel,1,0,0,Mission2_05BtrapedDoris,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
46,fence,mission2_lock_gopine,,1,1,0,0,Shovel,1,0,0,Mission2_10TheHauntingofDoris2,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
47,fence,mission2_lock_magictree,,1,1,0,0,Shovel,1,0,0,Mission2_12magicpool,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
48,mission3_guide1,sparguide_box1_mission3,,1,1,0,0,,19,0,0,,0,[],0,"[[7003,5]]",[],[],[],[],[],1,,,,,,[],
49,,mission2_building_nuthole1,,1,1,0,0,Shovel,23,0,0,Mission2_05BtrapedDoris,3,[],1,[],[],[],[],[],[],1,,,,,,[],
50,,mission2_building_nuthole2,,1,1,0,0,Shovel,23,2050,0,Mission2_07Powerball,3,[],1,[],[],[],[],[],[],1,,,,,,[],
51,,mission2_building_nuthole3,,1,1,0,0,Shovel,23,2050,0,Mission2_07Powerball,3,[],1,[],[],[],[],[],[],1,,,,,,[],
52,,mission2_building_nuthole4,,1,1,0,0,Shovel,23,2050,0,Mission2_07Powerball,3,[],1,[],[],[],[],[],[],1,,,,,,[],
53,,mission2_building_nuthouse,,1,1,0,0,,3,0,0,Mission2_07Powerball,3,[],1,[],[],[],[],[],[],1,,,,,,[],
54,,mission2_building_pool,,1,1,0,0,building,23,0,0,Mission2_11lookingforsquirrels,3,[],1,[],[],[],[],[],[],1,,,,,,[],
55,,mission2_building_gintrap2,,1,1,0,0,box,23,2022,0,Mission2_08followthesound,3,[],1,[],[],[],[],[],[],1,,,,,,[],
56,,mission3_building_crystalcoffin,,1,1,0,0,building,3,0,0,Mission3_001CrystalCoffin,3,[],1,"[[5016,2]]",[],[],[],[],[],1,,,,,,[],
57,,mission3_building_treewands,,1,1,0,0,,3,0,0,Mission3_002CheckCoffin,3,[],1,[],[],[],[],[],[],1,,,,,,[],
58,,mission3_building_fairyspring,,1,1,0,0,,3,0,0,Mission3_004FindDoris,3,[],1,[],[],[],[],[],[],1,,,,,,[],
59,,mission3_building_magicbridge,,1,1,0,0,,3,0,0,Mission3_005RepairSpring,3,[],1,[],[],[],[],[],[],1,,,,,,[],
60,,mission3_building_fairyroom,,1,1,0,0,building,23,0,0,Mission3_007FairyHome,3,[],1,"[[5016,2]]",[],[],[],[],[],1,,,,,,[],
61,,mission3_building_swing,,1,1,0,0,,3,0,0,Mission3_008NotePiece1,3,[],1,[],[],[],[],[],[],1,,,,,,[],
62,,mission3_building_workbench,,1,1,0,0,,39,0,0,Mission3_009NotePiece2,0,[],1,[],[],[],[],[],[],1,"[""Puzzle001"",""ui_puzzles_des"",""ui_puzzle_end""]",,,,,[],
63,,mission3_building_portal,,1,1,0,0,,32,4,0,Mission3_010GetNote,3,[],1,[],[],[],[],[],[],1,,,,,,[],
64,energycrystal,mission3_item_energyspar,,1,1,0,0,Pickaxe,1,0,0,Mission3_004FindDoris,1,"[1003,10]",0,"[[4120,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
65,wane,mission3_item_vine,,1,1,0,0,Shovel,1,0,0,Mission3_005RepairSpring,1,"[1003,10]",0,"[[4121,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
66,notepieces,mission3_item_notefragment,,1,1,0,0,Shovel,1,0,0,Mission3_008NotePiece1,1,"[1003,10]",0,"[[4122,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
67,loosewood,mission3_lock_gotreewands,,1,1,0,0,Shovel,1,0,0,Mission3_002CheckCoffin,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
68,loosewood,mission3_lock_gomagicbridge,,1,1,0,0,Shovel,1,0,0,Mission3_005RepairSpring,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
69,loosewood,mission3_lock_goportal,,1,1,0,0,Shovel,1,0,0,Mission3_010GetNote,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
70,loosewood,mission3_lock_fairyhome,,1,1,0,0,Shovel,1,0,0,Mission3_006RepairBridge,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
71,box,mission3_treasure_box,,1,1,0,0,box,20,15,0,Mission3_008NotePiece1,0,"[1003,5]",0,"[[8002,1],[8003,2],[8004,2],[20000,1]]","[[2006,1,2]]",[],[],[],[],1,,,,,,[],
76,,mission4_building_expansionmushroom,,1,1,0,0,,3,0,0,Mission4_001DeadRoad,3,[],1,[],[],[],[],[],[],1,,,,,,[],
77,,mission4_building_petrifiedstatue,,1,1,0,0,,3,0,0,Mission4_003StrangeStatue,3,[],1,[],[],[],[],[],[],1,,,,,,[],
78,,mission4_building_octopusclaw,,1,1,0,0,,3,0,0,Mission4_005InTheFog,3,[],0,[],[],[],[],[],[],1,,,,,,[],
79,,mission4_factory_souppot,,1,1,0,0,,31,0,0,Mission4_003StrangeStatue,3,[],1,[],[],[],[],[],[],1,,,,,,[],
80,,mission4_building_scaredoll,,1,1,0,0,,3,0,0,Mission4_007DollShock1,3,[],1,[],[],[],[],[],[],1,,,,,,[],
81,,mission4_building_streetlight1,,1,1,0,0,,3,81,0,Mission4_008DollShock2,3,[],1,[],[],[],[],[],[],1,,,,,,[],
82,,mission4_building_streetlight2,,1,1,0,0,,3,81,0,Mission4_008DollShock2,3,[],1,[],[],[],[],[],[],1,,,,,,[],
83,,mission4_building_witchroom,,1,1,0,0,,3,0,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
84,,mission4_building_memoryball1,,1,1,0,0,building,23,0,0,Mission4_009VisitWitch,3,[],1,"[[5016,2]]",[],[],[],[],[],1,,,,,,[],
85,,mission4_building_memoryball2,,1,1,0,0,building,23,0,0,Mission4_010FindMemory,3,[],1,"[[5016,2]]",[],[],[],[],[],1,,,,,,[],
86,,mission4_building_memoryball3,,1,1,0,0,building,23,0,0,Mission4_010FindMemory2,3,[],1,"[[5016,2]]",[],[],[],[],[],1,,,,,,[],
87,,mission4_building_teleportationcircle,,1,1,0,0,,23,0,0,Mission4_011CrackedCurse,3,[],1,[],[],[],[],[],[],1,"[1,""4richman""]",,,,,[],
88,expandedmushroom,mission4_item_expansionmushroom,,1,1,0,0,Shovel,1,0,0,Mission4_001DeadRoad,1,"[1003,9]",0,"[[4130,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
89,energycrystal,mission4_item_energyspar,,1,1,0,0,Pickaxe,1,0,0,Mission4_001DeadRoad,1,"[1003,9]",0,"[[4131,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
90,rejuvenatedgrass,mission4_item_rejuvenationgrass,,1,1,0,0,Shovel,1,0,0,Mission4_003StrangeStatue,1,"[1003,9]",0,"[[4132,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
91,glowingore,mission4_item_glowingore,,1,1,0,0,Pickaxe,1,0,0,Mission4_007DollShock1,1,"[1003,9]",0,"[[4135,2],[1000,3]]",[],[],[],[],[],1,,,,,,[],
92,moonstone,mission4_item_moonstone,,1,1,0,0,Pickaxe,1,0,0,Mission4_011CrackedCurse,1,"[1003,9]",0,"[[4136,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
93,loosewood,mission4_lock_gooctopusclaw,,1,1,0,0,Shovel,1,0,0,Mission4_004StoneCurse,1,"[1003,10]",0,"[[2001,3],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
94,loosewood,mission4_lock_gomemoryball,,1,1,0,0,Shovel,1,0,0,Mission4_009VisitWitch,1,"[1003,10]",0,"[[2001,3],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
95,loosewood,mission4_lock_goexport,,1,1,0,0,Shovel,1,0,0,Mission4_011CrackedCurse,1,"[1003,10]",0,"[[2001,3],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
96,floor_volcanofarm_01,mission4_floor_01,,1,1,0,0,,5,0,0,,0,[],1,[],[],[],[],[],[],1,,,,,,[],
97,grass,mission4_lock_gomemoryball2,,1,1,0,0,Shovel,1,0,0,Mission4_010FindMemory,1,"[1003,10]",0,"[[2001,3],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
98,flower,mission4_lock_gomemoryball3,,1,1,0,0,Shovel,1,0,0,Mission4_010FindMemory2,1,"[1003,10]",0,"[[2001,3],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
99,box,mission4_treasure_box,,1,1,0,0,box,20,15,0,Mission4_006KeepSleep,0,"[1003,7]",0,"[[8002,1],[8003,2],[8004,2],[20000,1]]","[[2006,1,2]]",[],[],[],[],1,,,,,,[],
100,,mission4_building_blackcat,,1,1,0,0,,3,0,0,Mission4_005BlackCat1,3,[],1,[],[],[],[],[],[],1,,,,,,[],
101,,mission4_building_broom1,,1,1,0,0,box,23,101,0,Mission4_005BlackCat1,3,[],1,[],[],[],[],[],[],1,,,,,,[],
102,,mission4_building_broom2,,1,1,0,0,box,23,101,0,Mission4_005BlackCat1,3,[],1,[],[],[],[],[],[],1,,,,,,[],
103,,mission4_building_broom3,,1,1,0,0,box,23,101,0,Mission4_005BlackCat1,3,[],1,[],[],[],[],[],[],1,,,,,,[],
105,,mission5_building_summoningarray,,1,1,0,0,building,3,0,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
311,,mission5_building_pumpkinfarm,,1,1,0,0,building,23,0,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
312,,mission5_building_pumpkincarriage,,1,1,0,0,,3,0,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
313,,mission5_building_ratclip1,,1,1,0,0,box,23,313,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
314,,mission5_building_ratclip2,,1,1,0,0,box,23,313,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
315,,mission5_building_cookingbench,,1,1,0,0,,31,0,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
316,,mission5_building_dog,,1,1,0,0,,3,0,0,,3,[],0,[],[],[],[],[],[],1,,,,,,[],
222,,mission5_building_doris,,1,1,0,0,,3,0,0,,3,[],0,[],[],[],[],[],[],1,,,,,,[],
223,,mission5_building_charles,,1,1,0,0,,3,0,0,,3,[],0,[],[],[],[],[],[],1,,,,,,[],
224,,mission5_building_doc,,1,1,0,0,,3,0,0,,3,[],0,[],[],[],[],[],[],1,,,,,,[],
317,,mission5_building_decorate1,,1,1,0,0,building,3,317,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
318,,mission5_building_decorate2,,1,1,0,0,building,3,317,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
319,,mission5_building_decorate3,,1,1,0,0,building,3,317,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
320,,mission5_building_decorate4,,1,1,0,0,building,3,317,0,,3,[],1,[],[],[],[],[],[],1,,,,,,[],
116,,mission5_item_itemofprince,,1,1,0,0,Shovel,1,0,0,,1,"[1003,8]",0,"[[2001,2],[1000,2]]",[],[],[],[],[],1,,,,,,[],
117,,mission5_item_itemofthehall,,1,1,0,0,Shovel,1,0,0,,1,"[1003,8]",0,"[[2001,2],[1000,2]]",[],[],[],[],[],1,,,,,,[],
118,rubbish,mission5_item_rubbish,,1,1,0,0,Shovel,1,0,0,,1,"[1003,12]",0,"[[2001,2],[1000,2]]",[],[],[],[],[],1,,,,,,[],
119,,mission5_item_itemofarray,,1,1,0,0,Shovel,1,0,0,,1,"[1003,8]",0,"[[2001,2],[1000,2]]",[],[],[],[],[],1,,,,,,[],
120,magicstone,mission5_item_magiccrystal,,1,1,0,0,box,1,0,0,Mission5_003Needmagic,1,"[1003,15]",0,"[[4147,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
121,fertilizer,mission5_item_fertilizer,,1,1,0,0,box,1,0,0,Mission5_003Needmagicb,1,"[1003,12]",0,"[[4148,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
122,flour,mission5_item_flour,,1,1,0,0,box,1,0,0,Mission5_005Depot,1,"[1003,15]",0,"[[4149,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
123,sugar,mission5_item_sugar,,1,1,0,0,box,1,0,0,Mission5_005Depot,1,"[1003,15]",0,"[[4150,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
124,bone,mission5_item_bone,,1,1,0,0,box,1,0,0,Mission5_006Strangedemands,1,"[1003,15]",0,"[[4151,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
125,gravy,mission5_item_gravy,,1,1,0,0,box,1,0,0,Mission5_006Strangedemands,1,"[1003,16]",0,"[[4152,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
126,fabric,mission5_item_cloth,,1,1,0,0,box,1,0,0,Mission5_012Wonderfulmagic2,1,"[1003,16]",0,"[[4153,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
127,lace,mission5_item_lace,,1,1,0,0,box,1,0,0,Mission5_012Wonderfulmagic2,1,"[1003,16]",0,"[[4154,1],[1000,3]]",[],[],[],[],[],1,,,,,,[],
128,loosewood,mission5_lock_goleft,,1,1,0,0,Shovel,1,0,0,Mission5_001Difficulties,1,"[1003,11]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
129,loosewood,mission5_lock_leftside1,,1,1,0,0,Shovel,1,0,0,Mission5_002Thecommandb,1,"[1003,11]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
130,loosewood,mission5_lock_leftside2,,1,1,0,0,Shovel,1,0,0,Mission5_001Difficulties,1,"[1003,11]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
131,loosewood,mission5_lock_hall,,1,1,0,0,Shovel,1,0,0,Mission5_012Wonderfulmagic2,1,"[1003,10]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
132,loosewood,mission5_lock_rightside1,,1,1,0,0,Shovel,1,0,0,Mission5_003Needmagic,1,"[1003,11]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
133,loosewood,mission5_lock_goright,,1,1,0,0,Shovel,1,0,0,Mission5_002Thecommand,1,"[1003,13]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
134,loosewood,mission5_lock_hovel,,1,1,0,0,Shovel,1,0,0,Mission5_006Strangedemands,1,"[1003,8]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
232,loosewood,mission5_lock_mache,,1,1,0,0,Shovel,1,0,0,Mission5_010Importantfriend,1,"[1003,11]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
135,loosewood,mission5_lock_lounge,,1,1,0,0,Shovel,1,0,0,,1,"[1003,8]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
136,loosewood,mission5_lock_kitchen1,,1,1,0,0,Shovel,1,0,0,,1,"[1003,8]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
137,loosewood,mission5_lock_kitchen2,,1,1,0,0,Shovel,1,0,0,,1,"[1003,8]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
138,loosewood,mission5_lock_restaurant1,,1,1,0,0,Shovel,1,0,0,,1,"[1003,8]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
139,loosewood,mission5_lock_restaurant2,,1,1,0,0,Shovel,1,0,0,,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
140,loosewood,mission5_lock_stairs1,,1,1,0,0,Shovel,1,0,0,,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
141,loosewood,mission5_lock_stairs2,,1,1,0,0,Shovel,1,0,0,,1,"[1003,12]",0,"[[2001,2],[1000,3]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
142,loosewood,mission5_lock_pumpkinfarm,,1,1,0,0,Shovel,1,0,0,Mission5_003Needmagicb,1,"[1003,13]",0,"[[2001,2],[1000,2]]","[[2001,0,2]]","[[7001,1,20],[7001,2,5],[7002,1,5],[-1,0,70]]",[],[],[],1,,,,,,[],
