id,iconWay,icon,MissionType,taskNeed,nestTaskNeed,point,unlockLevel,unlockTask,key,keydesc
43,task,,93,"[146,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,UI_FairyTownAid_desc3,UI_FairyTownAid_desc25
44,task,,92,"[137,10]","[25,40,66]","[150,400,750,1000]",10,,UI_FairyTownAid_desc3,UI_FairyTownAid_desc24
45,task,,93,"[137,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,UI_FairyTownAid_desc3,UI_FairyTownAid_desc25
46,task,,92,"[147,10]","[30,50,91]","[150,400,750,1000]",10,,UI_FairyTownAid_desc3,UI_FairyTownAid_desc24
47,task,,93,"[147,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,UI_FairyTownAid_desc3,UI_FairyTownAid_desc25
48,task,,92,"[149,10]","[30,45,67]","[150,400,750,1000]",10,,UI_FairyTownAid_desc3,UI_FairyTownAid_desc24
49,task,,93,"[149,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,UI_FairyTownAid_desc3,UI_FairyTownAid_desc25
50,task,,92,"[150,10]","[30,45,66]","[150,400,750,1000]",10,,UI_FairyTownAid_desc3,UI_FairyTownAid_desc24
51,task,,93,"[150,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,UI_FairyTownAid_desc3,UI_FairyTownAid_desc25
52,task,,92,"[151,10]","[30,45,66]","[150,400,750,1000]",10,,UI_FairyTownAid_desc3,UI_FairyTownAid_desc24
53,task,,93,"[151,150]","[750,1850,2400,4000]","[200,400,800,1200,1500]",10,,UI_FairyTownAid_desc3,UI_FairyTownAid_desc25
