id,levelIndex,MapId,SavingPoint,Reward,sReward,SPReward,continuePrice,BackId,
1029,29,Block29,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1024,
1030,30,Block30,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[1001,30]]",20,1024,
1031,31,Block31,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1029,
1032,32,Block32,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1029,
1033,33,Block33,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1029,
1034,34,Block34,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1029,
1035,35,Block35,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[60011,1]]",20,1029,
1036,36,Block36,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1034,
1037,37,Block37,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1034,
1038,38,Block38,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1034,
1039,39,Block39,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1034,
1040,40,Block40,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[1003,200]]",20,1034,
1041,41,Block41,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1039,
1042,42,Block42,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1039,
1043,43,Block43,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1039,
1044,44,Block44,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1039,
1045,45,Block45,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[60011,1]]",30,1039,
1046,46,Block46,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1044,
1047,47,Block47,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1044,
1048,48,Block48,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1044,
1049,49,Block49,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1044,
1050,50,Block50,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[1003,500],[1001,50]]",30,1044,
1051,51,Block51,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1049,
1052,52,Block52,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1049,
1053,53,Block53,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1049,
1054,54,Block54,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1049,
1055,55,Block55,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[60011,1]]",30,1049,
1056,56,Block56,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1054,
1057,57,Block57,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1054,
1058,58,Block58,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1054,
1059,59,Block59,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,30,1054,
1060,60,Block60,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[94003,1],[60011,1]]",30,1054,
1061,61,Block61,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1059,
1062,62,Block62,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1059,
1063,63,Block63,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1059,
1064,64,Block64,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1059,
1065,65,Block65,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[1003,300]]",35,1059,
1066,66,Block66,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1064,
1067,67,Block67,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1064,
1068,68,Block68,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1064,
1069,69,Block69,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1064,
1070,70,Block70,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[60012,1]]",35,1064,
1071,71,Block71,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1069,
1072,72,Block72,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1069,
1073,73,Block73,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1069,
1074,74,Block74,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1069,
1075,75,Block75,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[1003,400]]",35,1069,
1076,76,Block76,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1074,
1077,77,Block77,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1074,
1078,78,Block78,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1074,
1079,79,Block79,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1074,
1080,80,Block80,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[60012,1]]",35,1074,
1081,81,Block81,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1079,
1082,82,Block82,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1079,
1083,83,Block83,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1079,
1084,84,Block84,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1079,
1085,85,Block85,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,5],[1003,400]]",35,1079,
1086,86,Block86,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1084,
1087,87,Block87,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1084,
1088,88,Block88,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1084,
1089,89,Block89,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1084,
1090,90,Block90,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,8],[60013,1]]",35,1084,
1091,91,Block91,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1089,
1092,92,Block92,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1089,
1093,93,Block93,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1089,
1094,94,Block94,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1089,
1095,95,Block95,1,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]","[[84003,8],[1001,80]]",35,1089,
1096,96,Block96,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1094,
1097,97,Block97,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1094,
1098,98,Block98,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1094,
1099,99,Block99,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,35,1094,
1100,100,Block100,1,"[[1002,2000]]","[[1002,20],[1003,3]]","[[84003,10],[60014,1]]",35,1094,
1101,1,Block1,0,"[[1002,500],[6404,1],[6406,1]]","[[1002,20],[1003,3]]",,15,,
1102,2,Block102,0,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]",,15,,
1103,3,Block103,1,"[[1002,500],[6404,1],[6406,1]]","[[1002,20],[1003,3]]","[[84011,2],[60011,1]]",15,,
1104,4,Block4,0,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]",,15,1102,
1105,5,Block105,0,"[[1002,500],[6406,1]]","[[1002,20],[1003,3]]",,15,1102,
1106,6,Block106,1,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]","[[84011,3],[60011,1]]",15,1102,
1107,7,Block7,0,"[[1002,500]]","[[1002,20],[1003,3]]",,15,1105,
1108,8,Block108,0,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]",,15,1105,
1109,9,Block109,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1105,
1110,10,Block110,1,"[[1002,500]]","[[1002,20],[1003,3]]","[[84011,4],[1001,10]]",15,1105,
1111,11,Block111,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1109,
1112,12,Block112,0,"[[1002,500]]","[[1002,20],[1003,3]]",,15,1109,
1113,13,Block113,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1109,
1114,14,Block114,2,"[[1002,500]]","[[1002,20],[1003,3]]",,15,1109,
1115,15,Block115,1,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]","[[84011,5],[60011,1]]",15,1109,
1116,16,Block16,0,"[[1002,500]]","[[1002,20],[1003,3]]",,15,1114,
1117,17,Block17,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1114,
1118,18,Block118,0,"[[1002,500]]","[[1002,20],[1003,3]]",,15,1114,
1119,19,Block119,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1114,
1120,20,Block120,1,"[[1002,500]]","[[1002,20],[1003,3]]","[[84011,5],[1001,15]]",15,1114,
1121,21,Block121,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1119,
1122,22,Block122,0,"[[1002,500]]","[[1002,20],[1003,3]]",,20,1119,
1123,23,Block123,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1119,
1124,24,Block124,2,"[[1002,500]]","[[1002,20],[1003,3]]",,20,1119,
1125,25,Block125,1,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]","[[84011,5],[60011,1]]",20,1119,
1126,26,Block126,0,"[[1002,500]]","[[1002,20],[1003,3]]",,20,1124,
1127,27,Block127,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1124,
1128,28,Block128,2,"[[1002,500]]","[[1002,20],[1003,3]]",,20,1124,
1129,29,Block129,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1124,
1130,30,Block130,1,"[[1002,500]]","[[1002,20],[1003,3]]","[[84011,5],[1001,30]]",20,1124,
1131,31,Block131,0,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]",,20,1129,
1132,32,Block132,0,"[[1002,500]]","[[1002,20],[1003,3]]",,20,1129,
1133,33,Block133,2,"[[1002,500],[1001,2]]","[[1002,20],[1003,3]]",,20,1129,
1134,34,Block134,0,"[[1002,500]]","[[1002,20],[1003,3]]",,20,1129,
1135,35,Block135,1,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]","[[1003,200],[60011,1]]",20,1129,
1136,36,Block136,0,"[[1002,500]]","[[1002,20],[1003,3]]",,20,1134,
1137,37,Block137,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,20,1134,
1138,38,Block138,0,"[[1002,500]]","[[1002,20],[1003,3]]",,20,1134,
1139,39,Block139,2,"[[1002,500],[30000,3]]","[[1002,20],[1003,3]]",,20,1134,
1140,40,Block140,1,"[[1002,500]]","[[1002,20],[1003,3]]","[[84011,5],[1003,200]]",20,1134,
1141,41,Block141,0,"[[1002,500],[1001,2]]","[[1002,20],[1003,3]]",,30,1139,
1142,42,Block142,0,"[[1002,500]]","[[1002,20],[1003,3]]",,30,1139,
1143,43,Block143,2,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]",,30,1139,
1144,44,Block144,0,"[[1002,500]]","[[1002,20],[1003,3]]",,30,1139,
1145,45,Block145,1,"[[1002,500],[1001,2]]","[[1002,20],[1003,3]]","[[84011,5],[60011,1]]",30,1139,
1146,46,Block146,0,"[[1002,500]]","[[1002,20],[1003,3]]",,30,1144,
1147,47,Block147,0,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]",,30,1144,
1148,48,Block148,0,"[[1002,500]]","[[1002,20],[1003,3]]",,30,1144,
1149,49,Block149,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1144,
1150,50,Block50,1,"[[1002,500]]","[[1002,20],[1003,3]]","[[84011,5],[1001,50]]",30,1144,
1151,51,Block151,0,"[[1002,500],[30000,3]]","[[1002,20],[1003,3]]",,30,1149,
1152,52,Block152,0,"[[1002,500]]","[[1002,20],[1003,3]]",,30,1149,
1153,53,Block153,2,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]",,30,1149,
1154,54,Block154,0,"[[1002,500]]","[[1002,20],[1003,3]]",,30,1149,
1155,55,Block155,1,"[[1002,500],[1001,3]]","[[1002,20],[1003,3]]","[[84011,5],[60011,1]]",30,1149,
1156,56,Block156,0,"[[1002,500]]","[[1002,20],[1003,3]]",,30,1154,
1157,57,Block157,0,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]",,30,1154,
1158,58,Block158,0,"[[1002,500]]","[[1002,20],[1003,3]]",,30,1154,
1159,59,Block159,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1154,
1160,60,Block160,1,"[[1002,500]]","[[1002,20],[1003,3]]","[[1003,300],[60011,1]]",30,1154,
1161,61,Block161,0,"[[1002,500],[30000,5]]","[[1002,20],[1003,3]]",,35,1159,
1162,62,Block162,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1159,
1163,63,Block163,2,"[[1002,500],[1001,2]]","[[1002,20],[1003,3]]",,35,1159,
1164,64,Block164,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1159,
1165,65,Block165,1,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]","[[84011,5],[1003,300]]",35,1159,
1166,66,Block166,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1164,
1167,67,Block167,0,"[[1002,500],[1001,3]]","[[1002,20],[1003,3]]",,35,1164,
1168,68,Block168,2,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1164,
1169,69,Block169,0,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]",,35,1164,
1170,70,Block170,1,"[[1002,500]]","[[1002,20],[1003,3]]","[[84011,5],[60012,1]]",35,1164,
1171,71,Block171,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1169,
1172,72,Block172,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1169,
1173,73,Block173,0,"[[1002,500],[30000,5]]","[[1002,20],[1003,3]]",,35,1169,
1174,74,Block174,2,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1169,
1175,75,Block175,1,"[[1002,500],[42000,2]]","[[1002,20],[1003,3]]","[[84011,5],[1003,400]]",35,1169,
1176,76,Block176,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1174,
1177,77,Block177,0,"[[1002,500],[1001,3]]","[[1002,20],[1003,3]]",,35,1174,
1178,78,Block178,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1174,
1179,79,Block179,2,"[[1002,500],[16000,2]]","[[1002,20],[1003,3]]",,35,1174,
1180,80,Block180,1,"[[1002,500]]","[[1002,20],[1003,3]]","[[84011,5],[60012,1]]",35,1174,
1181,81,Block181,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1179,
1182,82,Block182,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1179,
1183,83,Block183,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1179,
1184,84,Block184,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1179,
1185,85,Block185,1,"[[1002,500],[30000,7]]","[[1002,20],[1003,3]]","[[84011,5],[1003,400]]",35,1179,
1186,86,Block186,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1184,
1187,87,Block187,0,"[[1002,500],[60011,1]]","[[1002,20],[1003,3]]",,35,1184,
1188,88,Block188,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1184,
1189,89,Block189,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1184,
1190,90,Block190,1,"[[1002,500]]","[[1002,20],[1003,3]]","[[84011,8],[60013,1]]",35,1184,
1191,91,Block191,0,"[[1002,500],[30000,7]]","[[1002,20],[1003,3]]",,35,1189,
1192,92,Block192,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1189,
1193,93,Block193,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1189,
1194,94,Block194,2,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1189,
1195,95,Block195,1,"[[1002,500],[1001,3]]","[[1002,20],[1003,3]]","[[84011,8],[1001,80]]",35,1189,
1196,96,Block196,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1194,
1197,97,Block197,0,"[[1002,500],[60011,1]]","[[1002,20],[1003,3]]",,35,1194,
1198,98,Block198,0,"[[1002,500]]","[[1002,20],[1003,3]]",,35,1194,
1199,99,Block199,2,"[[1002,500],[1001,10]]","[[1002,20],[1003,3]]",,35,1194,
1200,100,Block200,1,"[[1002,2000]]","[[1002,20],[1003,3]]","[[84011,10],[60014,1]]",35,1194,
1201,1,Block1,0,"[[1002,500],[6404,1],[6406,1]]","[[1002,20],[1003,3]]",,15,,
1202,2,Block202,0,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]",,15,,
1203,3,Block203,1,"[[1002,500],[6404,1],[6406,1]]","[[1002,20],[1003,3]]","[[84013,2],[1001,5]]",15,,
1204,4,Block4,0,"[[1002,500],[6404,1],[6405,1]]","[[1002,20],[1003,3]]",,15,1202,
1205,5,Block205,0,"[[1002,500],[6406,1]]","[[1002,20],[1003,3]]",,15,1202,
1206,6,Block206,1,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]","[[84013,2],[1003,20]]",15,1202,
1207,7,Block7,0,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,15,1205,
1208,8,Block208,0,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]",,15,1205,
1209,9,Block209,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1205,
1210,10,Block210,1,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]","[[84013,3],[1001,5]]",15,1205,
1211,11,Block211,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1209,
1212,12,Block212,0,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,15,1209,
1213,13,Block213,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1209,
1214,14,Block214,2,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,15,1209,
1215,15,Block215,1,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]","[[84013,3],[1003,30]]",15,1209,
1216,16,Block16,0,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,15,1214,
1217,17,Block17,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1214,
1218,18,Block218,0,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,15,1214,
1219,19,Block219,2,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,15,1214,
1220,20,Block220,1,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]","[[84013,3],[1001,10]]",15,1214,
1221,21,Block221,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1219,
1222,22,Block222,0,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]",,20,1219,
1223,23,Block223,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1219,
1224,24,Block224,2,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,20,1219,
1225,25,Block225,1,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]","[[84013,4],[1003,40]]",20,1219,
1226,26,Block226,0,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]",,20,1224,
1227,27,Block227,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1224,
1228,28,Block228,2,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]",,20,1224,
1229,29,Block229,0,"[[1002,500],[6404,1]]","[[1002,20],[1003,3]]",,20,1224,
1230,30,Block230,1,"[[1002,500],[1003,5]]","[[1002,20],[1003,3]]","[[84013,4],[1001,10]]",20,1224,
1231,31,Block231,0,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]",,20,1229,
1232,32,Block232,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,20,1229,
1233,33,Block233,2,"[[1002,500],[1001,5]]","[[1002,20],[1003,3]]",,20,1229,
1234,34,Block234,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,20,1229,
1235,35,Block235,1,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]","[[84013,4],[1003,50]]",20,1229,
1236,36,Block236,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,20,1234,
1237,37,Block237,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,20,1234,
1238,38,Block238,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,20,1234,
1239,39,Block239,2,"[[1002,500],[30000,3]]","[[1002,20],[1003,3]]",,20,1234,
1240,40,Block240,1,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]","[[84013,4],[1001,15]]",20,1234,
1241,41,Block241,0,"[[1002,500],[1001,5]]","[[1002,20],[1003,3]]",,30,1239,
1242,42,Block242,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,30,1239,
1243,43,Block243,2,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]",,30,1239,
1244,44,Block244,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,30,1239,
1245,45,Block245,1,"[[1002,500],[1001,5]]","[[1002,20],[1003,3]]","[[84013,5],[1003,60]]",30,1239,
1246,46,Block246,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,30,1244,
1247,47,Block247,0,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]",,30,1244,
1248,48,Block248,0,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,30,1244,
1249,49,Block249,2,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]",,30,1244,
1250,50,Block50,1,"[[1002,500],[1003,8]]","[[1002,20],[1003,3]]","[[84013,5],[1003,80]]",30,1244,
1251,51,Block251,0,"[[1002,500],[30000,3]]","[[1002,20],[1003,3]]",,30,1249,
1252,52,Block252,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1249,
1253,53,Block253,2,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]",,30,1249,
1254,54,Block254,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1249,
1255,55,Block255,1,"[[1002,500],[1001,5]]","[[1002,20],[1003,3]]","[[84013,5],[1001,20]]",30,1249,
1256,56,Block256,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1254,
1257,57,Block257,0,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]",,30,1254,
1258,58,Block258,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1254,
1259,59,Block259,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,30,1254,
1260,60,Block260,1,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]","[[84013,5],[1003,100]]",30,1254,
1261,61,Block261,0,"[[1002,500],[30000,5]]","[[1002,20],[1003,3]]",,35,1259,
1262,62,Block262,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1259,
1263,63,Block263,2,"[[1002,500],[1001,8]]","[[1002,20],[1003,3]]",,35,1259,
1264,64,Block264,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1259,
1265,65,Block265,1,"[[1002,500],[42000,1]]","[[1002,20],[1003,3]]","[[84013,5],[1003,120]]",35,1259,
1266,66,Block266,0,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1264,
1267,67,Block267,0,"[[1002,500],[1001,8]]","[[1002,20],[1003,3]]",,35,1264,
1268,68,Block268,2,"[[1002,500],[1003,10]]","[[1002,20],[1003,3]]",,35,1264,
1269,69,Block269,0,"[[1002,500],[16000,1]]","[[1002,20],[1003,3]]",,35,1264,
1270,70,Block270,1,"[[1002,500],[6405,1]]","[[1002,20],[1003,3]]","[[84013,5],[1003,150]]",35,1264,
