id,shopgroupID,ActivityID,ActivityType,type,reward1,reward2,reward3,reward4,reward5,reward6,shopID,coin,progressreward,MissionId,
33,33,129,1,2,"[[1003,250],[1002,10000]]","[[1003,250],[13001,3]]","[[1003,3000],[1001,80],[11001,4]]","[[1003,300],[1002,10000]]","[[1003,300],[30000,20]]","[[1003,3500],[1001,100],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
34,34,129,1,2,"[[1003,320],[1002,20000]]","[[1003,320],[30000,30]]","[[1003,4000],[1001,150],[11001,6]]","[[1003,400],[1002,30000]]","[[1003,400],[30000,50]]",[],"[[3,1808]]",[],[],,
35,35,129,1,2,[],[],[],[],[],[],[],[],[],,
36,36,129,1,2,[],[],[],[],[],[],[],[],[],,
1000,100,130,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,600],[1001,10]]","[[60012,1]]","[[1003,100]]","[[1003,830],[1001,15]]","[[3,1809],[6,1800]]",[],[],,
1001,101,130,1,2,"[[60012,1]]","[[1003,120]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1002,102,130,1,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1003,103,130,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1004,104,130,1,2,[],[],[],[],[],[],[],[],[],,
1005,105,130,1,2,[],[],[],[],[],[],[],[],[],,
1006,200,130,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1007,201,130,1,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1008,202,130,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1009,203,130,1,2,"[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1010,204,130,1,2,[],[],[],[],[],[],[],[],[],,
1011,205,130,1,2,[],[],[],[],[],[],[],[],[],,
1012,300,130,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1013,301,130,1,2,"[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1014,302,130,1,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1015,303,130,1,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1016,304,130,1,2,[],[],[],[],[],[],[],[],[],,
1017,305,130,1,2,[],[],[],[],[],[],[],[],[],,
1036,100,128,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,600],[1001,10]]","[[60012,1]]","[[1003,100]]","[[1003,830],[1001,15]]","[[3,1809],[6,1800]]",[],[],,
1037,101,128,1,2,"[[60012,1]]","[[1003,120]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1038,102,128,1,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1039,103,128,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1040,104,128,1,2,[],[],[],[],[],[],[],[],[],,
1041,105,128,1,2,[],[],[],[],[],[],[],[],[],,
1042,200,128,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1043,201,128,1,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1044,202,128,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1045,203,128,1,2,"[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1046,204,128,1,2,[],[],[],[],[],[],[],[],[],,
1047,205,128,1,2,[],[],[],[],[],[],[],[],[],,
1048,300,128,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1049,301,128,1,2,"[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1050,302,128,1,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1051,303,128,1,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1052,304,128,1,2,[],[],[],[],[],[],[],[],[],,
1053,305,128,1,2,[],[],[],[],[],[],[],[],[],,
1054,100,136,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,600],[1001,10]]","[[60012,1]]","[[1003,100]]","[[1003,830],[1001,15]]","[[3,1809],[6,1800]]",[],[],,
1055,101,136,1,2,"[[60012,1]]","[[1003,120]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1056,102,136,1,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1057,103,136,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1058,104,136,1,2,[],[],[],[],[],[],[],[],[],,
1059,105,136,1,2,[],[],[],[],[],[],[],[],[],,
1060,200,136,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1061,201,136,1,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1062,202,136,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1063,203,136,1,2,"[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1064,204,136,1,2,[],[],[],[],[],[],[],[],[],,
1065,205,136,1,2,[],[],[],[],[],[],[],[],[],,
1066,300,136,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1067,301,136,1,2,"[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1068,302,136,1,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1069,303,136,1,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1070,304,136,1,2,[],[],[],[],[],[],[],[],[],,
1071,305,136,1,2,[],[],[],[],[],[],[],[],[],,
1072,100,138,1,1,"[[1003,10]]","[[42000,2]]","[[16000,2]]","[[1003,10]]","[[1003,25]]","[[1003,30]]",[],"[[1,10],[4,10],[5,20],[6,25]]","[[6,[1003,40],[1001,5],[16000,2]]]",Eventmission2328_000ChristmasVillages,
1073,101,138,1,1,"[[1003,20]]","[[1002,3000]]","[[42000,3]]","[[16000,3]]","[[1003,40]]","[[1003,50]]",[],"[[1,30],[5,40],[6,65]]","[[6,[1003,55],[1001,10],[1002,5000]]]",,
1074,102,138,1,1,"[[1003,40]]","[[1003,40]]","[[1003,70]]","[[1002,5000]]","[[42000,3]]","[[16000,4]]",[],"[[1,30],[2,70],[3,95]]","[[6,[1003,95],[1001,10],[42000,4]]]",,
1075,103,138,1,1,"[[1003,80]]","[[42000,4]]","[[16000,4]]","[[1003,95]]","[[1002,8000]]","[[1003,115]]",[],"[[1,60],[4,95],[6,105]]","[[6,[1003,135],[11001,1]]]",,
1076,104,138,1,1,"[[1003,115]]","[[42000,5]]","[[16000,5]]","[[1003,155]]","[[1002,10000]]","[[1003,175]]",[],"[[1,95],[4,120],[6,145]]","[[6,[1003,230],[11001,1]]]",,
1077,105,138,1,1,"[[1003,115]]","[[1002,15000]]","[[1003,135]]","[[1003,175]]","[[42000,5]]","[[1003,230]]",[],"[[1,105],[3,120],[4,130],[6,145]]","[[6,[1003,265],[1001,30],[60015,1]]]",,
1078,200,138,1,1,"[[1003,10]]","[[42000,2]]","[[16000,2]]","[[1003,10]]","[[1003,25]]","[[1003,30]]",[],"[[1,10],[4,10],[5,20],[6,25]]","[[6,[1003,40],[1001,5],[16000,2]]]",Eventmission2328_000ChristmasVillages,
1079,201,138,1,1,"[[1003,20]]","[[1002,3000]]","[[42000,3]]","[[16000,3]]","[[1003,40]]","[[1003,50]]",[],"[[1,30],[5,40],[6,65]]","[[6,[1003,55],[1001,10],[1002,5000]]]",,
1080,202,138,1,1,"[[1003,40]]","[[1003,40]]","[[1003,70]]","[[1002,5000]]","[[42000,3]]","[[16000,4]]",[],"[[1,30],[2,70],[3,95]]","[[6,[1003,95],[1001,10],[42000,4]]]",,
1081,203,138,1,1,"[[1003,80]]","[[42000,4]]","[[16000,4]]","[[1003,95]]","[[1002,8000]]","[[1003,115]]",[],"[[1,60],[4,95],[6,105]]","[[6,[1003,135],[11001,1]]]",,
1082,204,138,1,1,"[[1003,115]]","[[42000,5]]","[[16000,5]]","[[1003,155]]","[[1002,10000]]","[[1003,175]]",[],"[[1,95],[4,120],[6,145]]","[[6,[1003,230],[11001,1]]]",,
1083,205,138,1,1,"[[1003,115]]","[[1002,15000]]","[[1003,135]]","[[1003,175]]","[[42000,5]]","[[1003,230]]",[],"[[1,105],[3,120],[4,130],[6,145]]","[[6,[1003,265],[1001,30],[60015,1]]]",,
1084,300,138,1,1,"[[1003,10]]","[[42000,2]]","[[16000,2]]","[[1003,10]]","[[1003,25]]","[[1003,30]]",[],"[[1,10],[4,10],[5,20],[6,25]]","[[6,[1003,40],[1001,5],[16000,2]]]",Eventmission2328_000ChristmasVillages,
1085,301,138,1,1,"[[1003,20]]","[[1002,3000]]","[[42000,3]]","[[16000,3]]","[[1003,40]]","[[1003,50]]",[],"[[1,30],[5,40],[6,65]]","[[6,[1003,55],[1001,10],[1002,5000]]]",,
1086,302,138,1,1,"[[1003,40]]","[[1003,40]]","[[1003,70]]","[[1002,5000]]","[[42000,3]]","[[16000,4]]",[],"[[1,30],[2,70],[3,95]]","[[6,[1003,95],[1001,10],[42000,4]]]",,
1087,303,138,1,1,"[[1003,80]]","[[42000,4]]","[[16000,4]]","[[1003,95]]","[[1002,8000]]","[[1003,115]]",[],"[[1,60],[4,95],[6,105]]","[[6,[1003,135],[11001,1]]]",,
1088,304,138,1,1,"[[1003,115]]","[[42000,5]]","[[16000,5]]","[[1003,155]]","[[1002,10000]]","[[1003,175]]",[],"[[1,95],[4,120],[6,145]]","[[6,[1003,230],[11001,1]]]",,
1089,305,138,1,1,"[[1003,115]]","[[1002,15000]]","[[1003,135]]","[[1003,175]]","[[42000,5]]","[[1003,230]]",[],"[[1,105],[3,120],[4,130],[6,145]]","[[6,[1003,265],[1001,30],[60015,1]]]",,
1090,100,139,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,600],[1001,10]]","[[60012,1]]","[[1003,100]]","[[1003,830],[1001,15]]","[[3,1809],[6,1800]]",[],[],,
1091,101,139,1,2,"[[60012,1]]","[[1003,120]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1092,102,139,1,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1093,103,139,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1094,104,139,1,2,[],[],[],[],[],[],[],[],[],,
1095,105,139,1,2,[],[],[],[],[],[],[],[],[],,
1096,200,139,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1097,201,139,1,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1098,202,139,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1099,203,139,1,2,"[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1100,204,139,1,2,[],[],[],[],[],[],[],[],[],,
1101,205,139,1,2,[],[],[],[],[],[],[],[],[],,
1102,300,139,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1103,301,139,1,2,"[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1104,302,139,1,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1105,303,139,1,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1106,304,139,1,2,[],[],[],[],[],[],[],[],[],,
1107,305,139,1,2,[],[],[],[],[],[],[],[],[],,
1108,100,137,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,600],[1001,10]]","[[60012,1]]","[[1003,100]]","[[1003,830],[1001,15]]","[[3,1809],[6,1800]]",[],[],,
1109,101,137,1,2,"[[60012,1]]","[[1003,120]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1110,102,137,1,2,"[[1003,130],[1002,5000]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1111,103,137,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]",[],"[[3,1805]]",[],[],,
1112,104,137,1,2,[],[],[],[],[],[],[],[],[],,
1113,105,137,1,2,[],[],[],[],[],[],[],[],[],,
1114,200,137,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1050],[1001,20]]","[[60013,1]]","[[1003,150]]","[[1003,1500],[1001,40]]","[[3,1810],[6,1802]]",[],[],,
1115,201,137,1,2,"[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[3,1811],[6,1812]]",[],[],,
1116,202,137,1,2,"[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[3,1805],[6,1806]]",[],[],,
1117,203,137,1,2,"[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]",[],"[[3,1807]]",[],[],,
1118,204,137,1,2,[],[],[],[],[],[],[],[],[],,
1119,205,137,1,2,[],[],[],[],[],[],[],[],[],,
1120,300,137,1,2,"[[1002,1000]]","[[1003,10]]","[[1003,1500],[1001,40]]","[[1003,130]]","[[1003,120],[42000,1]]","[[1003,1900],[1001,40],[11001,1]]","[[3,1802],[6,1811]]",[],[],,
1121,301,137,1,2,"[[60013,1]]","[[1003,200],[42000,2]]","[[1003,2300],[1001,50],[11001,2]]","[[60014,1]]","[[1003,250],[1002,10000]]","[[1003,2650],[1001,80],[11001,3]]","[[3,1812],[6,1805]]",[],[],,
1122,302,137,1,2,"[[1003,250],[1002,15000]]","[[1003,250],[30000,20]]","[[1003,3150],[1001,90],[11001,4]]","[[60015,1]]","[[1003,300],[30000,30]]","[[1003,3400],[1001,120],[11001,5]]","[[3,1806],[6,1807]]",[],[],,
1123,303,137,1,2,"[[1003,300],[1002,25000]]","[[1003,300],[30000,40]]","[[1003,4000],[1001,150],[11001,5]]","[[1003,400],[1002,30000]]","[[1003,400],[11001,1]]",[],"[[3,1808]]",[],[],,
1124,304,137,1,2,[],[],[],[],[],[],[],[],[],,
1125,305,137,1,2,[],[],[],[],[],[],[],[],[],,
1126,100,141,1,1,"[[1003,10]]","[[42000,2]]","[[16000,2]]","[[1003,10]]","[[1003,25]]","[[1003,30]]",[],"[[1,10],[4,10],[5,20],[6,25]]","[[6,[1003,40],[1001,5],[16000,2]]]",Eventmission2402_000SkyCity,
1127,101,141,1,1,"[[1003,20]]","[[1002,3000]]","[[42000,3]]","[[16000,3]]","[[1003,40]]","[[1003,50]]",[],"[[1,30],[5,40],[6,65]]","[[6,[1003,55],[1001,10],[1002,5000]]]",,
1128,102,141,1,1,"[[1003,40]]","[[1003,40]]","[[1003,70]]","[[1002,5000]]","[[42000,4]]","[[16000,4]]",[],"[[1,30],[2,70],[3,95]]","[[6,[1003,95],[1001,10],[42000,4]]]",,
1129,103,141,1,1,"[[1003,80]]","[[42000,4]]","[[16000,4]]","[[1003,95]]","[[1002,8000]]","[[1003,115]]",[],"[[1,60],[4,95],[6,105]]","[[6,[1003,135],[11001,1],[60012,1]]]",,
1130,104,141,1,1,"[[1003,115]]","[[42000,5]]","[[16000,5]]","[[1003,155]]","[[1002,10000]]","[[1003,175]]",[],"[[1,95],[4,120],[6,145]]","[[6,[1003,230],[11001,1]]]",,
1131,105,141,1,1,"[[1003,115]]","[[1002,15000]]","[[1003,135]]","[[1003,175]]","[[42000,5]]","[[1003,230]]",[],"[[1,105],[3,120],[4,130],[6,145]]","[[6,[1003,265],[1001,30],[60015,1]]]",,
1132,200,141,1,1,"[[1003,10]]","[[42000,2]]","[[16000,2]]","[[1003,10]]","[[1003,25]]","[[1003,30]]",[],"[[1,10],[4,10],[5,20],[6,25]]","[[6,[1003,40],[1001,5],[16000,2]]]",Eventmission2402_000SkyCity,
1133,201,141,1,1,"[[1003,20]]","[[1002,3000]]","[[42000,3]]","[[16000,3]]","[[1003,40]]","[[1003,50]]",[],"[[1,30],[5,40],[6,65]]","[[6,[1003,55],[1001,10],[1002,5000]]]",,
1134,202,141,1,1,"[[1003,40]]","[[1003,40]]","[[1003,70]]","[[1002,5000]]","[[42000,4]]","[[16000,4]]",[],"[[1,30],[2,70],[3,95]]","[[6,[1003,95],[1001,10],[42000,4]]]",,
1135,203,141,1,1,"[[1003,80]]","[[42000,4]]","[[16000,4]]","[[1003,95]]","[[1002,8000]]","[[1003,115]]",[],"[[1,60],[4,95],[6,105]]","[[6,[1003,135],[11001,1],[60012,1]]]",,
1136,204,141,1,1,"[[1003,115]]","[[42000,5]]","[[16000,5]]","[[1003,155]]","[[1002,10000]]","[[1003,175]]",[],"[[1,95],[4,120],[6,145]]","[[6,[1003,230],[11001,1]]]",,
1137,205,141,1,1,"[[1003,115]]","[[1002,15000]]","[[1003,135]]","[[1003,175]]","[[42000,5]]","[[1003,230]]",[],"[[1,105],[3,120],[4,130],[6,145]]","[[6,[1003,265],[1001,30],[60015,1]]]",,
1138,300,141,1,1,"[[1003,10]]","[[42000,2]]","[[16000,2]]","[[1003,10]]","[[1003,25]]","[[1003,30]]",[],"[[1,10],[4,10],[5,20],[6,25]]","[[6,[1003,40],[1001,5],[16000,2]]]",Eventmission2402_000SkyCity,
1139,301,141,1,1,"[[1003,20]]","[[1002,3000]]","[[42000,3]]","[[16000,3]]","[[1003,40]]","[[1003,50]]",[],"[[1,30],[5,40],[6,65]]","[[6,[1003,55],[1001,10],[1002,5000]]]",,
