id,sceneID,icon_way,icon,missionType,taskParam,taskDesc,name,reward,lookupWay,nextID,
206,22AdvIsland,,Description_Sub001nextflowercarriage_sub4,31,"[686,5]",UI_22AdvIsland_task6,,10,0,,
207,22AdvIsland,,item_22AdvIsland_token,2,"[4243,1000]",UI_22AdvIsland_task7,,20,0,,
208,22AdvIsland,,Christmas_turntable,32,[1],UI_22AdvIsland_task8,,15,0,,
301,2204CallGodBall,,Event4_000CallGodBall_icon1,28,"[""2204CallGodBall""]",UI_2204CallGodBall_task1,,10,0,,
302,2204CallGodBall,,Event4_003BrokenProcessingHut_icon1,31,"[800,1]",UI_2204CallGodBall_task2,,10,0,,
303,2204CallGodBall,,Event4_005SuspiciousSpring_icon1,31,"[819,1]",UI_2204CallGodBall_task3,,10,1,,
304,2204CallGodBall,,Event4_005SuspiciousSpring_icon1,31,"[819,3]",UI_2204CallGodBall_task3,,20,1,,
305,2204CallGodBall,,Event4_005SuspiciousSpring_icon1,31,"[819,6]",UI_2204CallGodBall_task14,,30,1,,
306,2204CallGodBall,,Event4_006WishesMachine2_icon1,37,[1],UI_2204CallGodBall_task4,,10,0,,
307,2204CallGodBall,,Event4_006WishesMachine2_icon1,37,[20],UI_2204CallGodBall_task19,,30,0,,
308,2204CallGodBall,,Event4_009BrokenFlowerStand_icon1,31,"[826,1]",UI_2204CallGodBall_task5,,10,1,,
309,2204CallGodBall,,Event4_009BrokenFlowerStand_icon1,31,"[826,3]",UI_2204CallGodBall_task15,,30,1,,
310,2204CallGodBall,,Event4_011ExcitedCopperStrings_icon1,31,"[830,1]",UI_2204CallGodBall_task6,,10,1,,
311,2204CallGodBall,,Event4_011ExcitedCopperStrings_icon1,31,"[830,2]",UI_2204CallGodBall_task6,,20,1,,
312,2204CallGodBall,,Event4_011ExcitedCopperStrings_icon1,31,"[830,3]",UI_2204CallGodBall_task18,,30,1,,
313,2204CallGodBall,,Event4_020PrepareLucnch_icon1,2,"[4321,10]",UI_2204CallGodBall_task7,,30,1,,
314,2204CallGodBall,,Event4_020PrepareLucnch_icon2,2,"[4323,10]",UI_2204CallGodBall_task8,,30,1,,
315,2204CallGodBall,,Event4_024DimStorageRoom_icon3,31,"[847,1]",UI_2204CallGodBall_task10,,10,1,,
316,2204CallGodBall,,Event4_024DimStorageRoom_icon3,31,"[847,4]",UI_2204CallGodBall_task16,,20,1,,
317,2204CallGodBall,,Event4_024DimStorageRoom_icon3,31,"[847,8]",UI_2204CallGodBall_task16,,30,1,,
318,2204CallGodBall,,Event4_013GiftfromBenjamin_icon1,2,"[27541,3]",UI_2204CallGodBall_task13,,50,1,,
319,2204CallGodBall,,Event4_028TheWaytoAwakeDragonGod2_icon1,31,"[859,1]",UI_2204CallGodBall_task11,,10,1,,
320,2204CallGodBall,,Event4_028TheWaytoAwakeDragonGod2_icon1,31,"[859,3]",UI_2204CallGodBall_task11,,30,1,,
321,2204CallGodBall,,Event4_031Courage_icon1,31,"[862,1]",UI_2204CallGodBall_task12,,20,1,,
322,2204CallGodBall,,Event4_031Courage_icon1,31,"[862,3]",UI_2204CallGodBall_task12,,30,1,,
323,2204CallGodBall,,Event4_020PrepareLucnch_icon3,31,"[839,1]",UI_2204CallGodBall_task9,,20,1,,
324,2204CallGodBall,,Event4_020PrepareLucnch_icon3,31,"[839,2]",UI_2204CallGodBall_task17,,20,1,,
325,2204CallGodBall,,Event4_020PrepareLucnch_icon3,31,"[839,3]",UI_2204CallGodBall_task17,,30,1,,
401,2205DragonMuseum,,ui_inmain_2205DragonMuseum_bg,28,"[""2205DragonMuseum""]",UI_2205DragonMuseum_task1,,10,0,,
402,2205DragonMuseum,,Event5_007repairfactory_icon1,31,"[900,1]",UI_2205DragonMuseum_task2,,20,0,,
403,2205DragonMuseum,,Event5_005brokenbronze_icon1,31,"[910,1]",UI_2205DragonMuseum_task3,,10,1,,
404,2205DragonMuseum,,Event5_005brokenbronze_icon1,31,"[910,3]",UI_2205DragonMuseum_task3,,20,1,,
405,2205DragonMuseum,,Event5_005brokenbronze_icon1,31,"[910,5]",UI_2205DragonMuseum_task3,,30,1,,
406,2205DragonMuseum,,Event5_005brokenbronze_icon1,31,"[910,10]",UI_2205DragonMuseum_task3,,70,1,,
407,2205DragonMuseum,,Event5_010EnterNature2_icon1,37,[1],UI_2205DragonMuseum_task10,,10,1,,
408,2205DragonMuseum,,Event5_010EnterNature2_icon1,37,[20],UI_2205DragonMuseum_task10,,30,1,,
409,2205DragonMuseum,,Event5_012findpower_icon2,31,"[926,1]",UI_2205DragonMuseum_task4,,20,1,,
410,2205DragonMuseum,,building_event5_energyma,31,"[927,1]",UI_2205DragonMuseum_task5,,20,1,,
411,2205DragonMuseum,,Event5_015repairprojection_icon3,2,"[4367,5]",UI_2205DragonMuseum_task9,,10,1,,
412,2205DragonMuseum,,Event5_015repairprojection_icon3,2,"[4367,20]",UI_2205DragonMuseum_task9,,30,1,,
413,2205DragonMuseum,,Event5_023gofloor_icon2,31,"[928,1]",UI_2205DragonMuseum_task12,,30,1,,
414,2205DragonMuseum,,Event5_023gofloor_icon2,31,"[928,2]",UI_2205DragonMuseum_task12,,30,1,,
415,2205DragonMuseum,,Event5_019repairwall_icon1,31,"[938,1]",UI_2205DragonMuseum_task6,,10,1,,
416,2205DragonMuseum,,Event5_019repairwall_icon1,31,"[938,4]",UI_2205DragonMuseum_task6,,20,1,,
417,2205DragonMuseum,,Event5_019repairwall_icon1,31,"[938,8]",UI_2205DragonMuseum_task6,,30,1,,
418,2205DragonMuseum,,building_event5_dragonshowca3,31,"[944,1]",UI_2205DragonMuseum_task8,,10,1,,
419,2205DragonMuseum,,building_event5_dragonshowca3,31,"[944,3]",UI_2205DragonMuseum_task8,,40,1,,
420,2205DragonMuseum,,building_event5_showcase1,31,"[947,1]",UI_2205DragonMuseum_task7,,10,1,,
421,2205DragonMuseum,,building_event5_showcase1,31,"[947,3]",UI_2205DragonMuseum_task7,,30,1,,
422,2205DragonMuseum,,Event5_033repairlight_icon1-1,31,"[953,1]",UI_2205DragonMuseum_task11,,10,1,,
423,2205DragonMuseum,,Event5_033repairlight_icon1-1,31,"[953,3]",UI_2205DragonMuseum_task11,,20,1,,
424,2205DragonMuseum,,Event5_033repairlight_icon1-1,31,"[953,5]",UI_2205DragonMuseum_task11,,30,1,,
501,2206SeaCarnival,,Event6_000SeaCarnival_icon1,28,"[""2206SeaCarnival""]",UI_common_scene_task_go,UI_2206SeaCarnival_title,10,0,,
502,2206SeaCarnival,,Event6_010SchoolofFish1_icon1,31,"[1106,1]",UI_common_scene_task_open,ui_event6_SeaCarnival_fishgate,10,0,,
503,2206SeaCarnival,,Event6_010SchoolofFish1_icon1,31,"[1106,5]",UI_common_scene_task_open,ui_event6_SeaCarnival_fishgate,30,0,,
504,2206SeaCarnival,,Event6_010SchoolofFish1_icon1,31,"[1106,10]",UI_common_scene_task_open,ui_event6_SeaCarnival_fishgate,70,0,,
505,2206SeaCarnival,,Event6_016CarnivalCarriage_icon1,31,"[1098,1]",UI_common_scene_task_building,ui_event6_SeaCarnival_carriage,10,0,,
506,2206SeaCarnival,,Event6_016CarnivalCarriage_icon1,31,"[1098,4]",UI_common_scene_task_building,ui_event6_SeaCarnival_carriage,30,0,,
507,2206SeaCarnival,,Event6_006CrystalTotem_icon1,31,"[1116,1]",UI_common_scene_task_building,ui_event6_SeaCarnival_crystaltotem,10,0,,
508,2206SeaCarnival,,Event6_006CrystalTotem_icon1,31,"[1116,3]",UI_common_scene_task_building,ui_event6_SeaCarnival_crystaltotem,20,0,,
509,2206SeaCarnival,,Event6_006CrystalTotem_icon1,31,"[1116,5]",UI_common_scene_task_building,ui_event6_SeaCarnival_crystaltotem,40,0,,
510,2206SeaCarnival,,Event6_014PrepareDinner_icon1,31,"[1085,1]",UI_common_scene_task_building,ui_event6_SeaCarnival_table,10,0,,
511,2206SeaCarnival,,Event6_014PrepareDinner_icon1,31,"[1085,4]",UI_common_scene_task_building,ui_event6_SeaCarnival_table,40,0,,
512,2206SeaCarnival,,Event6_035ConductorPlatform_icon2,31,"[1074,1]",UI_common_scene_task_building,ui_event6_SeaCarnival_stagemachine,10,0,,
513,2206SeaCarnival,,Event6_035ConductorPlatform_icon2,31,"[1074,4]",UI_common_scene_task_building,ui_event6_SeaCarnival_stagemachine,40,0,,
514,2206SeaCarnival,,Event6_000SeaCarnival_icon1,31,"[1090,1]",UI_common_scene_task_building,ui_event6_SeaCarnival_reefharp,20,0,,
515,2206SeaCarnival,,Event6_022ReefHarp2_icon2,31,"[1091,1]",UI_common_scene_task_building,ui_event6_SeaCarnival_conch,10,0,,
516,2206SeaCarnival,,Event6_022ReefHarp2_icon2,31,"[1091,2]",UI_common_scene_task_building,ui_event6_SeaCarnival_conch,30,0,,
517,2206SeaCarnival,,Event6_015SingExercise2B_icon1,31,"[1078,1]",UI_common_scene_task_building,ui_event6_SeaCarnival_seahorsemain,40,0,,
518,2206SeaCarnival,,Event6_002CarnivalDrink_icon1,11,"[4430,10]",UI_common_scene_task_product,item_4430,30,0,,
519,2206SeaCarnival,,Event6_014PrepareDinner_icon2,2,"[4436,10]",UI_common_scene_task_product,item_4436,10,0,,
520,2206SeaCarnival,,Event6_014PrepareDinner_icon2,2,"[4436,40]",UI_common_scene_task_product,item_4436,30,0,,
521,2206SeaCarnival,,Event6_007CrystalBall_icon1,37,[1],UI_2205DragonMuseum_task10,,10,0,,
522,2206SeaCarnival,,Event6_007CrystalBall_icon1,37,[20],UI_2205DragonMuseum_task10,,40,0,,
601,2207SakuraManor,,Event7_000SakuraManor_icon1,28,"[""2207SakuraManor""]",UI_common_scene_task_go,UI_2207SakuraManor_title,10,0,,
602,2207SakuraManor,,Event7_003CleanupStatue_icon1,31,"[1183,1]",UI_common_scene_task_clear,ui_event7_SakuraManor_tanuki,10,0,,
603,2207SakuraManor,,Event7_003CleanupStatue_icon1,31,"[1183,5]",UI_common_scene_task_clear,ui_event7_SakuraManor_tanuki,30,0,,
604,2207SakuraManor,,Event7_003CleanupStatue_icon1,31,"[1183,10]",UI_common_scene_task_clear,ui_event7_SakuraManor_tanuki,70,0,,
605,2207SakuraManor,,Event7_001EnterManor_icon1,31,"[1193,1]",UI_common_scene_task_building,ui_event7_SakuraManor_torii,10,0,,
606,2207SakuraManor,,Event7_001EnterManor_icon1,31,"[1193,3]",UI_common_scene_task_building,ui_event7_SakuraManor_torii,30,0,,
607,2207SakuraManor,,Event7_001EnterManor_icon1,31,"[1193,6]",UI_common_scene_task_building,ui_event7_SakuraManor_torii,50,0,,
608,2207SakuraManor,,Event7_005MakeTea_icon1,31,"[1163,1]",UI_common_scene_task_building,ui_event7_SakuraManor_teahouse,20,0,,
609,2207SakuraManor,,Event7_010CleanRiteplace1_icon2,31,"[1167,1]",UI_common_scene_task_building,ui_event7_SakuraManor_riteplace,20,0,,
610,2207SakuraManor,,Event7_011ArriveFair_icon2,37,[1],UI_2205DragonMuseum_task10,,10,0,,
611,2207SakuraManor,,Event7_011ArriveFair_icon2,37,[30],UI_2205DragonMuseum_task10,,30,0,,
612,2207SakuraManor,,building_event7_barton,31,"[1170,1]",UI_common_scene_task_building,ui_event7_SakuraManor_barton,20,0,,
613,2207SakuraManor,,Event7_015HotspringEggs_icon1,2,"[4465,10]",UI_common_scene_task_cooking,item_4465,20,0,,
614,2207SakuraManor,,Event7_017MakeFood_icon3,2,"[4469,10]",UI_common_scene_task_cooking,item_4469,20,0,,
615,2207SakuraManor,,Event7_017MakeFood_icon3,2,"[4469,30]",UI_common_scene_task_cooking,item_4469,40,0,,
616,2207SakuraManor,,Event7_021RepairTaiko_icon1,31,"[1171,2]",UI_common_scene_task_building,ui_event7_SakuraManor_taiko,40,0,,
617,2207SakuraManor,,Event7_024SakuraKimono_icon1,2,"[27208,1]",UI_common_scene_task_cooking,item_4472,30,0,,
618,2207SakuraManor,,building_event7_knifeflag,31,"[1199,1]",UI_common_scene_task_building,ui_event7_SakuraManor_knifeflag,10,0,,
619,2207SakuraManor,,building_event7_knifeflag,31,"[1199,3]",UI_common_scene_task_building,ui_event7_SakuraManor_knifeflag,20,0,,
620,2207SakuraManor,,building_event7_knifeflag,31,"[1199,5]",UI_common_scene_task_building,ui_event7_SakuraManor_knifeflag,40,0,,
621,2207SakuraManor,,building_event7_bridge,31,"[1181,1]",UI_common_scene_task_building,ui_event7_SakuraManor_bridge,20,0,,
701,2208DesertPark,,Even8_000DesertPark,28,"[""2208DesertPark""]",UI_common_scene_task_go,UI_2208DesertPark_title,10,0,,
702,2208DesertPark,,Even8_002Balloon,31,"[1390,1]",UI_common_scene_task_building,ui_event8_candyfireballoon,20,0,,
703,2208DesertPark,,Even8_003StrangeWind,31,"[1391,1]",UI_common_scene_task_building,ui_event8_souvenirshop,20,0,,
704,2208DesertPark,,Even8_009StoreCar,31,"[1394,1]",UI_common_scene_task_building,ui_event8_dessertcart,10,0,,
705,2208DesertPark,,Even8_009StoreCar,31,"[1394,4]",UI_common_scene_task_building,ui_event8_dessertcart,50,0,,
706,2208DesertPark,,Even8_013CoinMachine,31,"[1401,1]",UI_common_scene_task_building,ui_event8_vendingmachine,10,0,,
707,2208DesertPark,,Even8_013CoinMachine,31,"[1401,3]",UI_common_scene_task_building,ui_event8_vendingmachine,30,0,,
708,2208DesertPark,,Even8_013CoinMachine,31,"[1401,6]",UI_common_scene_task_building,ui_event8_vendingmachine,70,0,,
709,2208DesertPark,,Even8_012Electricity,37,[1],UI_2205DragonMuseum_task10,,10,0,,
710,2208DesertPark,,Even8_012Electricity,37,[30],UI_2205DragonMuseum_task10,,30,0,,
711,2208DesertPark,,Event8_019ScaredAnimals_icon1,2,"[4550,10]",UI_common_scene_task_product,item_4550,20,0,,
712,2208DesertPark,,Event8_019ScaredAnimals_icon1,2,"[4550,30]",UI_common_scene_task_product,item_4550,40,0,,
713,2208DesertPark,,Even8_019ScaredAnimals_icon1,31,"[1409,1]",UI_common_scene_task_building,ui_event8_picnictable,10,0,,
714,2208DesertPark,,Even8_019ScaredAnimals_icon1,31,"[1409,3]",UI_common_scene_task_building,ui_event8_picnictable,40,0,,
715,2208DesertPark,,Even8_021Corsair,31,"[1412,1]",UI_common_scene_task_building,ui_event8_pirateboat,30,0,,
716,2208DesertPark,,Even8_025SpunsugarTelpher1,31,"[1413,1]",UI_common_scene_task_building,ui_event8_telpher,30,0,,
717,2208DesertPark,,Even8_000DesertPark,31,"[1415,1]",UI_common_scene_task_building,ui_event8_ferriswheel,40,0,,
718,2208DesertPark,,Even8_010HairBand,7,"[27314,1]",UI_common_scene_task_cooking,cynthiahat_27314,20,0,,
719,2208DesertPark,,Event8_026SweetSuit_icon1,7,"[27317,1]",UI_common_scene_task_cooking,cynthiashoes_27317,20,0,,
720,2208DesertPark,,Event8_026SweetSuit_icon2,7,"[27315,1]",UI_common_scene_task_cooking,cynthiadress_27315,20,0,,
721,2208DesertPark,,Event8_026SweetSuit_icon4,7,"[27316,1]",UI_common_scene_task_cooking,cynthiaskirt_27316,20,0,,
801,2209GhostMansion,,Event9_000GhostMansion_icon1,28,"[""2209GhostMansion""]",UI_common_scene_task_go,UI_2209GhostMansion_title,10,0,,
802,2209GhostMansion,,Event9_002LightenLamp_icon1,31,"[1503,2]",UI_2209_task_dianliang_1,ui_event9_candlestick1,20,0,,
803,2209GhostMansion,,Event9_008BallRoom_icon1,31,"[1514,1]",UI_common_scene_task_building,ui_event9_diningtable,20,0,,
804,2209GhostMansion,,Event9_012ScareCrow_icon1,31,"[1520,1]",UI_scene_task_2209_2,,10,0,,
805,2209GhostMansion,,Event9_012ScareCrow_icon1,31,"[1520,3]",UI_scene_task_2209_2,,30,0,,
806,2209GhostMansion,,Event9_012ScareCrow_icon1,31,"[1520,5]",UI_scene_task_2209_2,,50,0,,
807,2209GhostMansion,,Event9_014SoulTuner_icon1,2,"[93011,1]",UI_common_scene_task_cooking,item_27564,10,0,,
808,2209GhostMansion,,Event9_014SoulTuner_icon1,2,"[93011,3]",UI_common_scene_task_cooking,item_27564,30,0,,
809,2209GhostMansion,,Event9_015HauntedGacha_icon1,37,[1],UI_2205DragonMuseum_task10,,10,0,,
810,2209GhostMansion,,Event9_015HauntedGacha_icon1,37,[30],UI_2205DragonMuseum_task10,,40,0,,
811,2209GhostMansion,,Event9_019PumpkinLantern_icon1,31,"[1564,1]",UI_common_scene_task_lightup,ui_event9_bigpumpkinlight1,10,0,,
812,2209GhostMansion,,Event9_019PumpkinLantern_icon1,31,"[1564,3]",UI_common_scene_task_lightup,ui_event9_bigpumpkinlight1,30,0,,
813,2209GhostMansion,,item_2209GhostMansion_ghostpumpkin,2,"[4610,10]",UI_common_scene_task_cooking,item_4610,10,0,,
814,2209GhostMansion,,item_2209GhostMansion_ghostpumpkin,2,"[4610,30]",UI_common_scene_task_cooking,item_4610,30,0,,
815,2209GhostMansion,,building_event9_pumpkintree,31,"[1551,1]",UI_common_scene_task_decorate,ui_event9_pumpkintree1,10,0,,
816,2209GhostMansion,,building_event9_pumpkintree,31,"[1551,5]",UI_common_scene_task_decorate,ui_event9_pumpkintree1,40,0,,
817,2209GhostMansion,,building_event9_pumpkintree,31,"[1551,11]",UI_common_scene_task_decorate,ui_event9_pumpkintree1,70,0,,
818,2209GhostMansion,,Event9_000GhostMansion_icon1,31,"[1544,1]",UI_common_scene_task_building,ui_event9_clocktower,30,0,,
819,2209GhostMansion,,Event9_029ComfortSoul_icon4,31,"[1545,1]",UI_scene_task_2209_1,,10,0,,
820,2209GhostMansion,,Event9_029ComfortSoul_icon4,31,"[1545,3]",UI_scene_task_2209_1,,30,0,,
821,2209GhostMansion,,Event9_029ComfortSoul_icon4,31,"[1545,6]",UI_scene_task_2209_1,,50,0,,
901,2210GrandmasFarm,,Event10_000GrandmasFarm_icon0,28,"[""2210GrandmasFarm""]",UI_common_scene_task_go,UI_2210GrandmasFarm_title,10,0,,
902,2210GrandmasFarm,,Event10_007Sunflower2_icon3,31,"[1621,1]",UI_common_scene_task_building,ui_event10_giantsunflower,20,0,,
903,2210GrandmasFarm,,Event10_010CarrotGame_icon2,31,"[1653,1]",UI_common_scene_task_building,ui_event10_trolley01,10,0,,
904,2210GrandmasFarm,,Event10_010CarrotGame_icon2,31,"[1653,3]",UI_common_scene_task_building,ui_event10_trolley01,30,0,,
905,2210GrandmasFarm,,Event10_010CarrotGame_icon2,31,"[1653,6]",UI_common_scene_task_building,ui_event10_trolley01,50,0,,
906,2210GrandmasFarm,,Christmas_turntable2,32,[1],UI_2205DragonMuseum_task10,,10,0,,
907,2210GrandmasFarm,,Christmas_turntable2,32,[12],UI_2205DragonMuseum_task10,,30,0,,
908,2210GrandmasFarm,,Event10_016NewClothes1_icon2,7,"[27323,1]",UI_common_scene_task_cooking,cynthiadress_27323,20,0,,
909,2210GrandmasFarm,,cynthiahat_27322,7,"[27322,1]",UI_common_scene_task_cooking,cynthiahat_27322,20,0,,
910,2210GrandmasFarm,,cynthiaskirt_27324,7,"[27324,1]",UI_common_scene_task_cooking,cynthiaskirt_27324,20,0,,
911,2210GrandmasFarm,,cynthiashoes_27325,7,"[27325,1]",UI_common_scene_task_cooking,cynthiashoes_27325,20,0,,
912,2210GrandmasFarm,,Event10_013HugePumpkin_icon0,31,"[1626,1]",UI_2210GrandmasFarm_task_1,,10,0,,
913,2210GrandmasFarm,,Event10_013HugePumpkin_icon0,31,"[1626,3]",UI_2210GrandmasFarm_task_1,,30,0,,
914,2210GrandmasFarm,,Event10_013HugePumpkin_icon0,31,"[1626,6]",UI_2210GrandmasFarm_task_1,,60,0,,
915,2210GrandmasFarm,,Event10_023Recliner1_icon0,31,"[1628,1]",UI_common_scene_task_building,ui_event10_swingchair01,10,0,,
916,2210GrandmasFarm,,Event10_023Recliner1_icon0,31,"[1628,3]",UI_common_scene_task_building,ui_event10_swingchair01,30,0,,
917,2210GrandmasFarm,,Event10_023Recliner1_icon0,31,"[1628,6]",UI_common_scene_task_building,ui_event10_swingchair01,50,0,,
918,2210GrandmasFarm,,Event10_032Campfire1_icon2,2,"[4647,5]",UI_common_scene_task_product,item_4647,10,0,,
919,2210GrandmasFarm,,Event10_032Campfire1_icon2,2,"[4647,20]",UI_common_scene_task_product,item_4647,20,0,,
920,2210GrandmasFarm,,Event10_032Campfire1_icon3,31,"[1640,1]",UI_common_scene_task_building,ui_event10_diningtable,10,0,,
921,2210GrandmasFarm,,Event10_032Campfire1_icon3,31,"[1640,3]",UI_common_scene_task_building,ui_event10_diningtable,30,0,,
922,2210GrandmasFarm,,Event10_032Campfire1_icon3,31,"[1640,5]",UI_common_scene_task_building,ui_event10_diningtable,50,0,,
1001,2211MagicChristmas,,Event11_001Christmasisland,28,"[""2211ChristmasCottage""]",UI_common_scene_task_go,UI_2211MagicChristmas_title,20,0,,
1002,2211MagicChristmas,,Event11_pointtask02,31,"[1862,1]",UI_common_scene_task_building,ui_event11_christmastree,10,0,,
1003,2211MagicChristmas,,Event11_pointtask02,31,"[1862,5]",UI_common_scene_task_building,ui_event11_christmastree,30,0,,
1004,2211MagicChristmas,,Event11_pointtask02,31,"[1862,10]",UI_common_scene_task_building,ui_event11_christmastree,60,0,,
1005,2211MagicChristmas,,Event11_pointtask03,37,[1],UI_2205DragonMuseum_task10,,10,0,,
1006,2211MagicChristmas,,Event11_pointtask03,37,[30],UI_2205DragonMuseum_task10,,30,0,,
1007,2211MagicChristmas,,Event11_pointtask04,2,"[4714,5]",UI_common_scene_task_product,item_4714,10,0,,
1008,2211MagicChristmas,,Event11_pointtask04,2,"[4714,20]",UI_common_scene_task_product,item_4714,40,0,,
1009,2211MagicChristmas,,Event11_pointtask01,31,"[1872,1]",UI_common_scene_task_building,ui_event11_snowman,10,0,,
1010,2211MagicChristmas,,Event11_pointtask01,31,"[1872,5]",UI_common_scene_task_building,ui_event11_snowman,30,0,,
1011,2211MagicChristmas,,Event11_pointtask01,31,"[1872,10]",UI_common_scene_task_building,ui_event11_snowman,60,0,,
1012,2211MagicChristmas,,Event11_pointtask05,31,"[1832,1]",UI_common_scene_task_building,ui_event11_icesculpture,10,0,,
1013,2211MagicChristmas,,Event11_pointtask05,31,"[1832,3]",UI_common_scene_task_building,ui_event11_icesculpture,20,0,,
1014,2211MagicChristmas,,Event11_pointtask05,31,"[1832,5]",UI_common_scene_task_building,ui_event11_icesculpture,40,0,,
1015,2211MagicChristmas,,Event11_021Repairice_icon1,31,"[1856,1]",UI_common_scene_task_building,ui_event11_totem,10,0,,
1016,2211MagicChristmas,,Event11_021Repairice_icon1,31,"[1856,3]",UI_common_scene_task_building,ui_event11_totem,30,0,,
1017,2211MagicChristmas,,Event11_021Repairice_icon1,31,"[1856,6]",UI_common_scene_task_building,ui_event11_totem,50,0,,
1018,2211MagicChristmas,,Event11_035Lighthouse_icon1,7,"[27326,1]",UI_common_scene_task_cooking,cynthiahat_27330,20,0,,
1019,2211MagicChristmas,,Event11_005Magicclothes2,7,"[27327,1]",UI_common_scene_task_cooking,cynthiadress_27331,20,0,,
1020,2211MagicChristmas,,cynthiaskirt_27332,7,"[27328,1]",UI_common_scene_task_cooking,cynthiaskirt_27332,20,0,,
1021,2211MagicChristmas,,cynthiashoes_27333,7,"[27329,1]",UI_common_scene_task_cooking,cynthiashoes_27333,20,0,,
1101,2301DragonZoo,,Event12_000DragonZoo,28,"[""2301DragonZoo""]",UI_common_scene_task_go,UI_2301DragonZoo_title,20,0,,
1102,2301DragonZoo,,Event5_036photograph_icon1,31,"[1976,1]",UI_common_scene_task_building,ui_event12_camera1,20,0,,
1103,2301DragonZoo,,Event5_036photograph_icon1,31,"[1976,3]",UI_common_scene_task_building,ui_event12_camera1,30,0,,
1104,2301DragonZoo,,Event5_036photograph_icon1,31,"[1976,6]",UI_common_scene_task_building,ui_event12_camera1,50,0,,
1105,2301DragonZoo,,Event12_ticketbox,31,"[1982,1]",UI_common_scene_task_building,ui_event12_ticketbox1,20,0,,
1106,2301DragonZoo,,Event12_ticketbox,31,"[1982,3]",UI_common_scene_task_building,ui_event12_ticketbox1,30,0,,
1107,2301DragonZoo,,Event12_ticketbox,31,"[1982,6]",UI_common_scene_task_building,ui_event12_ticketbox1,50,0,,
1108,2301DragonZoo,,Event4_006WishesMachine2_icon1,37,"[1,""2301DragonZoo"",41]",UI_2205DragonMuseum_task10,,10,0,,
1109,2301DragonZoo,,Event4_006WishesMachine2_icon1,37,"[30,""2301DragonZoo"",41]",UI_2205DragonMuseum_task10,,30,0,,
1110,2301DragonZoo,,Event8_009StoreCar_icon1,31,"[1991,1]",UI_common_scene_task_building,ui_event12_fabriccar1,20,0,,
1111,2301DragonZoo,,Event8_009StoreCar_icon1,31,"[1991,4]",UI_common_scene_task_building,ui_event12_fabriccar1,40,0,,
1112,2301DragonZoo,,Event8_007Carrousel_icon2,2,"[4767,5]",UI_common_scene_task_product,item_4767,10,0,,
1113,2301DragonZoo,,Event8_007Carrousel_icon2,2,"[4767,20]",UI_common_scene_task_product,item_4767,40,0,,
1114,2301DragonZoo,,Event12_010Sourceofwater1_icon3,31,"[1988,1]",UI_common_scene_task_building,ui_event12_fountain1,20,0,,
1115,2301DragonZoo,,Event12_010Sourceofwater1_icon3,31,"[1988,3]",UI_common_scene_task_building,ui_event12_fountain1,40,0,,
1116,2301DragonZoo,,Event12_019GoByBoat_icon3,31,"[1963,1]",UI_common_scene_task_building,ui_event12_boat1,20,0,,
