id,iconWay,icon,MissionType,taskNeed,point,unlockLevel,unlockTask,weight,key,activityId
11026,item,item_butterBread,11,"[3041,1,2]","[44,88]",19,,100,ui_dragonSeason_task_info_produce_title,
11027,item,item_hardMudLump,11,"[3019,2,3,5]","[24,36,60]",99,,100,ui_dragonSeason_task_info_produce_title,
11028,item,item_knittingWool,11,"[3013,2,3,5]","[25,40,50]",20,,100,ui_dragonSeason_task_info_produce_title,
11030,item,item_strawberryDoughnut,11,"[3052,1]",[79],21,,100,ui_dragonSeason_task_info_produce_title,
11031,item,item_cottonThread,11,"[3014,2,3,5]","[25,40,50]",22,,100,ui_dragonSeason_task_info_produce_title,
11032,item,item_cloth,11,"[3023,2,3,5]","[34,51,85]",22,,100,ui_dragonSeason_task_info_produce_title,
11033,item,item_shirt,11,"[3029,1]",[65],24,,100,ui_dragonSeason_task_info_produce_title,
11034,item,item_sweater,11,"[3028,1,2]","[40,80]",25,,100,ui_dragonSeason_task_info_produce_title,
11035,item,item_BlueberryJuice,11,"[3025,2,3,5]","[34,51,85]",25,,100,ui_dragonSeason_task_info_produce_title,
11036,item,item_pants,11,"[3030,1]",[97],26,,100,ui_dragonSeason_task_info_produce_title,
11037,item,item_appleJam,11,"[3026,2,3,5]","[34,51,85]",99,,100,ui_dragonSeason_task_info_produce_title,
11038,item,item_appleDoughnut,11,"[3054,1]",[79],99,,100,ui_dragonSeason_task_info_produce_title,
11039,item,item_goldCarving,11,"[3027,1,2]","[45,90]",99,,100,ui_dragonSeason_task_info_produce_title,
11040,item,item_blueberryDoughnut,11,"[3053,1]",[79],27,,100,ui_dragonSeason_task_info_produce_title,
11041,item,item_cottonClothes,11,"[3040,1]",[90],28,,100,ui_dragonSeason_task_info_produce_title,
11045,item,item_cement,11,"[3038,1,2]","[40,80]",99,,100,ui_dragonSeason_task_info_produce_title,
11048,item,item_tile,11,"[3044,1]",[100],99,,100,ui_dragonSeason_task_info_produce_title,
27001,task,common/Balloon_mission_icon,44,[1],[60],11,,60,ui_dragonSeason_task_info_dragonQuest_title,
27002,task,common/Balloon_mission_icon,44,[2],[120],11,,30,ui_dragonSeason_task_info_dragonQuest_title,
27003,task,common/Balloon_mission_icon,44,[3],[200],11,,10,ui_dragonSeason_task_info_dragonQuest_title,
39001,task,common/Description_001FindOrderboard_sub2,3,[1],[100],10,,60,ui_dragonSeason_task_info_order_title,
39002,task,common/Description_001FindOrderboard_sub2,3,[1],[150],10,,30,ui_dragonSeason_task_info_order_title,
40001,item,item_sandstone,40,"[5009,20]",[8],5,,100,ui_dragonSeason_task_info_dragonProduce_title,
40002,item,item_cork,40,"[5016,20]",[8],6,,100,ui_dragonSeason_task_info_dragonProduce_title,
40003,item,item_charcoal,40,"[5018,20]",[8],7,,100,ui_dragonSeason_task_info_dragonProduce_title,
40004,item,item_wheat,40,"[5001,20]",[8],7,,100,ui_dragonSeason_task_info_dragonProduce_title,
40005,item,item_rock,40,"[5011,30]",[10],13,,100,ui_dragonSeason_task_info_dragonProduce_title,
40006,item,item_copper_mine,40,"[5012,50]",[20],12,,100,ui_dragonSeason_task_info_dragonProduce_title,
40007,item,item_milk,40,"[5006,30]",[10],13,,100,ui_dragonSeason_task_info_dragonProduce_title,
40008,item,item_strawberry,40,"[5002,30]",[5],14,,100,ui_dragonSeason_task_info_dragonProduce_title,
40009,item,item_honey,40,"[5005,50]",[15],12,,100,ui_dragonSeason_task_info_dragonProduce_title,
40010,item,item_silverOre,40,"[5013,80]",[30],14,,100,ui_dragonSeason_task_info_dragonProduce_title,
40011,item,item_purpleSweetPotato,40,"[5008,30]",[10],15,,100,ui_dragonSeason_task_info_dragonProduce_title,
40012,item,item_hardwood,40,"[5015,30]",[10],16,,100,ui_dragonSeason_task_info_dragonProduce_title,
40013,item,item_goldOre,40,"[5014,90]",[45],17,,100,ui_dragonSeason_task_info_dragonProduce_title,
40014,item,item_clay,40,"[5010,30]",[15],19,,100,ui_dragonSeason_task_info_dragonProduce_title,
40015,item,item_wool,40,"[5007,45]",[30],18,,100,ui_dragonSeason_task_info_dragonProduce_title,
40016,item,item_caneVine,40,"[5017,30]",[7],22,,100,ui_dragonSeason_task_info_dragonProduce_title,
40017,item,item_blueberry,40,"[5003,30]",[7],20,,100,ui_dragonSeason_task_info_dragonProduce_title,
40018,item,item_apple,40,"[5004,30]",[15],99,,100,ui_dragonSeason_task_info_dragonProduce_title,
40019,item,item_ruby,40,"[5019,90]",[45],99,,100,ui_dragonSeason_task_info_dragonProduce_title,
40020,item,item_diamond,40,"[5022,120]",[60],99,,100,ui_dragonSeason_task_info_dragonProduce_title,
40021,item,item_sapphire,40,"[5020,80]",[40],99,,100,ui_dragonSeason_task_info_dragonProduce_title,
40022,item,item_emerald,40,"[5021,60]",[30],99,,100,ui_dragonSeason_task_info_dragonProduce_title,
40030,item,item_sandstone,40,"[5009,30]",[10],15,,100,ui_dragonSeason_task_info_dragonProduce_title,
40031,item,item_cork,40,"[5016,30]",[10],15,,100,ui_dragonSeason_task_info_dragonProduce_title,
40032,item,item_charcoal,40,"[5018,30]",[10],15,,100,ui_dragonSeason_task_info_dragonProduce_title,
40033,item,item_wheat,40,"[5001,30]",[10],15,,100,ui_dragonSeason_task_info_dragonProduce_title,
41001,task,common/task_costenergy,41,[1],[100],10,,100,ui_dragonSeason_task_info_sign_title,
45001,item,item_chelun,45,"[43004,1,2,3]","[30,60,90]",11,,100,ui_dragonSeason_task_info_limitproduce_title,8020
45002,item,item_chuanmao,45,"[43005,1,2]","[50,100]",11,,100,ui_dragonSeason_task_info_limitproduce_title,8020
45003,item,item_chezuo,45,"[43006,1]",[90],18,,100,ui_dragonSeason_task_info_limitproduce_title,8020
45004,item,item_nailao,45,"[43007,1]",[100],13,,100,ui_dragonSeason_task_info_limitproduce_title,8020
45005,item,item_chelun,45,"[43004,1,2,3]","[30,60,90]",11,,100,ui_dragonSeason_task_info_limitproduce_title,8030
45006,item,item_chuanmao,45,"[43005,1,2]","[50,100]",11,,100,ui_dragonSeason_task_info_limitproduce_title,8030
45007,item,item_chezuo,45,"[43006,1]",[90],18,,100,ui_dragonSeason_task_info_limitproduce_title,8030
45008,item,item_nailao,45,"[43007,1]",[100],13,,100,ui_dragonSeason_task_info_limitproduce_title,8030
45009,item,item_chelun,45,"[43004,1,2,3]","[30,60,90]",11,,100,ui_dragonSeason_task_info_limitproduce_title,8040
45010,item,item_chuanmao,45,"[43005,1,2]","[50,100]",11,,100,ui_dragonSeason_task_info_limitproduce_title,8040
45011,item,item_chezuo,45,"[43006,1]",[90],18,,100,ui_dragonSeason_task_info_limitproduce_title,8040
45012,item,item_nailao,45,"[43007,1]",[100],13,,100,ui_dragonSeason_task_info_limitproduce_title,8040
45013,item,item_chelun,45,"[43004,1,2,3]","[30,60,90]",11,,100,ui_dragonSeason_task_info_limitproduce_title,8010
45014,item,item_chuanmao,45,"[43005,1,2]","[50,100]",11,,100,ui_dragonSeason_task_info_limitproduce_title,8010
45015,item,item_chezuo,45,"[43006,1]",[90],18,,100,ui_dragonSeason_task_info_limitproduce_title,8010
45016,item,item_nailao,45,"[43007,1]",[100],13,,100,ui_dragonSeason_task_info_limitproduce_title,8010
