id,type,activityId,rankInterval,score,scoreReward,giftIcon,valueType,
1002204,4,1002,"[21,30]",572,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1002205,4,1002,"[21,30]",780,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1002206,4,1002,"[21,30]",1014,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1002301,4,1002,"[31,40]",110,"[[30000,2]]",Renwu_Lanlh,,
1002302,4,1002,"[31,40]",396,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1002303,4,1002,"[31,40]",660,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1002304,4,1002,"[31,40]",968,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1002305,4,1002,"[31,40]",1320,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1002306,4,1002,"[31,40]",1716,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1002401,4,1002,"[41,59]",226,"[[30000,2]]",Renwu_Lanlh,,
1002402,4,1002,"[41,59]",508,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1002403,4,1002,"[41,59]",846,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1002404,4,1002,"[41,59]",1242,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1002405,4,1002,"[41,59]",1692,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1002406,4,1002,"[41,59]",2200,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1003101,4,1003,"[12,20]",28,"[[30000,2]]",Renwu_Lanlh,,
1003102,4,1003,"[12,20]",62,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1003103,4,1003,"[12,20]",102,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1003104,4,1003,"[12,20]",150,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1003105,4,1003,"[12,20]",204,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1003106,4,1003,"[12,20]",266,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1003201,4,1003,"[21,30]",74,"[[30000,2]]",Renwu_Lanlh,,
1003202,4,1003,"[21,30]",166,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1003203,4,1003,"[21,30]",276,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1003204,4,1003,"[21,30]",406,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1003205,4,1003,"[21,30]",552,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1003206,4,1003,"[21,30]",718,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1003301,4,1003,"[31,40]",102,"[[30000,2]]",Renwu_Lanlh,,
1003302,4,1003,"[31,40]",228,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1003303,4,1003,"[31,40]",378,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1003304,4,1003,"[31,40]",556,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1003305,4,1003,"[31,40]",756,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1003306,4,1003,"[31,40]",984,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1003401,4,1003,"[41,59]",152,"[[30000,2]]",Renwu_Lanlh,,
1003402,4,1003,"[41,59]",342,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1003403,4,1003,"[41,59]",570,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1003404,4,1003,"[41,59]",836,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1003405,4,1003,"[41,59]",1140,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1003406,4,1003,"[41,59]",1482,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1004101,4,1004,"[12,20]",26,"[[1003,5]]",Renwu_Lanlh,,
1004102,4,1004,"[12,20]",58,"[[1003,5]]",Renwu_Zilh,,
1004103,4,1004,"[12,20]",96,"[[1003,5]]",Renwu_Honglh,,
1004104,4,1004,"[12,20]",142,"[[1003,5]]",Renwu_Lanlh,,
1004105,4,1004,"[12,20]",192,"[[1003,5]]",Renwu_Zilh,,
1004106,4,1004,"[12,20]",250,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1004107,4,1004,"[12,20]",284,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1004108,4,1004,"[12,20]",329,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1004109,4,1004,"[12,20]",374,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1004110,4,1004,"[12,20]",419,"[[27677,1]]",Renwu_Lanlh,,
1004111,4,1004,"[12,20]",463,"[[1003,10],[30000,2],[1001,1]]",Renwu_Zilh,,
1004112,4,1004,"[12,20]",508,"[[1003,10],[30000,2],[1001,1]]",Renwu_Honglh,,
1004113,4,1004,"[12,20]",553,"[[1003,10],[30000,2],[1001,1]]",Renwu_Lanlh,,
1004114,4,1004,"[12,20]",598,"[[1003,10],[30000,2],[1001,1]]",Renwu_Zilh,,
1004115,4,1004,"[12,20]",643,"[[1003,10],[30000,2],[1001,1]]",Renwu_Honglh,,
1004201,4,1004,"[21,35]",60,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1004202,4,1004,"[21,35]",134,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1004203,4,1004,"[21,35]",222,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1004204,4,1004,"[21,35]",326,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1004205,4,1004,"[21,35]",444,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1004206,4,1004,"[21,35]",578,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1004207,4,1004,"[21,35]",656,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1004208,4,1004,"[21,35]",760,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1004209,4,1004,"[21,35]",863,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1004210,4,1004,"[21,35]",967,"[[27677,1]]",Renwu_Lanlh,,
1004211,4,1004,"[21,35]",1071,"[[1003,12],[30000,3],[1001,2]]",Renwu_Zilh,,
1004212,4,1004,"[21,35]",1174,"[[1003,12],[30000,3],[1001,2]]",Renwu_Honglh,,
1004213,4,1004,"[21,35]",1278,"[[1003,12],[30000,3],[1001,2]]",Renwu_Lanlh,,
1004214,4,1004,"[21,35]",1381,"[[1003,12],[30000,3],[1001,2]]",Renwu_Zilh,,
1004215,4,1004,"[21,35]",1485,"[[1003,12],[30000,3],[1001,2]]",Renwu_Honglh,,
1004301,4,1004,"[36,59]",98,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1004302,4,1004,"[36,59]",220,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1004303,4,1004,"[36,59]",366,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1004304,4,1004,"[36,59]",538,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1004305,4,1004,"[36,59]",732,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1004306,4,1004,"[36,59]",952,"[[1003,12],[30000,3]]",Renwu_Honglh,,
1004307,4,1004,"[36,59]",1082,"[[1003,12],[30000,3]]",Renwu_Lanlh,,
1004308,4,1004,"[36,59]",1253,"[[1003,12],[30000,3]]",Renwu_Zilh,,
1004309,4,1004,"[36,59]",1424,"[[1003,12],[30000,3]]",Renwu_Honglh,,
1004310,4,1004,"[36,59]",1595,"[[27677,1]]",Renwu_Lanlh,,
1004311,4,1004,"[36,59]",1765,"[[1003,15],[30000,6],[1001,5]]",Renwu_Zilh,,
1004312,4,1004,"[36,59]",1936,"[[1003,15],[30000,6],[1001,5]]",Renwu_Honglh,,
1004313,4,1004,"[36,59]",2107,"[[1003,15],[30000,6],[1001,5]]",Renwu_Lanlh,,
1004314,4,1004,"[36,59]",2278,"[[1003,15],[30000,6],[1001,5]]",Renwu_Zilh,,
1004315,4,1004,"[36,59]",2449,"[[1003,15],[30000,6],[1001,5]]",Renwu_Honglh,,
1005101,4,1011,"[12,20]",26,"[[1003,5]]",Renwu_Lanlh,,
1005102,4,1011,"[12,20]",58,"[[1003,5]]",Renwu_Zilh,,
1005103,4,1011,"[12,20]",96,"[[1003,5]]",Renwu_Honglh,,
1005104,4,1011,"[12,20]",142,"[[1003,5]]",Renwu_Lanlh,,
1005105,4,1011,"[12,20]",192,"[[1003,5]]",Renwu_Zilh,,
1005106,4,1011,"[12,20]",250,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1005107,4,1011,"[12,20]",284,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1005108,4,1011,"[12,20]",329,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1005109,4,1011,"[12,20]",374,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1005110,4,1011,"[12,20]",419,"[[27661,1]]",Renwu_Lanlh,,
1005111,4,1011,"[12,20]",463,"[[1003,10],[30000,2],[1001,1]]",Renwu_Zilh,,
1005112,4,1011,"[12,20]",508,"[[1003,10],[30000,2],[1001,1]]",Renwu_Honglh,,
1005113,4,1011,"[12,20]",553,"[[1003,10],[30000,2],[1001,1]]",Renwu_Lanlh,,
1005114,4,1011,"[12,20]",598,"[[1003,10],[30000,2],[1001,1]]",Renwu_Zilh,,
1005115,4,1011,"[12,20]",643,"[[1003,10],[30000,2],[1001,1]]",Renwu_Honglh,,
1005201,4,1011,"[21,35]",60,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1005202,4,1011,"[21,35]",134,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1005203,4,1011,"[21,35]",222,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1005204,4,1011,"[21,35]",326,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1005205,4,1011,"[21,35]",444,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1005206,4,1011,"[21,35]",578,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1005207,4,1011,"[21,35]",656,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1005208,4,1011,"[21,35]",760,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1005209,4,1011,"[21,35]",863,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1005210,4,1011,"[21,35]",967,"[[27661,1]]",Renwu_Lanlh,,
1005211,4,1011,"[21,35]",1071,"[[1003,12],[30000,3],[1001,2]]",Renwu_Zilh,,
1005212,4,1011,"[21,35]",1174,"[[1003,12],[30000,3],[1001,2]]",Renwu_Honglh,,
1005213,4,1011,"[21,35]",1278,"[[1003,12],[30000,3],[1001,2]]",Renwu_Lanlh,,
1005214,4,1011,"[21,35]",1381,"[[1003,12],[30000,3],[1001,2]]",Renwu_Zilh,,
1005215,4,1011,"[21,35]",1485,"[[1003,12],[30000,3],[1001,2]]",Renwu_Honglh,,
1005301,4,1011,"[36,59]",98,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1005302,4,1011,"[36,59]",220,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1005303,4,1011,"[36,59]",366,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1005304,4,1011,"[36,59]",538,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1005305,4,1011,"[36,59]",732,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1005306,4,1011,"[36,59]",952,"[[1003,12],[30000,3]]",Renwu_Honglh,,
1005307,4,1011,"[36,59]",1082,"[[1003,12],[30000,3]]",Renwu_Lanlh,,
1005308,4,1011,"[36,59]",1253,"[[1003,12],[30000,3]]",Renwu_Zilh,,
1005309,4,1011,"[36,59]",1424,"[[1003,12],[30000,3]]",Renwu_Honglh,,
1005310,4,1011,"[36,59]",1595,"[[27661,1]]",Renwu_Lanlh,,
1005311,4,1011,"[36,59]",1765,"[[1003,15],[30000,6],[1001,5]]",Renwu_Zilh,,
1005312,4,1011,"[36,59]",1936,"[[1003,15],[30000,6],[1001,5]]",Renwu_Honglh,,
1005313,4,1011,"[36,59]",2107,"[[1003,15],[30000,6],[1001,5]]",Renwu_Lanlh,,
1005314,4,1011,"[36,59]",2278,"[[1003,15],[30000,6],[1001,5]]",Renwu_Zilh,,
1005315,4,1011,"[36,59]",2449,"[[1003,15],[30000,6],[1001,5]]",Renwu_Honglh,,
1006101,4,1012,"[12,20]",26,"[[1003,5]]",Renwu_Lanlh,,
1006102,4,1012,"[12,20]",58,"[[1003,5]]",Renwu_Zilh,,
1006103,4,1012,"[12,20]",96,"[[1003,5]]",Renwu_Honglh,,
1006104,4,1012,"[12,20]",142,"[[1003,5]]",Renwu_Lanlh,,
1006105,4,1012,"[12,20]",192,"[[1003,5]]",Renwu_Zilh,,
1006106,4,1012,"[12,20]",250,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1006107,4,1012,"[12,20]",284,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1006108,4,1012,"[12,20]",329,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1006109,4,1012,"[12,20]",374,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1006110,4,1012,"[12,20]",419,"[[27663,1]]",Renwu_Lanlh,,
1006111,4,1012,"[12,20]",463,"[[1003,10],[30000,2],[1001,1]]",Renwu_Zilh,,
1006112,4,1012,"[12,20]",508,"[[1003,10],[30000,2],[1001,1]]",Renwu_Honglh,,
1006113,4,1012,"[12,20]",553,"[[1003,10],[30000,2],[1001,1]]",Renwu_Lanlh,,
1006114,4,1012,"[12,20]",598,"[[1003,10],[30000,2],[1001,1]]",Renwu_Zilh,,
1006115,4,1012,"[12,20]",643,"[[1003,10],[30000,2],[1001,1]]",Renwu_Honglh,,
1006201,4,1012,"[21,35]",60,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1006202,4,1012,"[21,35]",134,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1006203,4,1012,"[21,35]",222,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1006204,4,1012,"[21,35]",326,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1006205,4,1012,"[21,35]",444,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1006206,4,1012,"[21,35]",578,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1006207,4,1012,"[21,35]",656,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1006208,4,1012,"[21,35]",760,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1006209,4,1012,"[21,35]",863,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1006210,4,1012,"[21,35]",967,"[[27663,1]]",Renwu_Lanlh,,
1006211,4,1012,"[21,35]",1071,"[[1003,12],[30000,3],[1001,2]]",Renwu_Zilh,,
1006212,4,1012,"[21,35]",1174,"[[1003,12],[30000,3],[1001,2]]",Renwu_Honglh,,
1006213,4,1012,"[21,35]",1278,"[[1003,12],[30000,3],[1001,2]]",Renwu_Lanlh,,
1006214,4,1012,"[21,35]",1381,"[[1003,12],[30000,3],[1001,2]]",Renwu_Zilh,,
1006215,4,1012,"[21,35]",1485,"[[1003,12],[30000,3],[1001,2]]",Renwu_Honglh,,
1006301,4,1012,"[36,59]",98,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1006302,4,1012,"[36,59]",220,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1006303,4,1012,"[36,59]",366,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1006304,4,1012,"[36,59]",538,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1006305,4,1012,"[36,59]",732,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1006306,4,1012,"[36,59]",952,"[[1003,12],[30000,3]]",Renwu_Honglh,,
1006307,4,1012,"[36,59]",1082,"[[1003,12],[30000,3]]",Renwu_Lanlh,,
1006308,4,1012,"[36,59]",1253,"[[1003,12],[30000,3]]",Renwu_Zilh,,
1006309,4,1012,"[36,59]",1424,"[[1003,12],[30000,3]]",Renwu_Honglh,,
1006310,4,1012,"[36,59]",1595,"[[27663,1]]",Renwu_Lanlh,,
1006311,4,1012,"[36,59]",1765,"[[1003,15],[30000,6],[1001,5]]",Renwu_Zilh,,
1006312,4,1012,"[36,59]",1936,"[[1003,15],[30000,6],[1001,5]]",Renwu_Honglh,,
1006313,4,1012,"[36,59]",2107,"[[1003,15],[30000,6],[1001,5]]",Renwu_Lanlh,,
1006314,4,1012,"[36,59]",2278,"[[1003,15],[30000,6],[1001,5]]",Renwu_Zilh,,
1006315,4,1012,"[36,59]",2449,"[[1003,15],[30000,6],[1001,5]]",Renwu_Honglh,,
1007101,4,1013,"[12,20]",26,"[[1003,5]]",Renwu_Lanlh,,
1007102,4,1013,"[12,20]",58,"[[1003,5]]",Renwu_Zilh,,
1007103,4,1013,"[12,20]",96,"[[1003,5]]",Renwu_Honglh,,
1007104,4,1013,"[12,20]",142,"[[1003,5]]",Renwu_Lanlh,,
1007105,4,1013,"[12,20]",192,"[[1003,5]]",Renwu_Zilh,,
1007106,4,1013,"[12,20]",250,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1007107,4,1013,"[12,20]",284,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1007108,4,1013,"[12,20]",329,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1007109,4,1013,"[12,20]",374,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1007110,4,1013,"[12,20]",419,"[[27674,1]]",Renwu_Lanlh,,
1007111,4,1013,"[12,20]",463,"[[1003,10],[30000,2],[1001,1]]",Renwu_Zilh,,
1007112,4,1013,"[12,20]",508,"[[1003,10],[30000,2],[1001,1]]",Renwu_Honglh,,
1007113,4,1013,"[12,20]",553,"[[1003,10],[30000,2],[1001,1]]",Renwu_Lanlh,,
1007114,4,1013,"[12,20]",598,"[[1003,10],[30000,2],[1001,1]]",Renwu_Zilh,,
1007115,4,1013,"[12,20]",643,"[[1003,10],[30000,2],[1001,1]]",Renwu_Honglh,,
1007201,4,1013,"[21,35]",60,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1007202,4,1013,"[21,35]",134,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1007203,4,1013,"[21,35]",222,"[[1003,8],[30000,1]]",Renwu_Honglh,,
1007204,4,1013,"[21,35]",326,"[[1003,8],[30000,1]]",Renwu_Lanlh,,
1007205,4,1013,"[21,35]",444,"[[1003,8],[30000,1]]",Renwu_Zilh,,
1007206,4,1013,"[21,35]",578,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1007207,4,1013,"[21,35]",656,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1007208,4,1013,"[21,35]",760,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1007209,4,1013,"[21,35]",863,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1007210,4,1013,"[21,35]",967,"[[27674,1]]",Renwu_Lanlh,,
1007211,4,1013,"[21,35]",1071,"[[1003,12],[30000,3],[1001,2]]",Renwu_Zilh,,
1007212,4,1013,"[21,35]",1174,"[[1003,12],[30000,3],[1001,2]]",Renwu_Honglh,,
1007213,4,1013,"[21,35]",1278,"[[1003,12],[30000,3],[1001,2]]",Renwu_Lanlh,,
1007214,4,1013,"[21,35]",1381,"[[1003,12],[30000,3],[1001,2]]",Renwu_Zilh,,
1007215,4,1013,"[21,35]",1485,"[[1003,12],[30000,3],[1001,2]]",Renwu_Honglh,,
1007301,4,1013,"[36,59]",98,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1007302,4,1013,"[36,59]",220,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1007303,4,1013,"[36,59]",366,"[[1003,10],[30000,2]]",Renwu_Honglh,,
1007304,4,1013,"[36,59]",538,"[[1003,10],[30000,2]]",Renwu_Lanlh,,
1007305,4,1013,"[36,59]",732,"[[1003,10],[30000,2]]",Renwu_Zilh,,
1007306,4,1013,"[36,59]",952,"[[1003,12],[30000,3]]",Renwu_Honglh,,
1007307,4,1013,"[36,59]",1082,"[[1003,12],[30000,3]]",Renwu_Lanlh,,
1007308,4,1013,"[36,59]",1253,"[[1003,12],[30000,3]]",Renwu_Zilh,,
1007309,4,1013,"[36,59]",1424,"[[1003,12],[30000,3]]",Renwu_Honglh,,
1007310,4,1013,"[36,59]",1595,"[[27674,1]]",Renwu_Lanlh,,
1007311,4,1013,"[36,59]",1765,"[[1003,15],[30000,6],[1001,5]]",Renwu_Zilh,,
1007312,4,1013,"[36,59]",1936,"[[1003,15],[30000,6],[1001,5]]",Renwu_Honglh,,
1007313,4,1013,"[36,59]",2107,"[[1003,15],[30000,6],[1001,5]]",Renwu_Lanlh,,
1007314,4,1013,"[36,59]",2278,"[[1003,15],[30000,6],[1001,5]]",Renwu_Zilh,,
1007315,4,1013,"[36,59]",2449,"[[1003,15],[30000,6],[1001,5]]",Renwu_Honglh,,
1008101,4,1014,"[12,20]",16,"[[30000,2]]",Renwu_Lanlh,,
1008102,4,1014,"[12,20]",36,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1008103,4,1014,"[12,20]",60,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1008104,4,1014,"[12,20]",88,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1008105,4,1014,"[12,20]",120,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1008106,4,1014,"[12,20]",156,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1008201,4,1014,"[21,30]",64,"[[30000,2]]",Renwu_Lanlh,,
1008202,4,1014,"[21,30]",144,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1008203,4,1014,"[21,30]",240,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1008204,4,1014,"[21,30]",352,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1008205,4,1014,"[21,30]",480,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1008206,4,1014,"[21,30]",624,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1008301,4,1014,"[31,40]",136,"[[30000,2]]",Renwu_Lanlh,,
1008302,4,1014,"[31,40]",306,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1008303,4,1014,"[31,40]",510,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1008304,4,1014,"[31,40]",748,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1008305,4,1014,"[31,40]",1020,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1008306,4,1014,"[31,40]",1326,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
1008401,4,1014,"[41,59]",238,"[[30000,2]]",Renwu_Lanlh,,
1008402,4,1014,"[41,59]",534,"[[30000,3],[1003,10]]",Renwu_Zilh,,
1008403,4,1014,"[41,59]",888,"[[30000,5],[1003,15]]",Renwu_Honglh,,
1008404,4,1014,"[41,59]",1304,"[[30000,5],[1003,30],[1001,2]]",Renwu_Lanlh,,
1008405,4,1014,"[41,59]",1776,"[[30000,5],[1003,50],[1001,3]]",Renwu_Zilh,,
1008406,4,1014,"[41,59]",2310,"[[30000,10],[1003,80],[1001,5]]",Renwu_Honglh,,
10001101,5,10001,"[10,15]",80,"[[1003,30]]",Renwu_Lanlh,,
10001102,5,10001,"[10,15]",240,"[[1002,300]]",Renwu_Zilh,,
10001103,5,10001,"[10,15]",640,"[[1003,50]]",Renwu_Honglh,,
10001104,5,10001,"[10,15]",1040,"[[1002,300]]",Renwu_Lanlh,,
10001105,5,10001,"[10,15]",2000,"[[11001,1]]",Renwu_Honglh,,
10001106,5,10001,"[10,15]",2400,"[[1003,30]]",Renwu_Zilh,,
10001107,5,10001,"[10,15]",2800,"[[1002,500]]",Renwu_Zilh,,
10001108,5,10001,"[10,15]",3200,"[[1003,50]]",Renwu_Lanlh,,
10001109,5,10001,"[10,15]",3600,"[[1002,500]]",Renwu_Honglh,,
10001110,5,10001,"[10,15]",4400,"[[1001,10]]",Renwu_Zilh,,
10001111,5,10001,"[10,15]",4800,"[[1003,30]]",Renwu_Zilh,,
10001112,5,10001,"[10,15]",5200,"[[1002,500]]",Renwu_Zilh,,
10001113,5,10001,"[10,15]",5600,"[[1003,50]]",Renwu_Lanlh,,
10001114,5,10001,"[10,15]",6000,"[[1002,500]]",Renwu_Zilh,,
10001115,5,10001,"[10,15]",6400,"[[1003,50]]",Renwu_Honglh,,
10001116,5,10001,"[10,15]",8000,"[[1001,50]]",Renwu_Lanlh,,
10001117,5,10001,"[16,25]",100,"[[1003,30]]",Renwu_Lanlh,,
