id,workFlyTime,flyRadius,flyTime,showProbability,collectTime,work,
141042,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141043,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141044,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141051,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141052,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141053,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141054,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141061,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141062,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141063,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141064,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141071,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141072,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141073,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141074,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141081,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141082,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141083,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141084,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141091,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141092,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141093,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141094,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141101,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141102,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141103,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141104,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141201,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141202,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141203,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141204,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141301,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141302,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141303,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141304,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141401,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141402,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141403,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141404,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141501,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141502,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141503,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141504,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141601,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141602,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141603,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141604,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141701,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141702,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141703,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141704,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141801,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141802,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141803,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141804,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141901,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141902,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141903,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
141904,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142001,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142002,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142003,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142004,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142101,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142102,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142103,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142104,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142201,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142202,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142203,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142204,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142301,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142302,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142303,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142304,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142401,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142402,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142403,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142404,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142501,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142502,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142503,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142504,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142601,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142602,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142603,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142604,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142701,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142702,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142703,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142704,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142801,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142802,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142803,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142804,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142901,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142902,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142903,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
142904,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143001,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143002,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143003,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143004,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143101,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143102,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143103,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143104,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143201,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143202,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143203,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143204,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143301,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143302,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143303,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143304,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143401,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143402,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143403,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143404,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143501,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143502,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143503,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143504,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143701,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143702,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143703,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143704,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143801,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143802,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143803,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143804,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143901,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143902,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143903,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
143904,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
144001,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
144002,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
144003,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
144004,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
144101,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
144102,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
144103,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
144104,"[2,5]","[2,4]","[5,10]",0.3,"[30,60]",,
