id,type,star,upperlevel,upthepower,productNum,expNum,skillid,item,model,component,produceTimeReduce,workAnimType
23,104,5,12,24,12,4,,"[[81004,25]]",Elina01_star4,body_parts_104_4,0.06,0
24,104,6,0,30,15,5,[9],[],Elina01_star5,body_parts_104_5,0.07,0
25,105,1,5,0,0,0,"[1300,1350,1400]","[[81005,5]]",dwarfd01,,0.02,0
26,105,2,7,6,3,1,,"[[81005,10]]",dwarfd01_star1,body_parts_105_1,0.03,0
27,105,3,9,12,6,2,,"[[81005,15]]",dwarfd01_star2,body_parts_105_2,0.04,0
28,105,4,10,18,9,3,,"[[81005,20]]",dwarfd01_star3,body_parts_105_3,0.05,0
29,105,5,12,24,12,4,,"[[81005,25]]",dwarfd01_star4,body_parts_105_4,0.06,0
30,105,6,0,30,15,5,[9],[],dwarfd01_star5,body_parts_105_5,0.07,0
31,106,1,5,0,0,0,"[1300,1350,1400]","[[81006,5]]",snowwhite01,,0.02,0
32,106,2,7,6,3,1,,"[[81006,10]]",snowwhite01_star1,body_parts_106_1,0.03,0
33,106,3,9,12,6,2,,"[[81006,15]]",snowwhite01_star2,body_parts_106_2,0.04,0
34,106,4,10,18,9,3,,"[[81006,20]]",snowwhite01_star3,body_parts_106_3,0.05,0
35,106,5,12,24,12,4,,"[[81006,25]]",snowwhite01_star4,body_parts_106_4,0.06,0
36,106,6,0,30,15,5,[9],[],snowwhite01_star5,body_parts_106_5,0.07,0
37,107,1,5,0,0,0,"[1300,1350,1400]","[[81007,5]]",snowwhitemom01,,0.02,0
38,107,2,7,6,3,1,,"[[81007,10]]",snowwhitemom01_star1,body_parts_107_1,0.03,0
39,107,3,9,12,6,2,,"[[81007,15]]",snowwhitemom01_star2,body_parts_107_2,0.04,0
40,107,4,10,18,9,3,,"[[81007,20]]",snowwhitemom01_star3,body_parts_107_3,0.05,0
41,107,5,12,24,12,4,,"[[81007,25]]",snowwhitemom01_star4,body_parts_107_4,0.06,0
42,107,6,0,30,15,5,[9],[],snowwhitemom01_star5,body_parts_107_5,0.07,0
43,108,1,5,0,0,0,"[1300,1350,1400]","[[81008,5]]",princeflorian01,,0.02,0
44,108,2,7,6,3,1,,"[[81008,10]]",princeflorian01_star1,body_parts_108_1,0.03,0
45,108,3,9,12,6,2,,"[[81008,15]]",princeflorian01_star2,body_parts_108_2,0.04,0
46,108,4,10,18,9,3,,"[[81008,20]]",princeflorian01_star3,body_parts_108_3,0.05,0
47,108,5,12,24,12,4,,"[[81008,25]]",princeflorian01_star4,body_parts_108_4,0.06,0
48,108,6,0,30,15,5,[9],[],princeflorian01_star5,body_parts_108_5,0.07,0
49,109,1,5,0,0,0,"[1300,1350,1400]","[[81009,5]]",sorcererguilty01,,0.02,0
50,109,2,7,6,3,1,,"[[81009,10]]",sorcererguilty01_star1,body_parts_109_1,0.03,0
51,109,3,9,12,6,2,,"[[81009,15]]",sorcererguilty01_star2,body_parts_109_2,0.04,0
52,109,4,10,18,9,3,,"[[81009,20]]",sorcererguilty01_star3,body_parts_109_3,0.05,0
53,109,5,12,24,12,4,,"[[81009,25]]",sorcererguilty01_star4,body_parts_109_4,0.06,0
54,109,6,0,30,15,5,[9],[],sorcererguilty01_star5,body_parts_109_5,0.07,0
55,110,1,5,0,0,0,"[1300,1350,1400]","[[81010,5]]",cinderella01,,0.02,0
56,110,2,7,6,3,1,,"[[81010,10]]",cinderella01_star1,body_parts_110_1,0.03,0
57,110,3,9,12,6,2,,"[[81010,15]]",cinderella01_star2,body_parts_110_2,0.04,0
58,110,4,10,18,9,3,,"[[81010,20]]",cinderella01_star3,body_parts_110_3,0.05,0
59,110,5,12,24,12,4,,"[[81010,25]]",cinderella01_star4,body_parts_110_4,0.06,0
60,110,6,0,30,15,5,[9],[],cinderella01_star5,body_parts_110_5,0.07,0
163,112,1,5,0,0,0,"[1300,1350,1400]","[[81012,5]]",ericwithdagger01,,0.02,0
164,112,2,7,6,3,1,,"[[81012,10]]",ericwithdagger01_star1,body_parts_112_1,0.03,0
165,112,3,9,12,6,2,,"[[81012,15]]",ericwithdagger01_star2,body_parts_112_2,0.04,0
166,112,4,10,18,9,3,,"[[81012,20]]",ericwithdagger01_star3,body_parts_112_3,0.05,0
167,112,5,12,24,12,4,,"[[81012,25]]",ericwithdagger01_star4,body_parts_112_4,0.06,0
168,112,6,0,30,15,5,[9],[],ericwithdagger01_star5,body_parts_112_5,0.07,0
113001,113,1,5,0,0,0,"[1300,1350,1400]","[[81013,5]]",mermaidalana01,,0.02,0
113002,113,2,7,6,3,1,,"[[81013,10]]",mermaidalana01_star1,body_parts_113_1,0.03,0
113003,113,3,9,12,6,2,,"[[81013,15]]",mermaidalana01_star2,body_parts_113_2,0.04,0
113004,113,4,10,18,9,3,,"[[81013,20]]",mermaidalana01_star3,body_parts_113_3,0.05,0
113005,113,5,12,24,12,4,,"[[81013,25]]",mermaidalana01_star4,body_parts_113_4,0.06,0
113006,113,6,0,30,15,5,[9],[],mermaidalana01_star5,body_parts_113_5,0.07,0
114001,114,1,5,0,0,0,"[1300,1350,1400]","[[81014,5]]",priestessava01,,0.02,0
114002,114,2,7,6,3,1,,"[[81014,10]]",priestessava01_star1,body_parts_114_1,0.03,0
114003,114,3,9,12,6,2,,"[[81014,15]]",priestessava01_star2,body_parts_114_2,0.04,0
114004,114,4,10,18,9,3,,"[[81014,20]]",priestessava01_star3,body_parts_114_3,0.05,0
114005,114,5,12,24,12,4,,"[[81014,25]]",priestessava01_star4,body_parts_114_4,0.06,0
114006,114,6,0,30,15,5,[9],[],priestessava01_star5,body_parts_114_5,0.07,0
115001,115,1,5,0,0,0,"[1300,1350,1400]","[[81015,5]]",,,0.02,0
115002,115,2,7,6,3,1,,"[[81015,10]]",,,0.03,0
115003,115,3,9,12,6,2,,"[[81015,15]]",,,0.04,0
115004,115,4,10,18,9,3,,"[[81015,20]]",,,0.05,0
115005,115,5,12,24,12,4,,"[[81015,25]]",,,0.06,0
115006,115,6,0,30,15,5,[9],[],,,0.07,0
116001,116,1,5,0,0,0,"[1300,1350,1400]","[[81016,5]]",,,0.02,0
116002,116,2,7,6,3,1,,"[[81016,10]]",,,0.03,0
116003,116,3,9,12,6,2,,"[[81016,15]]",,,0.04,0
116004,116,4,10,18,9,3,,"[[81016,20]]",,,0.05,0
116005,116,5,12,24,12,4,,"[[81016,25]]",,,0.06,0
116006,116,6,0,30,15,5,[9],[],,,0.07,0
117001,117,1,5,0,0,0,"[1300,1350,1400]","[[81017,5]]",princefinn01,,0.02,0
117002,117,2,7,6,3,1,,"[[81017,10]]",princefinn01_star1,body_parts_117_1,0.03,0
117003,117,3,9,12,6,2,,"[[81017,15]]",princefinn01_star2,body_parts_117_2,0.04,0
117004,117,4,10,18,9,3,,"[[81017,20]]",princefinn01_star3,body_parts_117_3,0.05,0
117005,117,5,12,24,12,4,,"[[81017,25]]",princefinn01_star4,body_parts_117_4,0.06,0
117006,117,6,0,30,15,5,[9],[],princefinn01_star5,body_parts_117_5,0.07,0
118001,118,1,5,0,0,0,"[1300,1350,1400]","[[81018,5]]",,,0.02,0
118002,118,2,7,6,3,1,,"[[81018,10]]",,,0.03,0
118003,118,3,9,12,6,2,,"[[81018,15]]",,,0.04,0
118004,118,4,10,18,9,3,,"[[81018,20]]",,,0.05,0
118005,118,5,12,24,12,4,,"[[81018,25]]",,,0.06,0
118006,118,6,0,30,15,5,[9],[],,,0.07,0
119001,119,1,5,0,0,0,"[1300,1350,1400]","[[81019,5]]",,,0.02,0
119002,119,2,7,6,3,1,,"[[81019,10]]",,,0.03,0
119003,119,3,9,12,6,2,,"[[81019,15]]",,,0.04,0
119004,119,4,10,18,9,3,,"[[81019,20]]",,,0.05,0
119005,119,5,12,24,12,4,,"[[81019,25]]",,,0.06,0
119006,119,6,0,30,15,5,[9],[],,,0.07,0
120001,120,1,5,0,0,0,"[1300,1350,1400]","[[81020,5]]",,,0.02,0
120002,120,2,7,6,3,1,,"[[81020,10]]",,,0.03,0
120003,120,3,9,12,6,2,,"[[81020,15]]",,,0.04,0
120004,120,4,10,18,9,3,,"[[81020,20]]",,,0.05,0
120005,120,5,12,24,12,4,,"[[81020,25]]",,,0.06,0
120006,120,6,0,30,15,5,[9],[],,,0.07,0
61,111,1,2,0,0,0,"[1300,1350,1400]","[[81011,10]]",Lacey01,,0.1,0
62,111,2,4,8,3,10,,"[[81011,20]]",Lacey01_star1,body_parts_111_1,0.12,0
63,111,3,6,16,6,20,,"[[81011,30]]",Lacey01_star2,body_parts_111_2,0.14,0
64,111,4,8,24,9,30,[10],"[[81011,40]]",Lacey01_star3,body_parts_111_3,0.16,0
65,111,5,10,32,12,40,[10],"[[81011,50]]",Lacey01_star4,body_parts_111_4,0.18,0
66,111,6,0,40,15,50,[11],[],Lacey01_star5,body_parts_111_5,0.2,0
67,201,1,2,0,0,0,"[1300,1350,1400]","[[82001,10]]",dwarfgrumpynormal01,,0.1,0
68,201,2,4,8,3,10,,"[[82001,20]]",dwarfgrumpynormal01_star1,body_parts_201_1,0.12,0
69,201,3,6,16,6,20,,"[[82001,30]]",dwarfgrumpynormal01_star2,body_parts_201_2,0.14,0
70,201,4,8,24,9,30,[10],"[[82001,40]]",dwarfgrumpynormal01_star3,body_parts_201_3,0.16,0
71,201,5,10,32,12,40,[10],"[[82001,50]]",dwarfgrumpynormal01_star4,body_parts_201_4,0.18,0
72,201,6,0,40,15,50,[11],[],dwarfgrumpynormal01_star5,body_parts_201_5,0.2,0
73,202,1,2,0,0,0,"[1300,1350,1400]","[[82002,10]]",youngregina01,,0.1,0
74,202,2,4,8,3,10,,"[[82002,20]]",youngregina01_star1,body_parts_202_1,0.12,0
75,202,3,6,16,6,20,,"[[82002,30]]",youngregina01_star2,body_parts_202_2,0.14,0
76,202,4,8,24,9,30,[10],"[[82002,40]]",youngregina01_star3,body_parts_202_3,0.16,0
77,202,5,10,32,12,40,[10],"[[82002,50]]",youngregina01_star4,body_parts_202_4,0.18,0
78,202,6,0,40,15,50,[11],[],youngregina01_star5,body_parts_202_5,0.2,0
79,203,1,2,0,0,0,"[1300,1350,1400]","[[82003,10]]",youngsorcerer01,,0.1,0
80,203,2,4,8,3,10,,"[[82003,20]]",youngsorcerer01_star1,body_parts_203_1,0.12,0
81,203,3,6,16,6,20,,"[[82003,30]]",youngsorcerer01_star2,body_parts_203_2,0.14,0
82,203,4,8,24,9,30,[10],"[[82003,40]]",youngsorcerer01_star3,body_parts_203_3,0.16,0
83,203,5,10,32,12,40,[10],"[[82003,50]]",youngsorcerer01_star4,body_parts_203_4,0.18,0
84,203,6,0,40,15,50,[11],[],youngsorcerer01_star5,body_parts_203_5,0.2,0
85,204,1,2,0,0,0,"[1300,1350,1400]","[[82004,10]]",sorcerermerchant01,,0.1,0
86,204,2,4,8,3,10,,"[[82004,20]]",sorcerermerchant01_star1,body_parts_204_1,0.12,0
87,204,3,6,16,6,20,,"[[82004,30]]",sorcerermerchant01_star2,body_parts_204_2,0.14,0
88,204,4,8,24,9,30,[10],"[[82004,40]]",sorcerermerchant01_star3,body_parts_204_3,0.16,0
89,204,5,10,32,12,40,[10],"[[82004,50]]",sorcerermerchant01_star4,body_parts_204_4,0.18,0
90,204,6,0,40,15,50,[11],[],sorcerermerchant01_star5,body_parts_204_5,0.2,0
91,205,1,2,0,0,0,"[1300,1350,1400]","[[82005,10]]",cinderelladressed01,,0.1,0
92,205,2,4,8,3,10,,"[[82005,20]]",cinderelladressed01_star1,body_parts_205_1,0.12,0
93,205,3,6,16,6,20,,"[[82005,30]]",cinderelladressed01_star2,body_parts_205_2,0.14,0
94,205,4,8,24,9,30,[10],"[[82005,40]]",cinderelladressed01_star3,body_parts_205_3,0.16,0
95,205,5,10,32,12,40,[10],"[[82005,50]]",cinderelladressed01_star4,body_parts_205_4,0.18,0
96,205,6,0,40,15,50,[11],[],cinderelladressed01_star5,body_parts_205_5,0.2,0
97,206,1,2,0,0,0,"[1300,1350,1400]","[[82006,10]]",Feyawitch01,,0.1,0
98,206,2,4,8,3,10,,"[[82006,20]]",Feyawitch01_star1,body_parts_206_1,0.12,0
99,206,3,6,16,6,20,,"[[82006,30]]",Feyawitch01_star2,body_parts_206_2,0.14,0
100,206,4,8,24,9,30,[10],"[[82006,40]]",Feyawitch01_star3,body_parts_206_3,0.16,0
101,206,5,10,32,12,40,[10],"[[82006,50]]",Feyawitch01_star4,body_parts_206_4,0.18,0
102,206,6,0,40,15,50,[11],[],Feyawitch01_star5,body_parts_206_5,0.2,0
103,207,1,2,0,0,0,"[1300,1350,1400]","[[82007,10]]",Elinawings01,,0.1,0
104,207,2,4,8,3,10,,"[[82007,20]]",Elinawings01_star1,body_parts_207_1,0.12,0
105,207,3,6,16,6,20,,"[[82007,30]]",Elinawings01_star2,body_parts_207_2,0.14,0
106,207,4,8,24,9,30,[10],"[[82007,40]]",Elinawings01_star3,body_parts_207_3,0.16,0
107,207,5,10,32,12,40,[10],"[[82007,50]]",Elinawings01_star4,body_parts_207_4,0.18,0
108,207,6,0,40,15,50,[11],[],Elinawings01_star5,body_parts_207_5,0.2,0
208001,208,1,2,0,0,0,"[1300,1350,1400]","[[82008,10]]",heartsoldier,,0.1,0
208002,208,2,4,8,3,10,,"[[82008,20]]",heartsoldier_star1,body_parts_208_1,0.12,0
208003,208,3,6,16,6,20,,"[[82008,30]]",heartsoldier_star2,body_parts_208_2,0.14,0
208004,208,4,8,24,9,30,[10],"[[82008,40]]",heartsoldier_star3,body_parts_208_3,0.16,0
208005,208,5,10,32,12,40,[10],"[[82008,50]]",heartsoldier_star4,body_parts_208_4,0.18,0
208006,208,6,0,40,15,50,[11],[],heartsoldier_star5,body_parts_208_5,0.2,0
209001,209,1,2,0,0,0,"[1300,1350,1400]","[[82009,10]]",Lucifer,,0.1,0
209002,209,2,4,8,3,10,,"[[82009,20]]",Lucifer_star1,body_parts_209_1,0.12,0
209003,209,3,6,16,6,20,,"[[82009,30]]",Lucifer_star2,body_parts_209_2,0.14,0
209004,209,4,8,24,9,30,[10],"[[82009,40]]",Lucifer_star3,body_parts_209_3,0.16,0
209005,209,5,10,32,12,40,[10],"[[82009,50]]",Lucifer_star4,body_parts_209_4,0.18,0
209006,209,6,0,40,15,50,[11],[],Lucifer_star5,body_parts_209_5,0.2,0
210001,210,1,2,0,0,0,"[1300,1350,1400]","[[82010,10]]",Ariel,,0.1,0
210002,210,2,4,8,3,10,,"[[82010,20]]",Ariel_star1,body_parts_210_1,0.12,0
210003,210,3,6,16,6,20,,"[[82010,30]]",Ariel_star2,body_parts_210_2,0.14,0
210004,210,4,8,24,9,30,[10],"[[82010,40]]",Ariel_star3,body_parts_210_3,0.16,0
210005,210,5,10,32,12,40,[10],"[[82010,50]]",Ariel_star4,body_parts_210_4,0.18,0
210006,210,6,0,40,15,50,[11],[],Ariel_star5,body_parts_210_5,0.2,0
109,301,1,2,0,0,0,"[1300,1350,1400]","[[83001,15]]",snowywithbaby,,0.2,0
110,301,2,4,13,3,50,,"[[83001,30]]",snowywithbaby_star1,body_parts_301_1,0.23,0
111,301,3,6,26,6,100,[12],"[[83001,45]]",snowywithbaby_star2,body_parts_301_2,0.26,0
112,301,4,8,39,9,150,[13],"[[83001,60]]",snowywithbaby_star3,body_parts_301_3,0.29,0
113,301,5,10,52,12,200,[13],"[[83001,75]]",snowywithbaby_star4,body_parts_301_4,0.32,0
114,301,6,0,65,15,250,[14],[],snowywithbaby_star5,body_parts_301_5,0.35,0
115,302,1,2,0,0,0,"[1300,1350,1400]","[[83002,15]]",cinderellaemo01,,0.2,0
116,302,2,4,13,3,50,,"[[83002,30]]",cinderellaemo01_star1,body_parts_302_1,0.23,0
117,302,3,6,26,6,100,[12],"[[83002,45]]",cinderellaemo01_star2,body_parts_302_2,0.26,0
118,302,4,8,39,9,150,[13],"[[83002,60]]",cinderellaemo01_star3,body_parts_302_3,0.29,0
119,302,5,10,52,12,200,[13],"[[83002,75]]",cinderellaemo01_star4,body_parts_302_4,0.32,0
120,302,6,0,65,15,250,[14],[],cinderellaemo01_star5,body_parts_302_5,0.35,0
121,303,1,2,0,0,0,"[1300,1350,1400]","[[83003,15]]",modernlouis01,,0.2,0
122,303,2,4,13,3,50,,"[[83003,30]]",modernlouis01_star1,body_parts_303_1,0.23,0
123,303,3,6,26,6,100,[12],"[[83003,45]]",modernlouis01_star2,body_parts_303_2,0.26,0
124,303,4,8,39,9,150,[13],"[[83003,60]]",modernlouis01_star3,body_parts_303_3,0.29,0
125,303,5,10,52,12,200,[13],"[[83003,75]]",modernlouis01_star4,body_parts_303_4,0.32,0
126,303,6,0,65,15,250,[14],[],modernlouis01_star5,body_parts_303_5,0.35,0
151,304,1,2,0,0,0,"[1300,1350,1400]","[[83004,15]]",mermaidairelsoul01,,0.2,0
152,304,2,4,13,2,50,,"[[83004,30]]",mermaidairelsoul01_star1,body_parts_304_1,0.23,0
153,304,3,6,26,4,100,[12],"[[83004,45]]",mermaidairelsoul01_star2,body_parts_304_2,0.26,0
154,304,4,8,39,6,150,[13],"[[83004,60]]",mermaidairelsoul01_star3,body_parts_304_3,0.29,0
155,304,5,10,52,8,200,[13],"[[83004,75]]",mermaidairelsoul01_star4,body_parts_304_4,0.32,0
156,304,6,0,65,10,250,[14],[],mermaidairelsoul01_star5,body_parts_304_5,0.35,0
305001,305,1,2,0,0,0,"[1300,1350,1400]","[[83005,15]]",,,0.2,0
305002,305,2,4,13,3,50,,"[[83005,30]]",,,0.23,0
305003,305,3,6,26,6,100,[12],"[[83005,45]]",,,0.26,0
305004,305,4,8,39,9,150,[13],"[[83005,60]]",,,0.29,0
305005,305,5,10,52,12,200,[13],"[[83005,75]]",,,0.32,0
305006,305,6,0,65,15,250,[14],[],,,0.35,0
306001,306,1,2,0,0,0,"[1300,1350,1400]","[[83006,15]]",alicerabbit,,0.2,1
306002,306,2,4,13,3,50,,"[[83006,30]]",alicerabbit_star1,body_parts_306_1,0.23,1
306003,306,3,6,26,6,100,[12],"[[83006,45]]",alicerabbit_star2,body_parts_306_2,0.26,1
306004,306,4,8,39,9,150,[13],"[[83006,60]]",alicerabbit_star3,body_parts_306_3,0.29,1
306005,306,5,10,52,12,200,[13],"[[83006,75]]",alicerabbit_star4,body_parts_306_4,0.32,1
306006,306,6,0,65,15,250,[14],[],alicerabbit_star5,body_parts_306_5,0.35,1
307001,307,1,2,0,0,0,"[1300,1350,1400]","[[83007,15]]",hannah01,,0.2,0
307002,307,2,4,13,3,50,,"[[83007,30]]",hannah01_star1,body_parts_307_1,0.23,0
307003,307,3,6,26,6,100,[12],"[[83007,45]]",hannah01_star2,body_parts_307_2,0.26,0
307004,307,4,8,39,9,150,[13],"[[83007,60]]",hannah01_star3,body_parts_307_3,0.29,0
307005,307,5,10,52,12,200,[13],"[[83007,75]]",hannah01_star4,body_parts_307_4,0.32,0
307006,307,6,0,65,15,250,[14],[],hannah01_star5,body_parts_307_5,0.35,0
308001,308,1,2,0,0,0,"[1300,1350,1400]","[[83008,15]]",whitehorse,,0.2,1
308002,308,2,4,13,3,50,,"[[83008,30]]",whitehorse_star1,body_parts_308_1,0.23,1
308003,308,3,6,26,6,100,[12],"[[83008,45]]",whitehorse_star2,body_parts_308_2,0.26,1
308004,308,4,8,39,9,150,[13],"[[83008,60]]",whitehorse_star3,body_parts_308_3,0.29,1
308005,308,5,10,52,12,200,[13],"[[83008,75]]",whitehorse_star4,body_parts_308_4,0.32,1
308006,308,6,0,65,15,250,[14],[],whitehorse_star5,body_parts_308_5,0.35,1
309001,309,1,2,0,0,0,"[1300,1350,1400]","[[83009,15]]",rapunzelemo01,,0.2,0
309002,309,2,4,13,3,50,,"[[83009,30]]",rapunzelemo01_star1,body_parts_309_1,0.23,0
309003,309,3,6,26,6,100,[12],"[[83009,45]]",rapunzelemo01_star2,body_parts_309_2,0.26,0
309004,309,4,8,39,9,150,[13],"[[83009,60]]",rapunzelemo01_star3,body_parts_309_3,0.29,0
309005,309,5,10,52,12,200,[13],"[[83009,75]]",rapunzelemo01_star4,body_parts_309_4,0.32,0
309006,309,6,0,65,15,250,[14],[],rapunzelemo01_star5,body_parts_309_5,0.35,0
310001,310,1,2,0,0,0,"[1300,1350,1400]","[[83010,15]]",petscuttle,,0.2,1
310002,310,2,4,13,3,50,,"[[83010,30]]",petscuttle_star1,body_parts_310_1,0.23,1
310003,310,3,6,26,6,100,[12],"[[83010,45]]",petscuttle_star2,body_parts_310_2,0.26,1
310004,310,4,8,39,9,150,[13],"[[83010,60]]",petscuttle_star3,body_parts_310_3,0.29,1
310005,310,5,10,52,12,200,[13],"[[83010,75]]",petscuttle_star4,body_parts_310_4,0.32,1
310006,310,6,0,65,15,250,[14],[],petscuttle_star5,body_parts_310_5,0.35,1
311001,311,1,2,0,0,0,"[1300,1350,1400]","[[83011,15]]",petmax,,0.2,0
311002,311,2,4,13,3,50,,"[[83011,30]]",petmax_star1,body_parts_311_1,0.23,0
311003,311,3,6,26,6,100,[12],"[[83011,45]]",petmax_star2,body_parts_311_2,0.26,0
311004,311,4,8,39,9,150,[13],"[[83011,60]]",petmax_star3,body_parts_311_3,0.29,0
311005,311,5,10,52,12,200,[13],"[[83011,75]]",petmax_star4,body_parts_311_4,0.32,0
311006,311,6,0,65,15,250,[14],[],petmax_star5,body_parts_311_5,0.35,0
312001,312,1,2,0,0,0,"[1300,1350,1400]","[[83012,15]]",petflounder,,0.2,1
312002,312,2,4,13,3,50,,"[[83012,30]]",petflounder_star1,body_parts_312_1,0.23,1
312003,312,3,6,26,6,100,[12],"[[83012,45]]",petflounder_star2,body_parts_312_2,0.26,1
312004,312,4,8,39,9,150,[13],"[[83012,60]]",petflounder_star3,body_parts_312_3,0.29,1
312005,312,5,10,52,12,200,[13],"[[83012,75]]",petflounder_star4,body_parts_312_4,0.32,1
312006,312,6,0,65,15,250,[14],[],petflounder_star5,body_parts_312_5,0.35,1
313001,313,1,2,0,0,0,"[1300,1350,1400]","[[83013,15]]",seahorse,,0.2,1
313002,313,2,4,13,3,50,,"[[83013,30]]",seahorse_star1,body_parts_313_1,0.23,1
313003,313,3,6,26,6,100,[12],"[[83013,45]]",seahorse_star2,body_parts_313_2,0.26,1
313004,313,4,8,39,9,150,[13],"[[83013,60]]",seahorse_star3,body_parts_313_3,0.29,1
313005,313,5,10,52,12,200,[13],"[[83013,75]]",seahorse_star4,body_parts_313_4,0.32,1
313006,313,6,0,65,15,250,[14],[],seahorse_star5,body_parts_313_5,0.35,1
314001,314,1,2,0,0,0,"[1300,1350,1400]","[[83014,15]]",princefinnmodern01,,0.2,0
314002,314,2,4,13,3,50,,"[[83014,30]]",princefinnmodern01_star1,body_parts_314_1,0.23,0
314003,314,3,6,26,6,100,[12],"[[83014,45]]",princefinnmodern01_star2,body_parts_314_2,0.26,0
314004,314,4,8,39,9,150,[13],"[[83014,60]]",princefinnmodern01_star3,body_parts_314_3,0.29,0
314005,314,5,10,52,12,200,[13],"[[83014,75]]",princefinnmodern01_star4,body_parts_314_4,0.32,0
314006,314,6,0,65,15,250,[14],[],princefinnmodern01_star5,body_parts_314_5,0.35,0
315001,315,1,2,0,0,0,"[1300,1350,1400]","[[83015,15]]",lumiere,,0.2,1
315002,315,2,4,13,3,50,,"[[83015,30]]",lumiere_star1,body_parts_315_1,0.23,1
315003,315,3,6,26,6,100,[12],"[[83015,45]]",lumiere_star2,body_parts_315_2,0.26,1
315004,315,4,8,39,9,150,[13],"[[83015,60]]",lumiere_star3,body_parts_315_3,0.29,1
315005,315,5,10,52,12,200,[13],"[[83015,75]]",lumiere_star4,body_parts_315_4,0.32,1
315006,315,6,0,65,15,250,[14],[],lumiere_star5,body_parts_315_5,0.35,1
316001,316,1,2,0,0,0,"[1300,1350,1400]","[[83016,15]]",meeko,,0.2,1
316002,316,2,4,13,1,50,,"[[83016,30]]",meeko_star1,body_parts_316_1,0.23,1
316003,316,3,6,26,2,100,[12],"[[83016,45]]",meeko_star2,body_parts_316_2,0.26,1
316004,316,4,8,39,3,150,[13],"[[83016,60]]",meeko_star3,body_parts_316_3,0.29,1
316005,316,5,10,52,4,200,[13],"[[83016,75]]",meeko_star4,body_parts_316_4,0.32,1
316006,316,6,0,65,5,250,[14],[],meeko_star5,body_parts_316_5,0.35,1
317001,317,1,2,0,0,0,"[1300,1350,1400]","[[83017,15]]",snowman,,0.2,0
317002,317,2,4,13,5,50,,"[[83017,30]]",snowman_star1,body_parts_317_1,0.23,0
317003,317,3,6,26,10,100,[12],"[[83017,45]]",snowman_star2,body_parts_317_2,0.26,0
317004,317,4,8,39,15,150,[13],"[[83017,60]]",snowman_star3,body_parts_317_3,0.29,0
317005,317,5,10,52,20,200,[13],"[[83017,75]]",snowman_star4,body_parts_317_4,0.32,0
317006,317,6,0,65,25,250,[14],[],snowman_star5,body_parts_317_5,0.35,0
318001,318,1,2,0,0,0,"[1300,1350,1400]","[[83018,15]]",mrspotts,,0.2,1
318002,318,2,4,13,1,50,,"[[83018,30]]",mrspotts_star1,body_parts_318_1,0.23,1
318003,318,3,6,26,2,100,[12],"[[83018,45]]",mrspotts_star2,body_parts_318_2,0.26,1
318004,318,4,8,39,3,150,[13],"[[83018,60]]",mrspotts_star3,body_parts_318_3,0.29,1
318005,318,5,10,52,4,200,[13],"[[83018,75]]",mrspotts_star4,body_parts_318_4,0.32,1
318006,318,6,0,65,5,250,[14],[],mrspotts_star5,body_parts_318_5,0.35,1
319001,319,1,2,0,0,0,"[1300,1350,1400]","[[83019,15]]",speedturtle,,0.2,1
