id,missionId,subtaskIcon,subtaskTitle,subtaskDramaId,subtaskIsDialogue,subtaskPathId,isMultiarrow,MissionType,taskNeed,
11430,levelup_113_2,common/mermaidalana01_head,levelup_113_2_sub1,,,,,64,"[113,5]",
11431,partnersub112_008,common/Description13_009SeaWitch_sub2,partnersub_desc_112_008,partnersub112_008_dialog,1,,,79,"[112,5014,10]",
11440,levelup_113_3,common/mermaidalana01_head,levelup_113_3_sub1,,,,,64,"[113,8]",
11441,partnersub113_002,common/mermaidalana01_head,partnersub_desc_113_002,partnersub113_002_dialog,1,,,79,"[113,3031,5]",
11450,levelup_113_4,common/mermaidalana01_head,levelup_113_4_sub1,,,,,64,"[113,10]",
11451,partnersub113_007,common/mermaidalana01_head,partnersub_desc_113_007,partnersub113_007_dialog,1,,,82,"[113,5,""research"",[9,0,10]]",
11455,levelup_113_5,common/mermaidalana01_head,levelup_113_5_sub1,,,,,64,"[113,15]",
11452,partnersub113_006,common/mermaidalana01_head,partnersub_desc_113_006,partnersub113_006_dialog,1,,,80,[113],
11453,partnersub114_003,common/Description13_004SandDanger_sub3,partnersub_desc_114_003,partnersub114_003_dialog,1,,,80,[114],
11454,partnersub114_001,common/mermaidalana01_head,partnersub_desc_114_001,partnersub114_001_dialog,1,,,81,"[[113,114],40033,1]",
11460,levelup_114_1,common/Description13_004SandDanger_sub3,levelup_114_1_sub1,,,,,64,"[114,3]",
11461,partnersub114_004,common/Description13_004SandDanger_sub3,partnersub_desc_114_004,partnersub114_004_dialog,1,,,80,[114],
11470,levelup_114_2,common/Description13_004SandDanger_sub3,levelup_114_2_sub1,,,,,64,"[114,5]",
11471,partnersub113_008,common/mermaidalana01_head,partnersub_desc_113_008,partnersub113_008_dialog,1,,,79,"[113,5007,25]",
11480,levelup_114_3,common/Description13_004SandDanger_sub3,levelup_114_3_sub1,,,,,64,"[114,8]",
11481,partnersub114_002,common/Description13_004SandDanger_sub3,partnersub_desc_114_002,partnersub114_002_dialog,1,,,79,"[114,3012,1]",
11490,levelup_114_4,common/Description13_004SandDanger_sub3,levelup_114_4_sub1,,,,,64,"[114,10]",
11491,partnersub114_007,common/Description13_004SandDanger_sub3,partnersub_desc_114_007,partnersub114_007_dialog,1,,,82,"[114,5,""think"",[13,0,6]]",
11495,levelup_114_5,common/Description13_004SandDanger_sub3,levelup_114_5_sub1,,,,,64,"[114,15]",
11492,partnersub114_006,common/Description13_004SandDanger_sub3,partnersub_desc_114_006,partnersub114_006_dialog,1,,,80,[114],
11493,partnersub115_003,common/seakingtriton01_head,partnersub_desc_115_003,partnersub115_003_dialog,1,,,80,[115],
11494,partnersub115_001,common/Description13_004SandDanger_sub3,partnersub_desc_115_001,partnersub115_001_dialog,1,,,81,"[[114,115],40034,1]",
11500,levelup_115_1,common/seakingtriton01_head,levelup_115_1_sub1,,,,,64,"[115,3]",
11501,partnersub115_004,common/seakingtriton01_head,partnersub_desc_115_004,partnersub115_004_dialog,1,,,80,[115],
11510,levelup_115_2,common/seakingtriton01_head,levelup_115_2_sub1,,,,,64,"[115,5]",
11511,partnersub201_002,common/Description13_004SandDanger_sub3,partnersub_desc_114_009,partnersub114_009_dialog,1,,,79,"[114,5010,70]",
11520,levelup_115_3,common/seakingtriton01_head,levelup_115_3_sub1,,,,,64,"[115,8]",
11521,partnersub115_002,common/seakingtriton01_head,partnersub_desc_115_002,partnersub115_002_dialog,1,,,79,"[115,3022,2]",
11530,levelup_115_4,common/seakingtriton01_head,levelup_115_4_sub1,,,,,64,"[115,10]",
11531,partnersub115_007,common/seakingtriton01_head,partnersub_desc_115_007,partnersub115_007_dialog,1,,,82,"[115,5,""show"",[19,0,-1]]",
11535,levelup_115_5,common/seakingtriton01_head,levelup_115_5_sub1,,,,,64,"[115,15]",
11532,partnersub115_006,common/seakingtriton01_head,partnersub_desc_115_006,partnersub115_006_dialog,1,,,80,[115],
11533,partnersub116_003,common/levelup_116_subicon,partnersub_desc_116_003,partnersub116_003_dialog,1,,,80,[116],
11534,partnersub116_001,common/seakingtriton01_head,partnersub_desc_116_001,partnersub116_001_dialog,1,,,81,"[[115,116],40035,1]",
11540,levelup_116_1,common/levelup_116_subicon,levelup_116_1_sub1,,,,,64,"[116,3]",
11541,partnersub116_004,common/levelup_116_subicon,partnersub_desc_116_004,partnersub116_004_dialog,1,,,80,[116],
11550,levelup_116_2,common/levelup_116_subicon,levelup_116_2_sub1,,,,,64,"[116,5]",
11551,partnersub115_008,common/seakingtriton01_head,partnersub_desc_115_008,partnersub115_008_dialog,1,,,79,"[115,5003,72]",
11560,levelup_116_3,common/levelup_116_subicon,levelup_116_3_sub1,,,,,64,"[116,8]",
11561,partnersub116_002,common/levelup_116_subicon,partnersub_desc_116_002,partnersub116_002_dialog,1,,,79,"[116,3014,5]",
11570,levelup_116_4,common/levelup_116_subicon,levelup_116_4_sub1,,,,,64,"[116,10]",
11571,partnersub116_007,common/levelup_116_subicon,partnersub_desc_116_007,partnersub116_007_dialog,1,,,82,"[116,5,""airelhumanbeing01_dance"",[10,0,-1]]",
11576,levelup_116_5,common/levelup_116_subicon,levelup_116_5_sub1,,,,,64,"[116,15]",
11572,partnersub116_006,common/levelup_116_subicon,partnersub_desc_116_006,partnersub116_006_dialog,1,,,80,[116],
11573,partnersub117_003,common/princefinn01_head,partnersub_desc_117_003,partnersub117_003_dialog,1,,,80,[117],
11574,partnersub117_001,common/levelup_116_subicon,partnersub_desc_117_001,partnersub117_001_dialog,1,,,81,"[[116,117],40036,1]",
11575,levelup_117_1,common/princefinn01_head,levelup_117_1_sub1,,,,,64,"[117,3]",
11581,partnersub117_004,common/princefinn01_head,partnersub_desc_117_004,partnersub117_004_dialog,1,,,80,[117],
11590,levelup_117_2,common/princefinn01_head,levelup_117_2_sub1,,,,,64,"[117,5]",
11591,partnersub116_008,common/levelup_116_subicon,partnersub_desc_116_008,partnersub116_008_dialog,1,,,79,"[116,5017,75]",
11600,levelup_117_3,common/princefinn01_head,levelup_117_3_sub1,,,,,64,"[117,8]",
11601,partnersub117_002,common/princefinn01_head,partnersub_desc_117_002,partnersub117_002_dialog,1,,,79,"[117,3023,3]",
11610,levelup_117_4,common/princefinn01_head,levelup_117_4_sub1,,,,,64,"[117,10]",
11611,partnersub117_007,common/princefinn01_head,partnersub_desc_117_007,partnersub117_007_dialog,1,,,82,"[117,5,""think"",[9,0,10]]",
11613,levelup_117_5,common/princefinn01_head,levelup_117_5_sub1,,,,,64,"[117,15]",
11612,partnersub117_006,common/princefinn01_head,partnersub_desc_117_006,partnersub117_006_dialog,1,,,80,[117],
11700,partnersub118_002,common/levelup_118_icon,partnersub_desc_118_002,partnersub118_002_dialog,1,,,80,[118],
11705,partnersub118_001,common/princefinn01_head,partnersub_desc_118_001,partnersub118_001_dialog,1,,,81,"[[117,118],40038,1]",
11710,levelup_118_1,common/levelup_118_icon,levelup_118_1_sub1,,,,,64,"[118,3]",
11715,partnersub118_005,common/levelup_118_icon,partnersub_desc_118_005,partnersub118_005_dialog,1,,,80,[118],
11720,levelup_118_2,common/levelup_118_icon,levelup_118_2_sub1,,,,,64,"[118,5]",
11725,partnersub118_003,common/princefinn01_head,partnersub_desc_118_003,partnersub118_003_dialog,1,,,79,"[117,5004,40]",
11730,levelup_118_3,common/levelup_118_icon,levelup_118_3_sub1,,,,,64,"[118,8]",
11735,partnersub118_006,common/levelup_118_icon,partnersub_desc_118_006,partnersub118_006_dialog,1,,,79,"[118,3029,1]",
11740,levelup_118_4,common/levelup_118_icon,levelup_118_4_sub1,,,,,64,"[118,10]",
11745,partnersub118_004,common/levelup_118_icon,partnersub_desc_118_004,partnersub118_004_dialog,1,,,82,"[118,5,""show"",[13,0,6]]",
11750,levelup_118_5,common/levelup_118_icon,levelup_118_5_sub1,,,,,64,"[118,15]",
11755,partnersub118_008,common/levelup_118_icon,partnersub_desc_118_008,partnersub118_008_dialog,1,,,80,[118],
20000,raisestar_101_1,common/levelup_101_icon,raisestar_101_1_sub1,,,,,66,"[101,2]",
20010,raisestar_101_2,common/levelup_101_icon,raisestar_101_2_sub1,,,,,66,"[101,3]",
20011,partnersub101_001,common/levelup_101_icon,partnersub_desc_101_001,partnersub101_001_dialog,1,,,80,[101],
20020,raisestar_102_1,common/levelup_102_icon,raisestar_102_1_sub1,,,,,66,"[102,2]",
20030,raisestar_102_2,common/levelup_102_icon,raisestar_102_2_sub1,,,,,66,"[102,3]",
20031,partnersub102_003,common/levelup_102_icon,partnersub_desc_102_003,partnersub102_003_dialog,1,,,80,[102],
20040,raisestar_103_1,common/levelup_103_icon,raisestar_103_1_sub1,,,,,66,"[103,2]",
20050,raisestar_103_2,common/levelup_103_icon,raisestar_103_2_sub1,,,,,66,"[103,3]",
20051,partnersub103_003,common/levelup_103_icon,partnersub_desc_103_003,partnersub103_003_dialog,1,,,80,[103],
20060,raisestar_104_1,common/levelup_104_icon,raisestar_104_1_sub1,,,,,66,"[104,2]",
20070,raisestar_104_2,common/levelup_104_icon,raisestar_104_2_sub1,,,,,66,"[104,3]",
20071,partnersub104_003,common/levelup_104_icon,partnersub_desc_104_003,partnersub104_003_dialog,1,,,80,[104],
20080,raisestar_110_1,common/levelup_110_icon,raisestar_110_1_sub1,,,,,66,"[110,2]",
20090,raisestar_110_2,common/levelup_110_icon,raisestar_110_2_sub1,,,,,66,"[110,3]",
20091,partnersub110_003,common/levelup_110_icon,partnersub_desc_110_003,partnersub110_003_dialog,1,,,80,[110],
20100,raisestar_105_1,common/levelup_105_icon,raisestar_105_1_sub1,,,,,66,"[105,2]",
20110,raisestar_105_2,common/levelup_105_icon,raisestar_105_2_sub1,,,,,66,"[105,3]",
20111,partnersub105_003,common/levelup_105_subicon,partnersub_desc_105_003,partnersub105_003_dialog,1,,,80,[105],
20120,raisestar_108_1,common/levelup_108_icon,raisestar_108_1_sub1,,,,,66,"[108,2]",
20130,raisestar_108_2,common/levelup_108_icon,raisestar_108_2_sub1,,,,,66,"[108,3]",
20140,raisestar_109_1,common/levelup_109_icon,raisestar_109_1_sub1,,,,,66,"[109,2]",
20150,raisestar_109_2,common/levelup_109_icon,raisestar_109_2_sub1,,,,,66,"[109,3]",
20151,partnersub109_005,common/levelup_109_subicon,partnersub_desc_109_005,partnersub109_005_dialog,1,,,80,[109],
20160,raisestar_107_1,common/levelup_107_icon,raisestar_107_1_sub1,,,,,66,"[107,2]",
20170,raisestar_107_2,common/levelup_107_icon,raisestar_107_2_sub1,,,,,66,"[107,3]",
20171,partnersub107_004,common/levelup_107_subicon,partnersub_desc_107_004,partnersub107_004_dialog,1,,,80,[107],
20180,raisestar_106_1,common/levelup_106_subicon,raisestar_106_1_sub1,,,,,66,"[106,2]",
20190,raisestar_106_2,common/levelup_106_subicon,raisestar_106_2_sub1,,,,,66,"[106,3]",
20191,partnersub106_004,common/levelup_106_subicon,partnersub_desc_106_004,partnersub106_004_dialog,1,,,80,[106],
20200,raisestar_112_1,common/levelup_112_icon,raisestar_112_1_sub1,,,,,66,"[112,2]",
20210,raisestar_112_2,common/levelup_112_icon,raisestar_112_2_sub1,,,,,66,"[112,3]",
20211,partnersub112_005,common/Description13_009SeaWitch_sub2,partnersub_desc_112_005,partnersub112_005_dialog,1,,,80,[112],
20220,raisestar_113_1,common/mermaidalana01_head,raisestar_113_1_sub1,,,,,66,"[113,2]",
20230,raisestar_113_2,common/mermaidalana01_head,raisestar_113_2_sub1,,,,,66,"[113,3]",
20231,partnersub113_005,common/mermaidalana01_head,partnersub_desc_113_005,partnersub113_005_dialog,1,,,80,[113],
20240,raisestar_114_1,common/Description13_004SandDanger_sub3,raisestar_114_1_sub1,,,,,66,"[114,2]",
20250,raisestar_114_2,common/Description13_004SandDanger_sub3,raisestar_114_2_sub1,,,,,66,"[114,3]",
20251,partnersub114_005,common/Description13_004SandDanger_sub3,partnersub_desc_114_005,partnersub114_005_dialog,1,,,80,[114],
20260,raisestar_115_1,common/seakingtriton01_head,raisestar_115_1_sub1,,,,,66,"[115,2]",
