dialogid,avatar,emotion,index,bubbleimage,alias,paragraphs,
Home101_013_dialog_1_2,Adelina01,default,2,,,"[['Home101_013_dialog_1_2',0,0]]",
Home101_013_dialog_1_3,Femaleplayer,default,1,,,"[['Home101_013_dialog_1_3',0,0]]",
Home102_001_dialog_1_1,princelouis01,default,1,,,"[['Home102_001_dialog_1_1',0,0]]",
Home102_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home102_001_dialog_1_2',0,0]]",
Home102_001_dialog_1_3,Femaleplayer,default,2,,,"[['Home102_001_dialog_1_3',0,0]]",
Home102_001_dialog_1_4,princelouis01,default,1,,,"[['Home102_001_dialog_1_4',0,0]]",
Home102_002_dialog_1_1,princelouis01,default,1,,,"[['Home102_002_dialog_1_1',0,0]]",
Home102_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home102_002_dialog_1_2',0,0]]",
Home102_002_dialog_1_3,princelouis01,default,1,,,"[['Home102_002_dialog_1_3',0,0]]",
Home102_002_dialog_1_4,Femaleplayer,default,2,,,"[['Home102_002_dialog_1_4',0,0]]",
Home102_003_dialog_1_1,princelouis01,default,1,,,"[['Home102_003_dialog_1_1',0,0]]",
Home102_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home102_003_dialog_1_2',0,0]]",
Home102_003_dialog_1_3,princelouis01,default,1,,,"[['Home102_003_dialog_1_3',0,0]]",
Home102_003_dialog_1_4,Femaleplayer,default,2,,,"[['Home102_003_dialog_1_4',0,0]]",
Home102_004_dialog_1_1,princelouis01,default,1,,,"[['Home102_004_dialog_1_1',0,0]]",
Home102_004_dialog_1_2,Femaleplayer,default,2,,,"[['Home102_004_dialog_1_2',0,0]]",
Home102_004_dialog_1_3,princelouis01,default,1,,,"[['Home102_004_dialog_1_3',0,0]]",
Home102_004_dialog_1_4,Femaleplayer,default,2,,,"[['Home102_004_dialog_1_4',0,0]]",
Home102_004_dialog_1_5,princelouis01,default,1,,,"[['Home102_004_dialog_1_5',0,0]]",
Home102_004_dialog_1_6,Femaleplayer,default,2,,,"[['Home102_004_dialog_1_6',0,0]]",
Home102_005_dialog_1_1,Femaleplayer,default,1,,,"[['Home102_005_dialog_1_1',0,0]]",
Home102_005_dialog_1_2,princelouis01,default,2,,,"[['Home102_005_dialog_1_2',0,0]]",
Home102_005_dialog_1_3,Femaleplayer,default,1,,,"[['Home102_005_dialog_1_3',0,0]]",
Home102_006_dialog_1_1,princelouis01,default,1,,,"[['Home102_006_dialog_1_1',0,0]]",
Home102_006_dialog_1_2,Femaleplayer,default,2,,,"[['Home102_006_dialog_1_2',0,0]]",
Home102_007_dialog_1_1,princelouis01,default,1,,,"[['Home102_007_dialog_1_1',0,0]]",
Home102_007_dialog_1_2,Femaleplayer,default,2,,,"[['Home102_007_dialog_1_2',0,0]]",
Home102_007_dialog_1_3,princelouis01,default,1,,,"[['Home102_007_dialog_1_3',0,0]]",
Home102_007_dialog_1_4,Femaleplayer,default,2,,,"[['Home102_007_dialog_1_4',0,0]]",
Home102_008_dialog_1_1,princelouis01,default,1,,,"[['Home102_008_dialog_1_1',0,0]]",
Home102_008_dialog_1_2,Femaleplayer,default,2,,,"[['Home102_008_dialog_1_2',0,0]]",
Home102_008_dialog_1_3,princelouis01,default,1,,,"[['Home102_008_dialog_1_3',0,0]]",
Home102_009_dialog_1_1,princelouis01,default,1,,,"[['Home102_009_dialog_1_1',0,0]]",
Home102_009_dialog_1_2,Femaleplayer,default,2,,,"[['Home102_009_dialog_1_2',0,0]]",
Home102_010_dialog_1_1,Femaleplayer,default,1,,,"[['Home102_010_dialog_1_1',0,0]]",
Home102_010_dialog_1_2,princelouis01,default,2,,,"[['Home102_010_dialog_1_2',0,0]]",
Home102_010_dialog_1_3,princelouis01,default,2,,,"[['Home102_010_dialog_1_3',0,0]]",
Home102_010_dialog_1_4,Femaleplayer,default,1,,,"[['Home102_010_dialog_1_4',0,0]]",
Home102_011_dialog_1_1,princelouis01,default,1,,,"[['Home102_011_dialog_1_1',0,0]]",
Home102_011_dialog_1_2,Femaleplayer,default,2,,,"[['Home102_011_dialog_1_2',0,0]]",
Home102_011_dialog_1_3,princelouis01,default,1,,,"[['Home102_011_dialog_1_3',0,0]]",
Home102_011_dialog_1_4,Femaleplayer,default,2,,,"[['Home102_011_dialog_1_4',0,0]]",
Home102_012_dialog_1_1,princelouis01,default,1,,,"[['Home102_012_dialog_1_1',0,0]]",
Home102_012_dialog_1_2,Femaleplayer,default,2,,,"[['Home102_012_dialog_1_2',0,0]]",
Home102_012_dialog_1_3,princelouis01,default,1,,,"[['Home102_012_dialog_1_3',0,0]]",
Home102_013_dialog_1_1,princelouis01,default,1,,,"[['Home102_013_dialog_1_1',0,0]]",
Home102_013_dialog_1_2,Femaleplayer,default,2,,,"[['Home102_013_dialog_1_2',0,0]]",
Home102_013_dialog_1_3,princelouis01,default,1,,,"[['Home102_013_dialog_1_3',0,0]]",
Home102_013_dialog_1_4,Femaleplayer,default,2,,,"[['Home102_013_dialog_1_4',0,0]]",
Home103_001_dialog_1_1,Doris01,default,1,,,"[['Home103_001_dialog_1_1',0,0]]",
Home103_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home103_001_dialog_1_2',0,0]]",
Home103_001_dialog_1_3,Doris01,default,1,,,"[['Home103_001_dialog_1_3',0,0]]",
Home103_002_dialog_1_1,Doris01,default,1,,,"[['Home103_002_dialog_1_1',0,0]]",
Home103_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home103_002_dialog_1_2',0,0]]",
Home103_003_dialog_1_1,Doris01,default,1,,,"[['Home103_003_dialog_1_1',0,0]]",
Home103_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home103_003_dialog_1_2',0,0]]",
Home103_003_dialog_1_3,Doris01,default,1,,,"[['Home103_003_dialog_1_3',0,0]]",
Home103_004_dialog_1_1,Femaleplayer,default,1,,,"[['Home103_004_dialog_1_1',0,0]]",
Home103_004_dialog_1_2,Doris01,default,2,,,"[['Home103_004_dialog_1_2',0,0]]",
Home103_004_dialog_1_3,Femaleplayer,default,1,,,"[['Home103_004_dialog_1_3',0,0]]",
Home103_005_dialog_1_1,Doris01,default,1,,,"[['Home103_005_dialog_1_1',0,0]]",
Home103_005_dialog_1_2,Femaleplayer,default,2,,,"[['Home103_005_dialog_1_2',0,0]]",
Home103_006_dialog_1_1,Femaleplayer,default,1,,,"[['Home103_006_dialog_1_1',0,0]]",
Home103_006_dialog_1_2,Doris01,default,2,,,"[['Home103_006_dialog_1_2',0,0]]",
Home103_006_dialog_1_3,Femaleplayer,default,1,,,"[['Home103_006_dialog_1_3',0,0]]",
Home103_007_dialog_1_1,Doris01,default,1,,,"[['Home103_007_dialog_1_1',0,0]]",
Home103_007_dialog_1_2,Femaleplayer,default,2,,,"[['Home103_007_dialog_1_2',0,0]]",
Home103_007_dialog_1_3,Doris01,default,1,,,"[['Home103_007_dialog_1_3',0,0]]",
Home103_008_dialog_1_1,Doris01,default,1,,,"[['Home103_008_dialog_1_1',0,0]]",
Home103_009_dialog_1_1,Doris01,default,1,,,"[['Home103_009_dialog_1_1',0,0]]",
Home103_009_dialog_1_2,Femaleplayer,default,2,,,"[['Home103_009_dialog_1_2',0,0]]",
Home103_010_dialog_1_1,Doris01,default,1,,,"[['Home103_010_dialog_1_1',0,0]]",
Home103_010_dialog_1_2,Femaleplayer,default,2,,,"[['Home103_010_dialog_1_2',0,0]]",
Home104_001_dialog_1_1,Elina01,default_nowings,1,,,"[['Home104_001_dialog_1_1',0,0]]",
Home104_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home104_001_dialog_1_2',0,0]]",
Home104_002_dialog_1_1,Elina01,default_nowings,1,,,"[['Home104_002_dialog_1_1',0,0]]",
Home104_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home104_002_dialog_1_2',0,0]]",
Home104_003_dialog_1_1,Elina01,default_nowings,1,,,"[['Home104_003_dialog_1_1',0,0]]",
Home104_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home104_003_dialog_1_2',0,0]]",
Home104_004_dialog_1_1,Elina01,default_nowings,1,,,"[['Home104_004_dialog_1_1',0,0]]",
Home104_004_dialog_1_2,Elina01,default_nowings,2,,,"[['Home104_004_dialog_1_2',0,0]]",
Home104_004_dialog_1_3,Elina01,default_nowings,2,,,"[['Home104_004_dialog_1_3',0,0]]",
Home104_004_dialog_1_4,Femaleplayer,default,1,,,"[['Home104_004_dialog_1_4',0,0]]",
Home104_005_dialog_1_1,Femaleplayer,default,1,,,"[['Home104_005_dialog_1_1',0,0]]",
Home104_005_dialog_1_2,Elina01,default_nowings,2,,,"[['Home104_005_dialog_1_2',0,0]]",
Home104_005_dialog_1_3,Femaleplayer,default,1,,,"[['Home104_005_dialog_1_3',0,0]]",
Home104_006_dialog_1_1,Elina01,default_nowings,1,,,"[['Home104_006_dialog_1_1',0,0]]",
Home104_006_dialog_1_2,Femaleplayer,default,2,,,"[['Home104_006_dialog_1_2',0,0]]",
Home104_007_dialog_1_1,Elina01,default_nowings,1,,,"[['Home104_007_dialog_1_1',0,0]]",
Home104_007_dialog_1_2,Femaleplayer,default,2,,,"[['Home104_007_dialog_1_2',0,0]]",
Home104_008_dialog_1_1,Femaleplayer,default,1,,,"[['Home104_008_dialog_1_1',0,0]]",
Home104_008_dialog_1_2,Elina01,default_nowings,2,,,"[['Home104_008_dialog_1_2',0,0]]",
Home104_008_dialog_1_3,Femaleplayer,default,1,,,"[['Home104_008_dialog_1_3',0,0]]",
Home104_008_dialog_1_4,Elina01,default_nowings,2,,,"[['Home104_008_dialog_1_4',0,0]]",
Home104_009_dialog_1_1,Elina01,default_nowings,1,,,"[['Home104_009_dialog_1_1',0,0]]",
Home104_009_dialog_1_2,Femaleplayer,default,2,,,"[['Home104_009_dialog_1_2',0,0]]",
Home104_010_dialog_1_1,Femaleplayer,default,1,,,"[['Home104_010_dialog_1_1',0,0]]",
Home104_010_dialog_1_2,Elina01,default_nowings,2,,,"[['Home104_010_dialog_1_2',0,0]]",
Home104_010_dialog_1_3,Femaleplayer,default,1,,,"[['Home104_010_dialog_1_3',0,0]]",
Home104_011_dialog_1_1,Elina01,default_nowings,1,,,"[['Home104_011_dialog_1_1',0,0]]",
Home104_011_dialog_1_2,Femaleplayer,default,2,,,"[['Home104_011_dialog_1_2',0,0]]",
Home104_012_dialog_1_1,Elina01,default_nowings,1,,,"[['Home104_012_dialog_1_1',0,0]]",
Home104_012_dialog_1_2,Femaleplayer,default,2,,,"[['Home104_012_dialog_1_2',0,0]]",
Home110_001_dialog_1_1,cinderella01,default,1,,,"[['Home110_001_dialog_1_1',0,0]]",
Home110_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home110_001_dialog_1_2',0,0]]",
Home110_001_dialog_1_3,cinderella01,default,1,,,"[['Home110_001_dialog_1_3',0,0]]",
Home110_002_dialog_1_1,Femaleplayer,default,1,,,"[['Home110_002_dialog_1_1',0,0]]",
Home110_002_dialog_1_2,cinderella01,default,2,,,"[['Home110_002_dialog_1_2',0,0]]",
Home110_002_dialog_1_3,Femaleplayer,default,1,,,"[['Home110_002_dialog_1_3',0,0]]",
Home110_003_dialog_1_1,cinderella01,default,1,,,"[['Home110_003_dialog_1_1',0,0]]",
Home110_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home110_003_dialog_1_2',0,0]]",
Home110_004_dialog_1_1,Femaleplayer,default,1,,,"[['Home110_004_dialog_1_1',0,0]]",
Home110_004_dialog_1_2,cinderella01,default,2,,,"[['Home110_004_dialog_1_2',0,0]]",
Home110_004_dialog_1_3,Femaleplayer,default,1,,,"[['Home110_004_dialog_1_3',0,0]]",
Home110_005_dialog_1_1,Femaleplayer,default,1,,,"[['Home110_005_dialog_1_1',0,0]]",
Home110_005_dialog_1_2,cinderella01,default,2,,,"[['Home110_005_dialog_1_2',0,0]]",
Home110_005_dialog_1_3,Femaleplayer,default,1,,,"[['Home110_005_dialog_1_3',0,0]]",
Home110_006_dialog_1_1,cinderella01,default,1,,,"[['Home110_006_dialog_1_1',0,0]]",
Home110_006_dialog_1_2,Femaleplayer,default,2,,,"[['Home110_006_dialog_1_2',0,0]]",
Home110_007_dialog_1_1,cinderella01,default,1,,,"[['Home110_007_dialog_1_1',0,0]]",
Home110_007_dialog_1_2,Femaleplayer,default,2,,,"[['Home110_007_dialog_1_2',0,0]]",
Home110_008_dialog_1_1,Femaleplayer,default,1,,,"[['Home110_008_dialog_1_1',0,0]]",
Home110_008_dialog_1_2,cinderella01,default,2,,,"[['Home110_008_dialog_1_2',0,0]]",
Home110_008_dialog_1_3,Femaleplayer,default,1,,,"[['Home110_008_dialog_1_3',0,0]]",
Home110_009_dialog_1_1,cinderella01,default,1,,,"[['Home110_009_dialog_1_1',0,0]]",
Home110_009_dialog_1_2,Femaleplayer,default,2,,,"[['Home110_009_dialog_1_2',0,0]]",
Home110_010_dialog_1_1,cinderella01,default,1,,,"[['Home110_010_dialog_1_1',0,0]]",
Home110_010_dialog_1_2,Femaleplayer,default,2,,,"[['Home110_010_dialog_1_2',0,0]]",
Home110_011_dialog_1_1,cinderella01,default,1,,,"[['Home110_011_dialog_1_1',0,0]]",
Home110_011_dialog_1_2,Femaleplayer,default,2,,,"[['Home110_011_dialog_1_2',0,0]]",
Home110_012_dialog_1_1,cinderella01,default,1,,,"[['Home110_012_dialog_1_1',0,0]]",
Home110_012_dialog_1_2,Femaleplayer,default,2,,,"[['Home110_012_dialog_1_2',0,0]]",
Home110_012_dialog_1_3,cinderella01,default,1,,,"[['Home110_012_dialog_1_3',0,0]]",
Home110_013_dialog_1_1,Femaleplayer,default,1,,,"[['Home110_013_dialog_1_1',0,0]]",
Home110_013_dialog_1_2,cinderella01,default,2,,,"[['Home110_013_dialog_1_2',0,0]]",
Home110_013_dialog_1_3,Femaleplayer,default,1,,,"[['Home110_013_dialog_1_3',0,0]]",
Home206_001_dialog_1_1,Feyawitch01,default,1,,,"[['Home206_001_dialog_1_1',0,0]]",
Home206_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home206_001_dialog_1_2',0,0]]",
Home206_002_dialog_1_1,Feyawitch01,default,1,,,"[['Home206_002_dialog_1_1',0,0]]",
Home206_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home206_002_dialog_1_2',0,0]]",
Home206_002_dialog_1_3,Feyawitch01,default,1,,,"[['Home206_002_dialog_1_3',0,0]]",
Home206_003_dialog_1_1,Feyawitch01,default,1,,,"[['Home206_003_dialog_1_1',0,0]]",
Home206_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home206_003_dialog_1_2',0,0]]",
Home206_004_dialog_1_1,Feyawitch01,default,1,,,"[['Home206_004_dialog_1_1',0,0]]",
Home206_004_dialog_1_2,Femaleplayer,default,2,,,"[['Home206_004_dialog_1_2',0,0]]",
Home206_005_dialog_1_1,Feyawitch01,default,1,,,"[['Home206_005_dialog_1_1',0,0]]",
Home206_005_dialog_1_2,Femaleplayer,default,2,,,"[['Home206_005_dialog_1_2',0,0]]",
Home206_006_dialog_1_1,Feyawitch01,default,1,,,"[['Home206_006_dialog_1_1',0,0]]",
Home206_006_dialog_1_2,Femaleplayer,default,2,,,"[['Home206_006_dialog_1_2',0,0]]",
Home105_001_dialog_1_1,dwarfd01,default,1,,,"[['Home105_001_dialog_1_1',0,0]]",
Home105_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home105_001_dialog_1_2',0,0]]",
Home105_002_dialog_1_1,dwarfd01,default,1,,,"[['Home105_002_dialog_1_1',0,0]]",
Home105_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home105_002_dialog_1_2',0,0]]",
Home105_002_dialog_1_3,dwarfd01,default,1,,,"[['Home105_002_dialog_1_3',0,0]]",
Home105_002_dialog_1_4,Femaleplayer,default,2,,,"[['Home105_002_dialog_1_4',0,0]]",
Home105_003_dialog_1_1,dwarfd01,default,1,,,"[['Home105_003_dialog_1_1',0,0]]",
Home105_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home105_003_dialog_1_2',0,0]]",
Home105_004_dialog_1_1,dwarfd01,default,1,,,"[['Home105_004_dialog_1_1',0,0]]",
Home105_004_dialog_1_2,Femaleplayer,default,2,,,"[['Home105_004_dialog_1_2',0,0]]",
Home111_001_dialog_1_1,Lacey01,default,1,,,"[['Home111_001_dialog_1_1',0,0]]",
Home111_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home111_001_dialog_1_2',0,0]]",
Home111_001_dialog_1_3,Lacey01,default,1,,,"[['Home111_001_dialog_1_3',0,0]]",
Home111_001_dialog_1_4,Femaleplayer,default,2,,,"[['Home111_001_dialog_1_4',0,0]]",
Home111_002_dialog_1_1,Lacey01,default,1,,,"[['Home111_002_dialog_1_1',0,0]]",
Home111_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home111_002_dialog_1_2',0,0]]",
Home111_002_dialog_1_3,Lacey01,default,1,,,"[['Home111_002_dialog_1_3',0,0]]",
Home111_003_dialog_1_1,Lacey01,default,1,,,"[['Home111_003_dialog_1_1',0,0]]",
Home111_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home111_003_dialog_1_2',0,0]]",
Home111_003_dialog_1_3,Lacey01,default,1,,,"[['Home111_003_dialog_1_3',0,0]]",
Home111_004_dialog_1_1,Lacey01,default,1,,,"[['Home111_004_dialog_1_1',0,0]]",
Home111_004_dialog_1_2,Femaleplayer,default,2,,,"[['Home111_004_dialog_1_2',0,0]]",
Home111_005_dialog_1_1,Lacey01,default,1,,,"[['Home111_005_dialog_1_1',0,0]]",
Home111_005_dialog_1_2,Femaleplayer,default,2,,,"[['Home111_005_dialog_1_2',0,0]]",
Home111_005_dialog_1_3,Lacey01,default,1,,,"[['Home111_005_dialog_1_3',0,0]]",
Home108_001_dialog_1_1,princeflorian01,default,1,,,"[['Home108_001_dialog_1_1',0,0]]",
Home108_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home108_001_dialog_1_2',0,0]]",
Home108_001_dialog_1_3,princeflorian01,default,1,,,"[['Home108_001_dialog_1_3',0,0]]",
Home108_001_dialog_1_4,Femaleplayer,default,2,,,"[['Home108_001_dialog_1_4',0,0]]",
Home108_002_dialog_1_1,princeflorian01,default,1,,,"[['Home108_002_dialog_1_1',0,0]]",
Home108_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home108_002_dialog_1_2',0,0]]",
Home108_003_dialog_1_1,princeflorian01,default,1,,,"[['Home108_003_dialog_1_1',0,0]]",
Home108_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home108_003_dialog_1_2',0,0]]",
Home108_004_dialog_1_1,princeflorian01,default,1,,,"[['Home108_004_dialog_1_1',0,0]]",
Home108_004_dialog_1_2,Femaleplayer,default,2,,,"[['Home108_004_dialog_1_2',0,0]]",
Home108_005_dialog_1_1,Femaleplayer,default,1,,,"[['Home108_005_dialog_1_1',0,0]]",
Home108_005_dialog_1_2,princeflorian01,default,2,,,"[['Home108_005_dialog_1_2',0,0]]",
Home108_005_dialog_1_3,Femaleplayer,default,1,,,"[['Home108_005_dialog_1_3',0,0]]",
Home108_006_dialog_1_1,princeflorian01,default,1,,,"[['Home108_006_dialog_1_1',0,0]]",
Home108_006_dialog_1_2,Femaleplayer,default,2,,,"[['Home108_006_dialog_1_2',0,0]]",
Home108_007_dialog_1_1,princeflorian01,default,1,,,"[['Home108_007_dialog_1_1',0,0]]",
Home108_007_dialog_1_2,Femaleplayer,default,2,,,"[['Home108_007_dialog_1_2',0,0]]",
Home108_008_dialog_1_1,princeflorian01,default,1,,,"[['Home108_008_dialog_1_1',0,0]]",
Home108_008_dialog_1_2,Femaleplayer,default,2,,,"[['Home108_008_dialog_1_2',0,0]]",
Home108_009_dialog_1_1,princeflorian01,default,1,,,"[['Home108_009_dialog_1_1',0,0]]",
Home108_009_dialog_1_2,Femaleplayer,default,2,,,"[['Home108_009_dialog_1_2',0,0]]",
Home108_010_dialog_1_1,princeflorian01,default,1,,,"[['Home108_010_dialog_1_1',0,0]]",
Home108_010_dialog_1_2,Femaleplayer,default,2,,,"[['Home108_010_dialog_1_2',0,0]]",
Home207_001_dialog_1_1,Elinawings01,default,1,,,"[['Home207_001_dialog_1_1',0,0]]",
Home207_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home207_001_dialog_1_2',0,0]]",
Home207_002_dialog_1_1,Elinawings01,default,1,,,"[['Home207_002_dialog_1_1',0,0]]",
Home207_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home207_002_dialog_1_2',0,0]]",
Home207_003_dialog_1_1,Elinawings01,default,1,,,"[['Home207_003_dialog_1_1',0,0]]",
Home207_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home207_003_dialog_1_2',0,0]]",
Home207_004_dialog_1_1,Elinawings01,default,1,,,"[['Home207_004_dialog_1_1',0,0]]",
Home207_004_dialog_1_2,Femaleplayer,default,2,,,"[['Home207_004_dialog_1_2',0,0]]",
Home109_001_dialog_1_1,sorcererguilty01,default,1,,,"[['Home109_001_dialog_1_1',0,0]]",
Home109_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home109_001_dialog_1_2',0,0]]",
Home109_002_dialog_1_1,sorcererguilty01,default,1,,,"[['Home109_002_dialog_1_1',0,0]]",
Home109_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home109_002_dialog_1_2',0,0]]",
Home109_003_dialog_1_1,sorcererguilty01,default,1,,,"[['Home109_003_dialog_1_1',0,0]]",
Home109_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home109_003_dialog_1_2',0,0]]",
Home109_004_dialog_1_1,sorcererguilty01,default,1,,,"[['Home109_004_dialog_1_1',0,0]]",
Home109_004_dialog_1_2,Femaleplayer,default,2,,,"[['Home109_004_dialog_1_2',0,0]]",
Home109_005_dialog_1_1,Femaleplayer,default,1,,,"[['Home109_005_dialog_1_1',0,0]]",
Home109_005_dialog_1_2,sorcererguilty01,default,2,,,"[['Home109_005_dialog_1_2',0,0]]",
Home109_005_dialog_1_3,Femaleplayer,default,1,,,"[['Home109_005_dialog_1_3',0,0]]",
Home201_001_dialog_1_1,dwarfgrumpynormal01,default,1,,,"[['Home201_001_dialog_1_1',0,0]]",
Home201_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home201_001_dialog_1_2',0,0]]",
Home201_002_dialog_1_1,dwarfgrumpynormal01,default,1,,,"[['Home201_002_dialog_1_1',0,0]]",
Home201_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home201_002_dialog_1_2',0,0]]",
Home201_003_dialog_1_1,dwarfgrumpynormal01,default,1,,,"[['Home201_003_dialog_1_1',0,0]]",
Home201_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home201_003_dialog_1_2',0,0]]",
Home201_004_dialog_1_1,dwarfgrumpynormal01,default,1,,,"[['Home201_004_dialog_1_1',0,0]]",
Home201_004_dialog_1_2,Femaleplayer,default,2,,,"[['Home201_004_dialog_1_2',0,0]]",
Home107_001_dialog_1_1,snowwhitemom01,default,1,,,"[['Home107_001_dialog_1_1',0,0]]",
Home107_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home107_001_dialog_1_2',0,0]]",
Home107_002_dialog_1_1,snowwhitemom01,default,1,,,"[['Home107_002_dialog_1_1',0,0]]",
Home107_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home107_002_dialog_1_2',0,0]]",
Home107_003_dialog_1_1,snowwhitemom01,default,1,,,"[['Home107_003_dialog_1_1',0,0]]",
Home107_003_dialog_1_2,Femaleplayer,default,2,,,"[['Home107_003_dialog_1_2',0,0]]",
Home107_004_dialog_1_1,snowwhitemom01,default,1,,,"[['Home107_004_dialog_1_1',0,0]]",
Home107_004_dialog_1_2,Femaleplayer,default,2,,,"[['Home107_004_dialog_1_2',0,0]]",
Home107_004_dialog_1_3,snowwhitemom01,default,1,,,"[['Home107_004_dialog_1_3',0,0]]",
Home106_001_dialog_1_1,snowwhite01,default,1,,,"[['Home106_001_dialog_1_1',0,0]]",
Home106_001_dialog_1_2,Femaleplayer,default,2,,,"[['Home106_001_dialog_1_2',0,0]]",
Home106_001_dialog_1_3,snowwhite01,default,1,,,"[['Home106_001_dialog_1_3',0,0]]",
Home106_001_dialog_1_4,Femaleplayer,default,2,,,"[['Home106_001_dialog_1_4',0,0]]",
Home106_002_dialog_1_1,snowwhite01,default,1,,,"[['Home106_002_dialog_1_1',0,0]]",
Home106_002_dialog_1_2,Femaleplayer,default,2,,,"[['Home106_002_dialog_1_2',0,0]]",
Home106_003_dialog_1_1,Femaleplayer,default,1,,,"[['Home106_003_dialog_1_1',0,0]]",
