id,type,bubbleType,title,monsterHp,hpIcon,turntableAttackWeight,turntableEnergy,turntableEnergyID,monsterReward,controlGridCircle,outAnimation,randomAnimation,randomTips,finalModel
384,1,1,ui_turntable_title,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],2,,,,
428,1,2,ui_map12_hugecotton,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],0,,,,
82,2,1,ui_interactive_title,100,,"[[1,15,200],[2,15,200],[3,15,200],[4,15,200],[5,15,200],[6,15,0]]",1,4048,[],0,,"['relax2','lookaround','happy']","['ui_interactive_tips1','ui_interactive_tips2','ui_interactive_tips3']",nino_building_mission2
646,1,2,ui_map16_monster_minihouse1,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],1,['repairing'],,,
735,1,2,ui_map18_monster_darkmatter,200,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],2,['repairing'],,,
784,1,1,ui_turntable_title,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],2,['repairing'],,,
10000,3,1,ui_interactive_title,500,ui_turn_icon,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",30,1003,[],0,,,,
1310,1,2,ui_map21_monster_sandstorm,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],1,['repairing'],,,
1498,1,2,ui_map23_monster_snow,200,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],2,['repairing'],,,
1798,1,2,ui_map25_lavatree,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],2,['repairing'],,,
199,1,2,mission7_building_icetornado,200,ui_turn_icon,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],2,['out'],,,
380,1,2,mission11_building_fog,200,ui_turn_icon,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],2,['out'],,,
294,1,2,mission9_building_well,200,ui_turn_icon,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],2,,,,
405,1,2,mission12_building_fish,200,ui_turn_icon,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],2,['repairing'],,,
453,1,2,mission13_building_tumbleweed,200,ui_turn_icon,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],2,['repairing'],,,
584,1,2,mission7_building_icetornado,200,ui_turn_icon,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],0,['out'],,,
585,1,2,mission11_building_fog,200,ui_turn_icon,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],0,['out'],,,
586,1,2,mission13_building_tumbleweed,200,ui_turn_icon,"[[1,20,100],[2,30,300],[3,40,250],[4,50,200],[5,70,100],[6,100,50]]",20,1003,[],0,['repairing'],,,
590,1,2,mission4richman_trap_chain,100,ui_turn_icon,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",10,1003,[],0,['out'],,,
591,1,2,mission4richman_trap_fence,100,ui_turn_icon,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",10,1003,[],0,['out'],,,
592,1,2,mission4richman_trap_cover,100,ui_turn_icon,"[[1,10,100],[2,20,250],[3,30,250],[4,40,220],[5,50,150],[6,100,30]]",10,1003,[],0,['out'],,,
593,1,2,mission4richman_trap_cursegrass,100,ui_turn_icon,"[[1,10,300],[2,20,200],[3,30,200],[4,40,150],[5,50,100],[6,100,50]]",10,1003,[],0,['out'],,,
3727,1,2,ui_event21_gas,300,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",777,1002,[],2,,,,
3874,1,2,ui_event22_dragon_maleguestdoor,200,ui_turn_icon,"[[1,20,300],[2,30,200],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",20,1003,[],2,['repairing'],,,
605,1,2,mission17_building_brokenwall,300,ui_turn_icon,"[[1,20,150],[2,30,350],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",28,1003,[],2,['repairing'],,,
662,1,2,mission18_monster_scaryedneve,300,ui_turn_icon,"[[1,20,150],[2,30,350],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",35,1003,[],0,['repairing'],,,
32233,1,2,ui_event2402_cloudpit,200,ui_turn_icon,"[[1,20,100],[2,30,100],[3,40,1],[4,50,100],[5,70,1],[6,100,1]]",25,1003,[],2,,,,
33813,1,2,ui_event2402_cloudpit,200,ui_turn_icon,"[[1,20,100],[2,30,100],[3,40,1],[4,50,100],[5,70,1],[6,100,1]]",10,1003,[],2,['out'],,,
694,1,2,mission19_monster_thornsdoor,300,ui_turn_icon,"[[1,20,150],[2,30,350],[3,40,200],[4,50,150],[5,70,100],[6,100,50]]",35,1003,[],0,['repairing'],,,
