sort,missionGroup,id,graphId,missionIcon,Title,dramaid,isDialogue,preMissionId,ZoneRequire,levelUnlock,exp_award,itemIdAmount,cornerMark
200013,2,repair_75201,branch_200070,common/city_apple_fence1,repair_75201,,,"[""repair_75106"",""Mission3_004buyfactory""]",,9,20,"[[1002,100]]",ui_task_type_repair
200014,2,repair_76132,branch_200071,common/city_apple_fence2,repair_76132,,,"[""repair_75201"",""Mission3_004buyfactory""]",,9,20,"[[1002,100]]",ui_task_type_repair
200015,2,Submission9_homelevel_10,branch_961,common/home_levelup,homelevel_10_sub1,,,"[""repair_76132"",""Mission3_004buyfactory""]",,9,20,"[[1002,100]]",
101,11,repair_75401,branch_200180,common/city_table_leaves,repair_75401,,,"[""Submission9_homelevel_10"",""Mission3_004buyfactory""]",,10,39,"[[1002,100]]",ui_task_type_repair
102,11,repair_75501,branch_200220,common/city_table_bench,repair_75501,,,"[""Submission9_homelevel_10"",""Mission3_004buyfactory""]",,10,39,"[[1002,100]]",ui_task_type_repair
105,11,repair_75503,branch_200240,common/city_flowerpot,repair_75503,,,"[""Submission9_homelevel_10"",""Mission3_004buyfactory""]",,10,39,"[[1002,100]]",ui_task_type_repair
106,11,Submission10_homelevel_11,branch_928,common/home_levelup,homelevel_11_sub1,,,"[""Submission9_homelevel_10"",""Mission3_004buyfactory""]",,10,39,"[[1002,100]]",
107,11,repair_76153,branch_200241,common/city_common_fence,repair_76153,,,"[""Submission10_homelevel_11"",""Mission3_004buyfactory""]",,11,45,"[[1002,100]]",ui_task_type_repair
108,11,repair_75704,branch_200310,common/city_table_corner,repair_75704,,,"[""Submission10_homelevel_11"",""Mission3_004buyfactory""]",,11,45,"[[1002,100]]",ui_task_type_repair
109,11,repair_75705,branch_200320,common/city_table_corner,repair_75705,,,"[""Submission10_homelevel_11"",""Mission3_004buyfactory""]",,11,45,"[[1002,100]]",ui_task_type_repair
110,11,Submission11_homelevel_12,branch_930,common/home_levelup,homelevel_12_sub1,,,"[""Submission10_homelevel_11"",""Mission3_004buyfactory""]",,11,45,"[[1002,100]]",
111,11,repair_75703,branch_200300,common/city_table_corner,repair_75703,,,"[""Submission11_homelevel_12"",""Mission3_004buyfactory""]",,12,75,"[[1002,100]]",ui_task_type_repair
112,11,repair_75701,branch_200280,common/city_table_corner,repair_75701,,,"[""Submission11_homelevel_12"",""Mission3_004buyfactory""]",,12,75,"[[1002,100]]",ui_task_type_repair
115,11,repair_76161,branch_200281,common/city_common_fence,repair_76161,,,"[""Submission11_homelevel_12"",""Mission3_004buyfactory""]",,12,75,"[[1002,100]]",ui_task_type_repair
116,11,Submission12_homelevel_13,branch_933,common/home_levelup,homelevel_13_sub1,,,"[""Submission11_homelevel_12"",""Mission3_004buyfactory""]",,12,75,"[[1002,100]]",
121,11,repair_75303,branch_200160,common/city_order_fence_1,repair_75303,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,13,90,"[[1002,100]]",ui_task_type_repair
122,11,repair_75302,branch_200150,common/city_common_fence,repair_75302,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,13,90,"[[1002,100]]",ui_task_type_repair
123,11,repair_76143,branch_200151,common/city_order_fence_2,repair_76143,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,13,90,"[[1002,100]]",ui_task_type_repair
124,12,Submission13_homelevel_14,branch_936,common/home_levelup,homelevel_14_sub1,,,"[""Mission3_004buyfactory""]",,13,90,"[[1002,100]]",
125,11,repair_77406,branch_200152,common/city_common_fence,repair_77406,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,14,100,"[[1002,100]]",ui_task_type_repair
126,11,repair_76001,branch_200153,common/city_fountain_big,repair_76001,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,14,100,"[[1002,100]]",ui_task_type_repair
127,11,repair_77443,branch_200154,common/city_common_fence,repair_77443,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,14,100,"[[1002,100]]",ui_task_type_repair
128,12,Submission14_homelevel_15,branch_939,common/home_levelup,homelevel_15_sub1,,,"[""Mission3_004buyfactory""]",,14,100,"[[1002,100]]",
129,11,repair_77461,branch_200155,common/city_factory_corner_1,repair_77461,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,15,110,"[[1002,100]]",ui_task_type_repair
130,11,repair_77462,branch_200156,common/city_factory_corner_1,repair_77462,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,15,110,"[[1002,100]]",ui_task_type_repair
131,12,Submission15_homelevel_16,branch_942,common/home_levelup,homelevel_16_sub1,,,"[""Mission3_004buyfactory""]",,15,110,"[[1002,100]]",
132,11,repair_77300,branch_200157,common/city_order_fence_3,repair_77300,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,16,150,"[[1002,100]]",ui_task_type_repair
133,11,repair_75891,branch_200410,common/city_common_fence,repair_75891,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,16,150,"[[1002,100]]",ui_task_type_repair
134,11,repair_77105,branch_200411,common/city_fountain_leaves,repair_77105,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,16,150,"[[1002,100]]",ui_task_type_repair
135,12,Submission16_homelevel_17,branch_944,common/home_levelup,homelevel_17_sub1,,,"[""Mission3_004buyfactory""]",,16,150,"[[1002,100]]",
136,11,repair_77104,branch_200412,common/city_fountain_corner_1,repair_77104,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,17,200,"[[1002,100]]",ui_task_type_repair
137,11,repair_77103,branch_200413,common/city_fountain_corner_1,repair_77103,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,17,200,"[[1002,100]]",ui_task_type_repair
138,11,repair_77101,branch_200414,common/city_fountain_corner_1,repair_77101,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,17,200,"[[1002,100]]",ui_task_type_repair
139,11,repair_77102,branch_200415,common/city_fountain_corner_1,repair_77102,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,17,200,"[[1002,100]]",ui_task_type_repair
140,12,Submission17_homelevel_18,branch_946,common/home_levelup,homelevel_18_sub1,,,"[""Mission3_004buyfactory""]",,17,200,"[[1002,100]]",
141,11,repair_75807,branch_200390,common/city_fountain_step_1,repair_75807,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",ui_task_type_repair
142,11,repair_75808,branch_200400,common/city_fountain_step_1,repair_75808,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",ui_task_type_repair
143,13,extension_100133,branch_200401,common/partnerhome_2,extension_100133,,,"[""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",
144,11,repair_76031,branch_200502,common/city_zone3_building1,repair_76031,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",ui_task_type_repair
145,11,repair_76032,branch_200503,common/city_zone3_building2,repair_76032,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",ui_task_type_repair
146,12,Submission18_homelevel_19,branch_948,common/home_levelup,homelevel_19_sub1,,,"[""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",
147,12,Submission19_homelevel_20,branch_950,common/home_levelup,homelevel_20_sub1,,,"[""Mission3_004buyfactory""]",,19,240,"[[1002,100]]",
148,11,repair_77201,branch_200504,common/city_fountain_leaves,repair_77201,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",ui_task_type_repair
149,11,repair_75901,branch_200505,common/city_gazebo,repair_75901,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",ui_task_type_repair
150,11,repair_75902,branch_200440,common/city_gazebo,repair_75902,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",ui_task_type_repair
151,11,repair_75903,branch_200450,common/city_gazebo,repair_75903,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",ui_task_type_repair
152,12,Submission20_homelevel_21,branch_952,common/home_levelup,homelevel_21_sub1,,,"[""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",ui_task_type_repair
153,13,extension_100134,branch_200402,common/partnerhome_3,extension_100134,,,"[""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",
154,11,repair_76041,branch_200508,common/city_zone4_building1,repair_76041,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,21,250,"[[1002,100]]",ui_task_type_repair
155,13,extension_100139,branch_200509,common/item_icon_city_lavender_house,extension_100139,,,"[""Mission3_004buyfactory""]",,28,250,"[[1002,100]]",
156,11,repair_77482,branch_200601,common/icon_city_lavender_flower,repair_77482,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,28,250,"[[1002,100]]",ui_task_type_repair
157,11,repair_77483,branch_200611,common/icon_city_lavender_table,repair_77483,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,28,250,"[[1002,100]]",ui_task_type_repair
158,11,repair_77484,branch_200621,common/icon_city_lavender_building,repair_77484,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,28,250,"[[1002,100]]",ui_task_type_repair
159,13,extension_100143,branch_200623,common/item_icon_city_flamingo_tree,extension_100143,,,"[""Mission3_004buyfactory""]",,30,250,"[[1002,100]]",
160,13,extension_100140,branch_200622,common/item_icon_city_peach_house,extension_100140,,,"[""Mission3_004buyfactory""]",,34,250,"[[1002,100]]",
161,11,repair_77485,branch_200631,common/icon_city_peach_san,repair_77485,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,34,250,"[[1002,100]]",ui_task_type_repair
162,11,repair_77486,branch_200641,common/icon_city_peach_chair,repair_77486,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,34,250,"[[1002,100]]",ui_task_type_repair
163,11,repair_77497,branch_200651,common/icon_city_peach_chair1,repair_77497,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,34,250,"[[1002,100]]",ui_task_type_repair
164,13,extension_100144,branch_200653,common/item_icon_city_firehouse_main,extension_100144,,,"[""Mission3_004buyfactory""]",,36,250,"[[1002,100]]",
165,13,extension_100141,branch_200652,common/item_icon_city_princess_house,extension_100141,,,"[""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",
166,11,repair_77488,branch_200661,common/icon_city_princess_fence,repair_77488,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",ui_task_type_repair
167,11,repair_77489,branch_200671,common/icon_city_princess_fence1,repair_77489,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",ui_task_type_repair
168,11,repair_77490,branch_200681,common/icon_city_princess_tingzi,repair_77490,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",ui_task_type_repair
169,11,repair_77491,branch_200691,common/icon_city_princess_shuqin,repair_77491,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",ui_task_type_repair
170,11,repair_77492,branch_200701,common/icon_city_princess_water,repair_77492,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",ui_task_type_repair
171,13,extension_100142,branch_200702,common/icon_elephant_main,extension_100142,,,"[""Mission3_004buyfactory""]",,40,250,"[[1002,100]]",
172,11,repair_77493,branch_200711,common/icon_city_elephant_fence,repair_77493,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,40,250,"[[1002,100]]",ui_task_type_repair
173,11,repair_77494,branch_200721,common/icon_city_elephant_water,repair_77494,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,40,250,"[[1002,100]]",ui_task_type_repair
174,11,repair_77495,branch_200731,common/icon_city_elephant_tree,repair_77495,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,40,250,"[[1002,100]]",ui_task_type_repair
175,11,repair_77496,branch_200741,common/icon_city_elephant_tree1,repair_77496,,,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,40,250,"[[1002,100]]",ui_task_type_repair
315,,repair_75111,branch_200050,common/building_story24_swing,repair_building,,,"[""partnersub117_006""]",,99,18,"[[1002,100]]",ui_task_type_repair
320,,repair_75112,branch_200060,common/building_story24_swing,repair_building,,,"[""partnersub117_006""]",,99,18,"[[1002,100]]",ui_task_type_repair
325,,repair_75105,branch_200020,common/building_story24_swing,repair_building,,,"[""partnersub117_006""]",,99,20,"[[1002,100]]",ui_task_type_repair
330,,repair_75107,branch_200040,common/building_story24_swing,repair_building,,,"[""partnersub117_006""]",,99,20,"[[1002,100]]",ui_task_type_repair
335,,repair_75202,branch_200080,common/building_story24_swing,repair_building,,,"[""partnersub117_006""]",,99,39,"[[1002,100]]",ui_task_type_repair
340,,repair_75291,branch_200090,common/building_story24_swing,repair_building,,,"[""partnersub117_006""]",,99,39,"[[1002,100]]",ui_task_type_repair
345,,repair_75292,branch_200100,common/building_story24_swing,repair_building,,,"[""partnersub117_006""]",,99,39,"[[1002,100]]",ui_task_type_repair
350,,repair_75293,branch_200110,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,45,"[[1002,100]]",ui_task_type_repair
355,,repair_75294,branch_200120,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,45,"[[1002,100]]",ui_task_type_repair
360,,repair_75295,branch_200130,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,45,"[[1002,100]]",ui_task_type_repair
365,,repair_75301,branch_200140,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,75,"[[1002,100]]",ui_task_type_repair
370,,repair_75304,branch_200170,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,75,"[[1002,100]]",ui_task_type_repair
375,,repair_75402,branch_200190,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,90,"[[1002,100]]",ui_task_type_repair
380,,repair_75403,branch_200200,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,90,"[[1002,100]]",ui_task_type_repair
385,,repair_75404,branch_200210,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,90,"[[1002,100]]",ui_task_type_repair
390,,repair_75502,branch_200230,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,100,"[[1002,100]]",ui_task_type_repair
395,,repair_75504,branch_200250,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,100,"[[1002,100]]",ui_task_type_repair
400,,repair_75601,branch_200260,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,110,"[[1002,100]]",ui_task_type_repair
405,,repair_75602,branch_200270,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,110,"[[1002,100]]",ui_task_type_repair
410,,repair_75702,branch_200290,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,110,"[[1002,100]]",ui_task_type_repair
415,,repair_75801,branch_200330,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,200,"[[1002,100]]",ui_task_type_repair
420,,repair_75802,branch_200340,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,200,"[[1002,100]]",ui_task_type_repair
425,,repair_75803,branch_200350,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,200,"[[1002,100]]",ui_task_type_repair
430,,repair_75804,branch_200360,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,200,"[[1002,100]]",ui_task_type_repair
435,,repair_75805,branch_200370,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,225,"[[1002,100]]",ui_task_type_repair
440,,repair_75806,branch_200380,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,225,"[[1002,100]]",ui_task_type_repair
445,,repair_75892,branch_200420,common/Guide_level8_treeofeternity_icon0,repair_building,,,"[""partnersub117_006""]",,99,240,"[[1002,100]]",ui_task_type_repair
210002,3,Order_7,branch_1167,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""levelup_101_1""]",,7,14,"[[1002,100]]",
210011,3,Order_8,branch_1168,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""levelup_103_1""]",,8,18,"[[1002,100]]",
210017,3,Order_9,branch_1169,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""levelup_104_1""]",,9,20,"[[1002,100]]",
210023,3,Order_10,branch_1170,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""levelup_102_3""]",,10,39,"[[1002,100]]",
210028,3,Order_11,branch_1171,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""partnersub102_005""]",,10,45,"[[1002,100]]",
210052,3,Order_12,branch_1172,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""partnersub110_002""]",,12,75,"[[1002,100]]",
1060,,Order_13,branch_1173,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_12""]",,13,90,"[[1002,100]]",
1070,,Order_14,branch_1174,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_13""]",,14,100,"[[1002,100]]",
1080,,Order_15,branch_1175,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_14""]",,15,110,"[[1002,100]]",
1090,,Order_16,branch_1178,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_15""]",,16,150,"[[1002,100]]",
1100,,Order_17,branch_1179,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_16""]",,17,200,"[[1002,100]]",
1110,,Order_18,branch_1180,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_17""]",,18,225,"[[1002,100]]",
1120,,Order_19,branch_1181,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_18""]",,19,240,"[[1002,100]]",
1130,,Order_20,branch_1182,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_19""]",,20,244,"[[1002,100]]",
1140,,Order_21,branch_1183,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_20""]",,21,250,"[[1002,100]]",
1150,,Order_22,branch_1185,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_21""]",,22,250,"[[1002,100]]",
1160,,Order_23,branch_291186,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_22""]",,23,250,"[[1002,100]]",
1170,,Order_24,branch_291187,common/Description_001FindOrderboard_sub2,levelup_102_2_sub3,,,"[""Order_23""]",,24,250,"[[1002,100]]",
2010,,Submission7_map3star_1,branch_958,common/map_3star1,map_3,,,"[""Mission1_12Lookingformultilace""]",,999,14,"[[1002,100]]",
2020,,Submission8_map3star_2,branch_960,common/map_3star2,map_3,,,"[""Submission7_map3star_1""]",,999,18,"[[1002,100]]",
2030,,Submission9_map3star_3,branch_962,common/map_3star3,map_3,,,"[""Submission8_map3star_2""]",,999,20,"[[1002,100]]",
2040,,Submission10_map3star_4,branch_929,common/map_3star4,map_3,,,"[""Submission9_map3star_3""]",,999,39,"[[1002,100]]",
2050,,Submission11_map3star_5,branch_931,common/map_3star5,map_3,,,"[""Submission10_map3star_4""]",,999,45,"[[1002,100]]",
2060,,Submission12_map3star_6,branch_934,common/map_3star6,map_3,,,"[""Submission11_map3star_5""]",,999,75,"[[1002,100]]",
2070,,Submission13_map3star_7,branch_937,common/map_3star7,map_3,,,"[""Submission12_map3star_6""]",,13,90,"[[1002,100]]",
2080,,Submission14_map3star_8,branch_940,common/map_3star8,map_3,,,"[""Submission13_map3star_7""]",,14,100,"[[1002,100]]",
2090,,Submission15_map3star_9,branch_943,common/map_3star9,map_3,,,"[""Submission14_map3star_8""]",,15,110,"[[1002,100]]",
2100,,Submission16_map3star_10,branch_945,common/map_3star10,map_3,,,"[""Submission15_map3star_9""]",,16,150,"[[1002,100]]",
2110,,Submission17_map3star_11,branch_947,common/map_3star11,map_3,,,"[""Submission16_map3star_10""]",,17,200,"[[1002,100]]",
2120,,Submission18_map3star_12,branch_949,common/map_3star12,map_3,,,"[""Submission17_map3star_11""]",,18,225,"[[1002,100]]",
2130,,Submission19_map3star_13,branch_951,common/map_3star13,map_3,,,"[""Submission18_map3star_12""]",,19,240,"[[1002,100]]",
2140,,Submission20_map3star_14,branch_953,common/map_3star14,map_3,,,"[""Submission19_map3star_13""]",,20,244,"[[1002,100]]",
2150,,Submission21_map3star_15,branch_955,common/map_3star15,map_3,,,"[""Submission20_map3star_14""]",,21,250,"[[1002,100]]",
2160,,Submission22_map3star_16,branch_956,common/map_3star16,map_3,,,"[""Submission21_map3star_15""]",,22,250,"[[1002,100]]",
2170,,Submission23_map3star_17,branch_29956,common/map_3star17,map_3,,,"[""Submission22_map3star_16""]",,23,250,"[[1002,100]]",
210003,3,partnersub102_001,branch_11012,common/levelup_101_icon,partnersub102_001,partnersub102_001after_dialog,1,"[""Order_7"",""Mission1_12Lookingformultilace""]",,7,14,"[[1002,50]]",
210009,3,partnersub103_001,branch_11052,common/levelup_102_icon,partnersub103_001,partnersub103_001after_dialog,1,"[""partnersub101_004"",""Mission3_004FindDoris""]",,8,18,"[[1002,50]]",
210015,3,partnersub104_001,branch_11092,common/levelup_103_icon,partnersub104_001,partnersub104_001after_dialog,1,"[""partnersub102_007"",""Mission3_011FindExport""]",,9,20,"[[1002,50]]",
210049,3,partnersub110_001,branch_11132,common/levelup_104_icon,partnersub110_001,partnersub110_001after_dialog,1,"[""Mission5_015UsetheMoon"",""partnersub104_003""]",,12,75,"[[1002,50]]",
9040,7,partnersub105_005,branch_11172,common/levelup_110_icon,partnersub105_005,partnersub105_005after_dialog,1,"[""Mission6_007Wakeup""]",,13,90,"[[1002,50]]",
9050,7,partnersub108_001,branch_11212,common/levelup_105_subicon,partnersub108_001,partnersub108_001after_dialog,1,"[""Mission7_011Cooperation""]",,14,100,"[[1002,50]]",
9060,7,partnersub108_003,branch_11213,common/levelup_108_icon,partnersub108_003,,,"[""partnersub108_001""]",,14,100,"[[1002,50]]",
9070,7,partnersub109_003,branch_11254,common/levelup_109_icon,partnersub109_003,,,"[""Mission8_008trappedwizard""]",,15,110,"[[1002,50]]",
9080,7,partnersub109_001,branch_11252,common/levelup_108_subicon,partnersub109_001,partnersub109_001after_dialog,1,"[""partnersub109_003""]",,15,110,"[[1002,50]]",
9090,7,partnersub107_002,branch_11293,common/levelup_107_subicon,partnersub107_002,,,"[""Mission9_013Pursued""]",,16,150,"[[1002,50]]",
9100,7,partnersub107_007,branch_11294,common/levelup_109_subicon,partnersub107_007,partnersub107_007after_dialog,1,"[""partnersub107_002""]",,16,150,"[[1002,50]]",
9110,7,partnersub106_002,branch_11333,common/levelup_106_subicon,partnersub106_002,,,"[""Mission10_014clockgame""]",,17,200,"[[1002,50]]",
9120,7,partnersub106_007,branch_11334,common/levelup_107_subicon,partnersub106_007,partnersub106_007after_dialog,1,"[""partnersub106_002""]",,17,200,"[[1002,50]]",
9130,7,partnersub112_003,branch_11373,common/Description13_009SeaWitch_sub2,partnersub112_003,,,"[""Mission11_013heartoftheocean2""]",,18,225,"[[1002,50]]",
9140,7,partnersub112_001,branch_11374,common/levelup_106_subicon,partnersub112_001,partnersub112_001after_dialog,1,"[""partnersub112_003""]",,18,225,"[[1002,50]]",
9150,7,partnersub113_003,branch_11413,common/mermaidalana01_head,partnersub113_003,,,"[""Mission12_014secretbase""]",,19,240,"[[1002,50]]",
9160,7,partnersub113_001,branch_11414,common/Description13_009SeaWitch_sub2,partnersub113_001,partnersub113_001after_dialog,1,"[""partnersub113_003""]",,19,240,"[[1002,50]]",
9170,7,partnersub114_003,branch_11453,common/Description13_004SandDanger_sub3,partnersub114_003,,,"[""Mission13_010FaceDifficulties2""]",,20,244,"[[1002,50]]",
9180,7,partnersub114_001,branch_11454,common/mermaidalana01_head,partnersub114_001,partnersub114_001after_dialog,1,"[""partnersub114_003""]",,20,244,"[[1002,50]]",
9190,7,partnersub115_003,branch_11493,common/seakingtriton01_head,partnersub115_003,,,"[""Mission14_010wish""]",,21,250,"[[1002,50]]",
9200,7,partnersub115_001,branch_11494,common/Description13_004SandDanger_sub3,partnersub115_001,partnersub115_001after_dialog,1,"[""partnersub115_003""]",,21,250,"[[1002,50]]",
9210,7,partnersub116_003,branch_11533,common/levelup_116_subicon,partnersub116_003,,,"[""Mission15_015SadEnd2""]",,22,250,"[[1002,50]]",
9220,7,partnersub116_001,branch_11534,common/seakingtriton01_head,partnersub116_001,partnersub116_001after_dialog,1,"[""partnersub116_003""]",,22,250,"[[1002,50]]",
9230,7,partnersub117_003,branch_11573,common/princefinn01_head,partnersub117_003,,,"[""Mission16_016Witchstrack2""]",,23,250,"[[1002,50]]",
9240,7,partnersub117_001,branch_11574,common/levelup_116_subicon,partnersub117_001,partnersub117_001after_dialog,1,"[""partnersub117_003""]",,23,250,"[[1002,50]]",
9250,7,partnersub118_002,branch_11580,common/leonie01_head,partnersub118_002,,,"[""Mission17_018waytoleave""]",,24,250,"[[1002,50]]",
9260,7,partnersub118_001,branch_11614,common/princefinn01_head,partnersub118_001,partnersub118_001after_dialog,1,"[""partnersub118_002""]",,24,250,"[[1002,50]]",
210001,3,levelup_101_1,branch_10998,common/levelup_101_icon,levelup_101,,,[],,7,14,"[[1002,100]]",
