id,group,unlockLevel,unlockCondition,conditionParam1,conditionParam2,payLabel,shopId,energyMethod,energyNum,eventTime,nextId,OrdinaryId,midId,bigId,
803,800,10,1,2023-11-21 19:00:00,2023-11-23 19:00:00,"[3,4]",26,"[350,5]",1750,1440,804,,,,
804,800,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
805,800,10,1,2023-11-21 19:00:00,2023-11-23 19:00:00,"[5,6]",38,"[400,5]",2000,1440,806,,,,
806,800,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
807,800,10,1,2023-11-21 19:00:00,2023-11-23 19:00:00,[7],40,"[760,5]",3800,1440,808,,,,
808,800,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
901,900,10,1,2023-11-25 19:00:00,2023-11-27 19:00:00,"[1,2]",41,"[172,5]",860,1440,902,,,,
902,900,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
903,900,10,1,2023-11-25 19:00:00,2023-11-27 19:00:00,"[3,4]",26,"[350,5]",1750,1440,904,,,,
904,900,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
905,900,10,1,2023-11-25 19:00:00,2023-11-27 19:00:00,"[5,6]",38,"[400,5]",2000,1440,906,,,,
906,900,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
907,900,10,1,2023-11-25 19:00:00,2023-11-27 19:00:00,[7],40,"[760,5]",3800,1440,908,,,,
908,900,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
911,911,10,1,2023-11-28 19:00:00,2023-11-30 19:00:00,"[1,2]",41,"[172,5]",860,1440,912,,,,
912,911,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
913,911,10,1,2023-11-28 19:00:00,2023-11-30 19:00:00,"[3,4]",26,"[350,5]",1750,1440,914,,,,
914,911,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
915,911,10,1,2023-11-28 19:00:00,2023-11-30 19:00:00,"[5,6]",38,"[400,5]",2000,1440,916,,,,
916,911,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
917,911,10,1,2023-11-28 19:00:00,2023-11-30 19:00:00,[7],40,"[760,5]",3800,1440,918,,,,
918,911,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
921,921,10,1,2023-12-2 19:00:00,2023-12-4 19:00:00,"[1,2]",41,"[172,5]",860,1440,922,,,,
922,921,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
923,921,10,1,2023-12-2 19:00:00,2023-12-4 19:00:00,"[3,4]",26,"[350,5]",1750,1440,924,,,,
924,921,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
925,921,10,1,2023-12-2 19:00:00,2023-12-4 19:00:00,"[5,6]",38,"[400,5]",2000,1440,926,,,,
926,921,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
927,921,10,1,2023-12-2 19:00:00,2023-12-4 19:00:00,[7],40,"[760,5]",3800,1440,928,,,,
928,921,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
931,931,10,1,2023-12-5 19:00:00,2023-12-7 19:00:00,"[1,2]",41,"[172,5]",860,1440,932,,,,
932,931,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
933,931,10,1,2023-12-5 19:00:00,2023-12-7 19:00:00,"[3,4]",26,"[350,5]",1750,1440,934,,,,
934,931,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
935,931,10,1,2023-12-5 19:00:00,2023-12-7 19:00:00,"[5,6]",38,"[400,5]",2000,1440,936,,,,
936,931,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
937,931,10,1,2023-12-5 19:00:00,2023-12-7 19:00:00,[7],40,"[760,5]",3800,1440,938,,,,
938,931,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
941,941,10,1,2023-12-9 19:00:00,2023-12-11 19:00:00,"[1,2]",41,"[172,5]",860,1440,942,,,,
942,941,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
943,941,10,1,2023-12-9 19:00:00,2023-12-11 19:00:00,"[3,4]",26,"[350,5]",1750,1440,944,,,,
944,941,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
945,941,10,1,2023-12-9 19:00:00,2023-12-11 19:00:00,"[5,6]",38,"[400,5]",2000,1440,946,,,,
946,941,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
947,941,10,1,2023-12-9 19:00:00,2023-12-11 19:00:00,[7],40,"[760,5]",3800,1440,948,,,,
948,941,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
961,961,10,1,2023-12-12 19:00:00,2023-12-14 19:00:00,"[1,2]",41,"[172,5]",860,1440,962,,,,
962,961,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
963,961,10,1,2023-12-12 19:00:00,2023-12-14 19:00:00,"[3,4]",26,"[350,5]",1750,1440,964,,,,
964,961,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
965,961,10,1,2023-12-12 19:00:00,2023-12-14 19:00:00,"[5,6]",38,"[400,5]",2000,1440,966,,,,
966,961,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
967,961,10,1,2023-12-12 19:00:00,2023-12-14 19:00:00,[7],40,"[760,5]",3800,1440,968,,,,
968,961,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
971,971,10,1,2023-12-16 19:00:00,2023-12-18 19:00:00,"[1,2]",41,"[172,5]",860,1440,972,,,,
972,971,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
973,971,10,1,2023-12-16 19:00:00,2023-12-18 19:00:00,"[3,4]",26,"[350,5]",1750,1440,974,,,,
974,971,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
975,971,10,1,2023-12-16 19:00:00,2023-12-18 19:00:00,"[5,6]",38,"[400,5]",2000,1440,976,,,,
976,971,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
977,971,10,1,2023-12-16 19:00:00,2023-12-18 19:00:00,[7],40,"[760,5]",3800,1440,978,,,,
978,971,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
981,981,10,1,2023-12-19 19:00:00,2023-12-21 19:00:00,"[1,2]",41,"[172,5]",860,1440,982,,,,
982,981,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
983,981,10,1,2023-12-19 19:00:00,2023-12-21 19:00:00,"[3,4]",26,"[350,5]",1750,1440,984,,,,
984,981,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
985,981,10,1,2023-12-19 19:00:00,2023-12-21 19:00:00,"[5,6]",38,"[400,5]",2000,1440,986,,,,
986,981,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
987,981,10,1,2023-12-19 19:00:00,2023-12-21 19:00:00,[7],40,"[760,5]",3800,1440,988,,,,
988,981,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
991,991,10,1,2023-12-23 19:00:00,2023-12-25 19:00:00,"[1,2]",41,"[172,5]",860,1440,992,,,,
992,991,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
993,991,10,1,2023-12-23 19:00:00,2023-12-25 19:00:00,"[3,4]",26,"[350,5]",1750,1440,994,,,,
994,991,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
995,991,10,1,2023-12-23 19:00:00,2023-12-25 19:00:00,"[5,6]",38,"[400,5]",2000,1440,996,,,,
996,991,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
997,991,10,1,2023-12-23 19:00:00,2023-12-25 19:00:00,[7],40,"[760,5]",3800,1440,998,,,,
998,991,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1001,1001,10,1,2023-12-26 19:00:00,2023-12-28 19:00:00,"[1,2]",41,"[172,5]",860,1440,1002,,,,
1002,1001,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1003,1001,10,1,2023-12-26 19:00:00,2023-12-28 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1004,,,,
1004,1001,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1005,1001,10,1,2023-12-26 19:00:00,2023-12-28 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1006,,,,
1006,1001,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1007,1001,10,1,2023-12-26 19:00:00,2023-12-28 19:00:00,[7],40,"[760,5]",3800,1440,1008,,,,
1008,1001,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1011,991,10,1,2023-12-30 19:00:00,2024-1-1 19:00:00,"[1,2]",41,"[172,5]",860,1440,1012,,,,
1012,991,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1013,991,10,1,2023-12-30 19:00:00,2024-1-1 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1014,,,,
1014,991,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1015,991,10,1,2023-12-30 19:00:00,2024-1-1 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1016,,,,
1016,991,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1017,991,10,1,2023-12-30 19:00:00,2024-1-1 19:00:00,[7],40,"[760,5]",3800,1440,1018,,,,
1018,991,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1021,1001,10,1,2024-1-2 19:00:00,2024-1-4 19:00:00,"[1,2]",41,"[172,5]",860,1440,1022,,,,
1022,1001,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1023,1001,10,1,2024-1-2 19:00:00,2024-1-4 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1024,,,,
1024,1001,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1025,1001,10,1,2024-1-2 19:00:00,2024-1-4 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1026,,,,
1026,1001,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1027,1001,10,1,2024-1-2 19:00:00,2024-1-4 19:00:00,[7],40,"[760,5]",3800,1440,1028,,,,
1028,1001,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1031,1031,10,1,2024-1-6 19:00:00,2024-1-8 19:00:00,"[1,2]",41,"[172,5]",860,1440,1032,,,,
1032,1031,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1033,1031,10,1,2024-1-6 19:00:00,2024-1-8 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1034,,,,
1034,1031,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1035,1031,10,1,2024-1-6 19:00:00,2024-1-8 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1036,,,,
1036,1031,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1037,1031,10,1,2024-1-6 19:00:00,2024-1-8 19:00:00,[7],40,"[760,5]",3800,1440,1038,,,,
1038,1031,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1041,1041,10,1,2024-1-9 19:00:00,2024-1-11 19:00:00,"[1,2]",41,"[172,5]",860,1440,1042,,,,
1042,1041,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1043,1041,10,1,2024-1-9 19:00:00,2024-1-11 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1044,,,,
1044,1041,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1045,1041,10,1,2024-1-9 19:00:00,2024-1-11 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1046,,,,
1046,1041,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1047,1041,10,1,2024-1-9 19:00:00,2024-1-11 19:00:00,[7],40,"[760,5]",3800,1440,1048,,,,
1048,1041,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1051,1051,10,1,2024-1-13 19:00:00,2024-1-15 19:00:00,"[1,2]",41,"[172,5]",860,1440,1052,,,,
1052,1051,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1053,1051,10,1,2024-1-13 19:00:00,2024-1-15 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1054,,,,
1054,1051,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1055,1051,10,1,2024-1-13 19:00:00,2024-1-15 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1056,,,,
1056,1051,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1057,1051,10,1,2024-1-13 19:00:00,2024-1-15 19:00:00,[7],40,"[760,5]",3800,1440,1058,,,,
1058,1051,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1061,1061,10,1,2024-1-16 19:00:00,2024-1-18 19:00:00,"[1,2]",41,"[172,5]",860,1440,1062,,,,
1062,1061,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1063,1061,10,1,2024-1-16 19:00:00,2024-1-18 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1064,,,,
1064,1061,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1065,1061,10,1,2024-1-16 19:00:00,2024-1-18 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1066,,,,
1066,1061,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1067,1061,10,1,2024-1-16 19:00:00,2024-1-18 19:00:00,[7],40,"[760,5]",3800,1440,1068,,,,
1068,1061,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1071,1071,10,1,2024-1-20 19:00:00,2024-1-22 19:00:00,"[1,2]",41,"[172,5]",860,1440,1072,,,,
1072,1071,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1073,1071,10,1,2024-1-20 19:00:00,2024-1-22 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1074,,,,
1074,1071,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1075,1071,10,1,2024-1-20 19:00:00,2024-1-22 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1076,,,,
1076,1071,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1077,1071,10,1,2024-1-20 19:00:00,2024-1-22 19:00:00,[7],40,"[760,5]",3800,1440,1078,,,,
1078,1071,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1081,1082,10,1,2024-3-5 19:00:00,2024-3-7 19:00:00,"[1,2]",41,"[172,5]",860,1440,1082,,,,
1082,1082,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1083,1082,10,1,2024-3-5 19:00:00,2024-3-7 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1084,,,,
1084,1082,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1085,1082,10,1,2024-3-5 19:00:00,2024-3-7 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1086,,,,
1086,1082,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1087,1082,10,1,2024-3-5 19:00:00,2024-3-7 19:00:00,[7],40,"[760,5]",3800,1440,1088,,,,
1088,1082,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1091,1092,10,1,2024-3-9 19:00:00,2024-3-11 19:00:00,"[1,2]",41,"[172,5]",860,1440,1092,,,,
1092,1092,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1093,1092,10,1,2024-3-9 19:00:00,2024-3-11 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1094,,,,
1094,1092,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1095,1092,10,1,2024-3-9 19:00:00,2024-3-11 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1096,,,,
1096,1092,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1097,1092,10,1,2024-3-9 19:00:00,2024-3-11 19:00:00,[7],40,"[760,5]",3800,1440,1098,,,,
1098,1092,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1101,1102,10,1,2024-3-12 19:00:00,2024-3-14 19:00:00,"[1,2]",41,"[172,5]",860,1440,1102,,,,
1102,1102,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1103,1102,10,1,2024-3-12 19:00:00,2024-3-14 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1104,,,,
1104,1102,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1105,1102,10,1,2024-3-12 19:00:00,2024-3-14 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1106,,,,
1106,1102,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1107,1102,10,1,2024-3-12 19:00:00,2024-3-14 19:00:00,[7],40,"[760,5]",3800,1440,1108,,,,
1108,1102,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1111,1112,10,1,2024-3-16 19:00:00,2024-3-18 19:00:00,"[1,2]",41,"[172,5]",860,1440,1112,,,,
1112,1112,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1113,1112,10,1,2024-3-16 19:00:00,2024-3-18 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1114,,,,
1114,1112,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1115,1112,10,1,2024-3-16 19:00:00,2024-3-18 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1116,,,,
1116,1112,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1117,1112,10,1,2024-3-16 19:00:00,2024-3-18 19:00:00,[7],40,"[760,5]",3800,1440,1118,,,,
1118,1112,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1121,1121,10,1,2024-3-19 19:00:00,2024-3-21 19:00:00,"[1,2]",41,"[172,5]",860,1440,1122,,,,
1122,1121,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1123,1121,10,1,2024-3-19 19:00:00,2024-3-21 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1124,,,,
1124,1121,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1125,1121,10,1,2024-3-19 19:00:00,2024-3-21 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1126,,,,
1126,1121,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1127,1121,10,1,2024-3-19 19:00:00,2024-3-21 19:00:00,[7],40,"[760,5]",3800,1440,1128,,,,
1128,1121,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1131,1130,10,1,2024-3-23 19:00:00,2024-3-25 19:00:00,"[1,2]",41,"[172,5]",860,1440,1132,,,,
1132,1130,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1133,1130,10,1,2024-3-23 19:00:00,2024-3-25 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1134,,,,
1134,1130,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1135,1130,10,1,2024-3-23 19:00:00,2024-3-25 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1136,,,,
1136,1130,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1137,1130,10,1,2024-3-23 19:00:00,2024-3-25 19:00:00,[7],40,"[760,5]",3800,1440,1138,,,,
1138,1130,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1141,1141,10,1,2024-3-26 19:00:00,2024-3-28 19:00:00,"[1,2]",41,"[172,5]",860,1440,1142,,,,
1142,1141,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1143,1141,10,1,2024-3-26 19:00:00,2024-3-28 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1144,,,,
1144,1141,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1145,1141,10,1,2024-3-26 19:00:00,2024-3-28 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1146,,,,
1146,1141,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1147,1141,10,1,2024-3-26 19:00:00,2024-3-28 19:00:00,[7],40,"[760,5]",3800,1440,1148,,,,
1148,1141,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1151,1151,10,1,2024-3-30 19:00:00,2024-4-1 19:00:00,"[1,2]",41,"[172,5]",860,1440,1152,,,,
1152,1151,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1153,1151,10,1,2024-3-30 19:00:00,2024-4-1 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1154,,,,
1154,1151,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1155,1151,10,1,2024-3-30 19:00:00,2024-4-1 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1156,,,,
1156,1151,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1157,1151,10,1,2024-3-30 19:00:00,2024-4-1 19:00:00,[7],40,"[760,5]",3800,1440,1158,,,,
1158,1151,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1161,1161,10,1,2024-4-2 19:00:00,2024-4-4 19:00:00,"[1,2]",41,"[172,5]",860,1440,1162,,,,
1162,1161,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1163,1161,10,1,2024-4-2 19:00:00,2024-4-4 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1164,,,,
1164,1161,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1165,1161,10,1,2024-4-2 19:00:00,2024-4-4 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1166,,,,
1166,1161,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1167,1161,10,1,2024-4-2 19:00:00,2024-4-4 19:00:00,[7],40,"[760,5]",3800,1440,1168,,,,
1168,1161,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1171,1171,10,1,2024-2-24 19:00:00,2024-2-26 19:00:00,"[1,2]",41,"[172,5]",860,1440,1172,,,,
1172,1171,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1173,1171,10,1,2024-2-24 19:00:00,2024-2-26 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1174,,,,
1174,1171,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1175,1171,10,1,2024-2-24 19:00:00,2024-2-26 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1176,,,,
1176,1171,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1177,1171,10,1,2024-2-24 19:00:00,2024-2-26 19:00:00,[7],40,"[760,5]",3800,1440,1178,,,,
1178,1171,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1181,1181,10,1,2024-2-27 19:00:00,2024-2-29 19:00:00,"[1,2]",41,"[172,5]",860,1440,1182,,,,
1182,1181,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
