id,orderNum,gold,exp,energy,rewardValue,minEnergy,maxEnergy,threeItem,isZero,dragonOrderNumMin,dragonOrderNum,dragonOrderProbability,dragonOrderFinishNum,orderNormalWeight,orderDifficultWeight,dragonOrderTime,orderNormalTime,orderDifficultTime,orderDifficultReward,orderFulfillTarget,orderFulfillReward_1,orderFulfillReward_2,orderFulfillReward_3,itemDynamicWeight,tiredNumSection,recycleDragonGold,energyDecay,IncompleteNum,orderDifficultNum,
11,6,3,3,0.15,"[0.5,1.5]",10,26,"[[600,1],[400,0.6],[0,0.6]]","[0.8,1]",1,3,0.8,99,"[611,389,0,0,0]","[0,1000,0,0,0]",12,"[36,71,0,0,0]",100,"[3011,3012,3013]","[5,10,15]","[[1002,200]]","[[1002,300],[1001,2]]","[[1002,500],[1001,3]]",[],"[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",6.48,[],1,1,
12,6,3.1,6,0.15,"[0.5,1.5]",10,27,"[[200,1],[500,0.7],[300,0.7]]","[0.8,1]",1,3,0.6,99,"[585,415,0,0,0]","[0,1000,0,0,0]",15,"[56,81,0,0,0]",140,"[3011,3012,3013]","[5,10,15]","[[1002,500]]","[[1002,700],[1001,2]]","[[1002,1000],[1001,3]]",[],"[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",6.99,[],1,1,
13,6,3.2,5.3,0.06,"[0.5,1.5]",10,28,"[[200,1],[500,0.7],[300,0.7]]","[0.8,1]",1,3,0.6,10,"[582,418,0,0,0]","[0,1000,0,0,0]",18,"[75,104,0,0,0]",189,"[3011,3012,3013]","[5,10,15]","[[1002,800]]","[[1002,1000],[15000,2]]","[[1002,1200],[16000,2],[1001,2]]",[],"[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",7.55,[],1,1,
14,7,3.19,5.21,0.06,"[0.5,1.5]",10,29,"[[200,1],[500,0.7],[300,0.7]]","[0.8,1]",1,3,0.3,10,"[582,418,0,0,0]","[0,1000,0,0,0]",20,"[66,92,0,0,0]",189,"[3011,3012,3013]","[5,10,15]","[[1002,800]]","[[1002,1000],[15000,2]]","[[1002,1200],[16000,2],[1001,2]]",[],"[[1,1,15],[1.2,16,20],[1.4,21,25],[1.8,26]]",8.16,[],2,2,
15,7,3.18,5.12,0.05,"[0.5,1.5]",10,30,"[[200,1],[500,0.8],[300,0.7]]","[0.8,1]",1,3,0.3,10,"[605,395,0,0,0]","[0,1000,0,0,0]",22,"[62,95,0,0,0]",197,"[3011,3012,3013]","[5,10,15]","[[1002,800]]","[[1002,1000],[15000,2]]","[[1002,1200],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",8.81,[],2,2,
16,7,3.17,5.03,0.05,"[0.5,1.5]",10,30,"[[200,1],[500,0.8],[300,0.7]]","[0.3,1]",1,3,0.3,10,"[632,368,0,0,0]","[0,1000,0,0,0]",24,"[73,145,0,0,0]",778,"[3011,3012,3013]","[5,10,15]","[[1002,800]]","[[1002,1000],[15000,2]]","[[1002,1200],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",9.52,[],2,2,
17,7,3.16,4.94,0.05,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[665,335,0,0,0]","[0,1000,0,0,0]",26,"[119,238,0,0,0]",843,"[3011,3012,3013]","[5,10,15]","[[1002,800]]","[[1002,1000],[15000,2]]","[[1002,1200],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",10.28,[],2,2,
18,7,3.15,4.85,0.05,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[473,370,158,0,0]","[0,0,1000,0,0]",28,"[120,239,388,0,0]",929,"[3011,3012,3013]","[5,10,15]","[[1002,800]]","[[1002,1000],[15000,2]]","[[1002,1200],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",11.1,[],2,2,
19,8,3.14,4.76,0.05,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[474,394,131,0,0]","[0,0,1000,0,0]",30,"[125,248,404,0,0]",994,"[3011,3012,3013]","[5,10,15]","[[1002,800]]","[[1002,1000],[15000,2]]","[[1002,1200],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",11.99,[],2,2,
20,8,2.85,4.67,0.037,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[209,435,278,78,0]","[0,0,500,500,0]",32,"[94,185,300,392,0]",1141,"[3011,3012,3013]","[5,10,15]","[[1002,800]]","[[1002,1000],[15000,2]]","[[1002,1200],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",12.95,[],2,2,
21,8,2.79,4.58,0.036,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[218,455,255,73,0]","[0,0,500,500,0]",34,"[93,184,298,389,0]",1187,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",13.98,[],2,2,
22,8,2.73,4.49,0.036,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[210,448,267,76,0]","[0,0,500,500,0]",36,"[87,174,283,370,0]",1257,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",15.1,[],2,2,
23,8,2.68,4.4,0.035,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[210,448,267,76,0]","[0,0,500,500,0]",38,"[136,272,442,578,0]",1304,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",16.31,[],2,2,
24,8,2.62,4.32,0.026,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[221,443,254,82,0]","[0,0,500,500,0]",40,"[146,290,471,616,0]",1352,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",17.61,[],2,2,
25,9,2.57,4.24,0.025,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[231,436,248,85,0]","[0,0,500,500,0]",42,"[151,302,489,640,0]",1401,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",19.02,[],2,2,
26,9,2.52,4.16,0.025,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[239,451,221,88,0]","[0,0,500,500,0]",44,"[157,312,507,661,0]",1450,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",20.55,[],2,2,
27,9,2.47,4.08,0.025,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[244,466,198,92,0]","[0,0,500,500,0]",46,"[158,315,511,667,0]",1501,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",22.19,[],2,2,
28,9,2.43,4,0.024,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[250,477,188,86,0]","[0,0,0,1000,0]",48,"[161,320,520,681,0]",1553,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",23.96,[],2,2,
29,9,2.38,3.92,0.024,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[252,480,189,79,0]","[0,0,0,1000,0]",50,"[162,322,522,683,0]",1604,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",25.88,[],2,2,
30,9,2.34,3.84,0.016,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[255,483,181,81,0]","[0,0,0,1000,0]",52,"[163,323,523,684,0]",1658,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",27.95,[],2,2,
31,9,2.29,3.76,0.016,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[257,486,182,74,0]","[0,0,0,1000,0]",54,"[167,332,538,703,0]",1711,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",30.19,[],2,2,
32,9,2.25,3.69,0.015,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[257,486,182,74,0]","[0,0,0,1000,0]",56,"[170,337,547,715,0]",1767,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",32.6,[],2,2,
33,9,2.21,3.62,0.015,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[259,490,184,68,0]","[0,0,0,1000,0]",58,"[174,346,559,730,0]",1823,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",35.21,[],2,2,
34,9,2.17,3.55,0.015,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[259,490,184,68,0]","[0,0,0,1000,0]",60,"[175,350,571,746,0]",1879,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",38.03,[],2,2,
35,9,2.13,3.48,0.015,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[259,494,182,65,0]","[0,0,0,1000,0]",61,"[179,358,581,760,0]",1937,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",41.07,[],2,2,
36,9,2.1,3.41,0.015,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[89,433,300,100,78]","[0,0,0,500,500]",62,"[136,271,441,577,915]",1994,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",44.36,[],2,2,
37,9,2.06,3.34,0.014,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[89,433,300,100,78]","[0,0,0,500,500]",63,"[140,280,455,595,944]",2054,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",47.9,[],2,2,
38,9,2.03,3.27,0.014,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[89,433,300,100,78]","[0,0,0,500,500]",64,"[145,289,469,612,973]",2115,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",51.74,[],2,2,
39,9,1.99,3.21,0.014,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[89,433,300,100,78]","[0,0,0,500,500]",65,"[149,297,482,629,1000]",2175,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",55.88,[],2,2,
40,9,1.96,3.15,0.014,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[90,438,303,90,79]","[0,0,0,500,500]",66,"[151,301,490,641,1017]",2237,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",60.35,[],2,2,
41,9,1.93,3.09,0.014,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[90,438,303,90,79]","[0,0,0,500,500]",67,"[156,309,503,658,1044]",2299,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",65.17,[],2,2,
42,9,1.89,3.03,0.013,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",68,"[162,323,524,685,1087]",2363,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",70.39,[],2,2,
43,9,1.86,2.97,0.013,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",69,"[164,326,529,692,1099]",2428,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",76.02,[],2,2,
44,9,1.83,2.91,0.013,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",70,"[166,330,535,700,1112]",2492,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",82.1,[],2,2,
45,9,1.8,2.86,0.013,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",71,"[167,333,540,705,1120]",2559,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",88.67,[],2,2,
46,9,1.78,2.81,0.013,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",72,"[170,340,552,722,1146]",2625,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",95.76,[],2,2,
47,9,1.75,2.76,0.013,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",73,"[174,347,565,739,1172]",2693,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",103.42,[],2,2,
48,9,1.72,2.71,0.013,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",74,"[176,351,570,746,1182]",2763,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",111.7,[],2,2,
49,9,1.7,2.66,0.012,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",75,"[177,355,576,753,1195]",2831,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",120.63,[],2,2,
50,9,1.67,2.62,0.011,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",76,"[180,360,584,763,1211]",2902,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",121.63,[],2,2,
51,9,1.64,2.58,0.011,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",77,"[178,357,579,757,1201]",2973,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",122.63,[],2,2,
52,9,1.62,2.54,0.011,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",78,"[192,383,622,812,1289]",3045,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",123.63,[],2,2,
53,9,1.6,2.5,0.01,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",79,"[190,377,613,802,1271]",3119,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",124.63,[],2,2,
54,9,1.57,2.47,0.01,"[0.7,1.1]",10,30,"[[200,1],[400,0.8],[400,0.7]]","[0.15,0.5]",1,2,0.2,10,"[91,443,307,91,68]","[0,0,0,500,500]",80,"[186,370,602,787,1249]",3192,"[3011,3012,3013]","[5,10,15]","[[1002,1000]]","[[1002,1500],[16000,1]]","[[1002,2500],[16000,2],[1001,2]]",[],"[[1,1,7],[1.2,8,10],[1.4,11,14],[1.8,15,17],[2.8,18,19],[4,20,24],[8,25]]",125.63,[],2,2,
