id,openTimes,buyTimes,payLabel,condition,conditionParam,endingTime,giftIcon,title,playInTurn,level,group1UnlockLevel,group2UnlockLevel,group3UnlockLevel,group4UnlockLevel,group5UnlockLevel,group6UnlockLevel,group7UnlockLevel,group8UnlockLevel,group9UnlockLevel,group,CD,publicCD,showTime,popUpTimes,popUpCD,priority,name,diamondShopID,shopID,shopGroupID,giftUI,itemIds,discount,itemIds2,discount2,itemIds3,discount3,popupSceneType,giftScript,paramType,param,giftIconShowType,crossDayClose
430,0,1,[],-1,,,,,1,10,10,10,10,10,10,10,10,10,10,6,48,24,2,1,1,11,,,430,-1,,[],1,[],1,[],1,"[0,1,2,11]",GiftInstance_430,-1,[],1,0
440,0,1,[],-1,,,,,1,7,7,7,7,7,7,7,7,7,7,7,24,24,2,1,1,12,,,440,-1,,[],1,[],1,[],1,"[0,1,2,3,4,5,9,11,18,20,23,25]",GiftInstance_440,-1,[],1,0
450,0,1,[],-1,,,,,1,10,10,10,10,10,10,10,10,10,10,3,24,24,2,1,1,13,,,450,-1,,[],1,[],1,[],1,"[0,1,2,3,4,6,12,11,20]",GiftInstance_450,-1,[],1,0
451,0,1,[],-1,,,,,1,10,10,10,10,10,10,10,10,10,10,3,24,24,2,1,1,14,,,451,-1,,[],1,[],1,[],1,"[0,1,2,3,4,6,12,11,20]",GiftInstance_451,-1,[],1,0
452,0,1,[],-1,,,,,1,10,10,10,10,10,10,10,10,10,10,3,24,24,2,1,1,15,,,452,-1,,[],1,[],1,[],1,"[0,1,2,3,4,6,12,11,20]",GiftInstance_452,-1,[],1,0
460,0,1,[],-1,,,,,1,99,99,99,99,99,99,99,99,99,99,460,48,24,1,1,1,16,,,460,-1,,[],1,[],1,[],1,"[0,1,2,3,4,5,9,11,18,20,23,25]",GiftInstance_460,-1,[],1,0
600,0,3,"[1,2,3]",4,,,,ui_dailyBargain_title,0,10,10,10,10,10,10,10,10,10,10,600,0,0,24,1,99999,23,,,-1,-1,Prefab/UI/GiftDailyDiscountsPanel/GiftDailyDiscountsPanel.prefab,"[60,[6200,2]]",0.5,"[61,[2100,10]]",0.4,"[62,[1003,500]]",0.32,[0],GiftInstance_DailyDiscounts,1,[],2,1
900,0,1,[],-1,,,,,1,1,1,1,1,1,1,1,1,1,1,99,48,-1,48,1,1,17,,,900,-1,,[],1,[],1,[],1,,GiftInstance_900,-1,[],1,0
901,0,1,[],-1,,,,,1,1,1,1,1,1,1,1,1,1,1,99,48,-1,48,1,1,18,,,901,-1,,[],1,[],1,[],1,,GiftInstance_901,-1,[],1,0
1000,0,1,[],-1,,,,,1,1,1,1,1,1,1,1,1,1,1,8,168,24,168,1,1,19,,,-1,-1,,"[500,[1001,60],[1003,100]]",1,[],1,[],1,,GiftInstance_1000,-1,[],1,0
1001,0,1,[],-1,,,,,1,1,1,1,1,1,1,1,1,1,1,9,168,24,168,1,1,20,,,-1,-1,,"[501,[1001,120],[2100,25]]",1,[],1,[],1,,GiftInstance_1001,-1,[],1,0
1100,0,1,[],-1,,,,,0,1,1,1,1,1,1,1,1,1,1,10,-1,-1,168,1,1,21,,,-1,-1,,"[19,[1001,60],[1003,100]]",1,[],1,[],1,,GiftInstance_1100,-1,[],1,0
1101,0,1,[],-1,,,,,0,1,1,1,1,1,1,1,1,1,1,11,-1,-1,168,1,1,22,,,-1,-1,,"[19,[1001,120],[2100,25]]",1,[],1,[],1,,GiftInstance_1101,-1,[],1,0
2001,0,4,"[1,2]",3,Eventmission23_000MermaidCity,2023-11-30 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2005,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10003,[1003,400],[1001,80],[42000,2]]",0.645,"[10005,[1003,800],[1001,120],[42000,5]]",0.625,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2002,0,4,"[3,4]",3,Eventmission23_000MermaidCity,2023-11-30 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2006,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10006,[1003,950],[1001,150],[42000,8]]",0.606,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2003,0,4,"[5,6]",3,Eventmission23_000MermaidCity,2023-11-30 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2007,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,"[10019,[1003,3300],[1001,400],[11001,4]]",0.555,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2004,0,4,[7],3,Eventmission23_000MermaidCity,2023-11-30 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2007,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10017,[1003,3000],[1001,350],[11001,3]]",0.571,"[10026,[1003,4800],[1001,500],[11001,6]]",0.555,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2005,0,3,[],3,Eventmission23_000MermaidCity,,gift_common1,mermaid_gift_title1,1,99,99,99,99,99,99,99,99,99,99,460,0,12,72,1,72,2005,,,-1,2000,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10003,[1003,400],[1001,80],[13001,2]]",0.645,"[10005,[1003,800],[1001,120],[13001,5]]",0.625,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2006,0,3,[],3,Eventmission23_000MermaidCity,,gift_common1,mermaid_gift_title1,1,99,99,99,99,99,99,99,99,99,99,460,0,12,72,1,72,2006,,,-1,2000,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10006,[1003,950],[1001,150],[13001,8]]",0.606,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2007,0,3,[],3,Eventmission23_000MermaidCity,,gift_common1,mermaid_gift_title1,1,99,99,99,99,99,99,99,99,99,99,460,0,12,72,1,72,2007,,,-1,2000,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,"[10019,[1003,3300],[1001,400],[11001,4]]",0.555,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2008,0,1,[],3,Eventmission23_013SecondTreasure,,gift_mermaidcity1,mermaid_gift_title2,1,1,1,1,1,1,1,1,1,1,1,2008,72,72,2,1,72,2008,,,-1,-1,Prefab/UI/GiftPayTrigger2/GiftPayTriggerPanel.prefab,"[10003,[1003,320],[1001,50],[90353,12]]",0.645,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2009,0,1,[],3,Eventmission23_021OnemoreThing,,gift_mermaidcity3,mermaid_gift_title4,1,1,1,1,1,1,1,1,1,1,1,2009,72,72,2,1,72,2009,,,-1,-1,Prefab/UI/GiftPayTrigger2/GiftPayTriggerPanel.prefab,"[10007,[1003,1300],[1001,100],[90356,10]]",0.571,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2010,0,1,[],3,Eventmission23_026FourthTreasure,,gift_mermaidcity2,mermaid_gift_title3,1,1,1,1,1,1,1,1,1,1,1,2010,72,72,2,1,72,2010,,,-1,-1,Prefab/UI/GiftPayTrigger2/GiftPayTriggerPanel.prefab,"[10013,[1003,2100],[1001,200],[90353,45]]",0.54,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2011,0,1,[],3,Eventmission23_030SeaGodTemple,,gift_common2,mermaid_gift_title5,1,1,1,1,1,1,1,1,1,1,1,2011,72,72,6,1,72,2011,,,-1,-1,Prefab/UI/GiftPayTrigger1/GiftPayTriggerPanel.prefab,"[10030,[1003,6000],[1001,700]]",0.54,[],1,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2012,0,2,[],3,Eventmission134_000FairyLake,,gift_common1,gift_common_title1,1,1,1,1,1,1,1,1,1,1,1,2012,48,72,48,1,24,2012,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[11001,[1003,350],[1001,40]]",0.625,"[11004,[1003,850],[1001,100],[11001,1]]",0.571,[],,"[0,25]",GiftInstance_PayTrigger,-1,[],1,0
2013,0,1,[],3,Eventmission134_029HazeDrug,,icon_stimulatepayment_gift,gift_common_title2,1,1,1,1,1,1,1,1,1,1,1,2013,48,72,3,1,24,2013,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[11002,[1003,400],[1001,20],[2000057,1]]",0.606,[],1,[],,"[0,25]",GiftInstance_PayTrigger,-1,[],1,0
2014,0,1,[],3,Eventmission134_030StarSundial,,gift_common2,gift_common_title4,1,1,1,1,1,1,1,1,1,1,1,2014,48,72,3,1,24,2014,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[11003,[1003,600],[1001,60],[2000053,6]]",0.571,[],1,[],,"[0,25]",GiftInstance_PayTrigger,-1,[],1,0
2015,0,3,[],1,"[2023-11-24 19:00:00,2023-11-27 18:30:00]",2023-11-27 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2005,,,-1,2001,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10003,[1003,400],[1001,80],[13001,2]]",0.645,"[10005,[1003,800],[1001,120],[13001,5]]",0.625,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2016,0,3,[],1,"[2023-11-24 19:00:00,2023-11-27 18:30:00]",2023-11-27 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2006,,,-1,2001,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10006,[1003,950],[1001,150],[13001,8]]",0.606,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2017,0,3,[],1,"[2023-11-24 19:00:00,2023-11-27 18:30:00]",2023-11-27 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2007,,,-1,2001,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,"[10019,[1003,3300],[1001,400],[11001,4]]",0.555,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
20170,0,4,"[1,2]",3,Eventmission27_000Wineestate,2023-12-14 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,20170,0,12,96,1,24,20170,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10003,[1003,400],[1001,80],[30000,5]]",0.645,"[10005,[1003,800],[1001,120],[30000,10]]",0.625,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
20171,0,4,"[3,4]",3,Eventmission27_000Wineestate,2023-12-14 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,20171,0,12,96,1,24,20171,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10006,[1003,950],[1001,150],[30000,15]]",0.606,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
20172,0,4,"[5,6]",3,Eventmission27_000Wineestate,2023-12-14 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,20172,0,12,96,1,24,20172,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,"[10019,[1003,3300],[1001,400],[11001,4]]",0.555,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
20173,0,4,[7],3,Eventmission27_000Wineestate,2023-12-14 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,20173,0,12,96,1,24,20173,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10017,[1003,3000],[1001,350],[11001,3]]",0.571,"[10026,[1003,4800],[1001,500],[11001,6]]",0.555,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2018,0,1,[],3,Eventmission27_013zhangaistate,,gift_common4,gift_common_title1,1,1,1,1,1,1,1,1,1,1,1,2018,72,72,2,1,72,2018,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10006,[1003,800],[1001,100],[90722,7]]",0.588,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2019,0,1,[],3,Eventmission27_017foodtool,,gift_common6,gift_common_title2,1,1,1,1,1,1,1,1,1,1,1,2019,72,72,2,1,72,2019,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10009,[1003,1000],[1001,130],[90722,8],[90724,8]]",0.571,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2020,0,1,[],3,Eventmission27_023tengwan,,gift_common7,gift_common_title3,1,1,1,1,1,1,1,1,1,1,1,2020,72,72,2,1,72,2020,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10013,[1003,2100],[1001,200],[90722,10],[90719,10]]",0.54,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2021,0,1,[],3,Eventmission27_029yaojidragon,,gift_common2,gift_common_title4,1,1,1,1,1,1,1,1,1,1,1,2021,72,72,6,1,72,2021,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10026,[1003,5000],[1001,300],[90719,15],[90726,15]]",0.54,[],1,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2025,0,3,[],1,"[2023-11-24 19:00:00,2023-11-27 18:30:00]",2023-11-27 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2025,,,-1,2002,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10003,[1003,400],[1001,80],[13001,2]]",0.645,"[10005,[1003,800],[1001,120],[13001,5]]",0.625,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2026,0,3,[],1,"[2023-11-24 19:00:00,2023-11-27 18:30:00]",2023-11-27 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2026,,,-1,2002,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10006,[1003,950],[1001,150],[13001,8]]",0.606,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2027,0,3,[],1,"[2023-11-24 19:00:00,2023-11-27 18:30:00]",2023-11-27 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2027,,,-1,2002,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,"[10019,[1003,3300],[1001,400],[11001,4]]",0.555,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
20270,0,4,"[1,2]",3,Eventmission28_000MusicCampus,2023-12-21 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,20270,0,12,96,1,24,20270,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10003,[1003,400],[1001,80],[30000,5]]",0.645,"[10005,[1003,800],[1001,120],[30000,10]]",0.625,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
20271,0,4,"[3,4]",3,Eventmission28_000MusicCampus,2023-12-21 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,20271,0,12,96,1,24,20271,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10006,[1003,950],[1001,150],[30000,15]]",0.606,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
20272,0,4,"[5,6]",3,Eventmission28_000MusicCampus,2023-12-21 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,20272,0,12,96,1,24,20272,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,"[10019,[1003,3300],[1001,400],[11001,4]]",0.555,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
20273,0,4,[7],3,Eventmission28_000MusicCampus,2023-12-21 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,20273,0,12,96,1,24,20273,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10017,[1003,3000],[1001,350],[11001,3]]",0.571,"[10026,[1003,4800],[1001,500],[11001,6]]",0.555,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2028,0,1,[],3,Eventmission28_007BassA,,gift_common3,gift_common_title1,1,1,1,1,1,1,1,1,1,1,1,2028,72,72,2,1,72,2028,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10002,[1003,400],[1001,20]]",0.666,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2029,0,1,[],3,Eventmission28_011PianoSoundB,,gift_common5,gift_common_title2,1,1,1,1,1,1,1,1,1,1,1,2029,72,72,2,1,72,2029,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10004,[1003,800],[1001,50]]",0.645,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2030,0,1,[],3,Eventmission28_019Saxophone,,gift_common4,gift_common_title3,1,1,1,1,1,1,1,1,1,1,1,2030,72,72,2,1,72,2030,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10006,[1003,700],[1001,100],[90543,5],[90559,5]]",0.606,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2031,0,1,[],3,Eventmission28_022TroubleofDragonB,,gift_common6,gift_common_title4,1,1,1,1,1,1,1,1,1,1,1,2031,72,72,2,1,72,2031,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10009,[1003,1100],[1001,140],[90524,10],[90558,10]]",0.588,[],1,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2032,0,1,[],3,Eventmission28_025DrumKit,,gift_common7,gift_common_title3,1,1,1,1,1,1,1,1,1,1,1,2032,72,72,2,1,72,2032,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10017,[1003,2000],[1001,500],[90543,8],[90558,10]]",0.555,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2033,0,1,[],3,Eventmission28_031Loaded,,gift_common2,gift_common_title4,1,1,1,1,1,1,1,1,1,1,1,2033,72,72,6,1,72,2033,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10026,[1003,5000],[1001,300],[90553,10],[90559,10]]",0.526,[],1,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2035,0,3,[],1,"[2023-11-24 19:00:00,2023-11-27 18:30:00]",2023-11-27 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2035,,,-1,2003,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10003,[1003,400],[1001,80],[13001,2]]",0.645,"[10005,[1003,800],[1001,120],[13001,5]]",0.625,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2036,0,3,[],1,"[2023-11-24 19:00:00,2023-11-27 18:30:00]",2023-11-27 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2036,,,-1,2003,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10006,[1003,950],[1001,150],[13001,8]]",0.606,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2037,0,3,[],1,"[2023-11-24 19:00:00,2023-11-27 18:30:00]",2023-11-27 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,460,0,12,96,1,24,2037,,,-1,2003,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,"[10019,[1003,3300],[1001,400],[11001,4]]",0.555,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2038,0,1,[],3,Eventmission29_011DrinkMachine1,,gift_common3,gift_common_title1,1,1,1,1,1,1,1,1,1,1,1,2038,72,72,2,1,72,2038,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10002,[1003,400],[1001,20]]",0.666,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2039,0,1,[],3,Eventmission29_014TroubledDragon,,gift_common5,gift_common_title2,1,1,1,1,1,1,1,1,1,1,1,2039,72,72,2,1,72,2039,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10004,[1003,570],[1001,30],[90774,5]]",0.645,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2040,0,1,[],3,Eventmission29_017ConductTesting2,,gift_common4,gift_common_title3,1,1,1,1,1,1,1,1,1,1,1,2040,72,72,2,1,72,2040,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10007,[1003,820],[1001,80],[90774,8],[90751,8]]",0.606,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2041,0,1,[],3,Eventmission29_023EscapingDinner,,gift_common6,gift_common_title4,1,1,1,1,1,1,1,1,1,1,1,2041,72,72,2,1,72,2041,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10010,[1003,1500],[1001,100],[90778,4]]",0.588,[],1,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2042,0,1,[],3,Eventmission29_027Dishwasher,,gift_common7,gift_common_title3,1,1,1,1,1,1,1,1,1,1,1,2042,72,72,2,1,72,2042,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10015,[1003,1800],[1001,200],[90779,20]]",0.571,[],1,[],,[2],GiftInstance_PayTrigger,-1,[],1,0
2043,0,1,[],3,Eventmission29_031FinalCheck,,gift_common2,gift_common_title4,1,1,1,1,1,1,1,1,1,1,1,2043,72,72,6,1,72,2043,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10026,[1003,4500],[1001,300],[90779,15],[90756,25]]",0.526,[],1,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2044,0,4,"[1,2]",3,Eventmission29_000MagicalKitchen,2023-12-28 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,2044,0,12,96,1,24,2044,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10003,[1003,400],[1001,80],[30000,5]]",0.645,"[10005,[1003,800],[1001,120],[30000,10]]",0.625,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
2045,0,4,"[3,4]",3,Eventmission29_000MagicalKitchen,2023-12-28 19:00:00,gift_common1,mermaid_gift_title1,1,1,1,1,1,1,1,1,1,1,1,2045,0,12,96,1,24,2045,,,-1,-1,Prefab/UI/GiftPayTrigger/GiftPayTriggerPanel.prefab,"[10006,[1003,950],[1001,150],[30000,15]]",0.606,"[10010,[1003,1700],[1001,200],[11001,2]]",0.571,[],,"[0,2]",GiftInstance_PayTrigger,-1,[],1,0
