id,level,noType,tools,blockid,stoneid,stone_type_per,stone_per,goal,map,TypeA,roundA,roundB,roundC,roundD,roundK_C,roundK_D,refresh_rounds
13,13,"[12,13,4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,230]","[0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,5
14,14,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,10,1002,8]","[1001,0,0,0,0,0,0,1001,0,1001,0,0,1002,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,1001,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1001,0,0,1002,0,1001,1002]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,5
15,15,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,17]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,1002,1002,0,1002,0,0,0,0,1002,0,1002,1002,0,0,0,0,1002,1002]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,5
16,16,"[12,13,4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,150]","[0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,3,3,0,3,3,0,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,5
17,17,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,9,1002,8]","[0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,1001,0,0,1001,3,3,0,3,0,0,0,0,3,0,0,0,0,1002,1002,0,0,0,0,3,0,0,0,0,3,0,3,3,1001,0,0,1001,3,3,0,3,0,0,0,0,3,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,5
18,18,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,16]","[0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,5
19,19,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,20]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,1002,1002,0,0,0,1002,0,0,1002,0,0,0,0,1002,3,3,1002,0,0,0,0,1002,0,0,1002,0,0,0,1002,1002,0,0,1002,1002,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,4,8,20,2,2,3
20,20,"[12,13,4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,5,1002,5,1003,5]","[3,0,0,0,0,0,0,3,0,3,0,1002,1002,0,3,0,0,0,3,1002,1002,3,0,0,0,0,0,0,0,0,0,0,1001,0,1001,1003,1003,1001,0,1001,0,0,0,0,0,0,0,0,0,0,3,1002,1002,3,0,0,0,3,0,0,0,0,3,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,20,2,2,5
21,21,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,14]","[0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,4
22,22,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,16]","[1001,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,1001,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,1001]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,6
23,23,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,13,1002,7]","[0,0,1001,0,0,0,0,1002,0,1001,1001,1001,0,0,0,0,0,0,1001,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,1001,0,0,0,1002,0,0,1001,1001,1001,1002,0,0,0,0,0,1001,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,5
24,24,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,10]","[1001,0,0,0,0,0,0,1001,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,1001,0,0,0,0,0,0,1001]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,6
25,25,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,200]","[0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,6
26,26,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,240]","[0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,0,0,0,3,3,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,4
27,27,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,180]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,5
28,28,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,200]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,6
29,29,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,270]","[0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,3,3,3,0,0,0,0,3,3,3,3,0,0,0,3,0,3,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,4
30,30,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,320]","[3,3,0,0,0,0,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,3,0,0,0,0,3,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,5
31,31,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,24]","[0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
32,32,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,18]","[0,0,0,0,0,0,0,0,0,0,0,0,1001,0,1001,0,0,1001,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,1001,0,0,1001,0,1001,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
33,33,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,18]","[0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,1002,1002,0,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,0,1002,1002,0,0,1002,0,1002,1002,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
34,34,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1003,1002,1001]","[4,0,0]","[5,1,5,7]","[1003,22]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,1003,0,0,0,0,1003,1003,0,1003,0,0,0,0,1003,0,1003,1003,0,1003,1003,0,1003,1003,0,0,1003,0,0,1003,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
35,35,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,18]","[0,0,0,0,0,0,0,0,1001,1001,1001,0,0,1001,1001,1001,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
36,36,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,22]","[0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1001,1001,3,3,1001,1001,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,1001,1001,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,4,8,19,2,2,4
37,37,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,310]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
38,38,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,280]","[0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
39,39,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,170]","[0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
40,40,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,300]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
41,41,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,220]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,3,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
42,42,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,330]","[0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,3,3,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
43,43,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,4]","[5,1,5,7]","[1001,6,1002,6,1003,6]","[0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,1002,0,1001,0,0,0,0,1002,0,0,0,1001,0,0,1002,0,0,0,0,0,1001,1002,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,1003,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
44,44,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1002,1001,1003]","[3,0,0]","[5,1,5,7]","[1002,24]","[0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,1002,1002,0,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,0,1002,1002,0,0,1002,0,1002,1002,0,0,0,1002,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
45,45,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,18]","[0,1001,0,0,0,0,1001,0,0,0,1001,0,0,1001,0,0,0,0,0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
46,46,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,12,1002,12]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,1002,1001,1002,0,0,1002,1001,1002,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,1002,1002,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
47,47,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,0,0]","[5,1,5,7]","[1001,16]","[0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,1001,1001,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,1001,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
48,48,"[4,5,36]","[1,6,3,4]","[1,2,3,4,5,6]","[1003,1002,1001]","[4,0,0]","[5,1,5,7]","[1003,18]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,1003,0,1003,0,1003,1003,0,1003,0,1003,0,1003,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
49,49,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,330]","[3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
50,50,"[4,5,36]","[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,370]","[0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",5,9,13,19,2,2,9
51,51,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,180]","[0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
52,52,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,260]","[0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
53,53,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,180]","[0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,7,11,19,2,2,7
54,54,[36],"[1,6,3]","[1,2,3,4,5,6]","[1001,1002,1003]","[1,1,1]",[],"[1,370]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,3]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,6,10,19,2,2,6
55,55,[36],"[1,6,3,4]","[1,2,3,4,5,6]","[1001,1002,1003]","[2,3,0]","[5,1,5,7]","[1001,8,1002,8]","[0,0,0,0,0,0,0,0,1002,0,0,3,0,0,0,1002,0,0,0,1001,0,0,0,0,0,1001,3,3,3,1001,1001,0,0,0,0,1001,0,0,0,0,0,0,0,3,0,0,0,0,1002,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0]","[32,6,11,7,8,9,10,15,16,19,20,23,14]",3,5,9,19,2,2,5
