id,icon,MissionType,taskNeed,reward,slot,unlockLevel,unlockTask,key,smallBpId
1303,common/smallBp_dragonItem,59,50,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,1
1304,common/smallBp_dragonItem,59,70,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,1
1305,common/smallBp_dragonItem,59,90,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,1
1306,common/smallBp_dragonItem,59,110,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,1
1307,common/smallBp_dragonItem,59,130,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,1
1308,common/smallBp_dragonItem,59,150,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,1
1401,common/smallBp_factoryItem,58,5,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,1
1402,common/smallBp_factoryItem,58,10,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,1
1403,common/smallBp_factoryItem,58,15,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,1
1404,common/smallBp_factoryItem,58,20,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,1
1405,common/smallBp_factoryItem,58,25,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,1
1406,common/smallBp_factoryItem,58,30,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,1
1501,common/Description_Opening005FeedDragon_sub2,60,10,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,1
1502,common/Description_Opening005FeedDragon_sub2,60,20,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,1
1503,common/Description_Opening005FeedDragon_sub2,60,30,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,1
1504,common/Description_Opening005FeedDragon_sub2,60,40,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,1
1505,common/Description_Opening005FeedDragon_sub2,60,50,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,1
1506,common/Description_Opening005FeedDragon_sub2,60,60,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,1
1601,common/Submission_orderunlock_8_sub1,24,1,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,1
1602,common/Submission_orderunlock_8_sub1,24,2,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,1
1603,common/Submission_orderunlock_8_sub1,24,3,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,1
1604,common/Submission_orderunlock_8_sub1,24,4,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,1
1605,common/Submission_orderunlock_8_sub1,24,5,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,1
2101,common/task_costenergy,22,100,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2102,common/task_costenergy,22,200,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2103,common/task_costenergy,22,300,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2104,common/task_costenergy,22,400,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2105,common/task_costenergy,22,500,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2106,common/task_costenergy,22,600,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2107,common/task_costenergy,22,700,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2108,common/task_costenergy,22,800,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2109,common/task_costenergy,22,900,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2110,common/task_costenergy,22,1000,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2111,common/task_costenergy,22,1100,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2112,common/task_costenergy,22,1200,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2113,common/task_costenergy,22,1300,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2114,common/task_costenergy,22,1400,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2115,common/task_costenergy,22,1500,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2116,common/task_costenergy,22,1600,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,2
2201,common/Description_001FindOrderboard_sub2,3,3,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,2
2202,common/Description_001FindOrderboard_sub2,3,6,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,2
2203,common/Description_001FindOrderboard_sub2,3,9,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,2
2204,common/Description_001FindOrderboard_sub2,3,12,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,2
2205,common/Description_001FindOrderboard_sub2,3,15,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,2
2206,common/Description_001FindOrderboard_sub2,3,18,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,2
2207,common/Description_001FindOrderboard_sub2,3,21,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,2
2208,common/Description_001FindOrderboard_sub2,3,24,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,2
2209,common/Description_001FindOrderboard_sub2,3,27,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,2
2210,common/Description_001FindOrderboard_sub2,3,30,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,2
2301,common/smallBp_dragonItem,59,10,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,2
2302,common/smallBp_dragonItem,59,30,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,2
2303,common/smallBp_dragonItem,59,50,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,2
2304,common/smallBp_dragonItem,59,70,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,2
2305,common/smallBp_dragonItem,59,90,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,2
2306,common/smallBp_dragonItem,59,110,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,2
2307,common/smallBp_dragonItem,59,130,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,2
2308,common/smallBp_dragonItem,59,150,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,2
2401,common/smallBp_factoryItem,58,5,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,2
2402,common/smallBp_factoryItem,58,10,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,2
2403,common/smallBp_factoryItem,58,15,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,2
2404,common/smallBp_factoryItem,58,20,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,2
2405,common/smallBp_factoryItem,58,25,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,2
2406,common/smallBp_factoryItem,58,30,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,2
2501,common/Description_Opening005FeedDragon_sub2,60,10,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,2
2502,common/Description_Opening005FeedDragon_sub2,60,20,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,2
2503,common/Description_Opening005FeedDragon_sub2,60,30,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,2
2504,common/Description_Opening005FeedDragon_sub2,60,40,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,2
2505,common/Description_Opening005FeedDragon_sub2,60,50,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,2
2506,common/Description_Opening005FeedDragon_sub2,60,60,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,2
2601,common/Submission_orderunlock_8_sub1,24,1,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,2
2602,common/Submission_orderunlock_8_sub1,24,2,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,2
2603,common/Submission_orderunlock_8_sub1,24,3,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,2
2604,common/Submission_orderunlock_8_sub1,24,4,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,2
2605,common/Submission_orderunlock_8_sub1,24,5,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,2
3101,common/task_costenergy,22,100,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3102,common/task_costenergy,22,200,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3103,common/task_costenergy,22,300,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3104,common/task_costenergy,22,400,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3105,common/task_costenergy,22,500,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3106,common/task_costenergy,22,600,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3107,common/task_costenergy,22,700,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3108,common/task_costenergy,22,800,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3109,common/task_costenergy,22,900,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3110,common/task_costenergy,22,1000,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3111,common/task_costenergy,22,1100,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3112,common/task_costenergy,22,1200,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3113,common/task_costenergy,22,1300,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3114,common/task_costenergy,22,1400,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3115,common/task_costenergy,22,1500,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3116,common/task_costenergy,22,1600,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,3
3201,common/Description_001FindOrderboard_sub2,3,3,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,3
3202,common/Description_001FindOrderboard_sub2,3,6,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,3
3203,common/Description_001FindOrderboard_sub2,3,9,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,3
3204,common/Description_001FindOrderboard_sub2,3,12,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,3
3205,common/Description_001FindOrderboard_sub2,3,15,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,3
3206,common/Description_001FindOrderboard_sub2,3,18,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,3
3207,common/Description_001FindOrderboard_sub2,3,21,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,3
3208,common/Description_001FindOrderboard_sub2,3,24,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,3
3209,common/Description_001FindOrderboard_sub2,3,27,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,3
3210,common/Description_001FindOrderboard_sub2,3,30,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,3
3301,common/smallBp_dragonItem,59,10,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,3
3302,common/smallBp_dragonItem,59,30,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,3
3303,common/smallBp_dragonItem,59,50,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,3
3304,common/smallBp_dragonItem,59,70,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,3
3305,common/smallBp_dragonItem,59,90,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,3
3306,common/smallBp_dragonItem,59,110,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,3
3307,common/smallBp_dragonItem,59,130,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,3
3308,common/smallBp_dragonItem,59,150,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,3
3401,common/smallBp_factoryItem,58,5,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,3
3402,common/smallBp_factoryItem,58,10,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,3
3403,common/smallBp_factoryItem,58,15,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,3
3404,common/smallBp_factoryItem,58,20,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,3
3405,common/smallBp_factoryItem,58,25,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,3
3406,common/smallBp_factoryItem,58,30,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,3
3501,common/Description_Opening005FeedDragon_sub2,60,10,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,3
3502,common/Description_Opening005FeedDragon_sub2,60,20,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,3
3503,common/Description_Opening005FeedDragon_sub2,60,30,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,3
3504,common/Description_Opening005FeedDragon_sub2,60,40,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,3
3505,common/Description_Opening005FeedDragon_sub2,60,50,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,3
3506,common/Description_Opening005FeedDragon_sub2,60,60,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,3
3601,common/Submission_orderunlock_8_sub1,24,1,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,3
3602,common/Submission_orderunlock_8_sub1,24,2,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,3
3603,common/Submission_orderunlock_8_sub1,24,3,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,3
3604,common/Submission_orderunlock_8_sub1,24,4,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,3
3605,common/Submission_orderunlock_8_sub1,24,5,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,3
4101,common/task_costenergy,22,100,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4102,common/task_costenergy,22,200,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4103,common/task_costenergy,22,300,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4104,common/task_costenergy,22,400,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4105,common/task_costenergy,22,500,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4106,common/task_costenergy,22,600,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4107,common/task_costenergy,22,700,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4108,common/task_costenergy,22,800,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4109,common/task_costenergy,22,900,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4110,common/task_costenergy,22,1000,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4111,common/task_costenergy,22,1100,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4112,common/task_costenergy,22,1200,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4113,common/task_costenergy,22,1300,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4114,common/task_costenergy,22,1400,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4115,common/task_costenergy,22,1500,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4116,common/task_costenergy,22,1600,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,4
4201,common/Description_001FindOrderboard_sub2,3,3,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,4
4202,common/Description_001FindOrderboard_sub2,3,6,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,4
4203,common/Description_001FindOrderboard_sub2,3,9,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,4
4204,common/Description_001FindOrderboard_sub2,3,12,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,4
4205,common/Description_001FindOrderboard_sub2,3,15,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,4
4206,common/Description_001FindOrderboard_sub2,3,18,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,4
4207,common/Description_001FindOrderboard_sub2,3,21,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,4
4208,common/Description_001FindOrderboard_sub2,3,24,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,4
4209,common/Description_001FindOrderboard_sub2,3,27,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,4
4210,common/Description_001FindOrderboard_sub2,3,30,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,4
4301,common/smallBp_dragonItem,59,10,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,4
4302,common/smallBp_dragonItem,59,30,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,4
4303,common/smallBp_dragonItem,59,50,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,4
4304,common/smallBp_dragonItem,59,70,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,4
4305,common/smallBp_dragonItem,59,90,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,4
4306,common/smallBp_dragonItem,59,110,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,4
4307,common/smallBp_dragonItem,59,130,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,4
4308,common/smallBp_dragonItem,59,150,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,4
4401,common/smallBp_factoryItem,58,5,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,4
4402,common/smallBp_factoryItem,58,10,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,4
4403,common/smallBp_factoryItem,58,15,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,4
4404,common/smallBp_factoryItem,58,20,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,4
4405,common/smallBp_factoryItem,58,25,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,4
4406,common/smallBp_factoryItem,58,30,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,4
4501,common/Description_Opening005FeedDragon_sub2,60,10,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,4
4502,common/Description_Opening005FeedDragon_sub2,60,20,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,4
4503,common/Description_Opening005FeedDragon_sub2,60,30,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,4
4504,common/Description_Opening005FeedDragon_sub2,60,40,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,4
4505,common/Description_Opening005FeedDragon_sub2,60,50,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,4
4506,common/Description_Opening005FeedDragon_sub2,60,60,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,4
4601,common/Submission_orderunlock_8_sub1,24,1,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,4
4602,common/Submission_orderunlock_8_sub1,24,2,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,4
4603,common/Submission_orderunlock_8_sub1,24,3,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,4
4604,common/Submission_orderunlock_8_sub1,24,4,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,4
4605,common/Submission_orderunlock_8_sub1,24,5,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,4
5101,common/task_costenergy,22,100,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5102,common/task_costenergy,22,200,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5103,common/task_costenergy,22,300,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5104,common/task_costenergy,22,400,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5105,common/task_costenergy,22,500,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5106,common/task_costenergy,22,600,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5107,common/task_costenergy,22,700,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5108,common/task_costenergy,22,800,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5109,common/task_costenergy,22,900,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5110,common/task_costenergy,22,1000,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5111,common/task_costenergy,22,1100,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5112,common/task_costenergy,22,1200,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5113,common/task_costenergy,22,1300,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5114,common/task_costenergy,22,1400,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5115,common/task_costenergy,22,1500,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5116,common/task_costenergy,22,1600,"[[50001,10]]",1,6,,ui_smallBp_task_text_energy,5
5201,common/Description_001FindOrderboard_sub2,3,3,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,5
5202,common/Description_001FindOrderboard_sub2,3,6,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,5
5203,common/Description_001FindOrderboard_sub2,3,9,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,5
5204,common/Description_001FindOrderboard_sub2,3,12,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,5
5205,common/Description_001FindOrderboard_sub2,3,15,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,5
5206,common/Description_001FindOrderboard_sub2,3,18,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,5
5207,common/Description_001FindOrderboard_sub2,3,21,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,5
5208,common/Description_001FindOrderboard_sub2,3,24,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,5
5209,common/Description_001FindOrderboard_sub2,3,27,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,5
5210,common/Description_001FindOrderboard_sub2,3,30,"[[50001,10]]",2,6,,ui_smallBp_task_text_order,5
5301,common/smallBp_dragonItem,59,10,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,5
5302,common/smallBp_dragonItem,59,30,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,5
5303,common/smallBp_dragonItem,59,50,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,5
5304,common/smallBp_dragonItem,59,70,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,5
5305,common/smallBp_dragonItem,59,90,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,5
5306,common/smallBp_dragonItem,59,110,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,5
5307,common/smallBp_dragonItem,59,130,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,5
5308,common/smallBp_dragonItem,59,150,"[[50001,10]]",3,6,,ui_smallBp_task_text_dragonItem,5
5401,common/smallBp_factoryItem,58,5,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,5
5402,common/smallBp_factoryItem,58,10,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,5
5403,common/smallBp_factoryItem,58,15,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,5
5404,common/smallBp_factoryItem,58,20,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,5
5405,common/smallBp_factoryItem,58,25,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,5
5406,common/smallBp_factoryItem,58,30,"[[50001,10]]",4,6,,ui_smallBp_task_text_factoryItem,5
5501,common/Description_Opening005FeedDragon_sub2,60,10,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,5
5502,common/Description_Opening005FeedDragon_sub2,60,20,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,5
5503,common/Description_Opening005FeedDragon_sub2,60,30,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,5
5504,common/Description_Opening005FeedDragon_sub2,60,40,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,5
5505,common/Description_Opening005FeedDragon_sub2,60,50,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,5
5506,common/Description_Opening005FeedDragon_sub2,60,60,"[[50001,10]]",5,6,,ui_smallBp_task_text_farmItem,5
5601,common/Submission_orderunlock_8_sub1,24,1,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,5
5602,common/Submission_orderunlock_8_sub1,24,2,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,5
5603,common/Submission_orderunlock_8_sub1,24,3,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,5
5604,common/Submission_orderunlock_8_sub1,24,4,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,5
5605,common/Submission_orderunlock_8_sub1,24,5,"[[50001,20]]",6,6,,ui_smallBp_task_text_timeOrder,5
