id,cleared,collectrewards,taskunlock,levelmax,CleanOnDramaBegin,levelitem1,rewarditem1,levelitem2,rewarditem2,levelitem3,rewarditem3,levelitem4,rewarditem4,levelitem5,rewarditem5,levelitem6,rewarditem6,levelitem7,rewarditem7,levelitem8,rewarditem8,levelitem9,rewarditem9,levelitem10,rewarditem10,levelitem11,rewarditem11,levelitem12,rewarditem12,ispaylabel,
27,0,[],Mission2_02Repairbridge,2,,"[[4110,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
33,1,"[[103001,1]]",Mission2_09TheHauntingofDoris1,2,zone2_10TheHauntingofDoris2,"[[4112,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
34,0,[],Mission2_08followthesound,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
35,0,[],Mission2_12magictree,2,,"[[5016,10]]","[['1000',130]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
49,0,[],Mission2_05BtrapedDoris,2,,"[[1003,8]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
50,0,[],Mission2_05BtrapedDoris,2,,"[[1003,8]]","[['4114',2]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
51,0,[],Mission2_05BtrapedDoris,2,,"[[1003,8]]","[['4114',2]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
52,0,[],Mission2_05BtrapedDoris,2,,"[[1003,8]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
54,0,[],Mission2_11lookingforsquirrels,2,,"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
55,0,[],Mission2_08followthesound,2,,"[[1003,7]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
56,0,[],Mission3_001CrystalCoffin,2,,"[[5009,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
57,0,[],Mission3_002CheckCoffin,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
58,1,"[[104001,1]]",Mission3_004buyfactory,2,,"[[3004,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
59,0,[],Mission3_005RepairSpring,2,,"[[4121,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
60,0,[],Mission3_007FairyHome,2,,"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
61,0,[],Mission3_008NotePiece1,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
62,0,[],Mission3_009NotePiece2,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
63,0,[],Mission3_010GetNote,2,,"[[4120,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
76,0,[],Mission4_001DeadRoad,2,,"[[4130,1],[4131,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
77,0,[],Mission4_003StrangeStatue,2,,"[[4133,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
78,0,[],Mission4_005InTheFog,2,,"[[4134,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
79,0,[],Mission4_003StrangeStatue,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
80,0,[],Mission4_007DollShock1,2,,"[[4135,6]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
81,0,[],Mission4_008DollShock2,2,,"[[5009,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
82,0,[],Mission4_008DollShock2,2,,"[[5009,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
84,1,"[[81004,1]]",Mission4_009VisitWitch,2,,"[[1003,15]]","[['1000',80],['4137',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
85,1,"[[81004,1]]",Mission4_010FindMemory,2,,"[[1003,15]]","[['1000',80],['4138',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
86,1,"[[81004,1]]",Mission4_010FindMemory2,2,,"[[1003,15]]","[['1000',80],['4139',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
87,0,[],Mission4_011CrackedCurse,2,,"[[4136,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
100,0,[],Mission4_005BlackCat1,2,,"[[4140,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
101,0,[],Mission4_005BlackCat1,2,,"[[1003,20]]","[['1000',80],['4140',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
102,0,[],Mission4_005BlackCat1,2,,"[[1003,20]]","[['1000',80],['4140',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
103,0,[],Mission4_005BlackCat1,2,,"[[1003,20]]","[['1000',80],['4140',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
105,0,[],Mission5_003Needmagic,2,,"[[4147,4]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
311,0,[],Mission5_003Needmagicb,3,,"[[4148,4]]","[['1000',80]]","[[1003,25]]","[['4159',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
312,0,[],Mission5_010Importantfriend,2,,"[[4159,1],[4155,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
313,0,[],Mission5_007Sweetbait,3,,"[[4156,1]]","[['1000',80]]","[[1003,25]]","[['4155',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
314,0,[],Mission5_007Sweetbait,3,,"[[4156,1]]","[['1000',80]]","[[1003,25]]","[['4155',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
315,0,[],Mission5_006Strangedemands,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
317,0,[],Mission5_001Difficulties,2,,"[[4160,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
318,0,[],Mission5_001Difficulties,2,,"[[4160,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
319,0,[],Mission5_001Difficulties,2,,"[[4160,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
320,0,[],Mission5_001Difficulties,2,,"[[4160,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
146,0,[],Mission5_000Rethink,2,,"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
147,0,[],Mission5_004Pumpkincarriage1,2,,"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
148,0,[],Mission5_011Deliciousgifts,2,,"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
150,0,[],,2,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
192,0,[],Mission5_002Thecommand,2,,"[[4176,3]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
225,0,[],Mission5_005Depot,2,,"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
226,0,[],Mission5_008Sweettrap,2,,"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
227,0,[],Mission5_006Strangedemands,2,,"[[1003,10]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
222,0,[],Mission5_012Wonderfulmagic2,2,zone5_013Finalpreparation,"[[4153,2],[4154,2]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
153,0,[],Mission5_008Sweettrap,2,,"[[1003,15]]","[['4163',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
154,0,[],Mission5_008Sweettrap,2,,"[[1003,15]]","[['4163',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
191,0,[],Mission5_008Sweettrap,2,,"[[1003,15]]","[['4163',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
155,0,[],Mission6_002Escapedprincess,2,,"[[3006,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
156,0,[],Mission6_003Thechoose1,2,,"[[4165,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
157,0,[],Mission6_005Thechoose3,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
158,0,[],Mission6_004Thechoose2,2,,"[[4172,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
159,1,"[[105001,1]]",Mission6_004Thechoose2,2,zone6_007Wakeup,"[[4175,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
161,0,[],Mission6_008Alcoholic,2,,"[[1003,25]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
162,0,[],Mission6_008Alcoholic,2,,"[[1003,25]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
163,0,[],Mission6_009Magicbarrier,2,,"[[4169,2],[4170,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
164,0,[],Mission6_011Losttrackb,3,,"[[4171,2],[3004,2]]","[['1000',80]]","[[4166,4]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
165,0,[],Mission6_013Dungeon,2,,"[[1003,25]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
166,0,[],Mission6_016Activateexit,2,,"[[4174,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
167,0,[],Mission6_015Dungeonout,2,,"[[4173,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
168,0,[],Mission6_015Dungeonout,2,,"[[4173,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
188,0,[],Mission6_014Dungeonsecret,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
189,0,[],Mission6_007Wakeup,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
200,0,[],Mission7_005HardWay,2,,"[[4179,2],[4180,2]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
201,0,[],Mission7_006MoveOn,2,,"[[4183,3]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
202,0,[],Mission7_008NewCrisis,2,,"[[4181,5]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
203,0,[],Mission7_007Dwarf,2,,"[[5016,10],[3016,2]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
204,0,[],Mission7_011Cooperation,2,,"[[2004,10],[3007,2]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
205,0,[],Mission7_012FindMirror,2,,"[[4178,3]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
240,0,[],,2,,"[[4190,2]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
241,0,[],,2,,"[[4190,2]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
242,0,[],Mission8_002followthefluorite,3,,"[[4192,4]]","[['1000',100]]","[[4191,6]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
243,0,[],Mission8_05TrailofthePoisonQueen,2,,"[[5009,10],[3017,1]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
246,0,[],Mission8_006repairrails1,2,,"[[4199,3]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
247,0,[],Mission8_009Makesurethemirrorissafe,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
248,0,[],Mission8_007trailofthemagicmirror,2,,"[[4195,4]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
252,0,[],Mission8_009Makesurethemirrorissafe,3,,"[[1003,20]]","[['1000',100]]","[[4197,2]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
273,0,[],Mission8_006repairrails2,2,,"[[4270,4]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
279,0,[],Mission9_000ToThePast,2,,"[[4205,2],[4206,2]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
282,1,[],Mission9_002GiveHand,2,,"[[4207,5]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
283,0,[],Mission9_008MagicMirror3,4,,"[[4211,1],[4212,3]]","[['1000',30]]","[[4208,4]]","[['1000',30]]","[[4210,3]]","[['1000',40]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
284,1,[],Mission9_006MagicMirror1,2,zone9_007MagicMirror2B,"[[5005,6],[3001,2]]","[['1000',100],['4211',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
285,0,[],Mission9_007MagicMirror2,2,,"[[4209,2]]","[['1000',100],['4212',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
286,0,[],Mission9_007MagicMirror2,2,,"[[4209,2]]","[['1000',100],['4212',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
287,0,[],Mission9_007MagicMirror2,2,,"[[4209,2]]","[['1000',100],['4212',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
288,0,[],,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
290,1,"[[107001,1]]",Mission9_012EyeforEye,2,,"[[4213,3]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
291,0,[],Mission9_013Pursued,2,,"[[4214,4]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
325,0,[],Mission9_003Exorcism,2,,"[[4215,3],[4216,2]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
330,0,[],Mission10_001Nextstep,2,,"[[4221,4]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
332,0,[],Mission10_003Strangesingingb,2,,"[[4224,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
333,0,[],Mission10_006Holylampb,2,,"[[4223,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
334,0,[],Mission10_009Memoryball,2,,"[[4225,1],[4226,1],[4228,1]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
335,0,[],Mission10_008Artifact2b,2,,"[[4222,1]]","[['1000',80],['4225',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
336,0,[],Mission10_008Artifact2b,2,,"[[4222,1]]","[['1000',80],['4226',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
337,0,[],Mission10_008Artifact2b,2,,"[[4222,1]]","[['1000',80],['4227',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
338,0,[],Mission10_008Artifact2b,2,,"[[4222,1]]","[['1000',80],['4228',1]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
340,0,[],Mission10_011Artifact3,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
341,0,[],Mission10_011Artifact3,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
342,0,[],Mission10_011Artifact3,2,,"[[4220,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
343,0,[],Mission10_006Holylamp,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
344,0,[],Mission10_012Breakobsession,2,,"[[1003,15]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
354,1,[],Mission10_012Breakobsession,2,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
355,0,[],Mission10_000Backtoreality,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
381,1,[],Mission11_001inthefog1,2,zone11_003fairtrade2,"[[4240,5]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
384,0,[],Mission11_008Takeiteasy,2,,"[[4243,4]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
385,1,[],Mission11_010DeepSeaJourney,2,zone11_013heartoftheocean2,"[[4244,1]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
399,0,[],,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
406,0,[],Mission12_002checkthesituation,2,,"[[4254,4]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
408,0,[],Mission12_005scoralharp,2,,"[[4255,3],[4256,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
409,0,[],Mission12_007exploreshortcuts,2,,"[[4257,4]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
411,0,[],Mission12_009landoffire2,2,,"[[4259,4]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
412,0,[],Mission12_011seahorseidol,2,,"[[4260,4]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
413,0,[],Mission12_012mermaidstatue,2,,"[[4261,3],[4262,2]]","[['1000',80]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
414,0,[],Mission12_013mermaidpotion,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
415,0,[],Mission12_012mermaidstatueb,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
437,0,[],Mission12_007exploreshortcuts,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
451,0,[],Mission13_000MonsterDesert,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
454,0,[],Mission13_002Hinder,2,,"[[4280,3],[4281,3]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
456,0,[],Mission13_005AddWater,2,,"[[5015,5],[3005,2]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
457,0,[],Mission13_008Blessing,2,,"[[4287,3],[4284,5]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
458,0,[],Mission13_006UnderCurse,2,,"[[4288,3],[4289,3]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
459,0,[],Mission13_010FaceDifficulties1,3,,"[[1003,30]]",[],"[[4286,5]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
490,0,[],Mission14_002seaqueen,2,,"[[5002,6],[3003,2]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
491,1,[],Mission14_003stablesoul,2,,"[[1003,20]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
492,1,[],Mission14_005rescue,2,,"[[4298,2],[4299,3]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
493,0,[],Mission14_005rescueb,2,,"[[1003,20]]","[['1000',50]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
494,1,"[[115001,1]]",Mission14_007dungeon,2,,"[[4304,1]]","[['1000',100]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
496,0,[],Mission14_005rescueb,2,,"[[1003,20]]","[['1000',50]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
497,0,[],Mission14_009conspiracyb,1,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0,
