type,spacing,bubbletext,starvationspacing,hungertext,feedingtext,upgradeabletext,countrytext,leavecountrytext,wildstroll,wildstrolltext,cultivatetext
204,"[45,60]","[""bubble_204_1""]","[45,60]","[""hungertext_204_1""]","[""feedingtext_204_1""]","[""borntext_204_1""]","[""bornwildtext_204_1""]","[""leavecountrytext_204_1""]","[35,45]","[""wildstrolltext_204_1""]","[""upgradeabletext_204_1""]"
205,"[45,60]","[""bubble_205_1""]","[45,60]","[""hungertext_205_1""]","[""feedingtext_205_1""]","[""borntext_205_1""]","[""bornwildtext_205_1""]","[""leavecountrytext_205_1""]","[25,30]","[""wildstrolltext_205_1""]","[""upgradeabletext_205_1""]"
206,"[45,60]","[""bubble_206_1""]","[45,60]","[""hungertext_206_1""]","[""feedingtext_206_1""]","[""borntext_206_1""]","[""bornwildtext_206_1""]","[""leavecountrytext_206_1""]","[15,35]","[""wildstrolltext_206_1""]","[""upgradeabletext_206_1""]"
207,"[45,60]","[""bubble_207_1""]","[45,60]","[""hungertext_207_1""]","[""feedingtext_207_1""]","[""borntext_207_1""]","[""bornwildtext_207_1""]","[""leavecountrytext_207_1""]","[20,50]","[""wildstrolltext_207_1""]","[""upgradeabletext_207_1""]"
208,"[45,60]","[""bubble_208_1""]","[45,60]","[""hungertext_208_1""]","[""feedingtext_208_1""]","[""borntext_208_1""]","[""bornwildtext_208_1""]","[""leavecountrytext_208_1""]","[20,40]","[""wildstrolltext_208_1""]","[""upgradeabletext_208_1""]"
209,"[45,60]","[""bubble_209_1""]","[45,60]","[""hungertext_209_1""]","[""feedingtext_209_1""]","[""borntext_209_1""]","[""bornwildtext_209_1""]","[""leavecountrytext_209_1""]","[20,50]","[""wildstrolltext_209_1""]","[""upgradeabletext_209_1""]"
210,"[45,60]","[""bubble_210_1""]","[45,60]","[""hungertext_210_1""]","[""feedingtext_210_1""]","[""borntext_210_1""]","[""bornwildtext_210_1""]","[""leavecountrytext_210_1""]","[20,40]","[""wildstrolltext_210_1""]","[""upgradeabletext_210_1""]"
301,"[45,60]","[""bubble_301_1""]","[45,60]","[""hungertext_301_1""]","[""feedingtext_301_1""]","[""borntext_301_1""]","[""bornwildtext_301_1""]","[""leavecountrytext_301_1""]","[40,60]","[""wildstrolltext_301_1""]","[""upgradeabletext_301_1""]"
302,"[45,60]","[""bubble_302_1""]","[45,60]","[""hungertext_302_1""]","[""feedingtext_302_1""]","[""borntext_302_1""]","[""bornwildtext_302_1""]","[""leavecountrytext_302_1""]","[30,40]","[""wildstrolltext_302_1""]","[""upgradeabletext_302_1""]"
303,"[45,60]","[""bubble_303_1""]","[45,60]","[""hungertext_303_1""]","[""feedingtext_303_1""]","[""borntext_303_1""]","[""bornwildtext_303_1""]","[""leavecountrytext_303_1""]","[16,32]","[""wildstrolltext_303_1""]","[""upgradeabletext_303_1""]"
304,"[45,60]","[""bubble_304_1""]","[45,60]","[""hungertext_304_1""]","[""feedingtext_304_1""]","[""borntext_304_1""]","[""bornwildtext_304_1""]","[""leavecountrytext_304_1""]","[22,37]","[""wildstrolltext_304_1""]","[""upgradeabletext_304_1""]"
305,"[45,60]","[""bubble_305_1""]","[45,60]","[""hungertext_305_1""]","[""feedingtext_305_1""]","[""borntext_305_1""]","[""bornwildtext_305_1""]","[""leavecountrytext_305_1""]","[20,40]","[""wildstrolltext_305_1""]","[""upgradeabletext_305_1""]"
306,"[45,60]","[""bubble_306_1""]","[45,60]","[""hungertext_306_1""]","[""feedingtext_306_1""]","[""borntext_306_1""]","[""bornwildtext_306_1""]","[""leavecountrytext_306_1""]","[20,40]","[""wildstrolltext_306_1""]","[""upgradeabletext_306_1""]"
307,"[45,60]","[""bubble_307_1""]","[45,60]","[""hungertext_307_1""]","[""feedingtext_307_1""]","[""borntext_307_1""]","[""bornwildtext_307_1""]","[""leavecountrytext_307_1""]","[20,40]","[""wildstrolltext_307_1""]","[""upgradeabletext_307_1""]"
308,"[45,60]","[""bubble_308_1""]","[45,60]","[""hungertext_308_1""]","[""feedingtext_308_1""]","[""borntext_308_1""]","[""bornwildtext_308_1""]","[""leavecountrytext_308_1""]","[20,40]","[""wildstrolltext_308_1""]","[""upgradeabletext_308_1""]"
309,"[45,60]","[""bubble_309_1""]","[45,60]","[""hungertext_309_1""]","[""feedingtext_309_1""]","[""borntext_309_1""]","[""bornwildtext_309_1""]","[""leavecountrytext_309_1""]","[20,40]","[""wildstrolltext_309_1""]","[""upgradeabletext_309_1""]"
310,"[45,60]","[""bubble_310_1""]","[45,60]","[""hungertext_310_1""]","[""feedingtext_310_1""]","[""borntext_310_1""]","[""bornwildtext_310_1""]","[""leavecountrytext_310_1""]","[20,40]","[""wildstrolltext_310_1""]","[""upgradeabletext_310_1""]"
311,"[45,60]","[""bubble_311_1""]","[45,60]","[""hungertext_311_1""]","[""feedingtext_311_1""]","[""borntext_311_1""]","[""bornwildtext_311_1""]","[""leavecountrytext_311_1""]","[20,40]","[""wildstrolltext_311_1""]","[""upgradeabletext_311_1""]"
312,"[45,60]","[""bubble_312_1""]","[45,60]","[""hungertext_312_1""]","[""feedingtext_312_1""]","[""borntext_312_1""]","[""bornwildtext_312_1""]","[""leavecountrytext_312_1""]","[20,40]","[""wildstrolltext_312_1""]","[""upgradeabletext_312_1""]"
313,"[45,60]","[""bubble_313_1""]","[45,60]","[""hungertext_313_1""]","[""feedingtext_313_1""]","[""borntext_313_1""]","[""bornwildtext_313_1""]","[""leavecountrytext_313_1""]","[20,40]","[""wildstrolltext_313_1""]","[""upgradeabletext_313_1""]"
314,"[45,60]","[""bubble_314_1""]","[45,60]","[""hungertext_314_1""]","[""feedingtext_314_1""]","[""borntext_314_1""]","[""bornwildtext_314_1""]","[""leavecountrytext_314_1""]","[20,40]","[""wildstrolltext_314_1""]","[""upgradeabletext_314_1""]"
315,"[45,60]","[""bubble_315_1""]","[45,60]","[""hungertext_315_1""]","[""feedingtext_315_1""]","[""borntext_315_1""]","[""bornwildtext_315_1""]","[""leavecountrytext_315_1""]","[20,40]","[""wildstrolltext_315_1""]","[""upgradeabletext_315_1""]"
316,"[45,60]","[""bubble_316_1""]","[45,60]","[""hungertext_316_1""]","[""feedingtext_316_1""]","[""borntext_316_1""]","[""bornwildtext_316_1""]","[""leavecountrytext_316_1""]","[20,40]","[""wildstrolltext_316_1""]","[""upgradeabletext_316_1""]"
317,"[45,60]","[""bubble_317_1""]","[45,60]","[""hungertext_317_1""]","[""feedingtext_317_1""]","[""borntext_317_1""]","[""bornwildtext_317_1""]","[""leavecountrytext_317_1""]","[20,40]","[""wildstrolltext_317_1""]","[""upgradeabletext_317_1""]"
318,"[45,60]","[""bubble_318_1""]","[45,60]","[""hungertext_318_1""]","[""feedingtext_318_1""]","[""borntext_318_1""]","[""bornwildtext_318_1""]","[""leavecountrytext_318_1""]","[20,40]","[""wildstrolltext_318_1""]","[""upgradeabletext_318_1""]"
319,"[45,60]","[""bubble_319_1""]","[45,60]","[""hungertext_319_1""]","[""feedingtext_319_1""]","[""borntext_319_1""]","[""bornwildtext_319_1""]","[""leavecountrytext_319_1""]","[20,40]","[""wildstrolltext_319_1""]","[""upgradeabletext_319_1""]"
320,"[45,60]","[""bubble_320_1""]","[45,60]","[""hungertext_320_1""]","[""feedingtext_320_1""]","[""borntext_320_1""]","[""bornwildtext_320_1""]","[""leavecountrytext_320_1""]","[20,40]","[""wildstrolltext_320_1""]","[""upgradeabletext_320_1""]"
321,"[45,60]","[""bubble_321_1""]","[45,60]","[""hungertext_321_1""]","[""feedingtext_321_1""]","[""borntext_321_1""]","[""bornwildtext_321_1""]","[""leavecountrytext_321_1""]","[20,40]","[""wildstrolltext_321_1""]","[""upgradeabletext_321_1""]"
322,"[45,60]","[""bubble_322_1""]","[45,60]","[""hungertext_322_1""]","[""feedingtext_322_1""]","[""borntext_322_1""]","[""bornwildtext_322_1""]","[""leavecountrytext_322_1""]","[20,40]","[""wildstrolltext_322_1""]","[""upgradeabletext_322_1""]"
323,"[45,60]","[""bubble_323_1""]","[45,60]","[""hungertext_323_1""]","[""feedingtext_323_1""]","[""borntext_323_1""]","[""bornwildtext_323_1""]","[""leavecountrytext_323_1""]","[20,40]","[""wildstrolltext_323_1""]","[""upgradeabletext_323_1""]"
324,"[45,60]","[""bubble_324_1""]","[45,60]","[""hungertext_324_1""]","[""feedingtext_324_1""]","[""borntext_324_1""]","[""bornwildtext_324_1""]","[""leavecountrytext_324_1""]","[20,40]","[""wildstrolltext_324_1""]","[""upgradeabletext_324_1""]"
325,"[45,60]","[""bubble_325_1""]","[45,60]","[""hungertext_325_1""]","[""feedingtext_325_1""]","[""borntext_325_1""]","[""bornwildtext_325_1""]","[""leavecountrytext_325_1""]","[20,40]","[""wildstrolltext_325_1""]","[""upgradeabletext_325_1""]"
326,"[45,60]","[""bubble_326_1""]","[45,60]","[""hungertext_326_1""]","[""feedingtext_326_1""]","[""borntext_326_1""]","[""bornwildtext_326_1""]","[""leavecountrytext_326_1""]","[20,40]","[""wildstrolltext_326_1""]","[""upgradeabletext_326_1""]"
327,"[45,60]","[""bubble_327_1""]","[45,60]","[""hungertext_327_1""]","[""feedingtext_327_1""]","[""borntext_327_1""]","[""bornwildtext_327_1""]","[""leavecountrytext_327_1""]","[20,40]","[""wildstrolltext_327_1""]","[""upgradeabletext_327_1""]"
328,"[45,60]","[""bubble_328_1""]","[45,60]","[""hungertext_328_1""]","[""feedingtext_328_1""]","[""borntext_328_1""]","[""bornwildtext_328_1""]","[""leavecountrytext_328_1""]","[20,40]","[""wildstrolltext_328_1""]","[""upgradeabletext_328_1""]"
329,"[45,60]","[""bubble_329_1""]","[45,60]","[""hungertext_329_1""]","[""feedingtext_329_1""]","[""borntext_329_1""]","[""bornwildtext_329_1""]","[""leavecountrytext_329_1""]","[20,40]","[""wildstrolltext_329_1""]","[""upgradeabletext_329_1""]"
330,"[45,60]","[""bubble_330_1""]","[45,60]","[""hungertext_330_1""]","[""feedingtext_330_1""]","[""borntext_330_1""]","[""bornwildtext_330_1""]","[""leavecountrytext_330_1""]","[20,40]","[""wildstrolltext_330_1""]","[""upgradeabletext_330_1""]"
331,"[45,60]","[""bubble_331_1""]","[45,60]","[""hungertext_331_1""]","[""feedingtext_331_1""]","[""borntext_331_1""]","[""bornwildtext_331_1""]","[""leavecountrytext_331_1""]","[20,40]","[""wildstrolltext_331_1""]","[""upgradeabletext_331_1""]"
332,"[45,60]","[""bubble_329_1""]","[45,60]","[""hungertext_332_1""]","[""feedingtext_332_1""]","[""borntext_332_1""]","[""bornwildtext_332_1""]","[""leavecountrytext_332_1""]","[20,40]","[""wildstrolltext_332_1""]","[""upgradeabletext_332_1""]"
333,"[45,60]","[""bubble_330_1""]","[45,60]","[""hungertext_333_1""]","[""feedingtext_333_1""]","[""borntext_333_1""]","[""bornwildtext_333_1""]","[""leavecountrytext_333_1""]","[20,40]","[""wildstrolltext_333_1""]","[""upgradeabletext_333_1""]"
334,"[45,60]","[""bubble_331_1""]","[45,60]","[""hungertext_334_1""]","[""feedingtext_334_1""]","[""borntext_334_1""]","[""bornwildtext_334_1""]","[""leavecountrytext_334_1""]","[20,40]","[""wildstrolltext_334_1""]","[""upgradeabletext_334_1""]"
401,"[45,60]","[""bubble_401_1""]","[45,60]","[""hungertext_401_1""]","[""feedingtext_401_1""]","[""borntext_401_1""]","[""bornwildtext_401_1""]","[""leavecountrytext_401_1""]","[28,30]","[""wildstrolltext_401_1""]","[""upgradeabletext_401_1""]"
402,"[45,60]","[""bubble_402_1""]","[45,60]","[""hungertext_402_1""]","[""feedingtext_402_1""]","[""borntext_402_1""]","[""bornwildtext_402_1""]","[""leavecountrytext_402_1""]","[30,35]","[""wildstrolltext_402_1""]","[""upgradeabletext_402_1""]"
403,"[45,60]","[""bubble_403_1""]","[45,60]","[""hungertext_403_1""]","[""feedingtext_403_1""]","[""borntext_403_1""]","[""bornwildtext_403_1""]","[""leavecountrytext_403_1""]","[35,45]","[""wildstrolltext_403_1""]","[""upgradeabletext_403_1""]"
404,"[45,60]","[""bubble_404_1""]","[45,60]","[""hungertext_404_1""]","[""feedingtext_404_1""]","[""borntext_404_1""]","[""bornwildtext_404_1""]","[""leavecountrytext_404_1""]","[37,42]","[""wildstrolltext_404_1""]","[""upgradeabletext_404_1""]"
405,"[45,60]","[""bubble_405_1""]","[45,60]","[""hungertext_405_1""]","[""feedingtext_405_1""]","[""borntext_405_1""]","[""bornwildtext_405_1""]","[""leavecountrytext_405_1""]","[40,47]","[""wildstrolltext_405_1""]","[""upgradeabletext_405_1""]"
406,"[45,60]","[""bubble_406_1""]","[45,60]","[""hungertext_406_1""]","[""feedingtext_406_1""]","[""borntext_406_1""]","[""bornwildtext_406_1""]","[""leavecountrytext_406_1""]","[22,37]","[""wildstrolltext_406_1""]","[""upgradeabletext_406_1""]"
407,"[45,60]","[""bubble_407_1""]","[45,60]","[""hungertext_407_1""]","[""feedingtext_407_1""]","[""borntext_407_1""]","[""bornwildtext_407_1""]","[""leavecountrytext_407_1""]","[28,30]","[""wildstrolltext_407_1""]","[""upgradeabletext_407_1""]"
408,"[45,60]","[""bubble_408_1""]","[45,60]","[""hungertext_408_1""]","[""feedingtext_408_1""]","[""borntext_408_1""]","[""bornwildtext_408_1""]","[""leavecountrytext_408_1""]","[30,35]","[""wildstrolltext_408_1""]","[""upgradeabletext_408_1""]"
409,"[45,60]","[""bubble_409_1""]","[45,60]","[""hungertext_409_1""]","[""feedingtext_409_1""]","[""borntext_409_1""]","[""bornwildtext_409_1""]","[""leavecountrytext_409_1""]","[30,35]","[""wildstrolltext_409_1""]","[""upgradeabletext_409_1""]"
410,"[45,60]","[""bubble_410_1""]","[45,60]","[""hungertext_410_1""]","[""feedingtext_410_1""]","[""borntext_410_1""]","[""bornwildtext_410_1""]","[""leavecountrytext_410_1""]","[30,35]","[""wildstrolltext_410_1""]","[""upgradeabletext_410_1""]"
411,"[45,60]","[""bubble_411_1""]","[45,60]","[""hungertext_411_1""]","[""feedingtext_411_1""]","[""borntext_411_1""]","[""bornwildtext_411_1""]","[""leavecountrytext_411_1""]","[30,35]","[""wildstrolltext_411_1""]","[""upgradeabletext_411_1""]"
412,"[45,60]","[""bubble_412_1""]","[45,60]","[""hungertext_412_1""]","[""feedingtext_412_1""]","[""borntext_412_1""]","[""bornwildtext_412_1""]","[""leavecountrytext_412_1""]","[30,35]","[""wildstrolltext_412_1""]","[""upgradeabletext_412_1""]"
413,"[45,60]","[""bubble_413_1""]","[45,60]","[""hungertext_413_1""]","[""feedingtext_413_1""]","[""borntext_413_1""]","[""bornwildtext_413_1""]","[""leavecountrytext_413_1""]","[30,35]","[""wildstrolltext_413_1""]","[""upgradeabletext_413_1""]"
414,"[45,60]","[""bubble_414_1""]","[45,60]","[""hungertext_414_1""]","[""feedingtext_414_1""]","[""borntext_414_1""]","[""bornwildtext_414_1""]","[""leavecountrytext_414_1""]","[30,35]","[""wildstrolltext_414_1""]","[""upgradeabletext_414_1""]"
415,"[45,60]","[""bubble_415_1""]","[45,60]","[""hungertext_415_1""]","[""feedingtext_415_1""]","[""borntext_415_1""]","[""bornwildtext_415_1""]","[""leavecountrytext_415_1""]","[30,35]","[""wildstrolltext_415_1""]","[""upgradeabletext_415_1""]"
416,"[45,60]","[""bubble_416_1""]","[45,60]","[""hungertext_416_1""]","[""feedingtext_416_1""]","[""borntext_416_1""]","[""bornwildtext_416_1""]","[""leavecountrytext_416_1""]","[30,35]","[""wildstrolltext_416_1""]","[""upgradeabletext_416_1""]"
