18,3800,6600,10100,13300,16400,19900,23400,26500,30000,33500,36700,39800,43300,46800,49900,53400,56900,59700,63200,66700,69800,73300
19,4300,7500,11500,15100,18600,22600,26600,30100,34100,38100,41700,45200,49200,53200,56700,60700,64700,67800,71800,75800,79300,83300
20,4800,8400,12900,16900,20800,25300,29800,33700,38200,42700,46700,50600,55100,59600,63500,68000,72500,75900,80400,84900,88800,93300
21,5300,9300,14300,18700,23000,28000,33000,37300,42300,47300,51700,56000,61000,66000,70300,75300,80300,84000,89000,94000,98300,103300
22,5800,10200,15700,20500,25200,30700,36200,40900,46400,51900,56700,61400,66900,72400,77100,82600,88100,92100,97600,103100,107800,113300
23,6300,11100,17100,22300,27400,33400,39400,44500,50500,56500,61700,66800,72800,78800,83900,89900,95900,100200,106200,112200,117300,123300
24,6800,12000,18500,24100,29600,36100,42600,48100,54600,61100,66700,72200,78700,85200,90700,97200,103700,108300,114800,121300,126800,133300
25,7300,12900,19900,25900,31800,38800,45800,51700,58700,65700,71700,77600,84600,91600,97500,104500,111500,116400,123400,130400,136300,143300
26,7800,13800,21300,27700,34000,41500,49000,55300,62800,70300,76700,83000,90500,98000,104300,111800,119300,124500,132000,139500,145800,153300
27,8300,14700,22700,29500,36200,44200,52200,58900,66900,74900,81700,88400,96400,104400,111100,119100,127100,132600,140600,148600,155300,163300
28,8800,15600,24100,31300,38400,46900,55400,62500,71000,79500,86700,93800,102300,110800,117900,126400,134900,140700,149200,157700,164800,173300
29,9300,16500,25500,33100,40600,49600,58600,66100,75100,84100,91700,99200,108200,117200,124700,133700,142700,148800,157800,166800,174300,183300
30,9800,17400,26900,34900,42800,52300,61800,69700,79200,88700,96700,104600,114100,123600,131500,141000,150500,156900,166400,175900,183800,193300
31,10300,18300,28300,36700,45000,55000,65000,73300,83300,93300,101700,110000,120000,130000,138300,148300,158300,165000,175000,185000,193300,203300
32,10800,19200,29700,38500,47200,57700,68200,76900,87400,97900,106700,115400,125900,136400,145100,155600,166100,173100,183600,194100,202800,213300
33,11300,20100,31100,40300,49400,60400,71400,80500,91500,102500,111700,120800,131800,142800,151900,162900,173900,181200,192200,203200,212300,223300
34,11800,21000,32500,42100,51600,63100,74600,84100,95600,107100,116700,126200,137700,149200,158700,170200,181700,189300,200800,212300,221800,233300
35,12300,21900,33900,43900,53800,65800,77800,87700,99700,111700,121700,131600,143600,155600,165500,177500,189500,197400,209400,221400,231300,243300
36,12800,22800,35300,45700,56000,68500,81000,91300,103800,116300,126700,137000,149500,162000,172300,184800,197300,205500,218000,230500,240800,253300
37,13300,23700,36700,47500,58200,71200,84200,94900,107900,120900,131700,142400,155400,168400,179100,192100,205100,213600,226600,239600,250300,263300
38,13800,24600,38100,49300,60400,73900,87400,98500,112000,125500,136700,147800,161300,174800,185900,199400,212900,221700,235200,248700,259800,273300
39,14300,25500,39500,51100,62600,76600,90600,102100,116100,130100,141700,153200,167200,181200,192700,206700,220700,229800,243800,257800,269300,283300
40,14800,26400,40900,52900,64800,79300,93800,105700,120200,134700,146700,158600,173100,187600,199500,214000,228500,237900,252400,266900,278800,293300
41,15300,27300,42300,54700,67000,82000,97000,109300,124300,139300,151700,164000,179000,194000,206300,221300,236300,246000,261000,276000,288300,303300
42,15800,28200,43700,56500,69200,84700,100200,112900,128400,143900,156700,169400,184900,200400,213100,228600,244100,254100,269600,285100,297800,313300
43,16300,29100,45100,58300,71400,87400,103400,116500,132500,148500,161700,174800,190800,206800,219900,235900,251900,262200,278200,294200,307300,323300
44,16800,30000,46500,60100,73600,90100,106600,120100,136600,153100,166700,180200,196700,213200,226700,243200,259700,270300,286800,303300,316800,333300
45,17300,30900,47900,61900,75800,92800,109800,123700,140700,157700,171700,185600,202600,219600,233500,250500,267500,278400,295400,312400,326300,343300
46,17800,31800,49300,63700,78000,95500,113000,127300,144800,162300,176700,191000,208500,226000,240300,257800,275300,286500,304000,321500,335800,353300
47,18300,32700,50700,65500,80200,98200,116200,130900,148900,166900,181700,196400,214400,232400,247100,265100,283100,294600,312600,330600,345300,363300
48,18800,33600,52100,67300,82400,100900,119400,134500,153000,171500,186700,201800,220300,238800,253900,272400,290900,302700,321200,339700,354800,373300
49,19300,34500,53500,69100,84600,103600,122600,138100,157100,176100,191700,207200,226200,245200,260700,279700,298700,310800,329800,348800,364300,383300
50,19800,35400,54900,70900,86800,106300,125800,141700,161200,180700,196700,212600,232100,251600,267500,287000,306500,318900,338400,357900,373800,393300
51,20300,36300,56300,72700,89000,109000,129000,145300,165300,185300,201700,218000,238000,258000,274300,294300,314300,327000,347000,367000,383300,403300
52,20800,37200,57700,74500,91200,111700,132200,148900,169400,189900,206700,223400,243900,264400,281100,301600,322100,335100,355600,376100,392800,413300
53,21300,38100,59100,76300,93400,114400,135400,152500,173500,194500,211700,228800,249800,270800,287900,308900,329900,343200,364200,385200,402300,423300
54,21800,39000,60500,78100,95600,117100,138600,156100,177600,199100,216700,234200,255700,277200,294700,316200,337700,351300,372800,394300,411800,433300
55,22300,39900,61900,79900,97800,119800,141800,159700,181700,203700,221700,239600,261600,283600,301500,323500,345500,359400,381400,403400,421300,443300
56,22800,40800,63300,81700,100000,122500,145000,163300,185800,208300,226700,245000,267500,290000,308300,330800,353300,367500,390000,412500,430800,453300
57,23300,41700,64700,83500,102200,125200,148200,166900,189900,212900,231700,250400,273400,296400,315100,338100,361100,375600,398600,421600,440300,463300
58,23800,42600,66100,85300,104400,127900,151400,170500,194000,217500,236700,255800,279300,302800,321900,345400,368900,383700,407200,430700,449800,473300
59,24300,43500,67500,87100,106600,130600,154600,174100,198100,222100,241700,261200,285200,309200,328700,352700,376700,391800,415800,439800,459300,483300
60,24800,44400,68900,88900,108800,133300,157800,177700,202200,226700,246700,266600,291100,315600,335500,360000,384500,399900,424400,448900,468800,493300
61,25300,45300,70300,90700,111000,136000,161000,181300,206300,231300,251700,272000,297000,322000,342300,367300,392300,408000,433000,458000,478300,503300
62,25800,46200,71700,92500,113200,138700,164200,184900,210400,235900,256700,277400,302900,328400,349100,374600,400100,416100,441600,467100,487800,513300
63,26300,47100,73100,94300,115400,141400,167400,188500,214500,240500,261700,282800,308800,334800,355900,381900,407900,424200,450200,476200,497300,523300
64,26800,48000,74500,96100,117600,144100,170600,192100,218600,245100,266700,288200,314700,341200,362700,389200,415700,432300,458800,485300,506800,533300
65,27300,48900,75900,97900,119800,146800,173800,195700,222700,249700,271700,293600,320600,347600,369500,396500,423500,440400,467400,494400,516300,543300
66,27800,49800,77300,99700,122000,149500,177000,199300,226800,254300,276700,299000,326500,354000,376300,403800,431300,448500,476000,503500,525800,553300
67,28300,50700,78700,101500,124200,152200,180200,202900,230900,258900,281700,304400,332400,360400,383100,411100,439100,456600,484600,512600,535300,563300
68,28800,51600,80100,103300,126400,154900,183400,206500,235000,263500,286700,309800,338300,366800,389900,418400,446900,464700,493200,521700,544800,573300
69,29300,52500,81500,105100,128600,157600,186600,210100,239100,268100,291700,315200,344200,373200,396700,425700,454700,472800,501800,530800,554300,583300
70,29800,53400,82900,106900,130800,160300,189800,213700,243200,272700,296700,320600,350100,379600,403500,433000,462500,480900,510400,539900,563800,593300
71,30300,54300,84300,108700,133000,163000,193000,217300,247300,277300,301700,326000,356000,386000,410300,440300,470300,489000,519000,549000,573300,603300
72,30800,55200,85700,110500,135200,165700,196200,220900,251400,281900,306700,331400,361900,392400,417100,447600,478100,497100,527600,558100,582800,613300
73,31300,56100,87100,112300,137400,168400,199400,224500,255500,286500,311700,336800,367800,398800,423900,454900,485900,505200,536200,567200,592300,623300
74,31800,57000,88500,114100,139600,171100,202600,228100,259600,291100,316700,342200,373700,405200,430700,462200,493700,513300,544800,576300,601800,633300
75,32300,57900,89900,115900,141800,173800,205800,231700,263700,295700,321700,347600,379600,411600,437500,469500,501500,521400,553400,585400,611300,643300
76,32800,58800,91300,117700,144000,176500,209000,235300,267800,300300,326700,353000,385500,418000,444300,476800,509300,529500,562000,594500,620800,653300
77,33300,59700,92700,119500,146200,179200,212200,238900,271900,304900,331700,358400,391400,424400,451100,484100,517100,537600,570600,603600,630300,663300
78,33800,60600,94100,121300,148400,181900,215400,242500,276000,309500,336700,363800,397300,430800,457900,491400,524900,545700,579200,612700,639800,673300
79,34300,61500,95500,123100,150600,184600,218600,246100,280100,314100,341700,369200,403200,437200,464700,498700,532700,553800,587800,621800,649300,683300
80,34800,62400,96900,124900,152800,187300,221800,249700,284200,318700,346700,374600,409100,443600,471500,506000,540500,561900,596400,630900,658800,693300
81,35300,63300,98300,126700,155000,190000,225000,253300,288300,323300,351700,380000,415000,450000,478300,513300,548300,570000,605000,640000,668300,703300
82,35800,64200,99700,128500,157200,192700,228200,256900,292400,327900,356700,385400,420900,456400,485100,520600,556100,578100,613600,649100,677800,713300
83,36300,65100,101100,130300,159400,195400,231400,260500,296500,332500,361700,390800,426800,462800,491900,527900,563900,586200,622200,658200,687300,723300
84,36800,66000,102500,132100,161600,198100,234600,264100,300600,337100,366700,396200,432700,469200,498700,535200,571700,594300,630800,667300,696800,733300
85,37300,66900,103900,133900,163800,200800,237800,267700,304700,341700,371700,401600,438600,475600,505500,542500,579500,602400,639400,676400,706300,743300
86,37800,67800,105300,135700,166000,203500,241000,271300,308800,346300,376700,407000,444500,482000,512300,549800,587300,610500,648000,685500,715800,753300
87,38300,68700,106700,137500,168200,206200,244200,274900,312900,350900,381700,412400,450400,488400,519100,557100,595100,618600,656600,694600,725300,763300
88,38800,69600,108100,139300,170400,208900,247400,278500,317000,355500,386700,417800,456300,494800,525900,564400,602900,626700,665200,703700,734800,773300
89,39300,70500,109500,141100,172600,211600,250600,282100,321100,360100,391700,423200,462200,501200,532700,571700,610700,634800,673800,712800,744300,783300
90,39800,71400,110900,142900,174800,214300,253800,285700,325200,364700,396700,428600,468100,507600,539500,579000,618500,642900,682400,721900,753800,793300
91,40300,72300,112300,144700,177000,217000,257000,289300,329300,369300,401700,434000,474000,514000,546300,586300,626300,651000,691000,731000,763300,803300
92,40800,73200,113700,146500,179200,219700,260200,292900,333400,373900,406700,439400,479900,520400,553100,593600,634100,659100,699600,740100,772800,813300
93,41300,74100,115100,148300,181400,222400,263400,296500,337500,378500,411700,444800,485800,526800,559900,600900,641900,667200,708200,749200,782300,823300
94,41800,75000,116500,150100,183600,225100,266600,300100,341600,383100,416700,450200,491700,533200,566700,608200,649700,675300,716800,758300,791800,833300
95,42300,75900,117900,151900,185800,227800,269800,303700,345700,387700,421700,455600,497600,539600,573500,615500,657500,683400,725400,767400,801300,843300
96,42800,76800,119300,153700,188000,230500,273000,307300,349800,392300,426700,461000,503500,546000,580300,622800,665300,691500,734000,776500,810800,853300
97,43300,77700,120700,155500,190200,233200,276200,310900,353900,396900,431700,466400,509400,552400,587100,630100,673100,699600,742600,785600,820300,863300
98,43800,78600,122100,157300,192400,235900,279400,314500,358000,401500,436700,471800,515300,558800,593900,637400,680900,707700,751200,794700,829800,873300
99,44300,79500,123500,159100,194600,238600,282600,318100,362100,406100,441700,477200,521200,565200,600700,644700,688700,715800,759800,803800,839300,883300
