sort,missionGroup,id,graphId,preMissionId,ZoneRequire,levelUnlock,exp_award,itemIdAmount,
129,11,repair_77461,branch_200155,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,15,110,"[[1002,100]]",
130,11,repair_77462,branch_200156,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,15,110,"[[1002,100]]",
131,12,Submission15_homelevel_16,branch_942,"[""Mission3_004buyfactory""]",,15,110,"[[1002,100]]",
132,11,repair_77300,branch_200157,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,16,150,"[[1002,100]]",
133,11,repair_75891,branch_200410,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,16,150,"[[1002,100]]",
134,11,repair_77105,branch_200411,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,16,150,"[[1002,100]]",
135,12,Submission16_homelevel_17,branch_944,"[""Mission3_004buyfactory""]",,16,150,"[[1002,100]]",
136,11,repair_77104,branch_200412,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,17,200,"[[1002,100]]",
137,11,repair_77103,branch_200413,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,17,200,"[[1002,100]]",
138,11,repair_77101,branch_200414,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,17,200,"[[1002,100]]",
139,11,repair_77102,branch_200415,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,17,200,"[[1002,100]]",
140,12,Submission17_homelevel_18,branch_946,"[""Mission3_004buyfactory""]",,17,200,"[[1002,100]]",
141,11,repair_75807,branch_200390,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",
142,11,repair_75808,branch_200400,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",
143,13,extension_100133,branch_200401,"[""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",
144,11,repair_76031,branch_200502,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",
145,11,repair_76032,branch_200503,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",
146,12,Submission18_homelevel_19,branch_948,"[""Mission3_004buyfactory""]",,18,225,"[[1002,100]]",
147,12,Submission19_homelevel_20,branch_950,"[""Mission3_004buyfactory""]",,19,240,"[[1002,100]]",
148,11,repair_77201,branch_200504,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",
149,11,repair_75901,branch_200505,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",
150,11,repair_75902,branch_200440,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",
151,11,repair_75903,branch_200450,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",
152,12,Submission20_homelevel_21,branch_952,"[""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",
153,13,extension_100134,branch_200402,"[""Mission3_004buyfactory""]",,20,244,"[[1002,100]]",
154,11,repair_76041,branch_200508,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,21,250,"[[1002,100]]",
155,13,extension_100139,branch_200509,"[""Mission3_004buyfactory""]",,28,250,"[[1002,100]]",
156,11,repair_77482,branch_200601,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,28,250,"[[1002,100]]",
157,11,repair_77483,branch_200611,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,28,250,"[[1002,100]]",
158,11,repair_77484,branch_200621,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,28,250,"[[1002,100]]",
159,13,extension_100143,branch_200623,"[""Mission3_004buyfactory""]",,30,250,"[[1002,100]]",
160,13,extension_100140,branch_200622,"[""Mission3_004buyfactory""]",,34,250,"[[1002,100]]",
161,11,repair_77485,branch_200631,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,34,250,"[[1002,100]]",
162,11,repair_77486,branch_200641,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,34,250,"[[1002,100]]",
163,11,repair_77497,branch_200651,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,34,250,"[[1002,100]]",
164,13,extension_100144,branch_200653,"[""Mission3_004buyfactory""]",,36,250,"[[1002,100]]",
165,13,extension_100141,branch_200652,"[""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",
166,11,repair_77488,branch_200661,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",
167,11,repair_77489,branch_200671,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",
168,11,repair_77490,branch_200681,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",
169,11,repair_77491,branch_200691,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",
170,11,repair_77492,branch_200701,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,38,250,"[[1002,100]]",
171,13,extension_100142,branch_200702,"[""Mission3_004buyfactory""]",,40,250,"[[1002,100]]",
172,11,repair_77493,branch_200711,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,40,250,"[[1002,100]]",
173,11,repair_77494,branch_200721,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,40,250,"[[1002,100]]",
174,11,repair_77495,branch_200731,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,40,250,"[[1002,100]]",
175,11,repair_77496,branch_200741,"[""Submission12_homelevel_13"",""Mission3_004buyfactory""]",,40,250,"[[1002,100]]",
315,,repair_75111,branch_200050,"[""partnersub117_006""]",,99,18,"[[1002,100]]",
320,,repair_75112,branch_200060,"[""partnersub117_006""]",,99,18,"[[1002,100]]",
325,,repair_75105,branch_200020,"[""partnersub117_006""]",,99,20,"[[1002,100]]",
330,,repair_75107,branch_200040,"[""partnersub117_006""]",,99,20,"[[1002,100]]",
335,,repair_75202,branch_200080,"[""partnersub117_006""]",,99,39,"[[1002,100]]",
340,,repair_75291,branch_200090,"[""partnersub117_006""]",,99,39,"[[1002,100]]",
345,,repair_75292,branch_200100,"[""partnersub117_006""]",,99,39,"[[1002,100]]",
350,,repair_75293,branch_200110,"[""partnersub117_006""]",,99,45,"[[1002,100]]",
355,,repair_75294,branch_200120,"[""partnersub117_006""]",,99,45,"[[1002,100]]",
360,,repair_75295,branch_200130,"[""partnersub117_006""]",,99,45,"[[1002,100]]",
365,,repair_75301,branch_200140,"[""partnersub117_006""]",,99,75,"[[1002,100]]",
370,,repair_75304,branch_200170,"[""partnersub117_006""]",,99,75,"[[1002,100]]",
375,,repair_75402,branch_200190,"[""partnersub117_006""]",,99,90,"[[1002,100]]",
380,,repair_75403,branch_200200,"[""partnersub117_006""]",,99,90,"[[1002,100]]",
385,,repair_75404,branch_200210,"[""partnersub117_006""]",,99,90,"[[1002,100]]",
390,,repair_75502,branch_200230,"[""partnersub117_006""]",,99,100,"[[1002,100]]",
395,,repair_75504,branch_200250,"[""partnersub117_006""]",,99,100,"[[1002,100]]",
400,,repair_75601,branch_200260,"[""partnersub117_006""]",,99,110,"[[1002,100]]",
405,,repair_75602,branch_200270,"[""partnersub117_006""]",,99,110,"[[1002,100]]",
410,,repair_75702,branch_200290,"[""partnersub117_006""]",,99,110,"[[1002,100]]",
415,,repair_75801,branch_200330,"[""partnersub117_006""]",,99,200,"[[1002,100]]",
420,,repair_75802,branch_200340,"[""partnersub117_006""]",,99,200,"[[1002,100]]",
425,,repair_75803,branch_200350,"[""partnersub117_006""]",,99,200,"[[1002,100]]",
430,,repair_75804,branch_200360,"[""partnersub117_006""]",,99,200,"[[1002,100]]",
435,,repair_75805,branch_200370,"[""partnersub117_006""]",,99,225,"[[1002,100]]",
440,,repair_75806,branch_200380,"[""partnersub117_006""]",,99,225,"[[1002,100]]",
445,,repair_75892,branch_200420,"[""partnersub117_006""]",,99,240,"[[1002,100]]",
210002,3,Order_7,branch_1167,"[""levelup_101_1""]",,7,14,"[[1002,100]]",
210011,3,Order_8,branch_1168,"[""levelup_103_1""]",,8,18,"[[1002,100]]",
210017,3,Order_9,branch_1169,"[""levelup_104_1""]",,9,20,"[[1002,100]]",
210023,3,Order_10,branch_1170,"[""levelup_102_3""]",,10,39,"[[1002,100]]",
210028,3,Order_11,branch_1171,"[""partnersub102_005""]",,10,45,"[[1002,100]]",
210052,3,Order_12,branch_1172,"[""partnersub110_002""]",,12,75,"[[1002,100]]",
1060,,Order_13,branch_1173,"[""Order_12""]",,13,90,"[[1002,100]]",
1070,,Order_14,branch_1174,"[""Order_13""]",,14,100,"[[1002,100]]",
1080,,Order_15,branch_1175,"[""Order_14""]",,15,110,"[[1002,100]]",
1090,,Order_16,branch_1178,"[""Order_15""]",,16,150,"[[1002,100]]",
1100,,Order_17,branch_1179,"[""Order_16""]",,17,200,"[[1002,100]]",
1110,,Order_18,branch_1180,"[""Order_17""]",,18,225,"[[1002,100]]",
1120,,Order_19,branch_1181,"[""Order_18""]",,19,240,"[[1002,100]]",
1130,,Order_20,branch_1182,"[""Order_19""]",,20,244,"[[1002,100]]",
1140,,Order_21,branch_1183,"[""Order_20""]",,21,250,"[[1002,100]]",
1150,,Order_22,branch_1185,"[""Order_21""]",,22,250,"[[1002,100]]",
1160,,Order_23,branch_291186,"[""Order_22""]",,23,250,"[[1002,100]]",
1170,,Order_24,branch_291187,"[""Order_23""]",,24,250,"[[1002,100]]",
2010,,Submission7_map3star_1,branch_958,"[""Mission1_12Lookingformultilace""]",,999,14,"[[1002,100]]",
2020,,Submission8_map3star_2,branch_960,"[""Submission7_map3star_1""]",,999,18,"[[1002,100]]",
2030,,Submission9_map3star_3,branch_962,"[""Submission8_map3star_2""]",,999,20,"[[1002,100]]",
2040,,Submission10_map3star_4,branch_929,"[""Submission9_map3star_3""]",,999,39,"[[1002,100]]",
2050,,Submission11_map3star_5,branch_931,"[""Submission10_map3star_4""]",,999,45,"[[1002,100]]",
2060,,Submission12_map3star_6,branch_934,"[""Submission11_map3star_5""]",,999,75,"[[1002,100]]",
2070,,Submission13_map3star_7,branch_937,"[""Submission12_map3star_6""]",,13,90,"[[1002,100]]",
2080,,Submission14_map3star_8,branch_940,"[""Submission13_map3star_7""]",,14,100,"[[1002,100]]",
2090,,Submission15_map3star_9,branch_943,"[""Submission14_map3star_8""]",,15,110,"[[1002,100]]",
2100,,Submission16_map3star_10,branch_945,"[""Submission15_map3star_9""]",,16,150,"[[1002,100]]",
2110,,Submission17_map3star_11,branch_947,"[""Submission16_map3star_10""]",,17,200,"[[1002,100]]",
2120,,Submission18_map3star_12,branch_949,"[""Submission17_map3star_11""]",,18,225,"[[1002,100]]",
2130,,Submission19_map3star_13,branch_951,"[""Submission18_map3star_12""]",,19,240,"[[1002,100]]",
2140,,Submission20_map3star_14,branch_953,"[""Submission19_map3star_13""]",,20,244,"[[1002,100]]",
2150,,Submission21_map3star_15,branch_955,"[""Submission20_map3star_14""]",,21,250,"[[1002,100]]",
2160,,Submission22_map3star_16,branch_956,"[""Submission21_map3star_15""]",,22,250,"[[1002,100]]",
2170,,Submission23_map3star_17,branch_29956,"[""Submission22_map3star_16""]",,23,250,"[[1002,100]]",
210003,3,partnersub102_001,branch_11012,"[""Order_7"",""Mission1_12Lookingformultilace""]",,7,14,"[[1002,50]]",
210009,3,partnersub103_001,branch_11052,"[""partnersub101_004"",""Mission3_004FindDoris""]",,8,18,"[[1002,50]]",
210015,3,partnersub104_001,branch_11092,"[""partnersub102_007"",""Mission3_011FindExport""]",,9,20,"[[1002,50]]",
210049,3,partnersub110_001,branch_11132,"[""Mission5_015UsetheMoon"",""partnersub104_003""]",,12,75,"[[1002,50]]",
9040,7,partnersub105_005,branch_11172,"[""Mission6_007Wakeup""]",,13,90,"[[1002,50]]",
9050,7,partnersub108_001,branch_11212,"[""Mission7_011Cooperation""]",,14,100,"[[1002,50]]",
9060,7,partnersub108_003,branch_11213,"[""partnersub108_001""]",,14,100,"[[1002,50]]",
9070,7,partnersub109_003,branch_11254,"[""Mission8_008trappedwizard""]",,15,110,"[[1002,50]]",
9080,7,partnersub109_001,branch_11252,"[""partnersub109_003""]",,15,110,"[[1002,50]]",
9090,7,partnersub107_002,branch_11293,"[""Mission9_013Pursued""]",,16,150,"[[1002,50]]",
9100,7,partnersub107_007,branch_11294,"[""partnersub107_002""]",,16,150,"[[1002,50]]",
9110,7,partnersub106_002,branch_11333,"[""Mission10_014clockgame""]",,17,200,"[[1002,50]]",
9120,7,partnersub106_007,branch_11334,"[""partnersub106_002""]",,17,200,"[[1002,50]]",
9130,7,partnersub112_003,branch_11373,"[""Mission11_013heartoftheocean2""]",,18,225,"[[1002,50]]",
9140,7,partnersub112_001,branch_11374,"[""partnersub112_003""]",,18,225,"[[1002,50]]",
9150,7,partnersub113_003,branch_11413,"[""Mission12_014secretbase""]",,19,240,"[[1002,50]]",
9160,7,partnersub113_001,branch_11414,"[""partnersub113_003""]",,19,240,"[[1002,50]]",
9170,7,partnersub114_003,branch_11453,"[""Mission13_010FaceDifficulties2""]",,20,244,"[[1002,50]]",
9180,7,partnersub114_001,branch_11454,"[""partnersub114_003""]",,20,244,"[[1002,50]]",
9190,7,partnersub115_003,branch_11493,"[""Mission14_010wish""]",,21,250,"[[1002,50]]",
9200,7,partnersub115_001,branch_11494,"[""partnersub115_003""]",,21,250,"[[1002,50]]",
9210,7,partnersub116_003,branch_11533,"[""Mission15_015SadEnd2""]",,22,250,"[[1002,50]]",
9220,7,partnersub116_001,branch_11534,"[""partnersub116_003""]",,22,250,"[[1002,50]]",
9230,7,partnersub117_003,branch_11573,"[""Mission16_016Witchstrack2""]",,23,250,"[[1002,50]]",
9240,7,partnersub117_001,branch_11574,"[""partnersub117_003""]",,23,250,"[[1002,50]]",
9250,7,partnersub118_002,branch_11580,"[""Mission17_018waytoleave""]",,24,250,"[[1002,50]]",
9260,7,partnersub118_001,branch_11614,"[""partnersub118_002""]",,24,250,"[[1002,50]]",
210001,3,levelup_101_1,branch_10998,[],,7,14,"[[1002,100]]",
210004,3,levelup_101_2,branch_10999,"[""partnersub102_001""]",,7,14,"[[1002,100]]",
210005,3,levelup_102_1,branch_1078,"[""levelup_101_2""]",,7,14,"[[1002,100]]",
210006,3,partnersub102_002,branch_11021,"[""levelup_102_1""]",,7,14,"[[1002,50]]",
210007,3,levelup_102_2,branch_1079,"[""partnersub102_002""]",,7,14,"[[1002,100]]",
210008,3,partnersub101_004,branch_11031,"[""levelup_102_2""]",,7,14,"[[1002,100]]",
210010,3,levelup_103_1,branch_1082,"[""partnersub103_001""]",,8,18,"[[1002,100]]",
210012,3,partnersub103_002,branch_11061,"[""Order_8""]",,8,18,"[[1002,50]]",
210013,3,levelup_103_2,branch_1083,"[""partnersub103_002""]",,8,18,"[[1002,100]]",
210014,3,partnersub102_007,branch_11071,"[""levelup_103_2""]",,8,18,"[[1002,100]]",
210016,3,levelup_104_1,branch_1086,"[""partnersub104_001""]",,9,20,"[[1002,100]]",
210018,3,partnersub104_002,branch_11101,"[""Order_9""]",,9,20,"[[1002,50]]",
210019,3,levelup_104_2,branch_1087,"[""partnersub104_002""]",,9,20,"[[1002,100]]",
210020,3,partnersub103_007,branch_11111,"[""levelup_104_2""]",,9,20,"[[1002,100]]",
210050,3,levelup_110_1,branch_1090,"[""partnersub110_001""]",,12,75,"[[1002,100]]",
210051,3,partnersub110_002,branch_11141,"[""levelup_110_1""]",,12,75,"[[1002,50]]",
210053,3,levelup_110_2,branch_1091,"[""partnersub110_002""]",,12,75,"[[1002,100]]",
210054,3,partnersub101_005,branch_11151,"[""levelup_110_2""]",,12,75,"[[1002,150]]",
10180,8,levelup_105_1,branch_1094,[],,13,90,"[[1002,100]]",
10190,8,partnersub105_002,branch_11181,[],,13,90,"[[1002,50]]",
10200,8,levelup_105_2,branch_1095,[],,13,90,"[[1002,100]]",
10210,8,partnersub110_006,branch_11191,[],,13,90,"[[1002,150]]",
10220,8,levelup_108_1,branch_1098,[],,14,100,"[[1002,100]]",
10230,8,partnersub108_004,branch_11221,[],,14,110,"[[1002,50]]",
10240,8,levelup_108_2,branch_1099,[],,14,100,"[[1002,100]]",
10250,8,partnersub105_006,branch_11231,[],,14,100,"[[1002,150]]",
10260,8,levelup_109_1,branch_1102,[],,15,110,"[[1002,100]]",
10270,8,partnersub109_004,branch_11261,[],,15,110,"[[1002,50]]",
10280,8,levelup_109_2,branch_1103,[],,15,110,"[[1002,100]]",
10290,8,partnersub108_006,branch_11271,[],,15,110,"[[1002,150]]",
10300,8,levelup_107_1,branch_1106,[],,16,150,"[[1002,100]]",
10310,8,partnersub107_003,branch_11301,[],,16,150,"[[1002,50]]",
10320,8,levelup_107_2,branch_1107,[],,16,150,"[[1002,100]]",
10330,8,partnersub109_008,branch_11311,[],,16,150,"[[1002,200]]",
10340,8,levelup_106_1,branch_1110,[],,17,200,"[[1002,100]]",
10350,8,partnersub106_003,branch_11341,[],,17,200,"[[1002,50]]",
10360,8,levelup_106_2,branch_1111,[],,17,200,"[[1002,100]]",
10370,8,partnersub107_008,branch_11351,[],,17,200,"[[1002,200]]",
10380,8,levelup_112_1,branch_1114,[],,18,225,"[[1002,100]]",
10390,8,partnersub112_004,branch_11381,[],,18,225,"[[1002,50]]",
10400,8,levelup_112_2,branch_1115,[],,18,225,"[[1002,100]]",
10410,8,partnersub106_008,branch_11391,[],,18,225,"[[1002,200]]",
10420,8,levelup_113_1,branch_1118,[],,19,240,"[[1002,100]]",
10430,8,partnersub113_004,branch_11421,[],,19,240,"[[1002,50]]",
10440,8,levelup_113_2,branch_1119,[],,19,240,"[[1002,100]]",
10450,8,partnersub112_008,branch_11431,[],,19,240,"[[1002,200]]",
10460,8,levelup_114_1,branch_1122,[],,20,244,"[[1002,100]]",
10470,8,partnersub114_004,branch_11461,[],,20,244,"[[1002,50]]",
10480,8,levelup_114_2,branch_1123,[],,20,244,"[[1002,100]]",
10490,8,partnersub113_008,branch_11471,[],,20,244,"[[1002,200]]",
10500,8,levelup_115_1,branch_1126,[],,21,250,"[[1002,100]]",
10510,8,partnersub115_004,branch_11501,[],,21,250,"[[1002,50]]",
10520,8,levelup_115_2,branch_1127,[],,21,250,"[[1002,100]]",
10530,8,partnersub201_002,branch_11511,[],,21,250,"[[1002,250]]",
10540,8,levelup_116_1,branch_1130,[],,22,250,"[[1002,100]]",
10550,8,partnersub116_004,branch_11541,[],,22,250,"[[1002,50]]",
10560,8,levelup_116_2,branch_1131,[],,22,250,"[[1002,100]]",
10570,8,partnersub115_008,branch_11551,[],,22,250,"[[1002,250]]",
10580,8,levelup_117_1,branch_11575,[],,23,250,"[[1002,100]]",
10590,8,partnersub117_004,branch_11581,[],,23,250,"[[1002,50]]",
10600,8,levelup_117_2,branch_11590,[],,23,250,"[[1002,100]]",
10610,8,partnersub116_008,branch_11591,[],,23,250,"[[1002,250]]",
10620,8,levelup_118_1,branch_11592,[],,24,250,"[[1002,100]]",
10621,8,partnersub118_005,branch_11593,[],,24,250,"[[1002,50]]",
10630,8,levelup_118_2,branch_11594,[],,24,250,"[[1002,100]]",
10631,8,partnersub118_003,branch_11595,[],,24,250,"[[1002,100]]",
210021,3,levelup_101_3,branch_1076,"[""partnersub103_007""]",,10,39,"[[1002,100]]",
210022,3,levelup_102_3,branch_1080,"[""levelup_101_3""]",,10,39,"[[1002,100]]",
210029,3,levelup_103_3,branch_1084,"[""Order_11""]",,10,45,"[[1002,100]]",
210030,3,partnersub103_005,branch_11081,"[""levelup_103_3""]",,10,45,"[[1002,200]]",
210031,3,levelup_104_3,branch_1088,"[""partnersub103_005""]",,10,45,"[[1002,100]]",
210032,3,partnersub104_004,branch_11121,[],,14,45,"[[1002,200]]",
210056,3,levelup_110_3,branch_1092,"[""raisestar_110_1""]",,12,75,"[[1002,100]]",
210057,3,partnersub110_004,branch_11161,"[""levelup_110_3""]",,12,75,"[[1002,200]]",
10720,8,levelup_105_3,branch_1096,[],,13,90,"[[1002,100]]",
10730,8,partnersub105_001,branch_11201,[],,13,90,"[[1002,200]]",
10740,8,levelup_108_3,branch_1100,[],,14,100,"[[1002,100]]",
10750,8,partnersub108_002,branch_11241,[],,14,100,"[[1002,200]]",
10760,8,levelup_109_3,branch_1104,[],,15,110,"[[1002,100]]",
10770,8,partnersub109_002,branch_11281,[],,15,110,"[[1002,200]]",
10780,8,levelup_107_3,branch_1108,[],,16,150,"[[1002,100]]",
10790,8,partnersub107_001,branch_11321,[],,16,150,"[[1002,300]]",
10800,8,levelup_106_3,branch_1112,[],,17,200,"[[1002,100]]",
10810,8,partnersub106_001,branch_11361,[],,17,200,"[[1002,300]]",
10820,8,levelup_112_3,branch_1116,[],,18,225,"[[1002,100]]",
10830,8,partnersub112_002,branch_11401,[],,18,225,"[[1002,300]]",
10840,8,levelup_113_3,branch_1120,[],,19,240,"[[1002,100]]",
10850,8,partnersub113_002,branch_11441,[],,19,240,"[[1002,300]]",
10860,8,levelup_114_3,branch_1124,[],,20,244,"[[1002,100]]",
10870,8,partnersub114_002,branch_11481,[],,20,244,"[[1002,300]]",
10880,8,levelup_115_3,branch_1128,[],,21,250,"[[1002,100]]",
10890,8,partnersub115_002,branch_11521,[],,21,250,"[[1002,350]]",
10900,8,levelup_116_3,branch_1132,[],,22,250,"[[1002,100]]",
10910,8,partnersub116_002,branch_11561,[],,22,250,"[[1002,350]]",
10920,8,levelup_117_3,branch_11600,[],,23,250,"[[1002,100]]",
10930,8,partnersub117_002,branch_11601,[],,23,250,"[[1002,350]]",
10940,8,levelup_118_3,branch_11801,[],,24,250,"[[1002,100]]",
10941,8,partnersub118_006,branch_11802,[],,24,250,"[[1002,350]]",
210024,3,levelup_101_4,branch_1077,"[""Order_10""]",,10,39,"[[1002,100]]",
210025,3,partnersub101_003,branch_11011,"[""levelup_101_4""]",,10,39,"[[1002,50]]",
210026,3,levelup_102_4,branch_1081,"[""partnersub101_003""]",,10,39,"[[1002,100]]",
210027,3,partnersub102_005,branch_11051,"[""levelup_102_4""]",,10,39,"[[1002,50]]",
210033,3,levelup_103_4,branch_1085,"[""levelup_104_3""]",,10,45,"[[1002,100]]",
210034,3,partnersub103_006,branch_11091,"[""levelup_103_4""]",,10,45,"[[1002,50]]",
210035,3,levelup_104_4,branch_1089,"[""partnersub103_006""]",,10,45,"[[1002,100]]",
210036,3,partnersub104_005,branch_11131,"[""levelup_104_4""]",,10,45,"[[1002,50]]",
210058,3,levelup_110_4,branch_1093,"[""partnersub110_004""]",,12,75,"[[1002,100]]",
210059,3,partnersub110_005,branch_11171,"[""levelup_110_4""]",,12,75,"[[1002,50]]",
11050,8,levelup_105_4,branch_1097,[],,13,90,"[[1002,100]]",
11060,8,partnersub105_004,branch_11211,[],,13,90,"[[1002,50]]",
11070,8,levelup_108_4,branch_1101,[],,14,100,"[[1002,100]]",
11080,8,partnersub108_005,branch_11251,[],,14,100,"[[1002,50]]",
11090,8,levelup_109_4,branch_1105,[],,15,110,"[[1002,100]]",
11100,8,partnersub109_007,branch_11291,[],,15,110,"[[1002,50]]",
11110,8,levelup_107_4,branch_1109,[],,16,150,"[[1002,100]]",
11120,8,partnersub107_006,branch_11331,[],,16,150,"[[1002,50]]",
11130,8,levelup_106_4,branch_1113,[],,17,200,"[[1002,100]]",
11140,8,partnersub106_006,branch_11371,[],,17,200,"[[1002,50]]",
11150,8,levelup_112_4,branch_1117,[],,18,225,"[[1002,100]]",
11160,8,partnersub112_007,branch_11411,[],,18,225,"[[1002,50]]",
