id,type,obstacleId,productItem,unlockLevel,unlockConsume,scene,extraProduction,maxProduction,factoryCenterId,partnerAttribute,fairytalePower,
16,1,30001,"[[3001,9],[3003,12],[3002,13],[3042,13],[3015,16],[3031,16],[3035,17],[3041,19],[3052,21],[3053,27]]",17,[],,[],[],1002,[],[],
3,1,30002,"[[3009,10],[3010,12],[3020,12],[3061,12],[3021,13],[3062,13],[3063,14],[3011,16],[3012,18],[3022,18],[3027,27]]",10,[],,[],[],1003,[],[],
17,1,30002,"[[3009,10],[3010,12],[3020,12],[3061,12],[3021,13],[3062,13],[3063,14],[3011,16],[3012,18],[3022,18],[3027,27]]",15,[],,[],[],1003,[],[],
18,1,30002,"[[3009,10],[3010,12],[3020,12],[3061,12],[3021,13],[3062,13],[3063,14],[3011,16],[3012,18],[3022,18],[3027,27]]",10,"[1001,150]",,[],[],1003,[],[],
19,1,30002,"[[3009,10],[3010,12],[3020,12],[3061,12],[3021,13],[3062,13],[3063,14],[3011,16],[3012,18],[3022,18],[3027,27]]",19,[],,[],[],1003,[],[],
4,1,30003,"[[3057,13],[3058,14],[3024,15],[3059,15],[3060,16],[3025,25]]",13,[],,[],[],1004,[],[],
20,1,30003,"[[3057,13],[3058,14],[3024,15],[3059,15],[3060,16],[3025,25]]",17,[],,[],[],1004,[],[],
21,1,30003,"[[3057,13],[3058,14],[3024,15],[3059,15],[3060,16],[3025,25]]",13,"[1001,150]",,[],[],1004,[],[],
22,1,30003,"[[3057,13],[3058,14],[3024,15],[3059,15],[3060,16],[3025,25]]",21,[],,[],[],1004,[],[],
5,1,30004,"[[3033,18],[3037,28],[3045,30],[3043,31],[3046,32],[3044,33],[3047,34],[3039,35],[3048,36],[3049,37]]",18,[],,[],[],1005,[],[],
23,1,30004,"[[3033,18],[3037,28],[3045,30],[3043,31],[3046,32],[3044,33],[3047,34],[3039,35],[3048,36],[3049,37]]",22,[],,[],[],1005,[],[],
24,1,30004,"[[3033,18],[3037,28],[3045,30],[3043,31],[3046,32],[3044,33],[3047,34],[3039,35],[3048,36],[3049,37]]",18,"[1001,150]",,[],[],1005,[],[],
25,1,30004,"[[3033,18],[3037,28],[3045,30],[3043,31],[3046,32],[3044,33],[3047,34],[3039,35],[3048,36],[3049,37]]",27,[],,[],[],1005,[],[],
6,1,30005,"[[3013,20],[3034,21],[3014,22],[3023,22],[3029,24],[3028,25],[3030,26],[3040,28],[3050,35],[3051,38]]",20,[],,[],[],1006,[],[],
26,1,30005,"[[3013,20],[3034,21],[3014,22],[3023,22],[3029,24],[3028,25],[3030,26],[3040,28],[3050,35],[3051,38]]",24,[],,[],[],1006,[],[],
27,1,30005,"[[3013,20],[3034,21],[3014,22],[3023,22],[3029,24],[3028,25],[3030,26],[3040,28],[3050,35],[3051,38]]",20,"[1001,150]",,[],[],1006,[],[],
28,1,30005,"[[3013,20],[3034,21],[3014,22],[3023,22],[3029,24],[3028,25],[3030,26],[3040,28],[3050,35],[3051,38]]",29,[],,[],[],1006,[],[],
48,2,1050,"[[4432,1],[4433,1],[4434,1]]",1,[],2206SeaCarnival,"[[[38005,5]],[[38005,5]],[[38005,5]]]","[21,34,17]",,[],[],
49,2,1051,"[[4430,1],[4431,1]]",1,[],2206SeaCarnival,"[[[1003,30]],[[38005,5]]]","[10,28]",,[],[],
50,2,1053,"[[27304,1],[27305,1],[27306,1],[27307,1]]",1,[],2206SeaCarnival,[],"[1,1,1,1]",,[],[],
51,2,1054,"[[4435,1],[4436,1],[4437,1]]",1,[],2206SeaCarnival,"[[[38005,5]],[[38005,20]],[[38005,5]]]","[22,-1,1]",,"[4,50]","[[4436,18]]",
82,1,30013,"[[70001,1],[70002,1],[70003,1],[70004,1],[70006,1],[70007,1]]",9,[],,[],"[-1,-1,-1,-1,-1,-1]",,[],[],
100,2,1,"[[4103,1]]",1,[],,[],[2],,[],[],
101,2,34,"[[4112,1]]",1,[],,[],[1],,[],[],
102,2,79,"[[4133,1]]",1,[],,[],[1],,[],[],
103,2,315,"[[4157,1],[4156,1]]",1,[],,"[[[1002,25]],[[4156,1]]]",[],,[],[],
104,2,157,"[[4175,1]]",1,[],,[],[],,[],[],
105,2,247,"[[4197,1]]",1,[],,[],[],,[],[],
106,2,343,"[[4223,1]]",1,[],,[],[],,[],[],
107,2,415,"[[4265,1]]",1,[],,[],[],,[],[],
108,2,490,"[[4303,1],[4304,1]]",1,[],,[],[],,[],[],
109,2,558,"[[4517,1]]",1,[],,[],[],,[],[],
110,2,10187,"[[12022,1]]",1,[],,[],[1],,[],[],
134,2,301000,"[[6000,1],[6001,1]]",1,[],,"[[[38000,5]],[[38000,20]]]",[],,[],[],
147,1,30011,"[[3057,99],[3058,99],[3059,99],[3060,99]]",99,[],,[],[],,[],[],
148,1,30012,"[[3061,13],[3062,14],[3063,15],[3064,16]]",13,[],,[],[],,[],[],
167,2,2102,"[[27334,1],[27335,1],[27336,1],[27337,1]]",1,[],2303Loverway,[],"[1,1,1,1]",,[],[],
168,2,2164,"[[4792,1],[4795,1],[4794,1]]",1,[],2303Loverway,"[[[38012,5]],[[38012,5]],[[38012,5]]]","[14,16,4]",,[],[],
169,2,2120,"[[4808,1],[4809,1],[4810,1]]",1,[],2303Loverway,"[[[38012,5]],[[38012,5]],[[38012,20]]]","[1,4,-1]",,[],[],
170,2,1950,"[[4758,1],[4759,1],[4760,1]]",1,[],2301DragonZoo,"[[[38011,5]],[[38011,5]],[[38011,5]]]","[12,13,9]",,[],[],
171,2,1954,"[[4761,1],[4762,1]]",1,[],2301DragonZoo,"[[[38011,5]],[[38011,5]]]","[18,12]",,[],[],
172,2,1956,"[[27331,1],[27332,1],[27333,1]]",1,[],2301DragonZoo,"[[[38011,5]],[[38011,5]],[[38011,5]]]","[1,1,1]",,[],[],
173,2,1960,"[[4763,1],[4765,1]]",1,[],2301DragonZoo,"[[[38011,5]],[[38011,5]]]","[1,4]",,[],[],
174,2,1968,"[[4767,1]]",1,[],2301DragonZoo,"[[[38011,20]]]",[],,[],[],
179,2,2591,"[[4968,1]]",1,[],2305FactoryCity,"[[[38015,5]]]",[11],,[],[],
180,2,2570,"[[27342,1],[27345,1]]",1,[],2305FactoryCity,"[[[38015,5]],[[38015,5]]]","[1,1]",,[],[],
181,2,2619,"[[27343,1],[27344,1]]",1,[],2305FactoryCity,"[[[38015,5]],[[38015,5]]]","[1,1]",,[],[],
182,2,2634,"[[4969,1],[4970,1]]",1,[],2305FactoryCity,"[[[38015,5]],[[38015,5]]]","[1,2]",,[],[],
183,2,2625,"[[4972,1],[4973,1]]",1,[],2305FactoryCity,"[[[1003,50]],[[38015,5]]]","[6,1]",,[],[],
184,2,2573,"[[4965,1],[4966,1],[4967,1]]",1,[],2305FactoryCity,"[[[38015,5]],[[38015,5]],[[38015,5]]]","[4,12,1]",,[],[],
175,2,2829,"[[90013,1],[90014,1],[90015,1]]",1,[],2306FunSportsDay,"[[[38016,5]],[[38016,5]],[[38016,5]]]","[47,17,47]",,[],[],
176,2,2830,"[[27346,1],[27347,1],[27348,1],[27349,1]]",1,[],2306FunSportsDay,"[[[38016,5]],[[38016,5]],[[38016,5]],[[38016,5]]]","[1,1,1,1]",,[],[],
177,2,2831,"[[90016,1],[90017,1],[90018,1],[90019,1]]",1,[],2306FunSportsDay,"[[[38016,5]],[[38016,5]],[[38016,20]],[[38016,5]]]","[3,6,-1,16]",,[],[],
178,2,2832,"[[27354,1],[27355,1],[27356,1],[27357,1]]",1,[],2306FunSportsDay,"[[[38016,200]],[[38016,300]],[[38016,300]],[[38016,200]]]","[1,1,1,1]",,[],[],
185,2,3001,"[[27358,1],[27359,1],[27360,1],[27361,1]]",1,[],2307CardKingdom,"[[[38017,5]],[[38017,5]],[[38017,5]],[[38017,5]]]","[1,1,1,1]",,[],[],
186,2,3002,"[[90082,1],[90083,1]]",1,[],2307CardKingdom,"[[[38017,5]],[[38017,5]]]","[20,15]",,[],[],
187,2,3003,"[[90084,1]]",1,[],2307CardKingdom,"[[[38017,5]]]",[4],,[],[],
188,2,3004,"[[90087,1],[90088,1]]",1,[],2307CardKingdom,"[[[38017,5]],[[38017,5]]]","[27,-1]",,"[2,50]","[[90088,18]]",
189,2,3005,"[[90089,1]]",1,[],2307CardKingdom,"[[[38017,5]]]",[10],,[],[],
190,2,3133,"[[90085,1],[90086,1]]",1,[],2307CardKingdom,"[[[38017,5]],[[38017,5]]]","[8,36]",,[],[],
114,2,3140,"[[27362,1],[27363,1],[27364,1],[27365,1]]",1,[],2308MagicBox,[],"[1,1,1,1]",,[],[],
115,2,3141,"[[90142,1],[90143,1],[90144,1]]",1,[],2308MagicBox,[],[],,[],[],
191,2,3508,"[[27371,1],[27372,1],[27373,1],[27374,1]]",1,[],2310CubeWaterWorld,[],"[1,1,1,1]",,[],[],
192,2,3525,"[[90325,1]]",1,[],2310CubeWaterWorld,"[[[38020,5]]]",[2],,[],[],
193,2,3526,"[[90326,1],[90327,1]]",1,[],2310CubeWaterWorld,"[[[38020,5]],[[38020,5]]]","[3,6]",,[],[],
194,2,3527,"[[90328,1]]",1,[],2310CubeWaterWorld,"[[[38020,5]]]",[6],,[],[],
195,2,3528,"[[90329,1],[90330,1]]",1,[],2310CubeWaterWorld,"[[[38020,5]],[[38020,5]]]","[2,5]",,[],[],
196,2,3529,"[[90331,1],[90332,1]]",1,[],2310CubeWaterWorld,"[[[38020,5]],[[38020,5]]]","[2,12]",,[],[],
197,2,3640,"[[27375,1],[27376,1],[27377,1],[27378,1]]",1,[],2311FruitTown,[],"[1,1,1,1]",,[],[],
198,2,3641,"[[90276,1],[90277,1],[90278,1]]",1,[],2311FruitTown,"[[[38021,120]],[[38021,190]],[[38021,375]]]",[],,[],[],
199,2,1519,"[[4587,1],[4599,1]]",1,[],2209GhostMansion,"[[[38008,5]],[[38008,5]]]","[8,3]",,[],[],
200,2,1526,"[[93011,1],[4602,1],[4601,1]]",1,[],2209GhostMansion,"[[[38008,5]],[[38008,5]],[[38008,5]]]","[3,5,6]",,[],[],
201,2,1542,"[[4604,1],[4610,1]]",1,[],2209GhostMansion,"[[[38008,5]],[[38008,20]]]","[3,-1]",,"[2,50]","[[4610,17]]",
202,2,1525,"[[4589,1],[4613,1]]",1,[],2209GhostMansion,"[[[38008,5]],[[38008,15]]]","[56,19]",,"[1,50]","[[4589,18]]",
133,2,3904,"[[27384,1],[27385,1],[27386,1],[27387,1]]",1,[],2312HeartbeatJourney,[],"[1,1,1,1]",,[],[],
138,2,3905,"[[90421,1],[90420,1],[90422,1]]",1,[],2312HeartbeatJourney,"[[[38022,5]],[[38022,5]],[[38022,5]]]","[1,7,3]",,[],[],
135,2,3906,"[[90423,1],[90435,6]]",1,[],2312HeartbeatJourney,"[[[38022,5]],[[38022,20]]]","[5,-1]",,[],[],
136,2,3907,"[[90424,1]]",1,[],2312HeartbeatJourney,"[[[38022,5]]]",[4],,[],[],
137,2,3908,"[[90425,1],[90426,1],[90427,1]]",1,[],2312HeartbeatJourney,"[[[38022,5]],[[38022,5]],[[38022,5]]]","[3,6,1]",,[],[],
139,2,4020,"[[90478,1],[90481,1]]",1,[],2316DragonCircus,"[[[38024,5]],[[38024,5]]]","[5,24]",,[],[],
140,2,4021,"[[90482,1],[90483,1]]",1,[],2316DragonCircus,"[[[38024,5]],[[38024,20]]]","[6,-1]",,[],[],
141,2,4022,"[[27392,1],[27393,1],[27394,1],[27395,1]]",1,[],2316DragonCircus,[],"[1,1,1,1]",,[],[],
142,2,4023,"[[90484,1],[90485,1],[90486,1],[90487,1]]",1,[],2316DragonCircus,"[[[38024,5]],[[38024,5]],[[38024,5]],[[38024,5]]]","[1,1,1,1]",,[],[],
128,2,3766,"[[90376,1],[90380,1],[90394,1],[27383,1]]",1,[],2313MermaidCity,"[[[38023,5]],[[38023,5]],[[38023,15]],[[38023,300]]]","[1,47,16,1]",,[],[],
129,2,3767,"[[90379,1],[90377,1]]",1,[],2313MermaidCity,"[[[38023,5]],[[38023,5]]]","[5,3]",,[],[],
130,2,3768,"[[27379,1],[27380,1],[27381,1],[27382,1]]",1,[],2313MermaidCity,[],"[1,1,1,1]",,[],[],
131,2,3769,"[[90382,1],[90391,1],[90389,1],[90393,1],[90381,1]]",1,[],2313MermaidCity,"[[[38023,5]],[[38023,15]],[[38023,5]],[[38023,15]],[[38023,5]]]","[35,12,38,13,1]",,[],[],
132,2,3770,"[[90384,1],[90392,1],[90383,1],[90385,1]]",1,[],2313MermaidCity,"[[[38023,5]],[[38023,15]],[[38023,5]],[[38023,20]]]","[39,13,3,-1]",,"[2,50]","[[90385,22]]",
143,2,4631,"[[27396,1],[27397,1],[27398,1],[27399,1]]",1,[],2315ColorfulLand,[],"[1,1,1,1]",,[],[],
144,2,4626,"[[90627,1]]",1,[],2315ColorfulLand,"[[[38025,5]]]",[12],,[],[],
145,2,4627,"[[90628,1]]",1,[],2315ColorfulLand,"[[[38025,5]],[[38025,5]]]",[2],,[],[],
146,2,4628,"[[90626,1]]",1,[],2315ColorfulLand,"[[[38025,5]]]",[1],,[],[],
149,2,4629,"[[90629,1],[90630,1]]",1,[],2315ColorfulLand,"[[[38025,5]],[[38025,5]]]","[4,11]",,[],[],
151,2,607,"[[4521,1]]",1,[],,[],[3],,[],[],
152,2,30250,"[[92005,1]]",1,[],2325RacingCompetition,[],[4],,[],[],
153,2,30251,"[[2000029,1],[2000030,1],[2000031,1]]",1,[],2325RacingCompetition,[],[],,"[3,50]","[[2000030,9]]",
157,2,4152,"[[27408,1],[27409,1],[27410,1],[27411,1]]",1,[],2318MusicCampus,"[[[38027,5]],[[38027,5]],[[38027,5]],[[38027,5]]]","[1,1,1,1]",,[],[],
158,2,4153,"[[27412,1],[27413,1],[27414,1],[27415,1]]",1,[],2318MusicCampus,"[[[38027,200]],[[38027,300]],[[38027,300]],[[38027,200]]]","[1,1,1,1]",,[],[],
159,2,4154,"[[90551,1],[90540,1],[26001,1],[24028,1]]",1,[],2318MusicCampus,"[[[38027,5]],[[38027,5]],[[38027,300]],[[38027,300]]]","[55,-1,1,1]",,[],[],
160,2,4155,"[[90543,1],[90564,1],[90544,1],[90545,1]]",1,[],2318MusicCampus,"[[[38027,5]],[[38027,15]],[[38027,5]],[[38027,5]]]","[-1,-1,39,30]",,[],[],
161,2,4156,"[[90547,1],[90548,1],[90549,1],[90550,1]]",1,[],2318MusicCampus,"[[[38027,5]],[[38027,20]],[[38027,30]],[[38027,50]]]","[28,-1,-1,-1]",,[],[],
162,2,4157,"[[90552,1],[90553,1],[90565,1],[90554,1]]",1,[],2318MusicCampus,"[[[38027,5]],[[38027,5]],[[38027,15]],[[38027,5]]]","[1,-1,-1,10,]",,[],[],
163,2,30374,"[[2000056,1]]",1,[],134EventFairyLake,[],[1],,[],[],
164,2,30366,"[[2000057,1]]",1,[],134EventFairyLake,[],[2],,[],[],
165,2,4270,"[[27404,1],[27405,1],[27406,1],[27407,1]]",1,[],2319MagicalKitchen,"[[[38028,5]],[[38028,5]],[[38028,5]],[[38028,5]]]","[1,1,1,1]",,[],[],
166,2,4271,"[[90771,1],[90788,1],[90772,1],[90773,1]]",1,[],2319MagicalKitchen,"[[[38028,5]],[[38028,15]],[[38028,5]],[[38028,5]]]","[-1,-1,31,45]",,[],[],
203,2,4272,"[[90774,1],[90775,1],[90776,1],[90777,1]]",1,[],2319MagicalKitchen,"[[[38028,5]],[[38028,5]],[[38028,5]],[[38028,5]]]","[20,1,2,2]",,[],[],
204,2,4273,"[[90778,1],[90786,1]]",1,[],2319MagicalKitchen,"[[[38028,5]],[[38028,15]]]","[-1,-1]",,[],[],
205,2,4274,"[[90779,1],[90787,1],[90785,1]]",1,[],2319MagicalKitchen,"[[[38028,5]],[[38028,15]],[[38028,20]]]","[-1,-1,-1]",,"[2,50]","[[90785,22]]",
206,2,4710,"[[27400,1],[27401,1],[27402,1],[27403,1]]",1,[],2317Wineestate,[],"[1,1,1,1]",,[],[],
207,2,4714,"[[90733,1],[90734,1],[90735,1]]",1,[],2317Wineestate,[],[],,"[2,50]","[[90734,10]]",
210,2,30549,"[[2000076,1],[2000083,1]]",1,[],2323TurkeyLegendB,[],"[100,20]",,[],[],
211,2,30550,"[[2000077,1],[2000084,1]]",1,[],2323TurkeyLegendB,[],"[78,16]",,[],[],
212,2,30548,"[[2000078,1],[2000079,1]]",1,[],2323TurkeyLegendB,[],[],,"[1,50]","[[2000078,20]]",
220,2,30800,"[[27416,1],[27417,1],[27418,1],[27419,1]]",1,[],2321Weirdonight,"[[[38030,5]],[[38030,5]],[[38030,5]],[[38030,5]]]","[1,1,1,1]",,[],[],
221,2,30801,"[[90929,1]]",1,[],2321Weirdonight,"[[[38030,5]]]",[2],,[],[],
222,2,30802,"[[90930,1]]",1,[],2321Weirdonight,"[[[38030,5]]]",[4],,[],[],
223,2,30803,"[[90931,1]]",1,[],2321Weirdonight,"[[[38030,5]]]",[4],,[],[],
224,2,30804,"[[90927,1]]",1,[],2321Weirdonight,"[[[38030,5]]]",[4],,[],[],
225,2,30805,"[[90928,1]]",1,[],2321Weirdonight,"[[[38030,5]]]",[8],,[],[],
226,2,30806,"[[90932,1]]",1,[],2321Weirdonight,"[[[38030,5]]]",[5],,[],[],
230,2,30136,"[[27420,1],[27421,1],[27422,1],[27423,1]]",1,[],2320StarPark,"[[[38029,5]],[[38029,5]],[[38029,5]],[[38029,5]]]","[1,1,1,1]",,[],[],
231,2,30137,"[[90984,1],[90974,1],[90973,4]]",1,[],2320StarPark,"[[[38029,15]],[[38029,5]],[[38029,5]]]","[-1,-1,4]",,"[3,50]","[[90974,7]]",
232,2,30155,"[[90984,1],[90974,1],[90977,1]]",1,[],2320StarPark,"[[[38029,15]],[[38029,5]],[[38029,5]]]","[-1,-1,6]",,"[3,50]","[[90974,7]]",
233,2,30179,"[[90984,1],[90974,1],[90989,1],[90977,1]]",1,[],2320StarPark,"[[[38029,15]],[[38029,5]],[[38029,15]],[[38029,5]]]","[-1,-1,12,4]",,"[3,50]","[[90974,7]]",
234,2,30182,"[[90984,1],[90974,1],[90989,1],[90977,1]]",1,[],2320StarPark,"[[[38029,15]],[[38029,5]],[[38029,15]],[[38029,5]]]","[-1,-1,3,3]",,"[3,50]","[[90974,7]]",
235,2,30168,"[[90986,1],[90975,1],[90987,1],[90976,1]]",1,[],2320StarPark,"[[[38029,15]],[[38029,5]],[[38029,15]],[[38029,5]]]","[2,4,2,4]",,[],[],
236,2,30180,"[[90986,1],[90975,1],[90976,1]]",1,[],2320StarPark,"[[[38029,15]],[[38029,5]],[[38029,5]]]","[3,5,3]",,[],[],
237,2,30183,"[[90986,1],[90975,1],[90987,1],[90976,1]]",1,[],2320StarPark,"[[[38029,15]],[[38029,5]],[[38029,15]],[[38029,5]]]","[5,4,3,3]",,[],[],
238,2,4420,"[[90827,1],[90828,1],[90829,1]]",1,[],2322ThiefMagic,[],[],,"[3,50]","[[90828,10]]",
239,2,4421,"[[27424,1],[27425,1],[27426,1],[27427,1]]",1,[],2322ThiefMagic,[],[],,[],[],
240,2,31124,"[[2000096,1],[2000099,1],[2000097,1,""Eventmission36_049PirateRoad2""],[2000100,1,""Eventmission36_049PirateRoad2""],[2000098,1,""Eventmission36_058BackToTheStart""]]",1,[],2326NoBeardPirates,"[[[38036,5]],[[38036,5]],[[38036,5]],[[38036,15]],[[38036,15]]]","[-1,-1,-1,-1,-1]",,[],[],
241,2,31100,"[[2000101,1],[2000102,1]]",1,[],2326NoBeardPirates,[],"[-1,-1]",,"[1,50]","[[2000101,13]]",
242,2,30940,"[[2000126,1],[2000129,1],[2000124,1,""Eventmission2324_017MsPot4""],[2000127,1,""Eventmission2324_017MsPot4""]]",1,[],2324ToyCityA,[],[],,[],[],
243,2,30941,"[[2000134,1],[2000135,1],[2000136,1]]",1,[],2324ToyCityA,[],[],,[],[],
244,2,30927,"[[2000130,1],[2000131,1]]",1,[],2324ToyCityA,[],[],,"[1,50]","[[2000130,18]]",
245,2,31013,"[[2000130,1],[2000131,1]]",1,[],2324ToyCityA,[],[],,[],[],
246,2,31032,"[[2000125,1,""Eventmission2324_028DamagedCogworthHouse""],[2000128,1,""Eventmission2324_028DamagedCogworthHouse""]]",1,[],2324ToyCityA,[],[],,[],[],
247,2,31235,"[[2000146,1],[2000153,1]]",1,[],2329LanternShowB,[],"[100,20]",,[],[],
248,2,31236,"[[2000147,1],[2000154,1]]",1,[],2329LanternShowB,[],"[78,16]",,[],[],
249,2,31234,"[[2000148,1],[2000149,1]]",1,[],2329LanternShowB,"[[[38039,5]],[[38039,25]]]",[],,"[3,50]","[[2000148,10]]",
250,2,31601,"[[2000205,1],[2000206,1]]",1,[],2327WeatherIslands,[],"[-1,-1]",,"[3,50]","[[2000205,13]]",
251,2,31633,"[[2000196,1],[2000199,1],[2000202,1]]",1,[],2327WeatherIslands,[],"[33,11,7]",,[],[],
252,2,31642,"[[2000197,1],[2000200,1],[2000203,1]]",1,[],2327WeatherIslands,[],"[33,11,7]",,[],[],
253,2,31645,"[[2000198,1],[2000201,1],[2000204,1]]",1,[],2327WeatherIslands,[],"[33,11,7]",,[],[],
254,2,31291,"[[2000161,1],[2000162,1]]",1,[],2328ChristmasVillages,[],"[-1,-1]",,"[1,50]","[[2000161,10]]",
255,2,31338,"[[2000164,1,""Eventmission2328_064SnackStand""],[2000170,1,""Eventmission2328_064SnackStand""],[2000165,1],[2000171,1]]",1,[],2328ChristmasVillages,[],"[3,1,7,2]",,[],[],
256,2,31339,"[[2000163,1],[2000166,1]]",1,[],2328ChristmasVillages,[],"[6,5]",,[],[],
257,2,31340,"[[2000163,1],[2000166,1],[2000164,1,""Eventmission2328_053GoSleigh""]]",1,[],2328ChristmasVillages,[],"[3,5,3]",,[],[],
258,2,31337,"[[2000164,1],[2000167,1],[2000170,1]]",1,[],2328ChristmasVillages,[],"[6,3,3]",,[],[],
260,2,31414,"[[2000258,1],[2000259,1]]",1,,Guide2SakuraManor,[],"[1,1]",,[],[],
261,2,31415,"[[2000261,1],[2000285,1]]",1,,Guide2SakuraManor,[],"[4,3]",,[],[],
262,2,31416,"[[2000281,1]]",1,,Guide2SakuraManor,[],[1],,[],[],
263,2,31418,"[[2000267,1],[2000264,1]]",1,,Guide2SakuraManor,[],"[1,1]",,[],[],
264,2,31402,"[[2000286,1]]",1,,Guide2SakuraManor,[],[1],,[],[],
265,2,31408,"[[2000255,1]]",1,,Guide2SakuraManor,[],[3],,[],[],
270,2,32027,"[[2000306,1,""Eventmission41_026candyraft""],[2000309,1,""Eventmission41_026candyraft""],[2000307,1,""Eventmission41_029recreationareaC""],[2000310,1,""Eventmission41_029recreationareaC""],[2000308,1,""Eventmission41_033evaluatethesituation""]]",1,[],2401MianMianParadise,"[[[38041,5]],[[38041,5]],[[38041,5]],[[38041,15]],[[38041,15]]]","[3,10,6,10,12]",,[],[],
271,2,32000,"[[2000317,1],[2000311,1],[2000312,1]]",1,[],2401MianMianParadise,[],"[-1,-1]",,"[4,50]","[[2000311,30]]",
275,2,32265,"[[2000342,1],[2000343,1],[2000344,1]]",1,[],2402SkyCityA,[],"[-1,-1,-1]",,"[2,50]","[[2000343,30]]",
276,2,32266,"[[2000338,1],[2000345,1],[2000340,1],[2000341,1,""Eventmission2402_060MethodtoGoHome3""]]",1,[],2402SkyCityA,[],"[5,2,5,3]",,[],[],
272,2,32437,"[[2000367,1],[2000372,1],[2000368,1,""Eventmission2403_053TrackingInSnow""],[2000373,1,""Eventmission2403_053TrackingInSnow""]]",1,[],2403WonderAgent,"[[[38043,5]],[[38043,15]],[[38043,5]],[[38043,15]]]","[-1,-1,-1,-1]",,[],[],
273,2,32438,"[[2000369,1],[2000376,1]]",1,[],2403WonderAgent,"[[[38043,5]],[[38043,20]]]","[-1,-1]",,[],[],
274,2,32443,"[[2000375,1],[2000370,1],[2000371,1]]",1,[],2403WonderAgent,[],"[-1,-1,-1]",,"[4,50]","[[2000370,30]]",
277,2,32800,"[[2000406,1],[2000407,1],[2000408,1]]",1,[],2404EmotionCrisis,[],"[-1,-1,-1]",,[],[],
278,2,32801,"[[2000406,1],[2000407,1],[2000408,1]]",1,[],2404EmotionCrisis,[],"[-1,-1,-1]",,[],[],
279,2,32802,"[[2000400,1,""Eventmission2404_041TakeTheKey""],[2000403,1,""Eventmission2404_041TakeTheKey""],[2000401,1,""Eventmission2404_051Forward""],[2000404,1,""Eventmission2404_051Forward""],[2000402,1,""Eventmission2404_060Statue""]]",1,[],2404EmotionCrisis,[],"[-1,-1,-1,-1,-1]",,[],[],
281,2,33037,"[[2000462,1],[2000463,1],[2000467,1]]",1,[],2406SwanManor,[],"[-1,-1,-1]",,[],[],
282,2,33038,"[[2000462,1],[2000463,1],[2000467,1]]",1,[],2406SwanManor,[],"[-1,-1,-1]",,[],[],
283,2,33039,"[[2000456,1],[2000459,1]]",1,[],2406SwanManor,[],"[33,7]",,[],[],
284,2,33040,"[[2000457,1],[2000460,1]]",1,[],2406SwanManor,[],"[36,8]",,[],[],
285,2,33041,"[[2000458,1],[2000461,1]]",1,[],2406SwanManor,[],"[12,3]",,[],[],
286,2,32672,"[[2000438,1],[2000439,1],[2000440,1]]",1,[],2405SurvivalPioneers,[],"[-1,-1,-1]",,"[2,50]","[[2000439,30]]",
287,2,32673,"[[2000438,1],[2000439,1],[2000440,1]]",1,[],2405SurvivalPioneers,[],"[-1,-1,-1]",,"[2,50]","[[2000439,30]]",
288,2,32669,"[[2000429,1,""Eventmission2405_035Brook""],[2000432,1,""Eventmission2405_037VineBarrierToo""]]",1,[],2405SurvivalPioneers,[],"[2,2]",,[],[],
289,2,32670,"[[2000430,1,""Eventmission2405_067TotemS""],[2000433,1,""Eventmission2405_068OldShelter""]]",1,[],2405SurvivalPioneers,[],"[4,1]",,[],[],
