id,level,smallBpId,exp,normalType,normalReward,vipType,vipReward,payLabel,
166,5,105,500,0,"[11001,1]",0,"[15000,10]",[],
167,6,105,500,0,"[1002,1000]",0,"[83013,20]",[],
168,7,105,500,0,"[15000,3]",0,"[34005,20]",[],
169,8,105,500,0,"[1001,5]",0,"[11001,2]",[],
170,9,105,500,0,"[1003,60]",0,"[15000,20]",[],
171,10,105,500,0,"[11001,1]",0,"[34005,40]",[],
172,11,105,1000,0,"[1002,1500]",0,"[1002,3000]",[],
173,12,105,1000,0,"[15000,5]",0,"[42000,20]",[],
174,13,105,1000,0,"[1003,80]",2,"[313001,1]",[],
175,14,105,1000,0,"[42000,5]",0,"[11001,2]",[],
176,15,105,-1,0,"[1003,300]",0,"[1001,20]",[],
145,0,121,500,0,"[1003,30]",1,[1],[],
146,1,121,300,0,"[1001,5]",0,"[1001,15]",[],
147,2,121,200,0,"[1003,50]",0,"[42000,10]",[],
148,3,121,500,0,"[1001,10]",0,"[11001,2]",[],
149,4,121,500,0,"[42000,3]",0,"[1003,100]",[],
150,5,121,500,0,"[11001,1]",0,"[1001,20]",[],
151,6,121,500,0,"[1001,15]",0,"[83014,20]",[],
152,7,121,500,0,"[1001,15]",0,"[34021,20]",[],
153,8,121,500,0,"[1001,15]",0,"[11001,2]",[],
154,9,121,500,0,"[1003,60]",0,"[1001,50]",[],
155,10,121,500,0,"[11001,1]",0,"[34021,40]",[],
156,11,121,1000,0,"[1001,15]",0,"[1001,65]",[],
157,12,121,1000,0,"[1001,30]",0,"[42000,20]",[],
158,13,121,1000,0,"[1003,80]",2,"[314001,1]",[],
159,14,121,1000,0,"[42000,5]",0,"[11001,2]",[],
160,15,121,-1,0,"[1003,300]",0,"[1001,150]",[],
177,0,108,500,0,"[1003,30]",1,[1],[],
178,1,108,300,0,"[1001,5]",0,"[1001,15]",[],
179,2,108,200,0,"[1003,50]",0,"[42000,10]",[],
180,3,108,500,0,"[1001,10]",0,"[11001,2]",[],
181,4,108,500,0,"[42000,3]",0,"[1003,100]",[],
182,5,108,500,0,"[11001,1]",0,"[1001,20]",[],
183,6,108,500,0,"[1001,15]",0,"[83015,20]",[],
184,7,108,500,0,"[1001,15]",0,"[34006,20]",[],
185,8,108,500,0,"[1001,15]",0,"[11001,2]",[],
186,9,108,500,0,"[1003,60]",0,"[1001,50]",[],
187,10,108,500,0,"[11001,1]",0,"[34006,40]",[],
188,11,108,1000,0,"[1001,15]",0,"[1001,65]",[],
189,12,108,1000,0,"[1001,30]",0,"[42000,20]",[],
190,13,108,1000,0,"[1003,80]",2,"[315001,1]",[],
191,14,108,1000,0,"[42000,5]",0,"[11001,2]",[],
192,15,108,-1,0,"[1003,300]",0,"[1001,150]",[],
193,0,124,200,0,"[1003,10]",2,"[316001,1]",[],
194,1,124,200,0,"[1003,10]",1,[1],[],
195,2,124,300,0,"[1003,10]",0,"[1003,50]",[],
196,3,124,300,0,"[1003,10]",0,"[1003,50]",[],
197,4,124,400,0,"[1003,10]",0,"[1003,50]",[],
198,5,124,400,0,"[1003,15]",0,"[1003,80]",[],
199,6,124,500,0,"[1003,15]",0,"[1003,80]",[],
200,7,124,500,0,"[1003,15]",0,"[1003,80]",[],
201,8,124,500,0,"[1003,20]",0,"[1003,100]",[],
202,9,124,600,0,"[1003,20]",0,"[1003,100]",[],
203,10,124,600,0,"[1003,20]",0,"[1003,100]",[],
204,11,124,800,0,"[1003,30]",0,"[1003,200]",[],
205,12,124,800,0,"[1003,30]",0,"[1003,200]",[],
206,13,124,1000,0,"[1003,30]",0,"[1003,200]",[],
207,14,124,1000,0,"[1003,60]",0,"[11001,4]",[],
208,15,124,-1,0,"[1003,100]",0,"[1003,800]",[],
209,0,117,450,0,"[1003,30]",1,[1],[],
210,1,117,550,0,"[1001,5]",0,"[1001,15]",[],
211,2,117,750,0,"[1003,50]",0,"[42000,10]",[],
212,3,117,750,0,"[1001,10]",0,"[11001,2]",[],
213,4,117,750,0,"[42000,3]",0,"[1003,100]",[],
214,5,117,750,0,"[11001,1]",0,"[1001,20]",[],
215,6,117,750,0,"[1001,15]",0,"[83010,5]",[],
216,7,117,750,0,"[1001,15]",0,"[34027,30]",[],
217,8,117,750,0,"[1001,15]",0,"[11001,3]",[],
218,9,117,750,0,"[1003,60]",0,"[1001,50]",[],
219,10,117,750,0,"[11001,1]",0,"[83010,5]",[],
220,11,117,1250,0,"[1001,15]",0,"[1001,65]",[],
221,12,117,1250,0,"[1001,20]",0,"[42000,20]",[],
222,13,117,1250,0,"[1003,60]",0,"[83010,10]",[],
223,14,117,1250,0,"[42000,5]",0,"[11001,4]",[],
224,15,117,-1,0,"[1003,300]",0,"[1001,150]",[],
225,0,122,200,0,"[1003,10]",2,"[318001,1]",[],
226,1,122,200,0,"[1003,10]",1,[1],[],
227,2,122,300,0,"[1003,10]",0,"[1003,50]",[],
228,3,122,300,0,"[1003,10]",0,"[1003,50]",[],
229,4,122,400,0,"[1003,10]",0,"[1003,50]",[],
230,5,122,400,0,"[1003,15]",0,"[1003,80]",[],
231,6,122,500,0,"[1003,15]",0,"[1003,80]",[],
232,7,122,500,0,"[1003,15]",0,"[1003,80]",[],
233,8,122,500,0,"[1003,20]",0,"[1003,100]",[],
234,9,122,600,0,"[1003,20]",0,"[1003,100]",[],
235,10,122,600,0,"[1003,20]",0,"[1003,100]",[],
236,11,122,800,0,"[1003,30]",0,"[1003,200]",[],
237,12,122,800,0,"[1003,30]",0,"[1003,200]",[],
238,13,122,1000,0,"[1003,30]",0,"[1003,200]",[],
239,14,122,1000,0,"[1003,60]",0,"[11001,4]",[],
240,15,122,-1,0,"[1003,100]",0,"[1003,800]",[],
241,0,123,200,0,"[1003,10]",2,"[317001,1]",[],
242,1,123,200,0,"[1003,10]",1,[1],[],
243,2,123,300,0,"[1003,10]",0,"[1003,50]",[],
244,3,123,300,0,"[1003,10]",0,"[1003,50]",[],
245,4,123,400,0,"[1003,10]",0,"[1003,50]",[],
246,5,123,400,0,"[1003,15]",0,"[1003,80]",[],
247,6,123,500,0,"[1003,15]",0,"[1003,80]",[],
248,7,123,500,0,"[1003,15]",0,"[1003,80]",[],
249,8,123,500,0,"[1003,20]",0,"[1003,100]",[],
250,9,123,600,0,"[1003,20]",0,"[1003,100]",[],
251,10,123,600,0,"[1003,20]",0,"[1003,100]",[],
252,11,123,800,0,"[1003,30]",0,"[1003,200]",[],
253,12,123,800,0,"[1003,30]",0,"[1003,200]",[],
254,13,123,1000,0,"[1003,30]",0,"[1003,200]",[],
255,14,123,1000,0,"[1003,60]",0,"[11001,4]",[],
256,15,123,-1,0,"[1003,100]",0,"[1003,800]",[],
257,0,126,500,0,"[1003,10]",2,"[320001,1]",[],
258,1,126,300,0,"[1003,10]",1,[1],[],
259,2,126,200,0,"[1003,10]",0,"[1003,50]",[],
260,3,126,500,0,"[1003,10]",0,"[1003,50]",[],
261,4,126,500,0,"[1003,10]",0,"[1003,50]",[],
262,5,126,500,0,"[1003,15]",0,"[1003,80]",[],
263,6,126,500,0,"[1003,15]",0,"[1003,80]",[],
264,7,126,500,0,"[1003,15]",0,"[1003,80]",[],
265,8,126,500,0,"[1003,20]",0,"[1003,100]",[],
266,9,126,500,0,"[1003,20]",0,"[1003,100]",[],
267,10,126,500,0,"[1003,20]",0,"[1003,100]",[],
268,11,126,1000,0,"[1003,30]",0,"[1003,200]",[],
269,12,126,1000,0,"[1003,30]",0,"[1003,200]",[],
270,13,126,1000,0,"[1003,30]",0,"[1003,200]",[],
271,14,126,1000,0,"[1003,60]",0,"[11001,4]",[],
272,15,126,-1,0,"[1003,100]",0,"[1003,800]",[],
273,0,125,750,0,"[1003,10]",2,"[321001,1]",[],
274,1,125,550,0,"[1003,10]",1,[1],[],
275,2,125,450,0,"[1003,10]",0,"[1003,50]",[],
276,3,125,750,0,"[1003,10]",0,"[1003,50]",[],
277,4,125,750,0,"[1003,10]",0,"[1003,50]",[],
278,5,125,750,0,"[1003,15]",0,"[1003,80]",[],
279,6,125,750,0,"[1003,15]",0,"[1003,80]",[],
280,7,125,750,0,"[1003,15]",0,"[1003,80]",[],
281,8,125,750,0,"[1003,20]",0,"[1003,100]",[],
282,9,125,750,0,"[1003,20]",0,"[1003,100]",[],
283,10,125,750,0,"[1003,20]",0,"[1003,100]",[],
284,11,125,1250,0,"[1003,30]",0,"[1003,200]",[],
285,12,125,1250,0,"[1003,30]",0,"[1003,200]",[],
286,13,125,1250,0,"[1003,30]",0,"[1003,200]",[],
287,14,125,1250,0,"[1003,60]",0,"[11001,4]",[],
288,15,125,-1,0,"[1003,100]",0,"[1003,800]",[],
289,0,127,500,0,"[1003,10]",2,"[324001,1]",[],
290,1,127,300,0,"[1003,10]",1,[1],[],
291,2,127,200,0,"[1003,10]",0,"[1003,50]",[],
292,3,127,500,0,"[1003,10]",0,"[1003,50]",[],
293,4,127,500,0,"[1003,10]",0,"[1003,50]",[],
294,5,127,500,0,"[1003,15]",0,"[1003,80]",[],
295,6,127,500,0,"[1003,15]",0,"[1003,80]",[],
296,7,127,500,0,"[1003,15]",0,"[1003,80]",[],
297,8,127,500,0,"[1003,20]",0,"[1003,100]",[],
298,9,127,500,0,"[1003,20]",0,"[1003,100]",[],
299,10,127,500,0,"[1003,20]",0,"[1003,100]",[],
300,11,127,1000,0,"[1003,30]",0,"[1003,200]",[],
301,12,127,1000,0,"[1003,30]",0,"[1003,200]",[],
302,13,127,1000,0,"[1003,30]",0,"[1003,200]",[],
303,14,127,1000,0,"[1003,60]",0,"[11001,4]",[],
304,15,127,-1,0,"[1003,100]",0,"[1003,800]",[],
305,0,133,200,0,"[1003,10]",2,"[319001,1]",[],
306,1,133,200,0,"[1003,10]",1,[1],[],
307,2,133,300,0,"[1003,10]",0,"[1003,50]",[],
308,3,133,300,0,"[1003,10]",0,"[1003,50]",[],
309,4,133,400,0,"[1003,10]",0,"[1003,50]",[],
310,5,133,400,0,"[1003,15]",0,"[1003,80]",[],
311,6,133,500,0,"[1003,15]",0,"[1003,80]",[],
312,7,133,500,0,"[1003,15]",0,"[1003,80]",[],
313,8,133,500,0,"[1003,20]",0,"[1003,100]",[],
314,9,133,600,0,"[1003,20]",0,"[1003,100]",[],
315,10,133,600,0,"[1003,20]",0,"[1003,100]",[],
316,11,133,800,0,"[1003,30]",0,"[1003,200]",[],
317,12,133,800,0,"[1003,30]",0,"[1003,200]",[],
318,13,133,1000,0,"[1003,30]",0,"[1003,200]",[],
319,14,133,1000,0,"[1003,60]",0,"[11001,4]",[],
320,15,133,-1,0,"[1003,100]",0,"[1003,800]",[],
321,0,120,750,0,"[1003,30]",1,[1],[],
322,1,120,550,0,"[1001,5]",0,"[1001,15]",[],
323,2,120,450,0,"[1003,50]",0,"[42000,10]",[],
324,3,120,750,0,"[1001,10]",0,"[11001,2]",[],
325,4,120,750,0,"[42000,3]",0,"[1003,100]",[],
326,5,120,750,0,"[11001,1]",0,"[1001,20]",[],
327,6,120,750,0,"[1001,15]",0,"[83011,5]",[],
328,7,120,750,0,"[1001,15]",0,"[34020,20]",[],
329,8,120,750,0,"[1001,15]",0,"[11001,2]",[],
330,9,120,750,0,"[1003,60]",0,"[1001,50]",[],
331,10,120,750,0,"[11001,1]",0,"[83011,5]",[],
332,11,120,1250,0,"[1001,15]",0,"[1001,80]",[],
333,12,120,1250,0,"[1001,30]",0,"[42000,20]",[],
334,13,120,1250,0,"[1003,80]",0,"[83011,10]",[],
335,14,120,1250,0,"[42000,5]",0,"[11001,2]",[],
336,15,120,-1,0,"[1003,300]",0,"[1001,150]",[],
337,0,132,200,0,"[1003,10]",2,"[323001,1]",[],
338,1,132,200,0,"[1003,10]",1,[1],[],
339,2,132,300,0,"[1003,10]",0,"[1003,50]",[],
340,3,132,300,0,"[1003,10]",0,"[1003,50]",[],
341,4,132,400,0,"[1003,10]",0,"[1003,50]",[],
342,5,132,400,0,"[1003,15]",0,"[1003,80]",[],
343,6,132,500,0,"[1003,15]",0,"[1003,80]",[],
344,7,132,500,0,"[1003,15]",0,"[1003,80]",[],
345,8,132,500,0,"[1003,20]",0,"[1003,100]",[],
346,9,132,600,0,"[1003,20]",0,"[1003,100]",[],
347,10,132,600,0,"[1003,20]",0,"[1003,100]",[],
348,11,132,800,0,"[1003,30]",0,"[1003,200]",[],
349,12,132,800,0,"[1003,30]",0,"[1003,200]",[],
350,13,132,1000,0,"[1003,30]",0,"[1003,200]",[],
351,14,132,1000,0,"[1003,60]",0,"[11001,4]",[],
352,15,132,-1,0,"[1003,100]",0,"[1003,800]",[],
353,0,130,200,0,"[1003,10]",2,"[327001,1]",[],
354,1,130,200,0,"[1003,10]",1,[1],[],
355,2,130,300,0,"[1003,10]",0,"[1003,50]",[],
356,3,130,300,0,"[1003,10]",0,"[1003,50]",[],
357,4,130,400,0,"[1003,10]",0,"[1003,50]",[],
358,5,130,400,0,"[1003,15]",0,"[1003,80]",[],
359,6,130,500,0,"[1003,15]",0,"[1003,80]",[],
360,7,130,500,0,"[1003,15]",0,"[1003,80]",[],
361,8,130,500,0,"[1003,20]",0,"[1003,100]",[],
362,9,130,600,0,"[1003,20]",0,"[1003,100]",[],
363,10,130,600,0,"[1003,20]",0,"[1003,100]",[],
364,11,130,800,0,"[1003,30]",0,"[1003,200]",[],
365,12,130,800,0,"[1003,30]",0,"[1003,200]",[],
366,13,130,1000,0,"[1003,30]",0,"[1003,200]",[],
367,14,130,1000,0,"[1003,60]",0,"[11001,4]",[],
368,15,130,-1,0,"[1003,100]",0,"[1003,800]",[],
385,0,129,200,0,"[1003,10]",2,"[325001,1]",[],
386,1,129,200,0,"[1003,10]",1,[1],[],
387,2,129,300,0,"[1003,10]",0,"[1003,50]",[],
388,3,129,300,0,"[1003,10]",0,"[1003,50]",[],
389,4,129,400,0,"[1003,10]",0,"[1003,50]",[],
390,5,129,400,0,"[1003,15]",0,"[1003,80]",[],
391,6,129,500,0,"[1003,15]",0,"[1003,80]",[],
392,7,129,500,0,"[1003,15]",0,"[1003,80]",[],
393,8,129,500,0,"[1003,20]",0,"[1003,100]",[],
394,9,129,600,0,"[1003,20]",0,"[1003,100]",[],
395,10,129,600,0,"[1003,20]",0,"[1003,100]",[],
396,11,129,800,0,"[1003,30]",0,"[1003,200]",[],
397,12,129,800,0,"[1003,30]",0,"[1003,200]",[],
398,13,129,1000,0,"[1003,30]",0,"[1003,200]",[],
399,14,129,1000,0,"[1003,60]",0,"[11001,4]",[],
400,15,129,-1,0,"[1003,100]",0,"[1003,800]",[],
401,0,128,200,0,"[1003,10]",2,"[328001,1]",[],
402,1,128,200,0,"[1003,10]",1,[1],[],
403,2,128,300,0,"[1003,10]",0,"[1003,50]",[],
404,3,128,300,0,"[1003,10]",0,"[1003,50]",[],
405,4,128,400,0,"[1003,10]",0,"[1003,50]",[],
406,5,128,400,0,"[1003,15]",0,"[1003,80]",[],
407,6,128,500,0,"[1003,15]",0,"[1003,80]",[],
408,7,128,500,0,"[1003,15]",0,"[1003,80]",[],
409,8,128,500,0,"[1003,20]",0,"[1003,100]",[],
410,9,128,600,0,"[1003,20]",0,"[1003,100]",[],
411,10,128,600,0,"[1003,20]",0,"[1003,100]",[],
412,11,128,800,0,"[1003,30]",0,"[1003,200]",[],
413,12,128,800,0,"[1003,30]",0,"[1003,200]",[],
414,13,128,1000,0,"[1003,30]",0,"[1003,200]",[],
415,14,128,1000,0,"[1003,60]",0,"[11001,4]",[],
416,15,128,-1,0,"[1003,100]",0,"[1003,800]",[],
417,0,135,200,0,"[1003,10]",2,"[322001,1]",[],
418,1,135,200,0,"[1003,10]",1,[1],[],
419,2,135,300,0,"[1003,10]",0,"[1003,50]",[],
420,3,135,300,0,"[1003,10]",0,"[1003,50]",[],
421,4,135,400,0,"[1003,10]",0,"[1003,50]",[],
422,5,135,400,0,"[1003,15]",0,"[1003,80]",[],
423,6,135,500,0,"[1003,15]",0,"[1003,80]",[],
424,7,135,500,0,"[1003,15]",0,"[1003,80]",[],
425,8,135,500,0,"[1003,20]",0,"[1003,100]",[],
426,9,135,600,0,"[1003,20]",0,"[1003,100]",[],
427,10,135,600,0,"[1003,20]",0,"[1003,100]",[],
428,11,135,800,0,"[1003,30]",0,"[1003,200]",[],
429,12,135,800,0,"[1003,30]",0,"[1003,200]",[],
430,13,135,1000,0,"[1003,30]",0,"[1003,200]",[],
431,14,135,1000,0,"[1003,60]",0,"[11001,4]",[],
432,15,135,-1,0,"[1003,100]",0,"[1003,800]",[],
433,0,136,200,0,"[1003,10]",2,"[326001,1]",[],
434,1,136,200,0,"[1003,10]",1,[1],[],
435,2,136,300,0,"[1003,10]",0,"[1003,50]",[],
436,3,136,300,0,"[1003,10]",0,"[1003,50]",[],
437,4,136,400,0,"[1003,10]",0,"[1003,50]",[],
438,5,136,400,0,"[1003,15]",0,"[1003,80]",[],
439,6,136,500,0,"[1003,15]",0,"[1003,80]",[],
440,7,136,500,0,"[1003,15]",0,"[1003,80]",[],
441,8,136,500,0,"[1003,20]",0,"[1003,100]",[],
442,9,136,600,0,"[1003,20]",0,"[1003,100]",[],
443,10,136,600,0,"[1003,20]",0,"[1003,100]",[],
444,11,136,800,0,"[1003,30]",0,"[1003,200]",[],
445,12,136,800,0,"[1003,30]",0,"[1003,200]",[],
446,13,136,1000,0,"[1003,30]",0,"[1003,200]",[],
447,14,136,1000,0,"[1003,60]",0,"[11001,4]",[],
448,15,136,-1,0,"[1003,100]",0,"[1003,800]",[],
449,0,137,200,0,"[1003,10]",2,"[330001,1]",[],
450,1,137,200,0,"[1003,10]",1,[1],[],
451,2,137,300,0,"[1003,10]",0,"[1003,50]",[],
452,3,137,300,0,"[1003,10]",0,"[1003,50]",[],
453,4,137,400,0,"[1003,10]",0,"[1003,50]",[],
454,5,137,400,0,"[1003,15]",0,"[1003,80]",[],
455,6,137,500,0,"[1003,15]",0,"[1003,80]",[],
456,7,137,500,0,"[1003,15]",0,"[1003,80]",[],
457,8,137,500,0,"[1003,20]",0,"[1003,100]",[],
458,9,137,600,0,"[1003,20]",0,"[1003,100]",[],
459,10,137,600,0,"[1003,20]",0,"[1003,100]",[],
460,11,137,800,0,"[1003,30]",0,"[1003,200]",[],
461,12,137,800,0,"[1003,30]",0,"[1003,200]",[],
462,13,137,1000,0,"[1003,30]",0,"[1003,200]",[],
463,14,137,1000,0,"[1003,60]",0,"[11001,4]",[],
464,15,137,-1,0,"[1003,100]",0,"[1003,800]",[],
465,0,138,200,0,"[1003,10]",2,"[329001,1]",[],
466,1,138,200,0,"[1003,10]",1,[1],[],
467,2,138,300,0,"[1003,10]",0,"[1003,50]",[],
468,3,138,300,0,"[1003,10]",0,"[1003,50]",[],
469,4,138,400,0,"[1003,10]",0,"[1003,50]",[],
470,5,138,400,0,"[1003,15]",0,"[1003,80]",[],
471,6,138,500,0,"[1003,15]",0,"[1003,80]",[],
472,7,138,500,0,"[1003,15]",0,"[1003,80]",[],
473,8,138,500,0,"[1003,20]",0,"[1003,100]",[],
474,9,138,600,0,"[1003,20]",0,"[1003,100]",[],
475,10,138,600,0,"[1003,20]",0,"[1003,100]",[],
476,11,138,800,0,"[1003,30]",0,"[1003,200]",[],
477,12,138,800,0,"[1003,30]",0,"[1003,200]",[],
478,13,138,1000,0,"[1003,30]",0,"[1003,200]",[],
479,14,138,1000,0,"[1003,60]",0,"[11001,4]",[],
480,15,138,-1,0,"[1003,100]",0,"[1003,800]",[],
481,0,139,200,0,"[1003,10]",2,"[331001,1]",[],
482,1,139,200,0,"[1003,10]",1,[1],[],
483,2,139,300,0,"[1003,10]",0,"[1003,50]",[],
484,3,139,300,0,"[1003,10]",0,"[1003,50]",[],
485,4,139,400,0,"[1003,10]",0,"[1003,50]",[],
486,5,139,400,0,"[1003,15]",0,"[1003,80]",[],
487,6,139,500,0,"[1003,15]",0,"[1003,80]",[],
488,7,139,500,0,"[1003,15]",0,"[1003,80]",[],
489,8,139,500,0,"[1003,20]",0,"[1003,100]",[],
490,9,139,600,0,"[1003,20]",0,"[1003,100]",[],
491,10,139,600,0,"[1003,20]",0,"[1003,100]",[],
492,11,139,800,0,"[1003,30]",0,"[1003,200]",[],
493,12,139,800,0,"[1003,30]",0,"[1003,200]",[],
494,13,139,1000,0,"[1003,30]",0,"[1003,200]",[],
495,14,139,1000,0,"[1003,60]",0,"[11001,4]",[],
496,15,139,-1,0,"[1003,100]",0,"[1003,800]",[],
501,0,2,100,0,"[1003,10]",0,"[1003,100]",[],
