id,level,activityId,exp,normalType,normalItem,vipType,vipItem,diamondCost,specialReward,
503,3,4,70,0,"[1001,3]",3,[1],30,1,
504,4,4,100,0,"[2007,5]",0,"[15000,20]",30,0,
505,5,4,100,0,"[1002,200]",2,[10],30,1,
506,6,4,100,0,"[13001,5]",0,"[1001,20]",30,0,
507,7,4,100,0,"[15000,5]",0,"[1002,500]",30,0,
508,8,4,100,0,"[1002,300]",0,"[2007,20]",30,0,
509,9,4,120,0,"[2002,10]",0,"[11001,1]",30,0,
510,10,4,120,0,"[1003,40]",0,"[1003,100]",30,0,
511,11,4,120,0,"[1001,10]",0,"[1001,30]",30,0,
512,12,4,150,0,"[1003,60]",0,"[1003,300]",30,0,
513,13,4,150,0,"[1002,400]",0,"[1002,700]",30,0,
514,14,4,200,0,"[30000,5]",0,"[30000,15]",30,0,
515,15,4,200,0,"[11001,1]",6,[24004],30,1,
516,16,4,200,0,"[2007,10]",0,"[2008,15]",30,0,
517,17,4,200,0,"[16000,5]",0,"[16000,25]",30,0,
518,18,4,200,0,"[2002,5]",0,"[2002,30]",30,0,
519,19,4,400,0,"[1002,500]",0,"[1002,1000]",30,0,
520,20,4,400,0,"[1003,80]",0,"[1003,300]",30,1,
521,21,4,400,0,"[2005,5]",0,"[2005,20]",30,0,
522,22,4,600,0,"[42000,2]",0,"[42000,10]",30,0,
523,23,4,600,0,"[11001,1]",4,[27215],30,1,
524,24,4,800,0,"[1002,600]",0,"[1002,1300]",30,0,
525,25,4,1200,0,"[1003,100]",0,"[11001,2]",30,0,
526,26,4,-1,0,"[1001,10]",0,"[1001,50]",30,0,
600,0,5,50,0,"[1003,40]",7,"[92019,1]",30,0,
601,1,5,50,0,"[1002,100]",5,[50],30,1,
602,2,5,70,0,"[1003,30]",1,[1],30,1,
603,3,5,70,0,"[1001,3]",3,[1],30,1,
604,4,5,90,0,"[2007,5]",0,"[15000,20]",30,0,
605,5,5,90,0,"[1002,200]",2,[10],30,1,
606,6,5,90,0,"[13001,5]",0,"[1001,20]",30,0,
607,7,5,100,0,"[15000,5]",0,"[1002,500]",30,0,
608,8,5,100,0,"[1002,300]",0,"[2007,20]",30,0,
609,9,5,100,0,"[2002,10]",0,"[11001,1]",30,0,
610,10,5,120,0,"[1003,40]",0,"[1003,100]",30,0,
611,11,5,120,0,"[1001,8]",0,"[1001,30]",30,0,
612,12,5,120,0,"[1003,60]",0,"[1003,300]",30,0,
613,13,5,150,0,"[1002,300]",0,"[1002,900]",30,0,
614,14,5,150,0,"[30000,5]",0,"[30000,15]",30,0,
615,15,5,150,0,"[11001,1]",6,[24005],30,1,
616,16,5,200,0,"[2007,10]",0,"[2008,15]",30,0,
617,17,5,200,0,"[16000,5]",0,"[16000,25]",30,0,
618,18,5,200,0,"[2002,5]",0,"[2002,30]",30,0,
619,19,5,250,0,"[1002,500]",0,"[1002,1000]",30,0,
620,20,5,250,0,"[1003,80]",0,"[1003,300]",30,1,
621,21,5,300,0,"[2005,5]",0,"[2005,20]",30,0,
622,22,5,300,0,"[42000,2]",0,"[42000,10]",30,0,
623,23,5,400,0,"[11001,1]",4,[27212],30,1,
624,24,5,600,0,"[1002,600]",0,"[1002,1300]",30,0,
625,25,5,800,0,"[1003,100]",0,"[11001,2]",30,0,
626,26,5,-1,0,"[1001,10]",0,"[1001,50]",30,0,
650,0,6,50,0,"[1003,40]",7,"[92014,1]",30,0,
651,1,6,50,0,"[1002,100]",5,[50],30,1,
652,2,6,70,0,"[1003,30]",1,[1],30,1,
653,3,6,70,0,"[1001,3]",3,[1],30,1,
654,4,6,90,0,"[2007,5]",0,"[15000,20]",30,0,
655,5,6,90,0,"[1002,200]",2,[10],30,1,
656,6,6,90,0,"[13001,5]",0,"[1001,20]",30,0,
657,7,6,100,0,"[15000,5]",0,"[1002,500]",30,0,
658,8,6,100,0,"[1002,300]",0,"[2007,20]",30,0,
659,9,6,100,0,"[2002,10]",0,"[11001,1]",30,0,
660,10,6,120,0,"[1003,40]",0,"[1003,100]",30,0,
661,11,6,120,0,"[1001,8]",0,"[1001,30]",30,0,
662,12,6,120,0,"[1003,60]",0,"[1003,300]",30,0,
663,13,6,150,0,"[1002,300]",0,"[1002,900]",30,0,
664,14,6,150,0,"[30000,5]",0,"[30000,15]",30,0,
665,15,6,150,0,"[11001,1]",6,[24006],30,1,
666,16,6,200,0,"[2007,10]",0,"[2008,15]",30,0,
667,17,6,200,0,"[16000,5]",0,"[16000,25]",30,0,
668,18,6,200,0,"[2002,5]",0,"[2002,30]",30,0,
669,19,6,250,0,"[1002,500]",0,"[1002,1000]",30,0,
670,20,6,250,0,"[1003,80]",0,"[1003,300]",30,1,
671,21,6,300,0,"[2005,5]",0,"[2005,20]",30,0,
672,22,6,300,0,"[42000,2]",0,"[42000,10]",30,0,
673,23,6,400,0,"[11001,1]",4,[27210],30,1,
674,24,6,600,0,"[1002,600]",0,"[1002,1300]",30,0,
675,25,6,800,0,"[1003,100]",0,"[11001,2]",30,0,
676,26,6,-1,0,"[1001,10]",0,"[1001,50]",30,0,
700,0,7,50,0,"[1003,40]",7,"[92018,1]",30,0,
701,1,7,50,0,"[1002,100]",5,[50],30,1,
702,2,7,70,0,"[1003,30]",1,[1],30,1,
703,3,7,70,0,"[1001,3]",3,[1],30,1,
704,4,7,90,0,"[2007,5]",0,"[15000,20]",30,0,
705,5,7,90,0,"[1002,200]",2,[10],30,1,
706,6,7,90,0,"[13001,5]",0,"[1001,20]",30,0,
707,7,7,100,0,"[15000,5]",0,"[1002,500]",30,0,
708,8,7,100,0,"[1002,300]",0,"[2007,20]",30,0,
709,9,7,100,0,"[2002,10]",0,"[11001,1]",30,0,
710,10,7,120,0,"[1003,40]",0,"[1003,100]",30,0,
711,11,7,120,0,"[1001,8]",0,"[1001,30]",30,0,
712,12,7,120,0,"[1003,60]",0,"[1003,300]",30,0,
713,13,7,150,0,"[1002,300]",0,"[1002,900]",30,0,
714,14,7,150,0,"[30000,5]",0,"[30000,15]",30,0,
715,15,7,150,0,"[11001,1]",6,[24022],30,1,
716,16,7,200,0,"[2007,10]",0,"[2008,15]",30,0,
717,17,7,200,0,"[16000,5]",0,"[16000,25]",30,0,
718,18,7,200,0,"[2002,5]",0,"[2002,30]",30,0,
719,19,7,250,0,"[1002,500]",0,"[1002,1000]",30,0,
720,20,7,250,0,"[1003,80]",0,"[1003,300]",30,1,
721,21,7,300,0,"[2005,5]",0,"[2005,20]",30,0,
722,22,7,300,0,"[42000,2]",0,"[42000,10]",30,0,
723,23,7,400,0,"[11001,1]",4,[27218],30,1,
724,24,7,600,0,"[1002,600]",0,"[1002,1300]",30,0,
725,25,7,800,0,"[1003,100]",0,"[11001,2]",30,0,
726,26,7,-1,0,"[1001,10]",0,"[1001,50]",30,0,
800,0,8,40,0,"[1003,20]",7,"[92020,1]",30,0,
801,1,8,40,0,"[1002,100]",0,"[1002,300]",30,1,
802,2,8,56,0,"[1003,40]",1,[1],30,1,
803,3,8,56,0,"[1001,5]",0,"[1002,300]",30,1,
804,4,8,80,0,"[2007,5]",0,"[15000,20]",30,0,
805,5,8,80,0,"[1002,200]",2,[10],30,1,
806,6,8,80,0,"[13001,5]",0,"[1001,20]",30,0,
807,7,8,80,0,"[15000,5]",0,"[1002,500]",30,0,
808,8,8,80,0,"[1002,300]",0,"[2007,20]",30,0,
809,9,8,96,0,"[2002,10]",0,"[11001,1]",30,0,
810,10,8,96,0,"[1003,60]",3,[1],30,0,
811,11,8,96,0,"[1001,10]",0,"[1001,30]",30,0,
812,12,8,120,0,"[1003,80]",0,"[1003,300]",30,0,
813,13,8,120,0,"[1002,400]",0,"[1002,700]",30,0,
814,14,8,160,0,"[2100,5]",0,"[2100,10]",30,0,
815,15,8,160,0,"[11001,1]",6,[24024],30,1,
816,16,8,160,0,"[2007,10]",0,"[2008,15]",30,0,
817,17,8,160,0,"[16000,5]",0,"[16000,25]",30,0,
818,18,8,160,0,"[2002,5]",0,"[2002,30]",30,0,
819,19,8,320,0,"[1002,500]",0,"[1002,1000]",30,0,
820,20,8,320,0,"[1003,100]",0,"[1003,300]",30,1,
821,21,8,320,0,"[2005,5]",0,"[2005,20]",30,0,
822,22,8,480,0,"[1003,120]",0,"[25000,4]",30,0,
823,23,8,480,0,"[11001,2]",4,[27219],30,1,
824,24,8,640,0,"[1002,600]",0,"[1002,1300]",30,0,
825,25,8,960,0,"[25000,1]",0,"[11001,2]",30,0,
826,26,8,-1,0,"[1001,20]",0,"[1001,50]",30,0,
827,999,8,-1,0,[],5,[80],30,0,
900,0,9,40,0,"[1003,20]",7,"[92021,1]",30,0,
901,1,9,40,0,"[1002,100]",0,"[1002,300]",30,1,
902,2,9,56,0,"[1003,40]",1,[1],30,1,
903,3,9,56,0,"[1001,5]",0,"[1002,300]",30,1,
904,4,9,80,0,"[2007,5]",0,"[15000,20]",30,0,
905,5,9,80,0,"[1002,200]",2,[10],30,1,
906,6,9,80,0,"[13001,5]",0,"[1001,20]",30,0,
907,7,9,80,0,"[15000,5]",0,"[1002,500]",30,0,
908,8,9,80,0,"[1002,300]",0,"[2007,20]",30,0,
909,9,9,96,0,"[2002,10]",0,"[11001,1]",30,0,
910,10,9,96,0,"[1003,60]",3,[1],30,0,
911,11,9,96,0,"[1001,10]",0,"[1001,30]",30,0,
912,12,9,120,0,"[1003,80]",0,"[1003,300]",30,0,
913,13,9,120,0,"[1002,400]",0,"[1002,700]",30,0,
914,14,9,160,0,"[2100,5]",0,"[2100,10]",30,0,
915,15,9,160,0,"[11001,1]",6,[24025],30,1,
916,16,9,160,0,"[2007,10]",0,"[2008,15]",30,0,
917,17,9,160,0,"[16000,5]",0,"[16000,25]",30,0,
918,18,9,160,0,"[2002,5]",0,"[2002,30]",30,0,
919,19,9,320,0,"[1002,500]",0,"[1002,1000]",30,0,
920,20,9,320,0,"[1003,100]",0,"[1003,300]",30,1,
921,21,9,320,0,"[2005,5]",0,"[2005,20]",30,0,
922,22,9,480,0,"[1003,120]",0,"[42000,4]",30,0,
923,23,9,480,0,"[11001,2]",4,[27220],30,1,
924,24,9,640,0,"[1002,600]",0,"[1002,1300]",30,0,
925,25,9,960,0,"[42000,1]",0,"[11001,2]",30,0,
926,26,9,-1,0,"[1001,20]",0,"[1001,50]",30,0,
927,999,9,-1,0,[],5,[80],30,0,
1000,0,10,40,0,"[1003,20]",7,"[27751,1]",30,0,
1001,1,10,40,0,"[1002,100]",0,"[1002,300]",30,1,
1002,2,10,56,0,"[1003,40]",1,[1],30,1,
1003,3,10,56,0,"[1001,5]",0,"[1002,300]",30,1,
1004,4,10,80,0,"[2007,5]",0,"[15000,20]",30,0,
1005,5,10,80,0,"[1002,200]",2,[10],30,1,
1006,6,10,80,0,"[13001,5]",0,"[1001,20]",30,0,
1007,7,10,80,0,"[15000,5]",0,"[1002,500]",30,0,
1008,8,10,80,0,"[1002,300]",0,"[2007,20]",30,0,
1009,9,10,96,0,"[2002,10]",0,"[11001,1]",30,0,
1010,10,10,96,0,"[1003,60]",3,[1],30,0,
1011,11,10,96,0,"[1001,10]",0,"[1001,30]",30,0,
1012,12,10,120,0,"[1003,80]",0,"[1003,300]",30,0,
1013,13,10,120,0,"[1002,400]",0,"[1002,700]",30,0,
1014,14,10,160,0,"[2100,5]",0,"[2100,10]",30,0,
1015,15,10,160,0,"[11001,1]",6,[24026],30,1,
1016,16,10,160,0,"[2007,10]",0,"[2008,15]",30,0,
1017,17,10,160,0,"[16000,5]",0,"[16000,25]",30,0,
1018,18,10,160,0,"[2002,5]",0,"[2002,30]",30,0,
1019,19,10,320,0,"[1002,500]",0,"[1002,1000]",30,0,
1020,20,10,320,0,"[1003,100]",0,"[1003,300]",30,1,
1021,21,10,320,0,"[2005,5]",0,"[2005,20]",30,0,
1022,22,10,480,0,"[1003,120]",0,"[42000,4]",30,0,
1023,23,10,480,0,"[11001,2]",4,[27221],30,1,
1024,24,10,640,0,"[1002,600]",0,"[1002,1300]",30,0,
1025,25,10,960,0,"[42000,1]",0,"[11001,2]",30,0,
1026,26,10,-1,0,"[1001,20]",0,"[1001,50]",30,0,
1027,999,10,-1,0,[],5,[80],30,0,
1100,0,11,40,0,"[1003,20]",7,"[27752,1]",30,0,
1101,1,11,40,0,"[1002,100]",0,"[1002,300]",30,1,
1102,2,11,56,0,"[1003,40]",1,[1],30,1,
1103,3,11,56,0,"[1001,5]",0,"[1002,300]",30,1,
1104,4,11,80,0,"[2007,5]",0,"[15000,20]",30,0,
1105,5,11,80,0,"[1002,200]",2,[10],30,1,
1106,6,11,80,0,"[13001,5]",0,"[1001,20]",30,0,
1107,7,11,80,0,"[15000,5]",0,"[1002,500]",30,0,
1108,8,11,80,0,"[1002,300]",0,"[2007,20]",30,0,
1109,9,11,96,0,"[2002,10]",0,"[11001,1]",30,0,
1110,10,11,96,0,"[1003,60]",3,[1],30,0,
1111,11,11,96,0,"[1001,10]",0,"[1001,30]",30,0,
1112,12,11,120,0,"[1003,80]",0,"[1003,300]",30,0,
1113,13,11,120,0,"[1002,400]",0,"[1002,700]",30,0,
1114,14,11,160,0,"[2100,5]",0,"[2100,10]",30,0,
1115,15,11,160,0,"[11001,1]",6,[24027],30,1,
1116,16,11,160,0,"[2007,10]",0,"[2008,15]",30,0,
1117,17,11,160,0,"[16000,5]",0,"[16000,25]",30,0,
1118,18,11,160,0,"[2002,5]",0,"[2002,30]",30,0,
1119,19,11,320,0,"[1002,500]",0,"[1002,1000]",30,0,
1120,20,11,320,0,"[1003,100]",0,"[1003,300]",30,1,
1121,21,11,320,0,"[2005,5]",0,"[2005,20]",30,0,
1122,22,11,480,0,"[1003,120]",0,"[42000,4]",30,0,
1123,23,11,480,0,"[11001,2]",4,[27222],30,1,
1124,24,11,640,0,"[1002,600]",0,"[1002,1300]",30,0,
1125,25,11,960,0,"[42000,1]",0,"[11001,2]",30,0,
1126,26,11,-1,0,"[1001,20]",0,"[1001,50]",30,0,
1127,999,11,-1,0,[],5,[80],30,0,
1200,0,12,40,0,"[1003,20]",7,"[27755,1]",30,0,
1201,1,12,40,0,"[1002,100]",0,"[1002,300]",30,1,
1202,2,12,56,0,"[1003,40]",1,[1],30,1,
1203,3,12,56,0,"[1001,5]",0,"[1002,300]",30,1,
1204,4,12,80,0,"[2007,5]",0,"[15000,20]",30,0,
1205,5,12,80,0,"[1002,200]",2,[10],30,1,
1206,6,12,80,0,"[13001,5]",0,"[1001,20]",30,0,
1207,7,12,80,0,"[15000,5]",0,"[1002,500]",30,0,
1208,8,12,80,0,"[1002,300]",0,"[2007,20]",30,0,
1209,9,12,96,0,"[2002,10]",0,"[11001,1]",30,0,
1210,10,12,96,0,"[1003,60]",3,[1],30,0,
1211,11,12,96,0,"[1001,10]",0,"[1001,30]",30,0,
1212,12,12,120,0,"[1003,80]",0,"[1003,300]",30,0,
1213,13,12,120,0,"[1002,400]",0,"[1002,700]",30,0,
1214,14,12,160,0,"[2100,5]",0,"[2100,10]",30,0,
1215,15,12,160,0,"[11001,1]",6,[24029],30,1,
1216,16,12,160,0,"[2007,10]",0,"[2008,15]",30,0,
1217,17,12,160,0,"[16000,5]",0,"[16000,25]",30,0,
1218,18,12,160,0,"[2002,5]",0,"[2002,30]",30,0,
1219,19,12,320,0,"[1002,500]",0,"[1002,1000]",30,0,
1220,20,12,320,0,"[1003,100]",0,"[1003,300]",30,1,
1221,21,12,320,0,"[2005,5]",0,"[2005,20]",30,0,
1222,22,12,480,0,"[1003,120]",0,"[42000,4]",30,0,
1223,23,12,480,0,"[11001,2]",4,[27223],30,1,
1224,24,12,640,0,"[1002,600]",0,"[1002,1300]",30,0,
1225,25,12,960,0,"[42000,1]",0,"[11001,2]",30,0,
1226,26,12,-1,0,"[1001,20]",0,"[1001,50]",30,0,
1227,999,12,-1,0,[],5,[80],30,0,
1300,0,13,40,0,"[1003,20]",7,"[27758,1]",30,0,
1301,1,13,40,0,"[1002,100]",0,"[1002,300]",30,1,
1302,2,13,56,0,"[1003,40]",1,[1],30,1,
1303,3,13,56,0,"[1001,5]",0,"[1002,300]",30,1,
1304,4,13,80,0,"[2007,5]",0,"[15000,20]",30,0,
1305,5,13,80,0,"[1002,200]",2,[10],30,1,
1306,6,13,80,0,"[13001,5]",0,"[1001,20]",30,0,
1307,7,13,80,0,"[15000,5]",0,"[1002,500]",30,0,
1308,8,13,80,0,"[1002,300]",0,"[2007,20]",30,0,
1309,9,13,96,0,"[2002,10]",0,"[11001,1]",30,0,
1310,10,13,96,0,"[1003,60]",3,[1],30,0,
1311,11,13,96,0,"[1001,10]",0,"[1001,30]",30,0,
1312,12,13,120,0,"[1003,80]",0,"[1003,300]",30,0,
1313,13,13,120,0,"[1002,400]",0,"[1002,700]",30,0,
1314,14,13,160,0,"[2100,5]",0,"[2100,10]",30,0,
1315,15,13,160,0,"[11001,1]",6,[24031],30,1,
1316,16,13,160,0,"[2007,10]",0,"[2008,15]",30,0,
1317,17,13,160,0,"[16000,5]",0,"[16000,25]",30,0,
1318,18,13,160,0,"[2002,5]",0,"[2002,30]",30,0,
1319,19,13,320,0,"[1002,500]",0,"[1002,1000]",30,0,
1320,20,13,320,0,"[1003,100]",0,"[1003,300]",30,1,
1321,21,13,320,0,"[2005,5]",0,"[2005,20]",30,0,
1322,22,13,480,0,"[1003,120]",0,"[42000,4]",30,0,
1323,23,13,480,0,"[11001,2]",4,[27225],30,1,
1324,24,13,640,0,"[1002,600]",0,"[1002,1300]",30,0,
1325,25,13,960,0,"[42000,1]",0,"[11001,2]",30,0,
1326,26,13,-1,0,"[1001,20]",0,"[1001,50]",30,0,
1327,999,13,-1,0,[],5,[80],30,0,
1400,0,14,40,0,"[1003,10]",7,"[92022,1]",30,0,
1401,1,14,40,0,"[60001,1]",0,"[1003,50]",30,1,
1402,2,14,40,0,"[1002,200]",1,[1],30,0,
1403,3,14,40,0,"[1003,15]",0,"[1003,50]",30,1,
1404,4,14,50,0,"[2006,5]",0,"[15000,20]",30,1,
1405,5,14,50,0,"[1002,200]",2,[10],30,0,
1406,6,14,50,0,"[1003,15]",0,"[1003,50]",30,1,
1407,7,14,50,0,"[1002,200]",0,"[1002,1000]",30,1,
1408,8,14,60,0,"[2007,20]",0,"[2008,20]",30,1,
1409,9,14,60,0,"[1003,30]",0,"[11001,1]",30,1,
1410,10,14,60,0,"[1002,500]",3,[1],30,0,
1411,11,14,60,0,"[1001,10]",0,"[1001,50]",30,1,
1412,12,14,60,0,"[1003,50]",0,"[1003,200]",30,1,
1413,13,14,80,0,"[1002,500]",0,"[1002,2000]",30,1,
1414,14,14,80,0,"[2100,5]",0,"[2100,10]",30,1,
1415,15,14,80,0,"[1002,500]",6,[24032],30,0,
1416,16,14,80,0,"[1003,50]",0,"[1003,200]",30,1,
1417,17,14,80,0,"[16000,5]",0,"[16000,25]",30,1,
1418,18,14,100,0,"[1001,10]",0,"[1001,50]",30,1,
1419,19,14,100,0,"[1002,500]",0,"[1002,2000]",30,1,
1420,20,14,100,0,"[1003,50]",0,"[1003,200]",30,1,
1421,21,14,100,0,"[2005,5]",0,"[2005,20]",30,1,
1422,22,14,120,0,"[42000,1]",0,"[42000,5]",30,1,
1423,23,14,120,0,"[1002,500]",4,[27226],30,0,
1424,24,14,120,0,"[1003,55]",0,"[11001,2]",30,1,
1425,25,14,200,0,"[1001,20]",0,"[1001,100]",30,1,
1426,26,14,-1,0,"[1003,100]",0,"[1003,600]",30,1,
1427,999,14,-1,0,[],5,[80],30,0,
1500,0,15,40,0,"[1003,10]",7,"[92023,1]",30,0,
1501,1,15,40,0,"[1003,15]",0,"[1003,50]",30,1,
1502,2,15,40,0,"[1002,200]",1,[1],30,0,
1503,3,15,40,0,"[1003,15]",0,"[1003,50]",30,1,
1504,4,15,50,0,"[2006,5]",0,"[15000,20]",30,1,
1505,5,15,50,0,"[1002,200]",2,[10],30,0,
1506,6,15,50,0,"[1003,15]",0,"[1003,50]",30,1,
1507,7,15,50,0,"[1002,200]",0,"[1002,1000]",30,1,
1508,8,15,60,0,"[2007,20]",0,"[2008,20]",30,1,
1509,9,15,60,0,"[1003,30]",0,"[11001,1]",30,1,
1510,10,15,60,0,"[1002,500]",3,[1],30,0,
1511,11,15,60,0,"[1001,10]",0,"[1001,50]",30,1,
1512,12,15,60,0,"[1003,50]",0,"[1003,200]",30,1,
1513,13,15,80,0,"[1002,500]",0,"[1002,2000]",30,1,
1514,14,15,80,0,"[2100,5]",0,"[2100,10]",30,1,
1515,15,15,80,0,"[1002,500]",6,[24033],30,0,
1516,16,15,80,0,"[1003,50]",0,"[1003,200]",30,1,
1517,17,15,80,0,"[16000,5]",0,"[16000,25]",30,1,
1518,18,15,100,0,"[1001,10]",0,"[1001,50]",30,1,
1519,19,15,100,0,"[1002,500]",0,"[1002,2000]",30,1,
1520,20,15,100,0,"[1003,50]",0,"[1003,200]",30,1,
1521,21,15,100,0,"[2005,5]",0,"[2005,20]",30,1,
1522,22,15,120,0,"[42000,1]",0,"[42000,5]",30,1,
1523,23,15,120,0,"[1002,500]",4,[27227],30,0,
1524,24,15,120,0,"[1003,55]",0,"[11001,2]",30,1,
1525,25,15,200,0,"[1001,20]",0,"[1001,100]",30,1,
1526,26,15,-1,0,"[1003,100]",0,"[1003,600]",30,1,
1527,999,15,-1,0,[],5,[80],30,0,
1600,0,16,40,0,"[1003,10]",7,"[92024,1]",30,0,
1601,1,16,40,0,"[1003,15]",0,"[1003,50]",30,1,
1602,2,16,40,0,"[1002,200]",1,[1],30,0,
1603,3,16,40,0,"[1003,15]",0,"[1003,50]",30,1,
1604,4,16,50,0,"[2006,5]",0,"[15000,20]",30,1,
1605,5,16,50,0,"[1002,200]",2,[10],30,0,
1606,6,16,50,0,"[1003,15]",0,"[1003,50]",30,1,
1607,7,16,50,0,"[1002,200]",0,"[1002,1000]",30,1,
1608,8,16,60,0,"[2007,20]",0,"[2008,20]",30,1,
1609,9,16,60,0,"[1003,30]",0,"[11001,1]",30,1,
1610,10,16,60,0,"[1002,500]",3,[1],30,0,
1611,11,16,60,0,"[1001,10]",0,"[1001,50]",30,1,
1612,12,16,60,0,"[1003,50]",0,"[1003,200]",30,1,
1613,13,16,80,0,"[1002,500]",0,"[1002,2000]",30,1,
1614,14,16,80,0,"[2100,5]",0,"[2100,10]",30,1,
1615,15,16,80,0,"[1002,500]",6,[24034],30,0,
