id,MissionType,taskNeed,reward,slot,unlockLevel,unlockTask,smallBpId
3116,22,1600,"[[50001,10]]",1,6,,3
3201,3,3,"[[50001,10]]",2,6,,3
3202,3,6,"[[50001,10]]",2,6,,3
3203,3,9,"[[50001,10]]",2,6,,3
3204,3,12,"[[50001,10]]",2,6,,3
3205,3,15,"[[50001,10]]",2,6,,3
3206,3,18,"[[50001,10]]",2,6,,3
3207,3,21,"[[50001,10]]",2,6,,3
3208,3,24,"[[50001,10]]",2,6,,3
3209,3,27,"[[50001,10]]",2,6,,3
3210,3,30,"[[50001,10]]",2,6,,3
3301,59,10,"[[50001,10]]",3,6,,3
3302,59,30,"[[50001,10]]",3,6,,3
3303,59,50,"[[50001,10]]",3,6,,3
3304,59,70,"[[50001,10]]",3,6,,3
3305,59,90,"[[50001,10]]",3,6,,3
3306,59,110,"[[50001,10]]",3,6,,3
3307,59,130,"[[50001,10]]",3,6,,3
3308,59,150,"[[50001,10]]",3,6,,3
3401,58,5,"[[50001,10]]",4,6,,3
3402,58,10,"[[50001,10]]",4,6,,3
3403,58,15,"[[50001,10]]",4,6,,3
3404,58,20,"[[50001,10]]",4,6,,3
3405,58,25,"[[50001,10]]",4,6,,3
3406,58,30,"[[50001,10]]",4,6,,3
3501,60,10,"[[50001,10]]",5,6,,3
3502,60,20,"[[50001,10]]",5,6,,3
3503,60,30,"[[50001,10]]",5,6,,3
3504,60,40,"[[50001,10]]",5,6,,3
3505,60,50,"[[50001,10]]",5,6,,3
3506,60,60,"[[50001,10]]",5,6,,3
3601,24,1,"[[50001,20]]",6,6,,3
3602,24,2,"[[50001,20]]",6,6,,3
3603,24,3,"[[50001,20]]",6,6,,3
3604,24,4,"[[50001,20]]",6,6,,3
3605,24,5,"[[50001,20]]",6,6,,3
4101,22,100,"[[50001,10]]",1,6,,4
4102,22,200,"[[50001,10]]",1,6,,4
4103,22,300,"[[50001,10]]",1,6,,4
4104,22,400,"[[50001,10]]",1,6,,4
4105,22,500,"[[50001,10]]",1,6,,4
4106,22,600,"[[50001,10]]",1,6,,4
4107,22,700,"[[50001,10]]",1,6,,4
4108,22,800,"[[50001,10]]",1,6,,4
4109,22,900,"[[50001,10]]",1,6,,4
4110,22,1000,"[[50001,10]]",1,6,,4
4111,22,1100,"[[50001,10]]",1,6,,4
4112,22,1200,"[[50001,10]]",1,6,,4
4113,22,1300,"[[50001,10]]",1,6,,4
4114,22,1400,"[[50001,10]]",1,6,,4
4115,22,1500,"[[50001,10]]",1,6,,4
4116,22,1600,"[[50001,10]]",1,6,,4
4201,3,3,"[[50001,10]]",2,6,,4
4202,3,6,"[[50001,10]]",2,6,,4
4203,3,9,"[[50001,10]]",2,6,,4
4204,3,12,"[[50001,10]]",2,6,,4
4205,3,15,"[[50001,10]]",2,6,,4
4206,3,18,"[[50001,10]]",2,6,,4
4207,3,21,"[[50001,10]]",2,6,,4
4208,3,24,"[[50001,10]]",2,6,,4
4209,3,27,"[[50001,10]]",2,6,,4
4210,3,30,"[[50001,10]]",2,6,,4
4301,59,10,"[[50001,10]]",3,6,,4
4302,59,30,"[[50001,10]]",3,6,,4
4303,59,50,"[[50001,10]]",3,6,,4
4304,59,70,"[[50001,10]]",3,6,,4
4305,59,90,"[[50001,10]]",3,6,,4
4306,59,110,"[[50001,10]]",3,6,,4
4307,59,130,"[[50001,10]]",3,6,,4
4308,59,150,"[[50001,10]]",3,6,,4
4401,58,5,"[[50001,10]]",4,6,,4
4402,58,10,"[[50001,10]]",4,6,,4
4403,58,15,"[[50001,10]]",4,6,,4
4404,58,20,"[[50001,10]]",4,6,,4
4405,58,25,"[[50001,10]]",4,6,,4
4406,58,30,"[[50001,10]]",4,6,,4
4501,60,10,"[[50001,10]]",5,6,,4
4502,60,20,"[[50001,10]]",5,6,,4
4503,60,30,"[[50001,10]]",5,6,,4
4504,60,40,"[[50001,10]]",5,6,,4
4505,60,50,"[[50001,10]]",5,6,,4
4506,60,60,"[[50001,10]]",5,6,,4
4601,24,1,"[[50001,20]]",6,6,,4
4602,24,2,"[[50001,20]]",6,6,,4
4603,24,3,"[[50001,20]]",6,6,,4
4604,24,4,"[[50001,20]]",6,6,,4
4605,24,5,"[[50001,20]]",6,6,,4
5101,22,100,"[[50001,10]]",1,6,,5
5102,22,200,"[[50001,10]]",1,6,,5
5103,22,300,"[[50001,10]]",1,6,,5
5104,22,400,"[[50001,10]]",1,6,,5
5105,22,500,"[[50001,10]]",1,6,,5
5106,22,600,"[[50001,10]]",1,6,,5
5107,22,700,"[[50001,10]]",1,6,,5
5108,22,800,"[[50001,10]]",1,6,,5
5109,22,900,"[[50001,10]]",1,6,,5
5110,22,1000,"[[50001,10]]",1,6,,5
5111,22,1100,"[[50001,10]]",1,6,,5
5112,22,1200,"[[50001,10]]",1,6,,5
5113,22,1300,"[[50001,10]]",1,6,,5
5114,22,1400,"[[50001,10]]",1,6,,5
5115,22,1500,"[[50001,10]]",1,6,,5
5116,22,1600,"[[50001,10]]",1,6,,5
5201,3,3,"[[50001,10]]",2,6,,5
5202,3,6,"[[50001,10]]",2,6,,5
5203,3,9,"[[50001,10]]",2,6,,5
5204,3,12,"[[50001,10]]",2,6,,5
5205,3,15,"[[50001,10]]",2,6,,5
5206,3,18,"[[50001,10]]",2,6,,5
5207,3,21,"[[50001,10]]",2,6,,5
5208,3,24,"[[50001,10]]",2,6,,5
5209,3,27,"[[50001,10]]",2,6,,5
5210,3,30,"[[50001,10]]",2,6,,5
5301,59,10,"[[50001,10]]",3,6,,5
5302,59,30,"[[50001,10]]",3,6,,5
5303,59,50,"[[50001,10]]",3,6,,5
5304,59,70,"[[50001,10]]",3,6,,5
5305,59,90,"[[50001,10]]",3,6,,5
5306,59,110,"[[50001,10]]",3,6,,5
5307,59,130,"[[50001,10]]",3,6,,5
5308,59,150,"[[50001,10]]",3,6,,5
5401,58,5,"[[50001,10]]",4,6,,5
5402,58,10,"[[50001,10]]",4,6,,5
5403,58,15,"[[50001,10]]",4,6,,5
5404,58,20,"[[50001,10]]",4,6,,5
5405,58,25,"[[50001,10]]",4,6,,5
5406,58,30,"[[50001,10]]",4,6,,5
5501,60,10,"[[50001,10]]",5,6,,5
5502,60,20,"[[50001,10]]",5,6,,5
5503,60,30,"[[50001,10]]",5,6,,5
5504,60,40,"[[50001,10]]",5,6,,5
5505,60,50,"[[50001,10]]",5,6,,5
5506,60,60,"[[50001,10]]",5,6,,5
5601,24,1,"[[50001,20]]",6,6,,5
5602,24,2,"[[50001,20]]",6,6,,5
5603,24,3,"[[50001,20]]",6,6,,5
5604,24,4,"[[50001,20]]",6,6,,5
5605,24,5,"[[50001,20]]",6,6,,5
