id,itemID1,weight1,numMin1,numMax1,level1,itemID2,weight2,numMin2,numMax2,level2,itemID3,weight3,numMin3,numMax3,level3,itemID4,weight4,numMin4,numMax4,level4,itemID5,weight5,numMin5,numMax5,level5,itemID6,weight6,numMin6,numMax6,level6,itemID7,weight7,numMin7,numMax7,level7,itemID8,weight8,numMin8,numMax8,level8,itemID9,weight9,numMin9,numMax9,level9,itemID10,weight10,numMin10,numMax10,level10,
4204,30000,100,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4205,16000,100,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4206,1003,100,100,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4207,30000,100,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4208,1001,100,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4209,1002,100,100,100,1,1003,100,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4210,1002,100,200,200,1,1003,100,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4211,1002,100,500,500,1,1003,100,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4212,1002,100,1000,1000,1,1003,100,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,1003,100,3,5,1,1002,100,30,50,1,15000,100,1,1,1,16000,100,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,1003,100,3,5,1,1002,100,30,50,1,15000,100,1,1,1,16000,100,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,30000,100,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,22000,100,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6003,1003,100,100,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,42000,100,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,11001,100,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,15000,100,1,1,1,30000,50,1,1,1,42000,10,1,1,1,16000,100,1,1,1,7001,100,1,1,1,2006,180,2,10,1,2007,180,1,8,1,,,,,,,,,,,,,,,,
8001,1002,25,100,200,1,1002,35,200,300,1,1002,20,300,400,1,1002,10,400,500,1,1002,5,500,600,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9000,1003,15,10,10,1,1003,3,20,20,1,1002,10,200,200,1,1002,20,50,50,1,1002,15,100,100,1,2003,10,3,3,1,2005,15,3,3,1,16000,5,1,1,1,30000,15,1,1,1,1001,2,1,1,1,
10000,202001,10,1,1,1,206001,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000,1001,50,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11001,1002,50,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12001,1002,100,100,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12002,1003,100,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12003,42000,100,1,1,1,16000,100,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12004,30000,100,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12005,1001,100,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13001,1003,25,500,500,1,1003,15,1000,1000,1,1003,10,2000,2000,1,1003,5,10000,10000,1,1002,15,10000,10000,1,1002,30,5000,5000,1,,,,,,,,,,,,,,,,,,,,,
13002,1003,15,10,10,1,1003,3,20,20,1,1002,10,200,200,1,1002,20,50,50,1,1002,15,100,100,1,2003,10,3,3,1,,,,,,,,,,,,,,,,,,,,,
