id,type,dragonId,breedDragonId,productLevel,productNeedItem,orderType,productTime,timeValue,sellCoin,price,expValue,orderNumLimit,orderNormalWeight,orderDifficultWeight,timeOrderItem,timeOrderNumLimit,limittime,canUse,funcType,funcParam,itemLimit,sceneId,itemConvert,
4017,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4018,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4019,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4020,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4021,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4022,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4023,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4024,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4025,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4026,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4027,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4028,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4029,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4030,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4031,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4032,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4033,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4034,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4035,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4036,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4037,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4038,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4039,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4040,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4041,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4042,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4043,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4044,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4045,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4046,3,0,,0,"[[4003,3]]",0,60,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4047,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4080,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4081,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4082,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4100,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,1,[],
4101,10,0,,0,"[[4100,1]]",0,5,0,10,0,0,0,0,0,0,[],-1,0,1,[0],-1,,[],
4102,4,0,,0,[],0,0,0,10,0,0,0,0,0,0,[],-1,1,0,[],9999,1,[],
4103,3,0,,0,"[[4102,2]]",0,2,0,10,0,0,0,0,0,0,[],-1,1,0,[],9999,1,[],
4104,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,1,[],
4110,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,2,[],
4111,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,2,[],
4112,3,0,,0,"[[4111,2]]",0,60,0,10,0,0,0,0,0,0,[],-1,1,0,[],9999,2,[],
4113,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,2,[],
4114,21,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,2,[],
4120,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4121,4,0,,0,[],0,0,0,10,0,0,0,0,0,0,[],-1,1,0,[],9999,,[],
4122,4,0,,0,[],0,0,0,10,0,0,0,0,0,0,[],-1,1,0,[],9999,3,[],
4130,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,4,[],
4131,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,4,[],
4132,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,4,[],
4133,3,0,,0,"[[4132,3]]",0,120,0,10,0,0,0,0,0,0,[],-1,1,0,[],9999,4,[],
4134,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,4,[],
4135,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,4,[],
4136,4,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,4,[],
4137,21,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,4,[],
4138,21,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,4,[],
4139,21,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,4,[],
4140,21,0,,0,[],0,0,0,0,0,0,0,0,0,0,[],-1,1,0,[],9999,4,[],
4141,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4147,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4148,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4149,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4150,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4151,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4152,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4153,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4154,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4155,21,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4156,3,0,,0,"[[4149,2],[4150,2]]",0,180,0,10,0,0,0,0,0,0,[],-1,1,0,[],9999,5,[],
4157,3,0,,0,"[[4151,2],[4152,1]]",0,180,0,10,0,0,0,0,0,0,[],-1,1,0,[],9999,5,[],
4158,21,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4159,21,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4160,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4164,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4176,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4163,21,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,5,[],
4165,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,6,[],
4166,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,6,[],
4167,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,6,[],
4168,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,6,[],
4169,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,6,[],
4170,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,6,[],
4171,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,6,[],
4172,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,6,[],
4173,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,6,[],
4174,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,6,[],
4175,3,0,,0,"[[4167,2],[4168,3]]",0,180,0,10,0,0,0,0,0,0,[],-1,1,0,[],9999,6,[],
4178,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,7,[],
4179,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,7,[],
4180,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,7,[],
4181,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,7,[],
4182,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,7,[],
4183,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,7,[],
4190,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,8,[],
4191,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,8,[],
4192,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,8,[],
4193,4,0,,0,[],0,0,0,0,0,10,0,0,0,0,[],-1,1,0,[],9999,8,[],
