id,activityID,cardStar,cardAccumulate,cardBookWeight,
1102,14002,1,2,"[[21,9999],[22,1]]",
1103,14002,1,4,"[[21,50],[22,40],[23,10],[24,1]]",
1104,14002,1,7,"[[21,50],[22,40],[23,10],[24,1]]",
1105,14002,1,11,"[[21,50],[22,40],[23,10],[24,1]]",
1106,14002,1,16,"[[21,50],[22,40],[23,10],[24,1]]",
1107,14002,1,21,"[[21,50],[22,40],[23,10],[24,1]]",
1108,14002,1,27,"[[21,50],[22,40],[23,10],[24,1]]",
1109,14002,1,33,"[[21,50],[22,40],[23,10],[24,1]]",
1110,14002,1,41,"[[21,50],[22,40],[23,10],[24,1]]",
1111,14002,1,49,"[[21,50],[22,40],[23,10],[24,1]]",
1112,14002,1,59,"[[21,50],[22,40],[23,10],[24,1]]",
1113,14002,1,69,"[[21,50],[22,30],[23,10],[24,10]]",
1114,14002,1,81,"[[21,30],[22,30],[23,10],[24,10],[25,10],[26,10]]",
1115,14002,1,93,"[[21,30],[22,30],[23,10],[24,10],[25,10],[26,10]]",
1116,14002,1,103,"[[21,30],[22,30],[23,10],[24,10],[25,10],[26,10]]",
1117,14002,1,115,"[[21,30],[22,30],[23,10],[24,10],[25,10],[26,10]]",
1118,14002,1,130,"[[21,30],[22,30],[23,10],[24,10],[25,10],[26,10]]",
1200,14002,2,0,"[[21,50],[22,46],[23,1],[24,1],[25,1],[26,1]]",
1201,14002,2,1,"[[21,50],[22,46],[23,1],[24,1],[25,1],[26,1]]",
1202,14002,2,3,"[[21,50],[22,46],[23,1],[24,1],[25,1],[26,1]]",
1203,14002,2,6,"[[21,50],[22,46],[23,1],[24,1],[25,1],[26,1]]",
1204,14002,2,9,"[[21,50],[22,46],[23,1],[24,1],[25,1],[26,1]]",
1205,14002,2,14,"[[21,50],[22,46],[23,1],[24,1],[25,1],[26,1]]",
1206,14002,2,19,"[[21,10],[22,10],[23,10],[24,10],[25,10],[26,10]]",
1207,14002,2,24,"[[21,10],[22,10],[23,10],[24,10],[25,10],[26,10]]",
1208,14002,2,30,"[[21,10],[22,10],[23,10],[24,10],[25,10],[26,10]]",
1209,14002,2,36,"[[21,10],[22,10],[23,10],[24,10],[25,10],[26,10]]",
1210,14002,2,42,"[[21,10],[22,10],[23,10],[24,10],[25,10],[26,10]]",
1211,14002,2,49,"[[21,10],[22,10],[23,10],[24,10],[25,10],[26,10],[27,10],[28,10]]",
1212,14002,2,56,"[[21,10],[22,10],[23,10],[24,10],[25,10],[26,10],[27,10],[28,10]]",
1213,14002,2,64,"[[21,10],[22,10],[23,10],[24,10],[25,10],[26,10],[27,10],[28,10]]",
1214,14002,2,72,"[[21,10],[22,10],[23,10],[24,10],[25,10],[26,10],[27,10],[28,10]]",
1215,14002,2,80,"[[21,10],[22,10],[23,10],[24,10],[25,10],[26,10],[27,10],[28,10]]",
1300,14002,3,0,"[[22,100],[23,100],[24,1],[25,1],[26,1],[27,1]]",
1301,14002,3,1,"[[22,100],[23,100],[24,1],[25,1],[26,1],[27,1]]",
1302,14002,3,2,"[[22,100],[23,100],[24,1],[25,1],[26,1],[27,1]]",
1303,14002,3,5,"[[22,100],[23,100],[24,1],[25,1],[26,1],[27,1]]",
1304,14002,3,8,"[[22,100],[23,100],[24,1],[25,1],[26,1],[27,1]]",
1305,14002,3,12,"[[22,100],[23,100],[24,1],[25,1],[26,1],[27,1]]",
1306,14002,3,16,"[[22,10],[23,10],[24,10],[25,10],[26,10],[27,1]]",
1307,14002,3,20,"[[22,10],[23,10],[24,10],[25,10],[26,10],[27,1]]",
1308,14002,3,24,"[[22,10],[23,10],[24,10],[25,10],[26,10],[27,10]]",
1309,14002,3,29,"[[22,10],[23,10],[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1310,14002,3,34,"[[22,10],[23,10],[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1311,14002,3,39,"[[22,10],[23,10],[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1312,14002,3,44,"[[22,10],[23,10],[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1400,14002,4,0,"[[23,80],[24,10],[25,10],[26,1],[27,1]]",
1401,14002,4,1,"[[23,50],[24,40],[25,10],[26,1],[27,1]]",
1402,14002,4,2,"[[23,50],[24,40],[25,10],[26,10],[27,10]]",
1403,14002,4,4,"[[23,10],[24,10],[25,10],[26,10],[27,10]]",
1404,14002,4,6,"[[23,10],[24,10],[25,10],[26,10],[27,10]]",
1405,14002,4,9,"[[23,10],[24,10],[25,10],[26,10],[27,10]]",
1406,14002,4,12,"[[23,10],[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1407,14002,4,16,"[[23,10],[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1408,14002,4,20,"[[23,10],[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1409,14002,4,24,"[[23,10],[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1410,14002,4,29,"[[23,10],[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1411,14002,4,34,"[[23,10],[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1500,14002,5,0,"[[24,70],[25,10],[26,10],[27,10]]",
1501,14002,5,1,"[[24,40],[25,40],[26,10],[27,10]]",
1502,14002,5,2,"[[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1503,14002,5,3,"[[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1504,14002,5,4,"[[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1505,14002,5,5,"[[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1506,14002,5,7,"[[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1507,14002,5,9,"[[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1508,14002,5,11,"[[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1509,14002,5,13,"[[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1510,14002,5,15,"[[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
1511,14002,5,18,"[[24,10],[25,10],[26,10],[27,10],[28,10],[29,10]]",
2100,14003,1,0,"[[31,9999],[34,1]]",
2101,14003,1,1,"[[31,9999],[32,1]]",
2102,14003,1,2,"[[31,9999],[32,1]]",
2103,14003,1,4,"[[31,50],[32,40],[33,10],[34,1]]",
2104,14003,1,7,"[[31,50],[32,40],[33,10],[34,1]]",
2105,14003,1,11,"[[31,50],[32,40],[33,10],[34,1]]",
2106,14003,1,16,"[[31,50],[32,40],[33,10],[34,1]]",
2107,14003,1,21,"[[31,50],[32,40],[33,10],[34,1]]",
2108,14003,1,27,"[[31,50],[32,40],[33,10],[34,1]]",
2109,14003,1,33,"[[31,50],[32,40],[33,10],[34,1]]",
2110,14003,1,41,"[[31,50],[32,40],[33,10],[34,1]]",
2111,14003,1,49,"[[31,50],[32,40],[33,10],[34,1]]",
2112,14003,1,59,"[[31,50],[32,40],[33,10],[34,1]]",
2113,14003,1,69,"[[31,50],[32,30],[33,10],[34,10]]",
2114,14003,1,81,"[[31,30],[32,30],[33,10],[34,10],[35,10],[36,10]]",
2115,14003,1,93,"[[31,30],[32,30],[33,10],[34,10],[35,10],[36,10]]",
2116,14003,1,103,"[[31,30],[32,30],[33,10],[34,10],[35,10],[36,10]]",
2117,14003,1,115,"[[31,30],[32,30],[33,10],[34,10],[35,10],[36,10]]",
2118,14003,1,130,"[[31,30],[32,30],[33,10],[34,10],[35,10],[36,10]]",
2200,14003,2,0,"[[31,50],[32,46],[33,1],[34,1],[35,1],[36,1]]",
2201,14003,2,1,"[[31,50],[32,46],[33,1],[34,1],[35,1],[36,1]]",
2202,14003,2,3,"[[31,50],[32,46],[33,1],[34,1],[35,1],[36,1]]",
2203,14003,2,6,"[[31,50],[32,46],[33,1],[34,1],[35,1],[36,1]]",
2204,14003,2,9,"[[31,50],[32,46],[33,1],[34,1],[35,1],[36,1]]",
2205,14003,2,14,"[[31,50],[32,46],[33,1],[34,1],[35,1],[36,1]]",
2206,14003,2,19,"[[31,10],[32,10],[33,10],[34,10],[35,10],[36,10]]",
2207,14003,2,24,"[[31,10],[32,10],[33,10],[34,10],[35,10],[36,10]]",
2208,14003,2,30,"[[31,10],[32,10],[33,10],[34,10],[35,10],[36,10]]",
2209,14003,2,36,"[[31,10],[32,10],[33,10],[34,10],[35,10],[36,10]]",
2210,14003,2,42,"[[31,10],[32,10],[33,10],[34,10],[35,10],[36,10]]",
2211,14003,2,49,"[[31,10],[32,10],[33,10],[34,10],[35,10],[36,10],[37,10],[38,10]]",
2212,14003,2,56,"[[31,10],[32,10],[33,10],[34,10],[35,10],[36,10],[37,10],[38,10]]",
2213,14003,2,64,"[[31,10],[32,10],[33,10],[34,10],[35,10],[36,10],[37,10],[38,10]]",
2214,14003,2,72,"[[31,10],[32,10],[33,10],[34,10],[35,10],[36,10],[37,10],[38,10]]",
2215,14003,2,80,"[[31,10],[32,10],[33,10],[34,10],[35,10],[36,10],[37,10],[38,10]]",
2300,14003,3,0,"[[32,100],[33,100],[34,1],[35,1],[36,1],[37,1]]",
2301,14003,3,1,"[[32,100],[33,100],[34,1],[35,1],[36,1],[37,1]]",
2302,14003,3,2,"[[32,100],[33,100],[34,1],[35,1],[36,1],[37,1]]",
2303,14003,3,5,"[[32,100],[33,100],[34,1],[35,1],[36,1],[37,1]]",
2304,14003,3,8,"[[32,100],[33,100],[34,1],[35,1],[36,1],[37,1]]",
2305,14003,3,12,"[[32,100],[33,100],[34,1],[35,1],[36,1],[37,1]]",
2306,14003,3,16,"[[32,10],[33,10],[34,10],[35,10],[36,10],[37,1]]",
2307,14003,3,20,"[[32,10],[33,10],[34,10],[35,10],[36,10],[37,1]]",
2308,14003,3,24,"[[32,10],[33,10],[34,10],[35,10],[36,10],[37,10]]",
2309,14003,3,29,"[[32,10],[33,10],[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2310,14003,3,34,"[[32,10],[33,10],[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2311,14003,3,39,"[[32,10],[33,10],[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2312,14003,3,44,"[[32,10],[33,10],[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2400,14003,4,0,"[[33,80],[34,10],[35,10],[36,1],[37,1]]",
2401,14003,4,1,"[[33,50],[34,40],[35,10],[36,1],[37,1]]",
2402,14003,4,2,"[[33,50],[34,40],[35,10],[36,10],[37,10]]",
2403,14003,4,4,"[[33,10],[34,10],[35,10],[36,10],[37,10]]",
2404,14003,4,6,"[[33,10],[34,10],[35,10],[36,10],[37,10]]",
2405,14003,4,9,"[[33,10],[34,10],[35,10],[36,10],[37,10]]",
2406,14003,4,12,"[[33,10],[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2407,14003,4,16,"[[33,10],[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2408,14003,4,20,"[[33,10],[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2409,14003,4,24,"[[33,10],[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2410,14003,4,29,"[[33,10],[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2411,14003,4,34,"[[33,10],[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2500,14003,5,0,"[[34,70],[35,10],[36,10],[37,10]]",
2501,14003,5,1,"[[34,40],[35,40],[36,10],[37,10]]",
2502,14003,5,2,"[[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2503,14003,5,3,"[[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2504,14003,5,4,"[[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2505,14003,5,5,"[[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2506,14003,5,7,"[[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2507,14003,5,9,"[[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2508,14003,5,11,"[[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2509,14003,5,13,"[[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2510,14003,5,15,"[[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
2511,14003,5,18,"[[34,10],[35,10],[36,10],[37,10],[38,10],[39,10]]",
