id,attribute,partnerEnergy,difficultyRange,reward,nextID,obstacleDurability1,obstacle1Drop,obstacleDurability2,obstacle2Drop,obstacleDurability3,cumulativeRewards
49,4,150,"[138,149]","[[1003,65],[2007,13]]",50,45,"[3,2]",52,"[3,2]",53,[]
50,-1,195,"[177,194]","[[1003,140],[2007,13]]",51,58,"[3,3]",68,"[3,3]",69,"[[1003,100],[2007,30],[1002,20000]]"
51,1,170,"[152,169]","[[1003,70],[2007,15]]",52,51,"[3,3]",59,"[3,3]",60,[]
52,2,170,"[152,169]","[[1003,70],[2007,15]]",53,51,"[3,3]",59,"[3,3]",60,[]
53,3,170,"[152,169]","[[1003,70],[2007,15]]",54,51,"[3,3]",59,"[3,3]",60,[]
54,4,170,"[152,169]","[[1003,70],[2007,15]]",55,51,"[3,3]",59,"[3,3]",60,[]
55,-1,220,"[202,219]","[[1003,150],[2007,15]]",56,66,"[3,3]",77,"[3,3]",77,[]
56,1,190,"[172,189]","[[1003,75],[2007,18]]",57,57,"[3,3]",66,"[3,3]",67,[]
57,2,190,"[172,189]","[[1003,75],[2007,18]]",58,57,"[3,3]",66,"[3,3]",67,[]
58,3,190,"[172,189]","[[1003,75],[2007,18]]",59,57,"[3,3]",66,"[3,3]",67,[]
59,4,190,"[172,189]","[[1003,75],[2007,18]]",60,57,"[3,3]",66,"[3,3]",67,[]
60,-1,245,"[227,244]","[[1003,160],[2007,18]]",61,73,"[3,3]",85,"[3,3]",87,"[[1003,150],[2007,40],[1002,30000]]"
61,1,210,"[192,209]","[[1003,80],[2007,20]]",62,63,"[3,3]",73,"[3,3]",74,[]
62,2,210,"[192,209]","[[1003,80],[2007,20]]",63,63,"[3,3]",73,"[3,3]",74,[]
63,3,210,"[192,209]","[[1003,80],[2007,20]]",64,63,"[3,3]",73,"[3,3]",74,[]
64,4,210,"[192,209]","[[1003,80],[2007,20]]",65,63,"[3,3]",73,"[3,3]",74,[]
65,-1,270,"[246,269]","[[1003,170],[2007,20]]",66,81,"[3,4]",94,"[3,4]",95,[]
66,1,230,"[206,229]","[[1003,85],[2007,23]]",67,69,"[3,4]",80,"[3,4]",81,[]
67,2,230,"[206,229]","[[1003,85],[2007,23]]",68,69,"[3,4]",80,"[3,4]",81,[]
68,3,230,"[206,229]","[[1003,85],[2007,23]]",69,69,"[3,4]",80,"[3,4]",81,[]
69,4,230,"[206,229]","[[1003,85],[2007,23]]",70,69,"[3,4]",80,"[3,4]",81,[]
70,-1,295,"[271,294]","[[1003,180],[2007,23]]",71,88,"[3,4]",103,"[3,4]",104,"[[1003,150],[2007,40],[1002,30000]]"
71,1,250,"[226,249]","[[1003,90],[2007,25]]",72,75,"[3,4]",87,"[3,4]",88,[]
72,2,250,"[226,249]","[[1003,90],[2007,25]]",73,75,"[3,4]",87,"[3,4]",88,[]
73,3,250,"[226,249]","[[1003,90],[2007,25]]",74,75,"[3,4]",87,"[3,4]",88,[]
74,4,250,"[226,249]","[[1003,90],[2007,25]]",75,75,"[3,4]",87,"[3,4]",88,[]
75,-1,320,"[296,319]","[[1003,190],[2007,25]]",76,96,"[3,4]",112,"[3,4]",112,[]
76,1,270,"[246,269]","[[1003,95],[2007,28]]",77,81,"[3,4]",94,"[3,4]",95,[]
77,2,270,"[246,269]","[[1003,95],[2007,28]]",78,81,"[3,4]",94,"[3,4]",95,[]
78,3,270,"[246,269]","[[1003,95],[2007,28]]",79,81,"[3,4]",94,"[3,4]",95,[]
79,4,270,"[246,269]","[[1003,95],[2007,28]]",80,81,"[3,4]",94,"[3,4]",95,[]
80,-1,345,"[321,344]","[[1003,200],[2007,28]]",81,103,"[3,4]",120,"[3,4]",122,"[[1003,150],[2007,40],[1002,40000]]"
81,1,290,"[266,289]","[[1003,100],[2007,30]]",82,87,"[3,4]",101,"[3,4]",102,[]
82,2,290,"[266,289]","[[1003,100],[2007,30]]",83,87,"[3,4]",101,"[3,4]",102,[]
83,3,290,"[266,289]","[[1003,100],[2007,30]]",84,87,"[3,4]",101,"[3,4]",102,[]
84,4,290,"[266,289]","[[1003,100],[2007,30]]",85,87,"[3,4]",101,"[3,4]",102,[]
85,-1,370,"[346,369]","[[1003,210],[2007,30]]",86,111,"[3,4]",129,"[3,4]",130,[]
86,1,310,"[280,309]","[[1003,105],[2007,33]]",87,93,"[3,5]",108,"[3,5]",109,[]
87,2,310,"[280,309]","[[1003,105],[2007,33]]",88,93,"[3,5]",108,"[3,5]",109,[]
88,3,310,"[280,309]","[[1003,105],[2007,33]]",89,93,"[3,5]",108,"[3,5]",109,[]
89,4,310,"[280,309]","[[1003,105],[2007,33]]",90,93,"[3,5]",108,"[3,5]",109,[]
90,-1,395,"[365,394]","[[1003,220],[2007,33]]",91,118,"[3,5]",138,"[3,5]",139,"[[1003,200],[2007,50],[1002,40000]]"
91,1,330,"[300,329]","[[1003,110],[2007,35]]",92,99,"[3,5]",115,"[3,5]",116,[]
92,2,330,"[300,329]","[[1003,110],[2007,35]]",93,99,"[3,5]",115,"[3,5]",116,[]
93,3,330,"[300,329]","[[1003,110],[2007,35]]",94,99,"[3,5]",115,"[3,5]",116,[]
94,4,330,"[300,329]","[[1003,110],[2007,35]]",95,99,"[3,5]",115,"[3,5]",116,[]
95,-1,420,"[390,419]","[[1003,230],[2007,35]]",96,126,"[3,5]",147,"[3,5]",147,[]
96,1,350,"[320,349]","[[1003,115],[2007,38]]",97,105,"[3,5]",122,"[3,5]",123,[]
97,2,350,"[320,349]","[[1003,115],[2007,38]]",98,105,"[3,5]",122,"[3,5]",123,[]
98,3,350,"[320,349]","[[1003,115],[2007,38]]",99,105,"[3,5]",122,"[3,5]",123,[]
99,4,350,"[320,349]","[[1003,115],[2007,38]]",100,105,"[3,5]",122,"[3,5]",123,[]
100,-1,445,"[415,444]","[[1003,240],[2007,38]]",101,133,"[3,5]",155,"[3,5]",157,"[[1003,200],[2007,50],[1002,50000]]"
101,1,370,"[340,369]","[[1003,120],[2007,40]]",102,111,"[3,5]",129,"[3,5]",130,[]
102,2,370,"[340,369]","[[1003,120],[2007,40]]",103,111,"[3,5]",129,"[3,5]",130,[]
103,3,370,"[340,369]","[[1003,120],[2007,40]]",104,111,"[3,5]",129,"[3,5]",130,[]
104,4,370,"[340,369]","[[1003,120],[2007,40]]",105,111,"[3,5]",129,"[3,5]",130,[]
105,-1,470,"[440,469]","[[1003,250],[2007,40]]",106,141,"[3,5]",164,"[3,5]",165,[]
106,1,390,"[360,389]","[[1003,125],[2008,10]]",107,117,"[3,5]",136,"[3,5]",137,[]
107,2,390,"[360,389]","[[1003,125],[2008,10]]",108,117,"[3,5]",136,"[3,5]",137,[]
108,3,390,"[360,389]","[[1003,125],[2008,10]]",109,117,"[3,5]",136,"[3,5]",137,[]
109,4,390,"[360,389]","[[1003,125],[2008,10]]",110,117,"[3,5]",136,"[3,5]",137,[]
110,-1,495,"[465,494]","[[1003,260],[2008,10]]",111,148,"[3,5]",173,"[3,5]",174,"[[1003,300],[2007,60],[1002,50000]]"
111,1,410,"[374,409]","[[1003,130],[2008,12]]",112,123,"[3,6]",143,"[3,6]",144,[]
112,2,410,"[374,409]","[[1003,130],[2008,12]]",113,123,"[3,6]",143,"[3,6]",144,[]
113,3,410,"[374,409]","[[1003,130],[2008,12]]",114,123,"[3,6]",143,"[3,6]",144,[]
114,4,410,"[374,409]","[[1003,130],[2008,12]]",115,123,"[3,6]",143,"[3,6]",144,[]
115,-1,520,"[484,519]","[[1003,270],[2008,12]]",116,156,"[3,6]",182,"[3,6]",182,[]
116,1,430,"[394,429]","[[1003,135],[2008,14]]",117,129,"[3,6]",150,"[3,6]",151,[]
117,2,430,"[394,429]","[[1003,135],[2008,14]]",118,129,"[3,6]",150,"[3,6]",151,[]
118,3,430,"[394,429]","[[1003,135],[2008,14]]",119,129,"[3,6]",150,"[3,6]",151,[]
119,4,430,"[394,429]","[[1003,135],[2008,14]]",120,129,"[3,6]",150,"[3,6]",151,[]
120,-1,545,"[509,544]","[[1003,280],[2008,14]]",121,163,"[3,6]",190,"[3,6]",192,"[[1003,300],[2007,60],[1002,50000]]"
121,1,450,"[414,449]","[[1003,140],[2008,16]]",122,135,"[3,6]",157,"[3,6]",158,[]
122,2,450,"[414,449]","[[1003,140],[2008,16]]",123,135,"[3,6]",157,"[3,6]",158,[]
123,3,450,"[414,449]","[[1003,140],[2008,16]]",124,135,"[3,6]",157,"[3,6]",158,[]
124,4,450,"[414,449]","[[1003,140],[2008,16]]",125,135,"[3,6]",157,"[3,6]",158,[]
125,-1,570,"[534,569]","[[1003,290],[2008,16]]",126,171,"[3,6]",199,"[3,6]",200,[]
126,1,470,"[434,469]","[[1003,145],[2008,18]]",127,141,"[3,6]",164,"[3,6]",165,[]
127,2,470,"[434,469]","[[1003,145],[2008,18]]",128,141,"[3,6]",164,"[3,6]",165,[]
128,3,470,"[434,469]","[[1003,145],[2008,18]]",129,141,"[3,6]",164,"[3,6]",165,[]
129,4,470,"[434,469]","[[1003,145],[2008,18]]",130,141,"[3,6]",164,"[3,6]",165,[]
130,-1,595,"[559,594]","[[1003,300],[2008,18]]",131,178,"[3,6]",208,"[3,6]",209,"[[1003,400],[2007,70],[1002,50000]]"
131,1,490,"[454,489]","[[1003,150],[2008,20]]",132,147,"[3,6]",171,"[3,6]",172,[]
132,2,490,"[454,489]","[[1003,150],[2008,20]]",133,147,"[3,6]",171,"[3,6]",172,[]
133,3,490,"[454,489]","[[1003,150],[2008,20]]",134,147,"[3,6]",171,"[3,6]",172,[]
134,4,490,"[454,489]","[[1003,150],[2008,20]]",135,147,"[3,6]",171,"[3,6]",172,[]
135,-1,620,"[584,619]","[[1003,310],[2008,20]]",136,186,"[3,6]",217,"[3,6]",217,[]
136,1,510,"[474,509]","[[1003,155],[2008,22]]",137,153,"[3,6]",178,"[3,6]",179,[]
137,2,510,"[474,509]","[[1003,155],[2008,22]]",138,153,"[3,6]",178,"[3,6]",179,[]
138,3,510,"[474,509]","[[1003,155],[2008,22]]",139,153,"[3,6]",178,"[3,6]",179,[]
139,4,510,"[474,509]","[[1003,155],[2008,22]]",140,153,"[3,6]",178,"[3,6]",179,[]
140,-1,645,"[609,644]","[[1003,320],[2008,22]]",141,193,"[3,6]",225,"[3,6]",227,"[[1003,450],[2007,70],[1002,60000]]"
141,1,530,"[494,529]","[[1003,160],[2008,24]]",142,159,"[3,6]",185,"[3,6]",186,[]
142,2,530,"[494,529]","[[1003,160],[2008,24]]",143,159,"[3,6]",185,"[3,6]",186,[]
143,3,530,"[494,529]","[[1003,160],[2008,24]]",144,159,"[3,6]",185,"[3,6]",186,[]
144,4,530,"[494,529]","[[1003,160],[2008,24]]",145,159,"[3,6]",185,"[3,6]",186,[]
145,-1,670,"[634,669]","[[1003,330],[2008,24]]",146,201,"[3,6]",234,"[3,6]",235,[]
146,1,550,"[514,549]","[[1003,165],[2008,26]]",147,165,"[3,6]",192,"[3,6]",193,[]
147,2,550,"[514,549]","[[1003,165],[2008,26]]",148,165,"[3,6]",192,"[3,6]",193,[]
148,3,550,"[514,549]","[[1003,165],[2008,26]]",149,165,"[3,6]",192,"[3,6]",193,[]
149,4,550,"[514,549]","[[1003,165],[2008,26]]",150,165,"[3,6]",192,"[3,6]",193,[]
150,-1,695,"[659,694]","[[1003,340],[2008,26]]",151,208,"[3,6]",243,"[3,6]",244,"[[1003,500],[2007,80],[1002,70000]]"
151,1,570,"[534,569]","[[1003,170],[2008,28]]",152,171,"[3,6]",199,"[3,6]",200,[]
152,2,570,"[534,569]","[[1003,170],[2008,28]]",153,171,"[3,6]",199,"[3,6]",200,[]
153,3,570,"[534,569]","[[1003,170],[2008,28]]",154,171,"[3,6]",199,"[3,6]",200,[]
154,4,570,"[534,569]","[[1003,170],[2008,28]]",155,171,"[3,6]",199,"[3,6]",200,[]
155,-1,720,"[684,719]","[[1003,350],[2008,28]]",156,216,"[3,6]",252,"[3,6]",252,[]
156,1,590,"[554,589]","[[1003,175],[2008,30]]",157,177,"[3,6]",206,"[3,6]",207,[]
157,2,590,"[554,589]","[[1003,175],[2008,30]]",158,177,"[3,6]",206,"[3,6]",207,[]
158,3,590,"[554,589]","[[1003,175],[2008,30]]",159,177,"[3,6]",206,"[3,6]",207,[]
159,4,590,"[554,589]","[[1003,175],[2008,30]]",160,177,"[3,6]",206,"[3,6]",207,[]
160,-1,745,"[709,744]","[[1003,360],[2008,30]]",161,223,"[3,6]",260,"[3,6]",262,"[[1003,500],[2007,80],[1002,80000]]"
161,1,610,"[574,609]","[[1003,180],[2008,32]]",162,183,"[3,6]",213,"[3,6]",214,[]
162,2,610,"[574,609]","[[1003,180],[2008,32]]",163,183,"[3,6]",213,"[3,6]",214,[]
163,3,610,"[574,609]","[[1003,180],[2008,32]]",164,183,"[3,6]",213,"[3,6]",214,[]
164,4,610,"[574,609]","[[1003,180],[2008,32]]",165,183,"[3,6]",213,"[3,6]",214,[]
165,-1,770,"[734,769]","[[1003,370],[2008,32]]",166,231,"[3,6]",269,"[3,6]",270,[]
166,1,630,"[594,629]","[[1003,185],[2008,34]]",167,189,"[3,6]",220,"[3,6]",221,[]
167,2,630,"[594,629]","[[1003,185],[2008,34]]",168,189,"[3,6]",220,"[3,6]",221,[]
168,3,630,"[594,629]","[[1003,185],[2008,34]]",169,189,"[3,6]",220,"[3,6]",221,[]
169,4,630,"[594,629]","[[1003,185],[2008,34]]",170,189,"[3,6]",220,"[3,6]",221,[]
170,-1,795,"[759,794]","[[1003,380],[2008,34]]",171,238,"[3,6]",278,"[3,6]",279,"[[1003,600],[2007,90],[1002,90000]]"
171,1,650,"[614,649]","[[1003,190],[2008,36]]",172,195,"[3,6]",227,"[3,6]",228,[]
172,2,650,"[614,649]","[[1003,190],[2008,36]]",173,195,"[3,6]",227,"[3,6]",228,[]
173,3,650,"[614,649]","[[1003,190],[2008,36]]",174,195,"[3,6]",227,"[3,6]",228,[]
174,4,650,"[614,649]","[[1003,190],[2008,36]]",175,195,"[3,6]",227,"[3,6]",228,[]
175,-1,820,"[784,819]","[[1003,390],[2008,40]]",-1,246,"[3,6]",287,"[3,6]",287,"[[1003,800],[2007,100],[1002,100000]]"
