id,Level,SavingPoint,Reward,SPReward,continuePrice,BackId,BlockColor
1611,11,0,"[[1002,500],[1003,5]]",,10,1610,4
1612,12,0,"[[1002,500],[1003,5]]",,10,1611,4
1613,13,0,"[[1002,500],[6409,1]]",,10,1612,4
1614,14,0,"[[1002,500],[1003,5]]",,10,1613,4
1615,15,1,"[[1002,500],[1003,5]]","[[84020,3],[1003,30]]",10,1614,4
1616,16,0,"[[1002,500],[6409,1]]",,10,1615,4
1617,17,0,"[[1002,500],[1003,5]]",,10,1616,4
1618,18,0,"[[1002,500],[1003,5]]",,10,1617,4
1619,19,0,"[[1002,500],[6409,1],[6410,1]]",,10,1618,4
1620,20,1,"[[1002,500],[1003,5]]","[[84020,3],[1001,10]]",15,1619,4
1621,21,0,"[[1002,500],[1003,5]]",,15,1620,4
1622,22,0,"[[1002,500],[42000,1]]",,15,1621,4
1623,23,0,"[[1002,500],[1003,5]]",,15,1622,4
1624,24,0,"[[1002,500],[1003,5]]",,15,1623,4
1625,25,1,"[[1002,500],[1003,5]]","[[84020,4],[1003,40]]",15,1624,4
1626,26,0,"[[1002,500],[16000,1]]",,15,1625,4
1627,27,0,"[[1002,500],[1003,5]]",,15,1626,4
1628,28,0,"[[1002,500],[1003,5]]",,15,1627,4
1629,29,0,"[[1002,500],[16000,1]]",,15,1628,4
1630,30,1,"[[1002,500],[1003,5]]","[[84020,4],[1001,10]]",15,1629,4
1631,31,0,"[[1002,500],[42000,1]]",,15,1630,4
1632,32,0,"[[1002,500],[1003,8]]",,15,1631,4
1633,33,0,"[[1002,500],[1001,5]]",,15,1632,4
1634,34,0,"[[1002,500],[1003,8]]",,15,1633,4
1635,35,1,"[[1002,500],[16000,1]]","[[84020,4],[1003,50]]",15,1634,4
1636,36,0,"[[1002,500],[1003,8]]",,15,1635,4
1637,37,0,"[[1002,500],[1003,8]]",,15,1636,6
1638,38,0,"[[1002,500],[1003,8]]",,15,1637,6
1639,39,0,"[[1002,500],[30000,3]]",,15,1638,6
1640,40,1,"[[1002,500],[6409,1]]","[[84020,4],[1001,15]]",15,1639,6
1641,41,0,"[[1002,500],[1001,5]]",,15,1640,6
1642,42,0,"[[1002,500],[1003,8]]",,15,1641,6
1643,43,0,"[[1002,500],[42000,1]]",,15,1642,6
1644,44,0,"[[1002,500],[1003,8]]",,15,1643,6
1645,45,1,"[[1002,500],[1001,5]]","[[84020,5],[1003,60]]",15,1644,6
1646,46,0,"[[1002,500],[1003,8]]",,15,1645,6
1647,47,0,"[[1002,500],[16000,1]]",,15,1646,2
1648,48,0,"[[1002,500],[1003,8]]",,15,1647,2
1649,49,0,"[[1002,500],[1003,8]]",,15,1648,2
1650,50,1,"[[1002,500],[1003,8]]","[[84020,5],[1003,80]]",15,1649,2
1651,51,0,"[[1002,500],[30000,3]]",,15,1650,2
1652,52,0,"[[1002,500],[1003,10]]",,15,1651,2
1653,53,0,"[[1002,500],[42000,1]]",,15,1652,2
1654,54,0,"[[1002,500],[1003,10]]",,15,1653,2
1655,55,1,"[[1002,500],[1001,5]]","[[84020,5],[1001,20]]",15,1654,2
1656,56,0,"[[1002,500],[1003,10]]",,15,1655,2
1657,57,0,"[[1002,500],[16000,1]]",,15,1656,2
1658,58,0,"[[1002,500],[1003,10]]",,15,1657,2
1659,59,0,"[[1002,500],[1003,10]]",,15,1658,2
1660,60,1,"[[1002,500],[1003,10]]","[[84020,5],[1003,100]]",15,1659,2
1661,61,0,"[[1002,500],[30000,5]]",,15,1660,2
1662,62,0,"[[1002,500],[1003,10]]",,15,1661,2
1663,63,0,"[[1002,500],[1001,8]]",,15,1662,2
1664,64,0,"[[1002,500],[1003,10]]",,15,1663,2
1665,65,1,"[[1002,500],[42000,1]]","[[84020,5],[1003,120]]",15,1664,2
1666,66,0,"[[1002,500],[1003,10]]",,15,1665,2
1667,67,0,"[[1002,500],[1001,8]]",,15,1666,2
1668,68,0,"[[1002,500],[1003,10]]",,15,1667,2
1669,69,0,"[[1002,500],[16000,1]]",,15,1668,2
1670,70,1,"[[1002,500],[6409,1]]","[[84020,5],[1003,150]]",15,1669,2
1671,71,0,"[[1002,500],[1003,10]]",,15,1670,2
1672,72,0,"[[1002,500],[1003,10]]",,15,1671,2
1673,73,0,"[[1002,500],[30000,5]]",,15,1672,2
1674,74,0,"[[1002,500],[1003,10]]",,15,1673,2
1675,75,1,"[[1002,500],[42000,2]]","[[84020,5],[1001,30]]",15,1674,2
1676,76,0,"[[1002,500],[1003,10]]",,15,1675,2
1677,77,0,"[[1002,500],[1001,10]]",,15,1676,2
1678,78,0,"[[1002,500],[1003,10]]",,15,1677,2
1679,79,0,"[[1002,500],[16000,2]]",,15,1678,2
1680,80,1,"[[1002,500],[1003,10]]","[[84020,5],[1003,180]]",15,1679,2
1681,81,0,"[[1002,500],[1003,15]]",,15,1680,2
1682,82,0,"[[1002,500],[1003,15]]",,15,1681,2
1683,83,0,"[[1002,500],[1003,15]]",,15,1682,2
1684,84,0,"[[1002,500],[1003,15]]",,15,1683,2
1685,85,1,"[[1002,500],[6409,1]]","[[84020,5],[1003,200]]",15,1684,2
1686,86,0,"[[1002,500],[30000,7]]",,15,1685,2
1687,87,0,"[[1002,500],[1003,20]]",,15,1686,2
1688,88,0,"[[1002,500],[1003,20]]",,15,1687,2
1689,89,0,"[[1002,500],[1003,10]]",,15,1688,2
1690,90,1,"[[1002,500],[1003,20]]","[[84020,8],[1003,300]]",15,1689,2
1691,91,0,"[[1002,500],[30000,7]]",,15,1690,2
1692,92,0,"[[1002,500],[1003,20]]",,15,1691,2
1693,93,0,"[[1002,500],[1003,10]]",,15,1692,2
1694,94,0,"[[1002,500],[1003,20]]",,15,1693,2
1695,95,1,"[[1002,500],[1001,15]]","[[84020,8],[1003,400]]",15,1694,2
1696,96,0,"[[1002,500],[1003,20]]",,15,1695,2
1697,97,0,"[[1002,500],[1001,20]]",,15,1696,2
1698,98,1,"[[1002,500],[1003,100]]","[[84020,10],[1003,400]]",20,1697,2
