id,type,star,upperlevel,upthepower,productNum,expNum,skillid,item,produceTimeReduce,
307005,307,5,10,52,12,200,[13],"[[83007,75]]",0.32,
307006,307,6,0,65,15,250,[14],[],0.35,
308001,308,1,2,0,0,0,"[1300,1350,1400]","[[83008,15]]",0.2,
308002,308,2,4,13,3,50,,"[[83008,30]]",0.23,
308003,308,3,6,26,6,100,[12],"[[83008,45]]",0.26,
308004,308,4,8,39,9,150,[13],"[[83008,60]]",0.29,
308005,308,5,10,52,12,200,[13],"[[83008,75]]",0.32,
308006,308,6,0,65,15,250,[14],[],0.35,
309001,309,1,2,0,0,0,"[1300,1350,1400]","[[83009,15]]",0.2,
309002,309,2,4,13,3,50,,"[[83009,30]]",0.23,
309003,309,3,6,26,6,100,[12],"[[83009,45]]",0.26,
309004,309,4,8,39,9,150,[13],"[[83009,60]]",0.29,
309005,309,5,10,52,12,200,[13],"[[83009,75]]",0.32,
309006,309,6,0,65,15,250,[14],[],0.35,
310001,310,1,2,0,0,0,"[1300,1350,1400]","[[83010,15]]",0.2,
310002,310,2,4,13,3,50,,"[[83010,30]]",0.23,
310003,310,3,6,26,6,100,[12],"[[83010,45]]",0.26,
310004,310,4,8,39,9,150,[13],"[[83010,60]]",0.29,
310005,310,5,10,52,12,200,[13],"[[83010,75]]",0.32,
310006,310,6,0,65,15,250,[14],[],0.35,
311001,311,1,2,0,0,0,"[1300,1350,1400]","[[83011,15]]",0.2,
311002,311,2,4,13,3,50,,"[[83011,30]]",0.23,
311003,311,3,6,26,6,100,[12],"[[83011,45]]",0.26,
311004,311,4,8,39,9,150,[13],"[[83011,60]]",0.29,
311005,311,5,10,52,12,200,[13],"[[83011,75]]",0.32,
311006,311,6,0,65,15,250,[14],[],0.35,
312001,312,1,2,0,0,0,"[1300,1350,1400]","[[83012,15]]",0.2,
312002,312,2,4,13,3,50,,"[[83012,30]]",0.23,
312003,312,3,6,26,6,100,[12],"[[83012,45]]",0.26,
312004,312,4,8,39,9,150,[13],"[[83012,60]]",0.29,
312005,312,5,10,52,12,200,[13],"[[83012,75]]",0.32,
312006,312,6,0,65,15,250,[14],[],0.35,
313001,313,1,2,0,0,0,"[1300,1350,1400]","[[83013,15]]",0.2,
313002,313,2,4,13,3,50,,"[[83013,30]]",0.23,
313003,313,3,6,26,6,100,[12],"[[83013,45]]",0.26,
313004,313,4,8,39,9,150,[13],"[[83013,60]]",0.29,
313005,313,5,10,52,12,200,[13],"[[83013,75]]",0.32,
313006,313,6,0,65,15,250,[14],[],0.35,
314001,314,1,2,0,0,0,"[1300,1350,1400]","[[83014,15]]",0.2,
314002,314,2,4,13,3,50,,"[[83014,30]]",0.23,
314003,314,3,6,26,6,100,[12],"[[83014,45]]",0.26,
314004,314,4,8,39,9,150,[13],"[[83014,60]]",0.29,
314005,314,5,10,52,12,200,[13],"[[83014,75]]",0.32,
314006,314,6,0,65,15,250,[14],[],0.35,
315001,315,1,2,0,0,0,"[1300,1350,1400]","[[83015,15]]",0.2,
315002,315,2,4,13,3,50,,"[[83015,30]]",0.23,
315003,315,3,6,26,6,100,[12],"[[83015,45]]",0.26,
315004,315,4,8,39,9,150,[13],"[[83015,60]]",0.29,
315005,315,5,10,52,12,200,[13],"[[83015,75]]",0.32,
315006,315,6,0,65,15,250,[14],[],0.35,
316001,316,1,2,0,0,0,"[1300,1350,1400]","[[83016,15]]",0.2,
316002,316,2,4,13,1,50,,"[[83016,30]]",0.23,
316003,316,3,6,26,2,100,[12],"[[83016,45]]",0.26,
316004,316,4,8,39,3,150,[13],"[[83016,60]]",0.29,
316005,316,5,10,52,4,200,[13],"[[83016,75]]",0.32,
316006,316,6,0,65,5,250,[14],[],0.35,
317001,317,1,2,0,0,0,"[1300,1350,1400]","[[83017,15]]",0.2,
317002,317,2,4,13,5,50,,"[[83017,30]]",0.23,
317003,317,3,6,26,10,100,[12],"[[83017,45]]",0.26,
317004,317,4,8,39,15,150,[13],"[[83017,60]]",0.29,
317005,317,5,10,52,20,200,[13],"[[83017,75]]",0.32,
317006,317,6,0,65,25,250,[14],[],0.35,
318001,318,1,2,0,0,0,"[1300,1350,1400]","[[83018,15]]",0.2,
318002,318,2,4,13,1,50,,"[[83018,30]]",0.23,
318003,318,3,6,26,2,100,[12],"[[83018,45]]",0.26,
318004,318,4,8,39,3,150,[13],"[[83018,60]]",0.29,
318005,318,5,10,52,4,200,[13],"[[83018,75]]",0.32,
318006,318,6,0,65,5,250,[14],[],0.35,
319001,319,1,2,0,0,0,"[1300,1350,1400]","[[83019,15]]",0.2,
319002,319,2,4,13,3,50,,"[[83019,30]]",0.23,
319003,319,3,6,26,6,100,[12],"[[83019,45]]",0.26,
319004,319,4,8,39,9,150,[13],"[[83019,60]]",0.29,
319005,319,5,10,52,12,200,[13],"[[83019,75]]",0.32,
319006,319,6,0,65,15,250,[14],[],0.35,
320001,320,1,2,0,0,0,"[1300,1350,1400]","[[83020,15]]",0.2,
320002,320,2,4,13,3,50,,"[[83020,30]]",0.23,
320003,320,3,6,26,6,100,[12],"[[83020,45]]",0.26,
320004,320,4,8,39,9,150,[13],"[[83020,60]]",0.29,
320005,320,5,10,52,12,200,[13],"[[83020,75]]",0.32,
320006,320,6,0,65,15,250,[14],[],0.35,
321001,321,1,2,0,0,0,"[1300,1350,1400]","[[83021,15]]",0.2,
321002,321,2,4,13,3,50,,"[[83021,30]]",0.23,
321003,321,3,6,26,6,100,[12],"[[83021,45]]",0.26,
321004,321,4,8,39,9,150,[13],"[[83021,60]]",0.29,
321005,321,5,10,52,12,200,[13],"[[83021,75]]",0.32,
321006,321,6,0,65,15,250,[14],[],0.35,
322001,322,1,2,0,0,0,"[1300,1350,1400]","[[83022,15]]",0.2,
322002,322,2,4,13,3,50,,"[[83022,30]]",0.23,
322003,322,3,6,26,6,100,[12],"[[83022,45]]",0.26,
322004,322,4,8,39,9,150,[13],"[[83022,60]]",0.29,
322005,322,5,10,52,12,200,[13],"[[83022,75]]",0.32,
322006,322,6,0,65,15,250,[14],[],0.35,
323001,323,1,2,0,0,0,"[1300,1350,1400]","[[83023,15]]",0.2,
323002,323,2,4,13,3,50,,"[[83023,30]]",0.23,
323003,323,3,6,26,6,100,[12],"[[83023,45]]",0.26,
323004,323,4,8,39,9,150,[13],"[[83023,60]]",0.29,
323005,323,5,10,52,12,200,[13],"[[83023,75]]",0.32,
323006,323,6,0,65,15,250,[14],[],0.35,
324001,324,1,2,0,0,0,"[1300,1350,1400]","[[83024,15]]",0.2,
324002,324,2,4,13,3,50,,"[[83024,30]]",0.23,
324003,324,3,6,26,6,100,[12],"[[83024,45]]",0.26,
324004,324,4,8,39,9,150,[13],"[[83024,60]]",0.29,
324005,324,5,10,52,12,200,[13],"[[83024,75]]",0.32,
324006,324,6,0,65,15,250,[14],[],0.35,
325001,325,1,2,0,0,0,"[1300,1350,1400]","[[83025,15]]",0.2,
325002,325,2,4,13,3,50,,"[[83025,30]]",0.23,
325003,325,3,6,26,6,100,[12],"[[83025,45]]",0.26,
325004,325,4,8,39,9,150,[13],"[[83025,60]]",0.29,
325005,325,5,10,52,12,200,[13],"[[83025,75]]",0.32,
325006,325,6,0,65,15,250,[14],[],0.35,
326001,326,1,2,0,0,0,"[1300,1350,1400]","[[83026,15]]",0.2,
326002,326,2,4,13,3,50,,"[[83026,30]]",0.23,
326003,326,3,6,26,6,100,[12],"[[83026,45]]",0.26,
326004,326,4,8,39,9,150,[13],"[[83026,60]]",0.29,
326005,326,5,10,52,12,200,[13],"[[83026,75]]",0.32,
326006,326,6,0,65,15,250,[14],[],0.35,
327001,327,1,2,0,0,0,"[1300,1350,1400]","[[83027,15]]",0.2,
327002,327,2,4,13,3,50,,"[[83027,30]]",0.23,
327003,327,3,6,26,6,100,[12],"[[83027,45]]",0.26,
327004,327,4,8,39,9,150,[13],"[[83027,60]]",0.29,
327005,327,5,10,52,12,200,[13],"[[83027,75]]",0.32,
327006,327,6,0,65,15,250,[14],[],0.35,
328001,328,1,2,0,0,0,"[1300,1350,1400]","[[83028,15]]",0.2,
328002,328,2,4,13,3,50,,"[[83028,30]]",0.23,
328003,328,3,6,26,6,100,[12],"[[83028,45]]",0.26,
328004,328,4,8,39,9,150,[13],"[[83028,60]]",0.29,
328005,328,5,10,52,12,200,[13],"[[83028,75]]",0.32,
328006,328,6,0,65,15,250,[14],[],0.35,
329001,329,1,2,0,0,0,"[1300,1350,1400]","[[83029,15]]",0.2,
329002,329,2,4,13,3,50,,"[[83029,30]]",0.23,
329003,329,3,6,26,6,100,[12],"[[83029,45]]",0.26,
329004,329,4,8,39,9,150,[13],"[[83029,60]]",0.29,
329005,329,5,10,52,12,200,[13],"[[83029,75]]",0.32,
329006,329,6,0,65,15,250,[14],[],0.35,
330001,330,1,2,0,0,0,"[1300,1350,1400]","[[83030,15]]",0.2,
330002,330,2,4,13,3,50,,"[[83030,30]]",0.23,
330003,330,3,6,26,6,100,[12],"[[83030,45]]",0.26,
330004,330,4,8,39,9,150,[13],"[[83030,60]]",0.29,
330005,330,5,10,52,12,200,[13],"[[83030,75]]",0.32,
330006,330,6,0,65,15,250,[14],[],0.35,
331001,331,1,2,0,0,0,"[1300,1350,1400]","[[83031,15]]",0.2,
331002,331,2,4,13,3,50,,"[[83031,30]]",0.23,
331003,331,3,6,26,6,100,[12],"[[83031,45]]",0.26,
331004,331,4,8,39,9,150,[13],"[[83031,60]]",0.29,
331005,331,5,10,52,12,200,[13],"[[83031,75]]",0.32,
331006,331,6,0,65,15,250,[14],[],0.35,
332001,332,1,2,0,0,0,"[1300,1350,1400]","[[83032,15]]",0.2,
332002,332,2,4,13,3,50,,"[[83032,30]]",0.23,
332003,332,3,6,26,6,100,[12],"[[83032,45]]",0.26,
332004,332,4,8,39,9,150,[13],"[[83032,60]]",0.29,
332005,332,5,10,52,12,200,[13],"[[83032,75]]",0.32,
332006,332,6,0,65,15,250,[14],[],0.35,
333001,333,1,2,0,0,0,"[1300,1350,1400]","[[83033,15]]",0.2,
333002,333,2,4,13,3,50,,"[[83033,30]]",0.23,
333003,333,3,6,26,6,100,[12],"[[83033,45]]",0.26,
333004,333,4,8,39,9,150,[13],"[[83033,60]]",0.29,
333005,333,5,10,52,12,200,[13],"[[83033,75]]",0.32,
333006,333,6,0,65,15,250,[14],[],0.35,
334001,334,1,2,0,0,0,"[1300,1350,1400]","[[83034,15]]",0.2,
334002,334,2,4,13,3,50,,"[[83034,30]]",0.23,
334003,334,3,6,26,6,100,[12],"[[83034,45]]",0.26,
334004,334,4,8,39,9,150,[13],"[[83034,60]]",0.29,
334005,334,5,10,52,12,200,[13],"[[83034,75]]",0.32,
334006,334,6,0,65,15,250,[14],[],0.35,
335001,335,1,2,0,0,0,"[1300,1350,1400]","[[83035,15]]",0.2,
335002,335,2,4,13,1,50,,"[[83035,30]]",0.23,
335003,335,3,6,26,2,100,[12],"[[83035,45]]",0.26,
335004,335,4,8,39,3,150,[13],"[[83035,60]]",0.29,
335005,335,5,10,52,4,200,[13],"[[83035,75]]",0.32,
335006,335,6,0,65,5,250,[14],[],0.35,
336001,336,1,2,0,0,0,"[1300,1350,1400]","[[83036,15]]",0.2,
336002,336,2,4,13,5,50,,"[[83036,30]]",0.23,
336003,336,3,6,26,10,100,[12],"[[83036,45]]",0.26,
336004,336,4,8,39,15,150,[13],"[[83036,60]]",0.29,
336005,336,5,10,52,20,200,[13],"[[83036,75]]",0.32,
336006,336,6,0,65,25,250,[14],[],0.35,
337001,337,1,2,0,0,0,"[1300,1350,1400]","[[83037,15]]",0.2,
337002,337,2,4,13,1,50,,"[[83037,30]]",0.23,
337003,337,3,6,26,2,100,[12],"[[83037,45]]",0.26,
337004,337,4,8,39,3,150,[13],"[[83037,60]]",0.29,
337005,337,5,10,52,4,200,[13],"[[83037,75]]",0.32,
337006,337,6,0,65,5,250,[14],[],0.35,
338001,338,1,2,0,0,0,"[1300,1350,1400]","[[83038,15]]",0.2,
338002,338,2,4,13,1,50,,"[[83038,30]]",0.23,
338003,338,3,6,26,2,100,[12],"[[83038,45]]",0.26,
338004,338,4,8,39,3,150,[13],"[[83038,60]]",0.29,
338005,338,5,10,52,4,200,[13],"[[83038,75]]",0.32,
338006,338,6,0,65,5,250,[14],[],0.35,
339001,339,1,2,0,0,0,"[1300,1350,1400]","[[83039,15]]",0.2,
339002,339,2,4,13,1,50,,"[[83039,30]]",0.23,
339003,339,3,6,26,2,100,[12],"[[83039,45]]",0.26,
339004,339,4,8,39,3,150,[13],"[[83039,60]]",0.29,
339005,339,5,10,52,4,200,[13],"[[83039,75]]",0.32,
339006,339,6,0,65,5,250,[14],[],0.35,
340001,340,1,2,0,0,0,"[1300,1350,1400]","[[83040,15]]",0.2,
340002,340,2,4,13,10,50,,"[[83040,30]]",0.23,
340003,340,3,6,26,20,100,[12],"[[83040,45]]",0.26,
340004,340,4,8,39,30,150,[13],"[[83040,60]]",0.29,
340005,340,5,10,52,40,200,[13],"[[83040,75]]",0.32,
340006,340,6,0,65,50,250,[14],[],0.35,
341001,341,1,2,0,0,0,"[1300,1350,1400]","[[83041,15]]",0.2,
341002,341,2,4,13,3,50,,"[[83041,30]]",0.23,
341003,341,3,6,26,6,100,[12],"[[83041,45]]",0.26,
341004,341,4,8,39,9,150,[13],"[[83041,60]]",0.29,
341005,341,5,10,52,12,200,[13],"[[83041,75]]",0.32,
341006,341,6,0,65,15,250,[14],[],0.35,
127,401,1,2,0,0,0,"[1300,1350,1400,1]","[[84001,20]]",0.4,
128,401,2,4,30,40,200,[1],"[[84001,40]]",0.43,
129,401,3,6,60,80,400,"[15,2]","[[84001,60]]",0.46,
130,401,4,8,90,120,600,"[16,2]","[[84001,80]]",0.49,
131,401,5,10,120,160,800,"[17,3]","[[84001,100]]",0.52,
132,401,6,0,150,200,1000,"[18,4]",[],0.55,
133,402,1,2,0,0,0,"[1300,1350,1400,1]","[[84002,20]]",0.4,
