id,sceneID,missionType,taskParam,reward,nextID,
817,2209GhostMansion,31,"[1551,11]",70,,
818,2209GhostMansion,31,"[1544,1]",30,,
819,2209GhostMansion,31,"[1545,1]",10,,
820,2209GhostMansion,31,"[1545,3]",30,,
821,2209GhostMansion,31,"[1545,6]",50,,
901,2210GrandmasFarm,28,"[""2210GrandmasFarm""]",10,,
902,2210GrandmasFarm,31,"[1621,1]",20,,
903,2210GrandmasFarm,31,"[1653,1]",10,,
904,2210GrandmasFarm,31,"[1653,3]",30,,
905,2210GrandmasFarm,31,"[1653,6]",50,,
906,2210GrandmasFarm,32,[1],10,,
907,2210GrandmasFarm,32,[12],30,,
908,2210GrandmasFarm,7,"[27323,1]",20,,
909,2210GrandmasFarm,7,"[27322,1]",20,,
910,2210GrandmasFarm,7,"[27324,1]",20,,
911,2210GrandmasFarm,7,"[27325,1]",20,,
912,2210GrandmasFarm,31,"[1626,1]",10,,
913,2210GrandmasFarm,31,"[1626,3]",30,,
914,2210GrandmasFarm,31,"[1626,6]",60,,
915,2210GrandmasFarm,31,"[1628,1]",10,,
916,2210GrandmasFarm,31,"[1628,3]",30,,
917,2210GrandmasFarm,31,"[1628,6]",50,,
918,2210GrandmasFarm,2,"[4647,5]",10,,
919,2210GrandmasFarm,2,"[4647,20]",20,,
920,2210GrandmasFarm,31,"[1640,1]",10,,
921,2210GrandmasFarm,31,"[1640,3]",30,,
922,2210GrandmasFarm,31,"[1640,5]",50,,
1001,2211MagicChristmas,28,"[""2211ChristmasCottage""]",20,,
1002,2211MagicChristmas,31,"[1862,1]",10,,
1003,2211MagicChristmas,31,"[1862,5]",30,,
1004,2211MagicChristmas,31,"[1862,10]",60,,
1005,2211MagicChristmas,37,[1],10,,
1006,2211MagicChristmas,37,[30],30,,
1007,2211MagicChristmas,2,"[4714,5]",10,,
1008,2211MagicChristmas,2,"[4714,20]",40,,
1009,2211MagicChristmas,31,"[1872,1]",10,,
1010,2211MagicChristmas,31,"[1872,5]",30,,
1011,2211MagicChristmas,31,"[1872,10]",60,,
1012,2211MagicChristmas,31,"[1832,1]",10,,
1013,2211MagicChristmas,31,"[1832,3]",20,,
1014,2211MagicChristmas,31,"[1832,5]",40,,
1015,2211MagicChristmas,31,"[1856,1]",10,,
1016,2211MagicChristmas,31,"[1856,3]",30,,
1017,2211MagicChristmas,31,"[1856,6]",50,,
1018,2211MagicChristmas,7,"[27326,1]",20,,
1019,2211MagicChristmas,7,"[27327,1]",20,,
1020,2211MagicChristmas,7,"[27328,1]",20,,
1021,2211MagicChristmas,7,"[27329,1]",20,,
1101,2301DragonZoo,28,"[""2301DragonZoo""]",20,,
1102,2301DragonZoo,31,"[1976,1]",20,,
1103,2301DragonZoo,31,"[1976,3]",30,,
1104,2301DragonZoo,31,"[1976,6]",50,,
1105,2301DragonZoo,31,"[1982,1]",20,,
1106,2301DragonZoo,31,"[1982,3]",30,,
1107,2301DragonZoo,31,"[1982,6]",50,,
1108,2301DragonZoo,37,"[1,""2301DragonZoo"",41]",10,,
1109,2301DragonZoo,37,"[30,""2301DragonZoo"",41]",30,,
1110,2301DragonZoo,31,"[1991,1]",20,,
1111,2301DragonZoo,31,"[1991,4]",40,,
1112,2301DragonZoo,2,"[4767,5]",10,,
1113,2301DragonZoo,2,"[4767,20]",40,,
1114,2301DragonZoo,31,"[1988,1]",20,,
1115,2301DragonZoo,31,"[1988,3]",40,,
1116,2301DragonZoo,31,"[1963,1]",20,,
1117,2301DragonZoo,31,"[1963,2]",30,,
1118,2301DragonZoo,31,"[1971,1]",20,,
1119,2301DragonZoo,31,"[1971,4]",50,,
1201,2303Loverway,28,"[""2303Loverway""]",20,,
1202,2303Loverway,31,"[2108,1]",20,,
1203,2303Loverway,31,"[2108,3]",30,,
1204,2303Loverway,31,"[2108,6]",50,,
1205,2303Loverway,37,[1],20,,
1206,2303Loverway,37,[30],30,,
1207,2303Loverway,31,"[2116,1]",20,,
1208,2303Loverway,31,"[2116,4]",40,,
1209,2303Loverway,2,"[4810,5]",20,,
1210,2303Loverway,2,"[4810,10]",30,,
1211,2303Loverway,2,"[4810,20]",40,,
1212,2303Loverway,31,"[2104,1]",20,,
1213,2303Loverway,31,"[2104,4]",40,,
1214,2303Loverway,31,"[2137,1]",20,,
1215,2303Loverway,31,"[2137,3]",30,,
1216,2303Loverway,7,"[27334,1]",30,,
1217,2303Loverway,7,"[27335,1]",30,,
1218,2303Loverway,7,"[27336,1]",30,,
1219,2303Loverway,7,"[27337,1]",30,,
1401,2305FactoryCity,28,"[""2305FactoryCity""]",10,,
1402,2305FactoryCity,31,"[2579,1]",20,,
1403,2305FactoryCity,31,"[2579,3]",30,,
1404,2305FactoryCity,31,"[2579,6]",50,,
1405,2305FactoryCity,31,"[2657,1]",10,,
1406,2305FactoryCity,31,"[2657,6]",20,,
1407,2305FactoryCity,31,"[2567,1]",20,,
1408,2305FactoryCity,37,"[1,""2305FactoryCity"",41]",10,,
1409,2305FactoryCity,37,"[30,""2305FactoryCity"",41]",30,,
1410,2305FactoryCity,31,"[2607,1]",20,,
1411,2305FactoryCity,31,"[2607,2]",30,,
1412,2305FactoryCity,31,"[2607,5]",50,,
1413,2305FactoryCity,31,"[2598,1]",10,,
1414,2305FactoryCity,31,"[2598,3]",20,,
1415,2305FactoryCity,31,"[2598,6]",50,,
1416,2305FactoryCity,31,"[2679,1]",20,,
1417,2305FactoryCity,31,"[2679,5]",30,,
1418,2305FactoryCity,31,"[2679,10]",40,,
1419,2305FactoryCity,7,"[27342,1]",20,,
1420,2305FactoryCity,7,"[27343,1]",20,,
1421,2305FactoryCity,7,"[27344,1]",20,,
1422,2305FactoryCity,7,"[27345,1]",20,,
1425,2306FunSportsDay,28,"[""2306FunSportsDay""]",10,,
1426,2306FunSportsDay,31,"[2804,1]",20,,
1427,2306FunSportsDay,31,"[2808,1]",30,,
1428,2306FunSportsDay,31,"[2810,1]",30,,
1429,2306FunSportsDay,31,"[2813,1]",40,,
1430,2306FunSportsDay,31,"[2814,1]",50,,
1431,2306FunSportsDay,31,"[2817,1]",20,,
1432,2306FunSportsDay,31,"[2817,2]",20,,
1433,2306FunSportsDay,37,"[1,""2306FunSportsDay"",0]",10,,
1434,2306FunSportsDay,37,"[30,""2306FunSportsDay"",0]",30,,
1435,2306FunSportsDay,31,"[2819,1]",20,,
1436,2306FunSportsDay,31,"[2819,3]",40,,
1437,2306FunSportsDay,31,"[2819,5]",50,,
1438,2306FunSportsDay,7,"[27346,1]",20,,
1439,2306FunSportsDay,7,"[27347,1]",20,,
1440,2306FunSportsDay,7,"[27348,1]",50,,
1441,2306FunSportsDay,7,"[27349,1]",40,,
1442,2306FunSportsDay,2,"[90018,12]",20,,
1443,2306FunSportsDay,4,"[""2306FunSportsDay"",[""103309""]]",30,,
1444,2306FunSportsDay,31,"[2824,1]",10,,
1445,2306FunSportsDay,31,"[2824,3]",40,,
1446,2306FunSportsDay,31,"[2824,5]",60,,
1450,2307CardKingdom,28,"[""2307CardKingdom""]",10,,
1451,2307CardKingdom,31,"[3019,1]",20,,
1452,2307CardKingdom,31,"[3019,3]",40,,
1453,2307CardKingdom,31,"[3019,5]",50,,
1454,2307CardKingdom,37,"[1,""2307CardKingdom"",41]",20,,
1455,2307CardKingdom,37,"[30,""2307CardKingdom"",41]",40,,
1456,2307CardKingdom,31,"[3007,1]",20,,
1457,2307CardKingdom,31,"[3007,4]",40,,
1458,2307CardKingdom,31,"[3011,1]",20,,
1459,2307CardKingdom,31,"[3011,4]",40,,
1460,2307CardKingdom,31,"[3113,1]",20,,
1461,2307CardKingdom,31,"[3113,3]",40,,
1462,2307CardKingdom,2,"[90088,10]",20,,
1463,2307CardKingdom,2,"[90088,20]",40,,
1464,2307CardKingdom,2,"[90088,30]",50,,
1465,2307CardKingdom,7,"[27358,1]",20,,
1466,2307CardKingdom,7,"[27359,1]",20,,
1467,2307CardKingdom,7,"[27360,1]",20,,
1468,2307CardKingdom,7,"[27361,1]",20,,
1470,2308MagicBox,28,"[""2308MagicBox""]",10,,
1471,2308MagicBox,31,"[3142,2]",20,,
1472,2308MagicBox,31,"[3156,2]",20,,
1473,2308MagicBox,31,"[3159,2]",30,,
1474,2308MagicBox,31,"[3162,3]",30,,
1475,2308MagicBox,31,"[3166,2]",30,,
1476,2308MagicBox,31,"[3166,4]",30,,
1477,2308MagicBox,31,"[3145,1]",10,,
1478,2308MagicBox,31,"[3145,3]",20,,
1479,2308MagicBox,31,"[3145,5]",30,,
1480,2308MagicBox,31,"[3145,10]",50,,
1481,2308MagicBox,37,"[1,""2308MagicBox"",41]",40,,
1482,2308MagicBox,37,"[30,""2308MagicBox"",41]",50,,
1483,2308MagicBox,31,"[3155,1]",20,,
1484,2308MagicBox,31,"[3158,1]",20,,
1485,2308MagicBox,31,"[3161,1]",50,,
1486,2308MagicBox,31,"[3165,1]",40,,
1487,2308MagicBox,31,"[3170,1]",20,,
1488,2308MagicBox,7,"[27362,1]",30,,
1489,2308MagicBox,7,"[27363,1]",20,,
1490,2308MagicBox,7,"[27364,1]",30,,
1491,2308MagicBox,7,"[27365,1]",60,,
1532,2311FruitTown,28,"[""2311FruitTown""]",10,,
1533,2311FruitTown,31,"[3642,2]",20,,
1534,2311FruitTown,31,"[3658,2]",20,,
1535,2311FruitTown,31,"[3661,2]",30,,
1536,2311FruitTown,31,"[3656,2]",30,,
1537,2311FruitTown,31,"[3667,3]",30,,
1539,2311FruitTown,31,"[3645,1]",15,,
1540,2311FruitTown,31,"[3645,3]",25,,
1541,2311FruitTown,31,"[3645,5]",35,,
1542,2311FruitTown,31,"[3645,10]",45,,
1543,2311FruitTown,37,"[1,""2311FruitTown"",41]",40,,
1544,2311FruitTown,37,"[30,""2311FruitTown"",41]",50,,
1545,2311FruitTown,31,"[3655,1]",20,,
1546,2311FruitTown,31,"[3660,1]",20,,
1547,2311FruitTown,31,"[3663,1]",30,,
1548,2311FruitTown,31,"[3666,1]",40,,
1549,2311FruitTown,31,"[3669,1]",50,,
1550,2311FruitTown,7,"[27375,1]",20,,
1551,2311FruitTown,7,"[27376,1]",30,,
1552,2311FruitTown,7,"[27377,1]",40,,
1553,2311FruitTown,7,"[27378,1]",60,,
1513,2310CubeWaterWorld,28,"[""2310CubeWaterWorld""]",10,,
1514,2310CubeWaterWorld,31,"[3451,1]",20,,
1515,2310CubeWaterWorld,31,"[3451,3]",30,,
1516,2310CubeWaterWorld,31,"[3451,5]",40,,
1517,2310CubeWaterWorld,37,"[1,""2310CubeWaterWorld"",41]",20,,
1518,2310CubeWaterWorld,37,"[30,""2310CubeWaterWorld"",41]",40,,
1519,2310CubeWaterWorld,31,"[3456,1]",20,,
1520,2310CubeWaterWorld,31,"[3456,3]",40,,
1521,2310CubeWaterWorld,31,"[3456,6]",60,,
1522,2310CubeWaterWorld,31,"[3480,1]",60,,
1523,2310CubeWaterWorld,31,"[3467,3]",20,,
1524,2310CubeWaterWorld,31,"[3467,6]",30,,
1525,2310CubeWaterWorld,2,"[90307,10]",10,,
1526,2310CubeWaterWorld,2,"[90307,20]",20,,
1527,2310CubeWaterWorld,2,"[90307,30]",40,,
1528,2310CubeWaterWorld,7,"[27371,1]",10,,
1529,2310CubeWaterWorld,7,"[27372,1]",40,,
1530,2310CubeWaterWorld,7,"[27373,1]",30,,
1531,2310CubeWaterWorld,7,"[27374,1]",20,,
1554,2313MermaidCity,28,"[""2313MermaidCity""]",5,,
1555,2313MermaidCity,31,"[3789,1]",10,,
1556,2313MermaidCity,31,"[3790,1]",15,,
1557,2313MermaidCity,31,"[3793,1]",20,,
1558,2313MermaidCity,31,"[3800,1]",25,,
1559,2313MermaidCity,31,"[3802,1]",35,,
1560,2313MermaidCity,31,"[3804,1]",50,,
1561,2313MermaidCity,31,"[3784,1]",20,,
1562,2313MermaidCity,31,"[3784,5]",30,,
1563,2313MermaidCity,31,"[3779,1]",20,,
1564,2313MermaidCity,31,"[3779,5]",30,,
1565,2313MermaidCity,31,"[3771,1]",20,,
1566,2313MermaidCity,31,"[3771,4]",30,,
1567,2313MermaidCity,31,"[3775,1]",20,,
1568,2313MermaidCity,31,"[3775,3]",30,,
1569,2313MermaidCity,37,"[1,""2313MermaidCity"",41]",20,,
1570,2313MermaidCity,37,"[45,""2313MermaidCity"",41]",30,,
1571,2313MermaidCity,37,"[90,""2313MermaidCity"",41]",20,,
1572,2313MermaidCity,37,"[120,""2313MermaidCity"",41]",30,,
1573,2313MermaidCity,7,"[27379,1]",20,,
1574,2313MermaidCity,7,"[27380,1]",50,,
1575,2313MermaidCity,7,"[27381,1]",40,,
1576,2313MermaidCity,7,"[27382,1]",30,,
1577,2313MermaidCity,7,"[27383,1]",60,,
1578,2312HeartbeatJourney,28,"[""2312HeartbeatJourney""]",10,,
1579,2312HeartbeatJourney,31,"[3876,1]",20,,
1580,2312HeartbeatJourney,31,"[3879,2]",20,,
1581,2312HeartbeatJourney,31,"[3885,1]",20,,
1582,2312HeartbeatJourney,31,"[3887,1]",20,,
1583,2312HeartbeatJourney,31,"[3888,1]",20,,
1584,2312HeartbeatJourney,31,"[3892,1]",40,,
1585,2312HeartbeatJourney,31,"[3896,1]",20,,
1586,2312HeartbeatJourney,31,"[3902,1]",30,,
1587,2312HeartbeatJourney,31,"[3926,1]",20,,
1588,2312HeartbeatJourney,31,"[3926,6]",30,,
1589,2312HeartbeatJourney,31,"[3909,1]",20,,
1590,2312HeartbeatJourney,31,"[3909,6]",30,,
1591,2312HeartbeatJourney,31,"[3932,1]",20,,
1592,2312HeartbeatJourney,31,"[3932,6]",30,,
1593,2312HeartbeatJourney,37,"[1,""2312HeartbeatJourney"",41]",20,,
1594,2312HeartbeatJourney,37,"[30,""2312HeartbeatJourney"",41]",30,,
1595,2312HeartbeatJourney,7,"[27384,1]",20,,
1596,2312HeartbeatJourney,7,"[27385,1]",30,,
1597,2312HeartbeatJourney,7,"[27386,1]",40,,
1598,2312HeartbeatJourney,7,"[27387,1]",60,,
1599,2315ColorfulLand,28,"[""2315ColorfulLand""]",10,,
1600,2315ColorfulLand,31,"[4607,1]",20,,
1601,2315ColorfulLand,31,"[4607,3]",30,,
1602,2315ColorfulLand,31,"[4607,5]",40,,
1603,2315ColorfulLand,31,"[4602,1]",20,,
1604,2315ColorfulLand,31,"[4602,3]",30,,
1605,2315ColorfulLand,31,"[4602,5]",40,,
1606,2315ColorfulLand,2,"[90615,10]",15,,
1607,2315ColorfulLand,2,"[90615,20]",25,,
1608,2315ColorfulLand,2,"[90615,30]",40,,
1609,2315ColorfulLand,37,"[1,""2315ColorfulLand"",41]",10,,
1610,2315ColorfulLand,37,"[30,""2315ColorfulLand"",41]",20,,
1611,2315ColorfulLand,37,"[50,""2315ColorfulLand"",41]",40,,
1612,2315ColorfulLand,31,"[4613,1]",10,,
1613,2315ColorfulLand,31,"[4613,2]",30,,
1615,2315ColorfulLand,7,"[27396,1]",30,,
1616,2315ColorfulLand,7,"[27397,1]",35,,
1617,2315ColorfulLand,7,"[27398,1]",45,,
1618,2315ColorfulLand,7,"[27399,1]",60,,
1620,2316DragonCircus,28,"[""2316DragonCircus""]",10,,
1621,2316DragonCircus,31,"[4024,1]",20,,
1622,2316DragonCircus,31,"[4040,1]",20,,
1623,2316DragonCircus,31,"[4034,1]",30,,
1624,2316DragonCircus,31,"[4034,3]",50,,
1625,2316DragonCircus,31,"[4034,6]",80,,
1626,2316DragonCircus,31,"[4055,1]",15,,
1627,2316DragonCircus,31,"[4055,3]",25,,
1628,2316DragonCircus,31,"[4055,6]",45,,
1629,2316DragonCircus,31,"[4048,1]",20,,
1630,2316DragonCircus,37,"[1,""2316DragonCircus"",41]",40,,
1631,2316DragonCircus,37,"[30,""2316DragonCircus"",41]",50,,
1634,2316DragonCircus,31,"[4054,1]",30,,
1635,2316DragonCircus,31,"[4051,1]",80,,
1636,2316DragonCircus,31,"[4053,1]",40,,
1637,2316DragonCircus,7,"[27392,1]",20,,
1638,2316DragonCircus,7,"[27393,1]",20,,
1639,2316DragonCircus,7,"[27394,1]",30,,
1640,2316DragonCircus,7,"[27395,1]",35,,
1641,2325RacingCompetition,28,"[""2325RacingCompetition""]",50,,
1642,2325RacingCompetition,31,"[30262,1]",100,,
1643,2325RacingCompetition,31,"[30262,3]",150,,
1644,2325RacingCompetition,31,"[30262,5]",250,,
1645,2325RacingCompetition,31,"[30267,1]",200,,
1646,2325RacingCompetition,31,"[30267,3]",150,,
1647,2325RacingCompetition,31,"[30267,8]",250,,
1648,2325RacingCompetition,31,"[30252,1]",50,,
1649,2325RacingCompetition,31,"[30252,3]",150,,
1650,2325RacingCompetition,31,"[30252,5]",200,,
1651,2325RacingCompetition,31,"[30252,10]",250,,
1652,2325RacingCompetition,37,"[1,""2325RacingCompetition"",41]",250,,
1653,2325RacingCompetition,37,"[30,""2325RacingCompetition"",41]",250,,
1654,2325RacingCompetition,31,"[30276,1]",200,,
1655,2325RacingCompetition,31,"[30277,1]",150,,
1656,2325RacingCompetition,31,"[30278,3]",200,,
1657,2325RacingCompetition,31,"[30279,1]",250,,
1658,2325RacingCompetition,31,"[30284,1]",250,,
1659,2325RacingCompetition,31,"[30280,1]",300,,
1660,2325RacingCompetition,7,"[92005,1]",150,,
1683,2318MusicCampus,28,"[""2318MusicCampus""]",10,,
1684,2318MusicCampus,31,"[4140,1]",20,,
1685,2318MusicCampus,31,"[4148,1]",30,,
1686,2318MusicCampus,31,"[4172,1]",30,,
1687,2318MusicCampus,31,"[4172,3]",30,,
1688,2318MusicCampus,31,"[4172,6]",40,,
1689,2318MusicCampus,37,"[1,""2318MusicCampus"",0]",20,,
1690,2318MusicCampus,37,"[30,""2318MusicCampus"",0]",40,,
1691,2318MusicCampus,31,"[4151,2]",50,,
1692,2318MusicCampus,31,"[4170,2]",20,,
1693,2318MusicCampus,31,"[4149,1]",30,,
1694,2318MusicCampus,31,"[4150,1]",40,,
1695,2318MusicCampus,31,"[4135,1]",40,,
1696,2318MusicCampus,31,"[4213,1]",20,,
1697,2318MusicCampus,7,"[27408,1]",20,,
1698,2318MusicCampus,7,"[27409,1]",50,,
1699,2318MusicCampus,7,"[27410,1]",40,,
1700,2318MusicCampus,7,"[27411,1]",20,,
1701,2318MusicCampus,31,"[4178,1]",10,,
1702,2318MusicCampus,31,"[4178,3]",20,,
1703,2318MusicCampus,31,"[4178,5]",35,,
1704,2318MusicCampus,31,"[4178,7]",45,,
1710,2317Wineestate,28,"[""2317Wineestate""]",10,,
1711,2317Wineestate,31,"[4723,2]",20,,
1712,2317Wineestate,31,"[4725,2]",30,,
1713,2317Wineestate,31,"[4727,2]",30,,
1714,2317Wineestate,31,"[4729,3]",30,,
1715,2317Wineestate,31,"[4732,4]",40,,
1716,2317Wineestate,31,"[4736,1]",10,,
1717,2317Wineestate,31,"[4736,3]",20,,
1718,2317Wineestate,31,"[4736,5]",30,,
1719,2317Wineestate,31,"[4736,10]",50,,
1720,2317Wineestate,37,"[1,""2317Wineestate"",41]",40,,
1721,2317Wineestate,37,"[30,""2317Wineestate"",41]",50,,
1722,2317Wineestate,31,"[4716,1]",20,,
1723,2317Wineestate,31,"[4717,1]",30,,
1724,2317Wineestate,31,"[4718,1]",50,,
1725,2317Wineestate,31,"[4719,1]",40,,
1726,2317Wineestate,31,"[4720,1]",20,,
1727,2317Wineestate,7,"[27400,1]",30,,
1728,2317Wineestate,7,"[27401,1]",20,,
1729,2317Wineestate,7,"[27402,1]",30,,
1730,2317Wineestate,7,"[27403,1]",60,,
1731,2319MagicalKitchen,28,"[""2319MagicalKitchen""]",10,,
1732,2319MagicalKitchen,31,"[4306,1]",20,,
1733,2319MagicalKitchen,31,"[4310,1]",30,,
1734,2319MagicalKitchen,31,"[4314,1]",30,,
1735,2319MagicalKitchen,31,"[4315,1]",30,,
1736,2319MagicalKitchen,31,"[4317,1]",30,,
1737,2319MagicalKitchen,31,"[4320,1]",40,,
1738,2319MagicalKitchen,31,"[4321,1]",50,,
1739,2319MagicalKitchen,31,"[4287,1]",30,,
1740,2319MagicalKitchen,31,"[4287,5]",30,,
1741,2319MagicalKitchen,31,"[4287,10]",50,,
1742,2319MagicalKitchen,31,"[4275,1]",20,,
1743,2319MagicalKitchen,31,"[4275,3]",30,,
1744,2319MagicalKitchen,31,"[4281,1]",20,,
1745,2319MagicalKitchen,31,"[4281,6]",30,,
