id,type,activityId,rankInterval,score,scoreReward,valueType,
1003302,4,1003,"[31,40]",228,"[[30000,3],[1003,10]]",,
1003303,4,1003,"[31,40]",378,"[[30000,5],[1003,15]]",,
1003304,4,1003,"[31,40]",556,"[[30000,5],[1003,30],[1001,2]]",,
1003305,4,1003,"[31,40]",756,"[[30000,5],[1003,50],[1001,3]]",,
1003306,4,1003,"[31,40]",984,"[[30000,10],[1003,80],[1001,5]]",,
1003401,4,1003,"[41,59]",152,"[[30000,2]]",,
1003402,4,1003,"[41,59]",342,"[[30000,3],[1003,10]]",,
1003403,4,1003,"[41,59]",570,"[[30000,5],[1003,15]]",,
1003404,4,1003,"[41,59]",836,"[[30000,5],[1003,30],[1001,2]]",,
1003405,4,1003,"[41,59]",1140,"[[30000,5],[1003,50],[1001,3]]",,
1003406,4,1003,"[41,59]",1482,"[[30000,10],[1003,80],[1001,5]]",,
1004101,4,1004,"[12,20]",26,"[[1003,5]]",,
1004102,4,1004,"[12,20]",58,"[[1003,5]]",,
1004103,4,1004,"[12,20]",96,"[[1003,5]]",,
1004104,4,1004,"[12,20]",142,"[[1003,5]]",,
1004105,4,1004,"[12,20]",192,"[[1003,5]]",,
1004106,4,1004,"[12,20]",250,"[[1003,8],[30000,1]]",,
1004107,4,1004,"[12,20]",284,"[[1003,8],[30000,1]]",,
1004108,4,1004,"[12,20]",329,"[[1003,8],[30000,1]]",,
1004109,4,1004,"[12,20]",374,"[[1003,8],[30000,1]]",,
1004110,4,1004,"[12,20]",419,"[[27677,1]]",,
1004111,4,1004,"[12,20]",463,"[[1003,10],[30000,2],[1001,1]]",,
1004112,4,1004,"[12,20]",508,"[[1003,10],[30000,2],[1001,1]]",,
1004113,4,1004,"[12,20]",553,"[[1003,10],[30000,2],[1001,1]]",,
1004114,4,1004,"[12,20]",598,"[[1003,10],[30000,2],[1001,1]]",,
1004115,4,1004,"[12,20]",643,"[[1003,10],[30000,2],[1001,1]]",,
1004201,4,1004,"[21,35]",60,"[[1003,8],[30000,1]]",,
1004202,4,1004,"[21,35]",134,"[[1003,8],[30000,1]]",,
1004203,4,1004,"[21,35]",222,"[[1003,8],[30000,1]]",,
1004204,4,1004,"[21,35]",326,"[[1003,8],[30000,1]]",,
1004205,4,1004,"[21,35]",444,"[[1003,8],[30000,1]]",,
1004206,4,1004,"[21,35]",578,"[[1003,10],[30000,2]]",,
1004207,4,1004,"[21,35]",656,"[[1003,10],[30000,2]]",,
1004208,4,1004,"[21,35]",760,"[[1003,10],[30000,2]]",,
1004209,4,1004,"[21,35]",863,"[[1003,10],[30000,2]]",,
1004210,4,1004,"[21,35]",967,"[[27677,1]]",,
1004211,4,1004,"[21,35]",1071,"[[1003,12],[30000,3],[1001,2]]",,
1004212,4,1004,"[21,35]",1174,"[[1003,12],[30000,3],[1001,2]]",,
1004213,4,1004,"[21,35]",1278,"[[1003,12],[30000,3],[1001,2]]",,
1004214,4,1004,"[21,35]",1381,"[[1003,12],[30000,3],[1001,2]]",,
1004215,4,1004,"[21,35]",1485,"[[1003,12],[30000,3],[1001,2]]",,
1004301,4,1004,"[36,59]",98,"[[1003,10],[30000,2]]",,
1004302,4,1004,"[36,59]",220,"[[1003,10],[30000,2]]",,
1004303,4,1004,"[36,59]",366,"[[1003,10],[30000,2]]",,
1004304,4,1004,"[36,59]",538,"[[1003,10],[30000,2]]",,
1004305,4,1004,"[36,59]",732,"[[1003,10],[30000,2]]",,
1004306,4,1004,"[36,59]",952,"[[1003,12],[30000,3]]",,
1004307,4,1004,"[36,59]",1082,"[[1003,12],[30000,3]]",,
1004308,4,1004,"[36,59]",1253,"[[1003,12],[30000,3]]",,
1004309,4,1004,"[36,59]",1424,"[[1003,12],[30000,3]]",,
1004310,4,1004,"[36,59]",1595,"[[27677,1]]",,
1004311,4,1004,"[36,59]",1765,"[[1003,15],[30000,6],[1001,5]]",,
1004312,4,1004,"[36,59]",1936,"[[1003,15],[30000,6],[1001,5]]",,
1004313,4,1004,"[36,59]",2107,"[[1003,15],[30000,6],[1001,5]]",,
1004314,4,1004,"[36,59]",2278,"[[1003,15],[30000,6],[1001,5]]",,
1004315,4,1004,"[36,59]",2449,"[[1003,15],[30000,6],[1001,5]]",,
1005101,4,1011,"[12,20]",26,"[[1003,5]]",,
1005102,4,1011,"[12,20]",58,"[[1003,5]]",,
1005103,4,1011,"[12,20]",96,"[[1003,5]]",,
1005104,4,1011,"[12,20]",142,"[[1003,5]]",,
1005105,4,1011,"[12,20]",192,"[[1003,5]]",,
1005106,4,1011,"[12,20]",250,"[[1003,8],[30000,1]]",,
1005107,4,1011,"[12,20]",284,"[[1003,8],[30000,1]]",,
1005108,4,1011,"[12,20]",329,"[[1003,8],[30000,1]]",,
1005109,4,1011,"[12,20]",374,"[[1003,8],[30000,1]]",,
1005110,4,1011,"[12,20]",419,"[[27661,1]]",,
1005111,4,1011,"[12,20]",463,"[[1003,10],[30000,2],[1001,1]]",,
1005112,4,1011,"[12,20]",508,"[[1003,10],[30000,2],[1001,1]]",,
1005113,4,1011,"[12,20]",553,"[[1003,10],[30000,2],[1001,1]]",,
1005114,4,1011,"[12,20]",598,"[[1003,10],[30000,2],[1001,1]]",,
1005115,4,1011,"[12,20]",643,"[[1003,10],[30000,2],[1001,1]]",,
1005201,4,1011,"[21,35]",60,"[[1003,8],[30000,1]]",,
1005202,4,1011,"[21,35]",134,"[[1003,8],[30000,1]]",,
1005203,4,1011,"[21,35]",222,"[[1003,8],[30000,1]]",,
1005204,4,1011,"[21,35]",326,"[[1003,8],[30000,1]]",,
1005205,4,1011,"[21,35]",444,"[[1003,8],[30000,1]]",,
1005206,4,1011,"[21,35]",578,"[[1003,10],[30000,2]]",,
1005207,4,1011,"[21,35]",656,"[[1003,10],[30000,2]]",,
1005208,4,1011,"[21,35]",760,"[[1003,10],[30000,2]]",,
1005209,4,1011,"[21,35]",863,"[[1003,10],[30000,2]]",,
1005210,4,1011,"[21,35]",967,"[[27661,1]]",,
1005211,4,1011,"[21,35]",1071,"[[1003,12],[30000,3],[1001,2]]",,
1005212,4,1011,"[21,35]",1174,"[[1003,12],[30000,3],[1001,2]]",,
1005213,4,1011,"[21,35]",1278,"[[1003,12],[30000,3],[1001,2]]",,
1005214,4,1011,"[21,35]",1381,"[[1003,12],[30000,3],[1001,2]]",,
1005215,4,1011,"[21,35]",1485,"[[1003,12],[30000,3],[1001,2]]",,
1005301,4,1011,"[36,59]",98,"[[1003,10],[30000,2]]",,
1005302,4,1011,"[36,59]",220,"[[1003,10],[30000,2]]",,
1005303,4,1011,"[36,59]",366,"[[1003,10],[30000,2]]",,
1005304,4,1011,"[36,59]",538,"[[1003,10],[30000,2]]",,
1005305,4,1011,"[36,59]",732,"[[1003,10],[30000,2]]",,
1005306,4,1011,"[36,59]",952,"[[1003,12],[30000,3]]",,
1005307,4,1011,"[36,59]",1082,"[[1003,12],[30000,3]]",,
1005308,4,1011,"[36,59]",1253,"[[1003,12],[30000,3]]",,
1005309,4,1011,"[36,59]",1424,"[[1003,12],[30000,3]]",,
1005310,4,1011,"[36,59]",1595,"[[27661,1]]",,
1005311,4,1011,"[36,59]",1765,"[[1003,15],[30000,6],[1001,5]]",,
1005312,4,1011,"[36,59]",1936,"[[1003,15],[30000,6],[1001,5]]",,
1005313,4,1011,"[36,59]",2107,"[[1003,15],[30000,6],[1001,5]]",,
1005314,4,1011,"[36,59]",2278,"[[1003,15],[30000,6],[1001,5]]",,
1005315,4,1011,"[36,59]",2449,"[[1003,15],[30000,6],[1001,5]]",,
1006101,4,1012,"[12,20]",26,"[[1003,5]]",,
1006102,4,1012,"[12,20]",58,"[[1003,5]]",,
1006103,4,1012,"[12,20]",96,"[[1003,5]]",,
1006104,4,1012,"[12,20]",142,"[[1003,5]]",,
1006105,4,1012,"[12,20]",192,"[[1003,5]]",,
1006106,4,1012,"[12,20]",250,"[[1003,8],[30000,1]]",,
1006107,4,1012,"[12,20]",284,"[[1003,8],[30000,1]]",,
1006108,4,1012,"[12,20]",329,"[[1003,8],[30000,1]]",,
1006109,4,1012,"[12,20]",374,"[[1003,8],[30000,1]]",,
1006110,4,1012,"[12,20]",419,"[[27663,1]]",,
1006111,4,1012,"[12,20]",463,"[[1003,10],[30000,2],[1001,1]]",,
1006112,4,1012,"[12,20]",508,"[[1003,10],[30000,2],[1001,1]]",,
1006113,4,1012,"[12,20]",553,"[[1003,10],[30000,2],[1001,1]]",,
1006114,4,1012,"[12,20]",598,"[[1003,10],[30000,2],[1001,1]]",,
1006115,4,1012,"[12,20]",643,"[[1003,10],[30000,2],[1001,1]]",,
1006201,4,1012,"[21,35]",60,"[[1003,8],[30000,1]]",,
1006202,4,1012,"[21,35]",134,"[[1003,8],[30000,1]]",,
1006203,4,1012,"[21,35]",222,"[[1003,8],[30000,1]]",,
1006204,4,1012,"[21,35]",326,"[[1003,8],[30000,1]]",,
1006205,4,1012,"[21,35]",444,"[[1003,8],[30000,1]]",,
1006206,4,1012,"[21,35]",578,"[[1003,10],[30000,2]]",,
1006207,4,1012,"[21,35]",656,"[[1003,10],[30000,2]]",,
1006208,4,1012,"[21,35]",760,"[[1003,10],[30000,2]]",,
1006209,4,1012,"[21,35]",863,"[[1003,10],[30000,2]]",,
1006210,4,1012,"[21,35]",967,"[[27663,1]]",,
1006211,4,1012,"[21,35]",1071,"[[1003,12],[30000,3],[1001,2]]",,
1006212,4,1012,"[21,35]",1174,"[[1003,12],[30000,3],[1001,2]]",,
1006213,4,1012,"[21,35]",1278,"[[1003,12],[30000,3],[1001,2]]",,
1006214,4,1012,"[21,35]",1381,"[[1003,12],[30000,3],[1001,2]]",,
1006215,4,1012,"[21,35]",1485,"[[1003,12],[30000,3],[1001,2]]",,
1006301,4,1012,"[36,59]",98,"[[1003,10],[30000,2]]",,
1006302,4,1012,"[36,59]",220,"[[1003,10],[30000,2]]",,
1006303,4,1012,"[36,59]",366,"[[1003,10],[30000,2]]",,
1006304,4,1012,"[36,59]",538,"[[1003,10],[30000,2]]",,
1006305,4,1012,"[36,59]",732,"[[1003,10],[30000,2]]",,
1006306,4,1012,"[36,59]",952,"[[1003,12],[30000,3]]",,
1006307,4,1012,"[36,59]",1082,"[[1003,12],[30000,3]]",,
1006308,4,1012,"[36,59]",1253,"[[1003,12],[30000,3]]",,
1006309,4,1012,"[36,59]",1424,"[[1003,12],[30000,3]]",,
1006310,4,1012,"[36,59]",1595,"[[27663,1]]",,
1006311,4,1012,"[36,59]",1765,"[[1003,15],[30000,6],[1001,5]]",,
1006312,4,1012,"[36,59]",1936,"[[1003,15],[30000,6],[1001,5]]",,
1006313,4,1012,"[36,59]",2107,"[[1003,15],[30000,6],[1001,5]]",,
1006314,4,1012,"[36,59]",2278,"[[1003,15],[30000,6],[1001,5]]",,
1006315,4,1012,"[36,59]",2449,"[[1003,15],[30000,6],[1001,5]]",,
1007101,4,1013,"[12,20]",26,"[[1003,5]]",,
1007102,4,1013,"[12,20]",58,"[[1003,5]]",,
1007103,4,1013,"[12,20]",96,"[[1003,5]]",,
1007104,4,1013,"[12,20]",142,"[[1003,5]]",,
1007105,4,1013,"[12,20]",192,"[[1003,5]]",,
1007106,4,1013,"[12,20]",250,"[[1003,8],[30000,1]]",,
1007107,4,1013,"[12,20]",284,"[[1003,8],[30000,1]]",,
1007108,4,1013,"[12,20]",329,"[[1003,8],[30000,1]]",,
1007109,4,1013,"[12,20]",374,"[[1003,8],[30000,1]]",,
1007110,4,1013,"[12,20]",419,"[[27674,1]]",,
1007111,4,1013,"[12,20]",463,"[[1003,10],[30000,2],[1001,1]]",,
1007112,4,1013,"[12,20]",508,"[[1003,10],[30000,2],[1001,1]]",,
1007113,4,1013,"[12,20]",553,"[[1003,10],[30000,2],[1001,1]]",,
1007114,4,1013,"[12,20]",598,"[[1003,10],[30000,2],[1001,1]]",,
1007115,4,1013,"[12,20]",643,"[[1003,10],[30000,2],[1001,1]]",,
1007201,4,1013,"[21,35]",60,"[[1003,8],[30000,1]]",,
1007202,4,1013,"[21,35]",134,"[[1003,8],[30000,1]]",,
1007203,4,1013,"[21,35]",222,"[[1003,8],[30000,1]]",,
1007204,4,1013,"[21,35]",326,"[[1003,8],[30000,1]]",,
1007205,4,1013,"[21,35]",444,"[[1003,8],[30000,1]]",,
1007206,4,1013,"[21,35]",578,"[[1003,10],[30000,2]]",,
1007207,4,1013,"[21,35]",656,"[[1003,10],[30000,2]]",,
1007208,4,1013,"[21,35]",760,"[[1003,10],[30000,2]]",,
1007209,4,1013,"[21,35]",863,"[[1003,10],[30000,2]]",,
1007210,4,1013,"[21,35]",967,"[[27674,1]]",,
1007211,4,1013,"[21,35]",1071,"[[1003,12],[30000,3],[1001,2]]",,
1007212,4,1013,"[21,35]",1174,"[[1003,12],[30000,3],[1001,2]]",,
1007213,4,1013,"[21,35]",1278,"[[1003,12],[30000,3],[1001,2]]",,
1007214,4,1013,"[21,35]",1381,"[[1003,12],[30000,3],[1001,2]]",,
1007215,4,1013,"[21,35]",1485,"[[1003,12],[30000,3],[1001,2]]",,
1007301,4,1013,"[36,59]",98,"[[1003,10],[30000,2]]",,
1007302,4,1013,"[36,59]",220,"[[1003,10],[30000,2]]",,
1007303,4,1013,"[36,59]",366,"[[1003,10],[30000,2]]",,
1007304,4,1013,"[36,59]",538,"[[1003,10],[30000,2]]",,
1007305,4,1013,"[36,59]",732,"[[1003,10],[30000,2]]",,
1007306,4,1013,"[36,59]",952,"[[1003,12],[30000,3]]",,
1007307,4,1013,"[36,59]",1082,"[[1003,12],[30000,3]]",,
1007308,4,1013,"[36,59]",1253,"[[1003,12],[30000,3]]",,
1007309,4,1013,"[36,59]",1424,"[[1003,12],[30000,3]]",,
1007310,4,1013,"[36,59]",1595,"[[27674,1]]",,
1007311,4,1013,"[36,59]",1765,"[[1003,15],[30000,6],[1001,5]]",,
1007312,4,1013,"[36,59]",1936,"[[1003,15],[30000,6],[1001,5]]",,
1007313,4,1013,"[36,59]",2107,"[[1003,15],[30000,6],[1001,5]]",,
1007314,4,1013,"[36,59]",2278,"[[1003,15],[30000,6],[1001,5]]",,
1007315,4,1013,"[36,59]",2449,"[[1003,15],[30000,6],[1001,5]]",,
1008101,4,1014,"[12,20]",16,"[[30000,2]]",,
1008102,4,1014,"[12,20]",36,"[[30000,3],[1003,10]]",,
1008103,4,1014,"[12,20]",60,"[[30000,5],[1003,15]]",,
1008104,4,1014,"[12,20]",88,"[[30000,5],[1003,30],[1001,2]]",,
1008105,4,1014,"[12,20]",120,"[[30000,5],[1003,50],[1001,3]]",,
1008106,4,1014,"[12,20]",156,"[[30000,10],[1003,80],[1001,5]]",,
1008201,4,1014,"[21,30]",64,"[[30000,2]]",,
1008202,4,1014,"[21,30]",144,"[[30000,3],[1003,10]]",,
1008203,4,1014,"[21,30]",240,"[[30000,5],[1003,15]]",,
1008204,4,1014,"[21,30]",352,"[[30000,5],[1003,30],[1001,2]]",,
1008205,4,1014,"[21,30]",480,"[[30000,5],[1003,50],[1001,3]]",,
1008206,4,1014,"[21,30]",624,"[[30000,10],[1003,80],[1001,5]]",,
1008301,4,1014,"[31,40]",136,"[[30000,2]]",,
1008302,4,1014,"[31,40]",306,"[[30000,3],[1003,10]]",,
1008303,4,1014,"[31,40]",510,"[[30000,5],[1003,15]]",,
1008304,4,1014,"[31,40]",748,"[[30000,5],[1003,30],[1001,2]]",,
1008305,4,1014,"[31,40]",1020,"[[30000,5],[1003,50],[1001,3]]",,
1008306,4,1014,"[31,40]",1326,"[[30000,10],[1003,80],[1001,5]]",,
1008401,4,1014,"[41,59]",238,"[[30000,2]]",,
1008402,4,1014,"[41,59]",534,"[[30000,3],[1003,10]]",,
1008403,4,1014,"[41,59]",888,"[[30000,5],[1003,15]]",,
1008404,4,1014,"[41,59]",1304,"[[30000,5],[1003,30],[1001,2]]",,
1008405,4,1014,"[41,59]",1776,"[[30000,5],[1003,50],[1001,3]]",,
1008406,4,1014,"[41,59]",2310,"[[30000,10],[1003,80],[1001,5]]",,
10001101,5,10001,"[10,15]",80,"[[1003,30]]",,
10001102,5,10001,"[10,15]",240,"[[1002,300]]",,
10001103,5,10001,"[10,15]",640,"[[1003,50]]",,
10001104,5,10001,"[10,15]",1040,"[[1002,300]]",,
10001105,5,10001,"[10,15]",2000,"[[11001,1]]",,
10001106,5,10001,"[10,15]",2400,"[[1003,30]]",,
10001107,5,10001,"[10,15]",2800,"[[1002,500]]",,
10001108,5,10001,"[10,15]",3200,"[[1003,50]]",,
10001109,5,10001,"[10,15]",3600,"[[1002,500]]",,
10001110,5,10001,"[10,15]",4400,"[[1001,10]]",,
10001111,5,10001,"[10,15]",4800,"[[1003,30]]",,
10001112,5,10001,"[10,15]",5200,"[[1002,500]]",,
10001113,5,10001,"[10,15]",5600,"[[1003,50]]",,
10001114,5,10001,"[10,15]",6000,"[[1002,500]]",,
10001115,5,10001,"[10,15]",6400,"[[1003,50]]",,
10001116,5,10001,"[10,15]",8000,"[[1001,50]]",,
10001117,5,10001,"[16,25]",100,"[[1003,30]]",,
10001118,5,10001,"[16,25]",300,"[[1002,300]]",,
10001119,5,10001,"[16,25]",800,"[[1003,50]]",,
10001120,5,10001,"[16,25]",1300,"[[1002,300]]",,
10001121,5,10001,"[16,25]",2500,"[[11001,1]]",,
10001122,5,10001,"[16,25]",3000,"[[1003,30]]",,
10001123,5,10001,"[16,25]",3500,"[[1002,500]]",,
10001124,5,10001,"[16,25]",4000,"[[1003,50]]",,
10001125,5,10001,"[16,25]",4500,"[[1002,500]]",,
10001126,5,10001,"[16,25]",5500,"[[1001,10]]",,
10001127,5,10001,"[16,25]",6000,"[[1003,30]]",,
10001128,5,10001,"[16,25]",6500,"[[1002,500]]",,
10001129,5,10001,"[16,25]",7000,"[[1003,50]]",,
10001130,5,10001,"[16,25]",7500,"[[1002,500]]",,
10001131,5,10001,"[16,25]",8000,"[[1003,50]]",,
10001132,5,10001,"[16,25]",10000,"[[1001,50]]",,
10001133,5,10001,"[26,40]",120,"[[1003,30]]",,
10001134,5,10001,"[26,40]",360,"[[1002,300]]",,
10001135,5,10001,"[26,40]",960,"[[1003,50]]",,
10001136,5,10001,"[26,40]",1560,"[[1002,300]]",,
10001137,5,10001,"[26,40]",3000,"[[11001,1]]",,
10001138,5,10001,"[26,40]",3600,"[[1003,30]]",,
10001139,5,10001,"[26,40]",4200,"[[1002,500]]",,
10001140,5,10001,"[26,40]",4800,"[[1003,50]]",,
10001141,5,10001,"[26,40]",5400,"[[1002,500]]",,
10001142,5,10001,"[26,40]",6600,"[[1001,10]]",,
10001143,5,10001,"[26,40]",7200,"[[1003,30]]",,
10001144,5,10001,"[26,40]",7800,"[[1002,500]]",,
10001145,5,10001,"[26,40]",8400,"[[1003,50]]",,
10001146,5,10001,"[26,40]",9000,"[[1002,500]]",,
10001147,5,10001,"[26,40]",9600,"[[1003,50]]",,
10001148,5,10001,"[26,40]",12000,"[[1001,50]]",,
10001149,5,10001,"[41,59]",130,"[[1003,30]]",,
10001150,5,10001,"[41,59]",390,"[[1002,300]]",,
10001151,5,10001,"[41,59]",1040,"[[1003,50]]",,
10001152,5,10001,"[41,59]",1690,"[[1002,300]]",,
10001153,5,10001,"[41,59]",3250,"[[11001,1]]",,
10001154,5,10001,"[41,59]",3900,"[[1003,30]]",,
10001155,5,10001,"[41,59]",4550,"[[1002,500]]",,
10001156,5,10001,"[41,59]",5200,"[[1003,50]]",,
10001157,5,10001,"[41,59]",5850,"[[1002,500]]",,
10001158,5,10001,"[41,59]",7150,"[[1001,10]]",,
10001159,5,10001,"[41,59]",7800,"[[1003,30]]",,
10001160,5,10001,"[41,59]",8450,"[[1002,500]]",,
10001161,5,10001,"[41,59]",9100,"[[1003,50]]",,
10001162,5,10001,"[41,59]",9750,"[[1002,500]]",,
10001163,5,10001,"[41,59]",10400,"[[1003,50]]",,
10001164,5,10001,"[41,59]",13000,"[[1001,50]]",,
10011101,5,10002,"[10,15]",80,"[[1003,30]]",,
10011102,5,10002,"[10,15]",240,"[[1002,300]]",,
10011103,5,10002,"[10,15]",640,"[[1003,50]]",,
10011104,5,10002,"[10,15]",1040,"[[1002,300]]",,
10011105,5,10002,"[10,15]",2000,"[[11001,1]]",,
10011106,5,10002,"[10,15]",2400,"[[1003,30]]",,
10011107,5,10002,"[10,15]",2800,"[[1002,500]]",,
10011108,5,10002,"[10,15]",3200,"[[1003,50]]",,
10011109,5,10002,"[10,15]",3600,"[[1002,500]]",,
10011110,5,10002,"[10,15]",4400,"[[1001,10]]",,
10011111,5,10002,"[10,15]",4800,"[[1003,30]]",,
10011112,5,10002,"[10,15]",5200,"[[1002,500]]",,
10011113,5,10002,"[10,15]",5600,"[[1003,50]]",,
10011114,5,10002,"[10,15]",6000,"[[1002,500]]",,
10011115,5,10002,"[10,15]",6400,"[[1003,50]]",,
10011116,5,10002,"[10,15]",8000,"[[1001,50]]",,
10011201,5,10002,"[16,25]",100,"[[1003,30]]",,
10011202,5,10002,"[16,25]",300,"[[1002,300]]",,
10011203,5,10002,"[16,25]",800,"[[1003,50]]",,
10011204,5,10002,"[16,25]",1300,"[[1002,300]]",,
10011205,5,10002,"[16,25]",2500,"[[11001,1]]",,
10011206,5,10002,"[16,25]",3000,"[[1003,30]]",,
10011207,5,10002,"[16,25]",3500,"[[1002,500]]",,
10011208,5,10002,"[16,25]",4000,"[[1003,50]]",,
10011209,5,10002,"[16,25]",4500,"[[1002,500]]",,
10011210,5,10002,"[16,25]",5500,"[[1001,10]]",,
10011211,5,10002,"[16,25]",6000,"[[1003,30]]",,
10011212,5,10002,"[16,25]",6500,"[[1002,500]]",,
10011213,5,10002,"[16,25]",7000,"[[1003,50]]",,
10011214,5,10002,"[16,25]",7500,"[[1002,500]]",,
10011215,5,10002,"[16,25]",8000,"[[1003,50]]",,
10011216,5,10002,"[16,25]",10000,"[[1001,50]]",,
10011301,5,10002,"[26,40]",120,"[[1003,30]]",,
10011302,5,10002,"[26,40]",360,"[[1002,300]]",,
10011303,5,10002,"[26,40]",960,"[[1003,50]]",,
10011304,5,10002,"[26,40]",1560,"[[1002,300]]",,
10011305,5,10002,"[26,40]",3000,"[[11001,1]]",,
10011306,5,10002,"[26,40]",3600,"[[1003,30]]",,
10011307,5,10002,"[26,40]",4200,"[[1002,500]]",,
10011308,5,10002,"[26,40]",4800,"[[1003,50]]",,
10011309,5,10002,"[26,40]",5400,"[[1002,500]]",,
10011310,5,10002,"[26,40]",6600,"[[1001,10]]",,
10011311,5,10002,"[26,40]",7200,"[[1003,30]]",,
10011312,5,10002,"[26,40]",7800,"[[1002,500]]",,
10011313,5,10002,"[26,40]",8400,"[[1003,50]]",,
10011314,5,10002,"[26,40]",9000,"[[1002,500]]",,
10011315,5,10002,"[26,40]",9600,"[[1003,50]]",,
10011316,5,10002,"[26,40]",12000,"[[1001,50]]",,
10011401,5,10002,"[41,59]",130,"[[1003,30]]",,
10011402,5,10002,"[41,59]",390,"[[1002,300]]",,
10011403,5,10002,"[41,59]",1040,"[[1003,50]]",,
10011404,5,10002,"[41,59]",1690,"[[1002,300]]",,
