id,type,storyone,storyonereward,wildstrolltext,clickreward,
33,403,,"[11000,11001]","[""bubble_403_1"",""upgradeabletext_403_1"",""wildstrolltext_403_1""]",[11001],
34,404,,"[11000,11001]","[""bubble_404_1"",""upgradeabletext_404_1"",""wildstrolltext_404_1""]",[11001],
35,405,,"[11000,11001]","[""bubble_405_1"",""upgradeabletext_405_1"",""wildstrolltext_405_1""]",[11001],
36,406,,"[11000,11001]","[""bubble_406_1"",""upgradeabletext_406_1"",""wildstrolltext_406_1""]",[11001],
37,407,,"[11000,11001]","[""bubble_407_1"",""upgradeabletext_407_1"",""wildstrolltext_407_1""]",[11001],
38,408,,"[11000,11001]","[""bubble_408_1"",""upgradeabletext_408_1"",""wildstrolltext_408_1""]",[11001],
39,409,,"[11000,11001]","[""bubble_409_1"",""upgradeabletext_409_1"",""wildstrolltext_409_1""]",[11001],
40,410,,"[11000,11001]","[""bubble_410_1"",""upgradeabletext_410_1"",""wildstrolltext_410_1""]",[11001],
41,117,story_117,"[11000,11001]","[""bubble_117_1"",""upgradeabletext_117_1"",""wildstrolltext_117_1""]",[11001],
42,307,story_307,"[11000,11001]","[""bubble_307_1"",""upgradeabletext_307_1"",""wildstrolltext_307_1""]",[11001],
43,209,,"[11000,11001]","[""bubble_209_1"",""upgradeabletext_209_1"",""wildstrolltext_209_1""]",[11001],
44,210,,"[11000,11001]","[""bubble_210_1"",""upgradeabletext_210_1"",""wildstrolltext_210_1""]",[11001],
45,308,story_308,"[11000,11001]","[""bubble_308_1"",""upgradeabletext_308_1"",""wildstrolltext_308_1""]",[11001],
46,309,story_309,"[11000,11001]","[""bubble_309_1"",""upgradeabletext_309_1"",""wildstrolltext_309_1""]",[11001],
47,310,story_310,"[11000,11001]","[""bubble_310_1"",""upgradeabletext_309_1"",""wildstrolltext_310_1""]",[11001],
48,311,,"[11000,11001]","[""bubble_310_1"",""upgradeabletext_309_1"",""wildstrolltext_310_1""]",[11001],
49,312,,"[11000,11001]","[""bubble_310_1"",""upgradeabletext_309_1"",""wildstrolltext_310_1""]",[11001],
50,411,,"[11000,11001]","[""bubble_410_1"",""upgradeabletext_410_1"",""wildstrolltext_410_1""]",[11001],
51,412,,"[11000,11001]","[""bubble_410_1"",""upgradeabletext_410_1"",""wildstrolltext_410_1""]",[11001],
52,315,,"[11000,11001]","[""bubble_315_1"",""upgradeabletext_315_1"",""wildstrolltext_315_1""]",[11001],
53,413,,"[11000,11001]","[""bubble_413_1"",""upgradeabletext_413_1"",""wildstrolltext_413_1""]",[11001],
54,313,,"[11000,11001]","[""bubble_313_1"",""upgradeabletext_313_1"",""wildstrolltext_313_1""]",[11001],
55,314,,"[11000,11001]","[""bubble_314_1"",""upgradeabletext_314_1"",""wildstrolltext_314_1""]",[11001],
56,316,,"[11000,11001]","[""bubble_316_1"",""upgradeabletext_316_1"",""wildstrolltext_316_1""]",[11001],
57,317,,"[11000,11001]","[""bubble_317_1"",""upgradeabletext_317_1"",""wildstrolltext_317_1""]",[11001],
58,318,,"[11000,11001]","[""bubble_318_1"",""upgradeabletext_318_1"",""wildstrolltext_318_1""]",[11001],
59,414,,"[11000,11001]","[""bubble_414_1"",""upgradeabletext_414_1"",""wildstrolltext_414_1""]",[11001],
60,415,,"[11000,11001]","[""bubble_415_1"",""upgradeabletext_415_1"",""wildstrolltext_415_1""]",[11001],
61,319,,"[11000,11001]","[""bubble_319_1"",""upgradeabletext_319_1"",""wildstrolltext_319_1""]",[11001],
62,320,,"[11000,11001]","[""bubble_320_1"",""upgradeabletext_320_1"",""wildstrolltext_320_1""]",[11001],
63,321,,"[11000,11001]","[""bubble_321_1"",""upgradeabletext_321_1"",""wildstrolltext_321_1""]",[11001],
64,322,story_322,"[11000,11001]","[""bubble_322_1"",""upgradeabletext_322_1"",""wildstrolltext_322_1""]",[11001],
65,323,story_323,"[11000,11001]","[""bubble_323_1"",""upgradeabletext_323_1"",""wildstrolltext_323_1""]",[11001],
66,324,,"[11000,11001]","[""bubble_324_1"",""upgradeabletext_324_1"",""wildstrolltext_324_1""]",[11001],
67,325,story_325,"[11000,11001]","[""bubble_325_1"",""upgradeabletext_325_1"",""wildstrolltext_325_1""]",[11001],
68,326,story_326,"[11000,11001]","[""bubble_326_1"",""upgradeabletext_326_1"",""wildstrolltext_326_1""]",[11001],
69,327,story_327,"[11000,11001]","[""bubble_327_1"",""upgradeabletext_327_1"",""wildstrolltext_327_1""]",[11001],
70,328,story_328,"[11000,11001]","[""bubble_328_1"",""upgradeabletext_328_1"",""wildstrolltext_328_1""]",[11001],
71,329,,"[11000,11001]","[""bubble_329_1"",""upgradeabletext_329_1"",""wildstrolltext_329_1""]",[11001],
72,330,,"[11000,11001]","[""bubble_330_1"",""upgradeabletext_330_1"",""wildstrolltext_330_1""]",[11001],
73,331,,"[11000,11001]","[""bubble_331_1"",""upgradeabletext_331_1"",""wildstrolltext_331_1""]",[11001],
74,416,,"[11000,11001]","[""bubble_416_1"",""upgradeabletext_416_1"",""wildstrolltext_416_1""]",[11001],
75,332,,"[11000,11001]","[""bubble_332_1"",""upgradeabletext_332_1"",""wildstrolltext_332_1""]",[11001],
76,333,,"[11000,11001]","[""bubble_333_1"",""upgradeabletext_333_1"",""wildstrolltext_333_1""]",[11001],
77,334,,"[11000,11001]","[""bubble_334_1"",""upgradeabletext_334_1"",""wildstrolltext_334_1""]",[11001],
78,119,,"[11000,11001]","[""bubble_119_1"",""upgradeabletext_119_1"",""wildstrolltext_119_1""]",[11001],
79,335,,"[11000,11001]","[""bubble_329_1"",""upgradeabletext_329_1"",""wildstrolltext_329_1""]",[11001],
80,336,,"[11000,11001]","[""bubble_330_1"",""upgradeabletext_330_1"",""wildstrolltext_330_1""]",[11001],
81,337,,"[11000,11001]","[""bubble_331_1"",""upgradeabletext_331_1"",""wildstrolltext_331_1""]",[11001],
82,417,,"[11000,11001]","[""bubble_331_1"",""upgradeabletext_331_1"",""wildstrolltext_331_1""]",[11001],
83,338,,"[11000,11001]","[""bubble_330_1"",""upgradeabletext_330_1"",""wildstrolltext_330_1""]",[11001],
84,339,,"[11000,11001]","[""bubble_328_1"",""upgradeabletext_328_1"",""wildstrolltext_328_1""]",[11001],
85,418,,"[11000,11001]","[""bubble_330_1"",""upgradeabletext_330_1"",""wildstrolltext_330_1""]",[11001],
86,120,,"[11000,11001]","[""bubble_322_1"",""upgradeabletext_322_1"",""wildstrolltext_322_1""]",[11001],
87,340,,"[11000,11001]","[""bubble_329_1"",""upgradeabletext_329_1"",""wildstrolltext_329_1""]",[11001],
88,419,,"[11000,11001]","[""bubble_330_1"",""upgradeabletext_330_1"",""wildstrolltext_330_1""]",[11001],
89,420,,"[11000,11001]","[""bubble_328_1"",""upgradeabletext_328_1"",""wildstrolltext_328_1""]",[11001],
90,341,,"[11000,11001]","[""bubble_328_1"",""upgradeabletext_328_1"",""wildstrolltext_328_1""]",[11001],
