id,exp,energy,energyMakeUp,levelUpReward,timeOrderNum,timeOrderItem_1,timeOrderItem_2,timeOrderItem_3,timeOrderTimeMin,timeOrderTimeMax,timeOrderHome,timeOrderReward,dragonHelpNum,dragonSkillNumDay,dragonSceneNum,partnerLevelLimit,goldOrderrReward_Exp,dailyMissionExp,goldOrderReward,
11,4300,60,"[14,25,100]","[[1001,3],[1002,300],[1003,40]]","[400,600]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[9,9,36]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,4,11,0,[60],[],
12,6800,61,"[14,25,100]","[[1001,3],[1002,300],[1003,40]]","[300,700]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[11,11,36]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,5,12,0,[73],[],
13,8300,62,"[15,25,100]","[[1001,3],[1002,300],[1003,40]]","[300,700]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,100],[7,0],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[11,11,32]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,5,13,0,[73],[],
14,8800,63,"[15,25,100]","[[1001,3],[1002,300],[1003,40]]","[300,700]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,80],[7,20],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,80],[7,20],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[22,22,32]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,5,14,127,[73],"[2100,2]",
15,9200,64,"[15,25,100]","[[1001,3],[1002,300],[1003,40]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,60],[7,40],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,60],[7,40],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[24,24,38]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,16,133,[73],"[2100,2]",
16,13000,65,"[15,25,100]","[[1001,3],[1002,350],[1003,45]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,40],[7,60],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,40],[7,60],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[24,24,38]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,18,197,[86],"[2100,2]",
17,22000,66,"[16,25,100]","[[1001,3],[1002,350],[1003,45]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,20],[7,80],[8,0],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,20],[7,80],[8,0],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[24,24,38]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,20,210,[92],"[2100,2]",
18,30000,67,"[16,25,100]","[[1001,3],[1002,350],[1003,45]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,10],[7,80],[8,10],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,10],[7,80],[8,10],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[47,47,38]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,22,266,[117],"[2100,2]",
19,34000,68,"[16,25,100]","[[1001,3],[1002,350],[1003,45]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,10],[7,50],[8,40],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,10],[7,50],[8,40],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[50,50,47]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,24,281,[123],"[2100,2]",
20,38000,69,"[16,25,100]","[[1001,3],[1002,350],[1003,45]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,10],[7,30],[8,60],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,10],[7,30],[8,60],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[50,50,47]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,26,351,[130],"[2100,2]",
21,40000,70,"[17,25,100]","[[1001,3],[1002,400],[1003,50]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,30],[8,65],[9,0]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,30],[8,65],[9,0]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[50,50,47]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,28,295,[130],"[2100,2]",
22,43000,71,"[17,25,100]","[[1001,3],[1002,400],[1003,50]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,20],[8,65],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,20],[8,65],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[75,75,47]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,30,310,[136],"[2100,2]",
23,70000,72,"[17,25,100]","[[1001,3],[1002,400],[1003,50]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[80,80,47]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,32,315,[138],"[2100,2]",
24,78000,73,"[17,25,100]","[[1001,3],[1002,400],[1003,50]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[80,80,47]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,34,320,[140],"[2100,2]",
25,84000,74,"[18,25,100]","[[1001,3],[1002,400],[1003,50]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[80,80,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,36,325,[140],"[2100,2]",
26,91000,75,"[18,25,100]","[[1001,3],[1002,450],[1003,55]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[119,119,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,38,297,[140],"[2100,2]",
27,97000,76,"[18,25,100]","[[1001,3],[1002,450],[1003,55]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[126,126,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,40,298,[140],"[2100,2]",
28,102300,77,"[18,25,100]","[[1001,3],[1002,450],[1003,55]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[126,126,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,42,298,[140],"[2100,2]",
29,106800,78,"[19,25,100]","[[1001,3],[1002,450],[1003,55]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[126,126,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,44,300,[140],"[2100,2]",
30,111200,79,"[19,25,100]","[[1001,3],[1002,450],[1003,55]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[126,126,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,46,302,[140],"[2100,2]",
31,115500,80,"[19,25,100]","[[1001,3],[1002,500],[1003,60]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[132,132,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,48,303,[140],"[2100,2]",
32,119700,81,"[19,25,100]","[[1001,3],[1002,500],[1003,60]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[132,132,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,50,306,[140],"[2100,2]",
33,123800,82,"[20,25,100]","[[1001,3],[1002,500],[1003,60]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[132,132,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,52,308,[140],"[2100,2]",
34,127800,83,"[20,25,100]","[[1001,3],[1002,500],[1003,60]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[132,132,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,54,310,[140],"[2100,2]",
35,131700,84,"[20,25,100]","[[1001,3],[1002,500],[1003,60]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[132,132,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,56,312,[140],"[2100,2]",
36,135500,85,"[20,25,100]","[[1001,3],[1002,550],[1003,65]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[132,132,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,58,382,[167],"[2100,2]",
37,139200,86,"[21,25,100]","[[1001,3],[1002,550],[1003,65]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[132,132,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,385,[169],"[2100,2]",
38,142800,87,"[21,25,100]","[[1001,3],[1002,550],[1003,65]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[132,132,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,387,[170],"[2100,2]",
39,146300,88,"[21,25,100]","[[1001,3],[1002,550],[1003,65]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[132,132,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,390,[171],"[2100,2]",
40,149700,89,"[21,25,100]","[[1001,3],[1002,550],[1003,65]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[139,139,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,391,[171],"[2100,2]",
41,153000,90,"[22,25,100]","[[1001,3],[1002,600],[1003,70]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[139,139,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,393,[172],"[2100,2]",
42,156200,91,"[22,25,100]","[[1001,3],[1002,600],[1003,70]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[139,139,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,392,[172],"[2100,2]",
43,159300,92,"[22,25,100]","[[1001,3],[1002,600],[1003,70]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[139,139,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,393,[172],"[2100,2]",
44,162300,93,"[22,25,100]","[[1001,3],[1002,600],[1003,70]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[139,139,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,396,[173],"[2100,2]",
45,165300,94,"[23,25,100]","[[1001,3],[1002,600],[1003,70]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[139,139,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,398,[174],"[2100,2]",
46,168300,95,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[139,139,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,399,[175],"[2100,2]",
47,171300,96,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[139,139,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,401,[176],"[2100,2]",
48,174300,97,"[23,25,100]","[[1001,3],[1002,650],[1003,75]]","[200,800]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0],[6,5],[7,15],[8,70],[9,10]]","[[0,100],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0],[9,0]]","[1,1,1]","[139,139,62]","[0,0,0]","[[""1001"",""1002""],[""1003"",""1004""],[""1005"",""1006""]]",6,5,6,60,402,[176],"[2100,2]",
