id,level,floor,cells1,cells2,cells3,cells4,cells5,
27,6,8,"[-1,-1,1021,-1,-1,-1,-1,-1,-1,1016,-1,-1]","[-1,-1,1008,-1,-1,-1,-1,-1,-1,1015,-1,-1]","[-1,-1,1001,-1,-1,-1,-1,-1,-1,1001,-1,-1]","[-1,-1,1022,-1,-1,-1,-1,-1,-1,1027,-1,-1]","[-1,-1,1015,-1,-1,-1,-1,-1,-1,1016,-1,-1]",
28,7,1,"[-1,-1,-1,-1,-1,-1,1012,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1005,-1,-1,-1,1008,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1001,-1,-1,-1,-1,-1]",
29,7,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1008,1001,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1011,1007,1006,1002,-1,-1,-1,-1]","[-1,-1,-1,-1,1006,-1,-1,1005,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1012,1014,-1,-1,-1,-1,-1]",
30,7,3,"[-1,-1,-1,-1,-1,-1,1003,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1002,1007,1012,-1,-1,-1,-1]","[-1,-1,-1,-1,1006,1012,1001,1006,1011,-1,-1,-1]","[-1,-1,-1,-1,-1,1006,1001,1013,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1003,-1,-1,-1,-1,-1]",
31,7,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1007,1012,1007,1004,-1,-1,-1,-1]","[-1,-1,-1,1012,1006,1001,1004,1003,1007,-1,-1,-1]","[-1,-1,-1,1001,1013,1013,1008,1014,1008,-1,-1,-1]","[-1,-1,-1,-1,1004,1012,1008,1006,-1,-1,-1,-1]",
32,7,5,"[-1,-1,-1,-1,1011,-1,-1,-1,1004,-1,-1,-1]","[-1,-1,-1,1011,-1,1003,1001,1006,-1,1001,-1,-1]","[-1,-1,-1,1002,-1,1005,-1,1002,-1,1005,-1,-1]","[-1,-1,-1,1005,-1,1006,1012,1007,-1,1006,-1,-1]","[-1,-1,-1,-1,1006,-1,-1,-1,1007,-1,-1,-1]",
33,7,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1011,1012,-1,-1,1004,1015,-1,-1,-1]","[-1,-1,-1,-1,-1,1013,1013,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1003,1003,-1,-1,-1,-1,-1]","[-1,-1,-1,1015,1014,-1,-1,1015,1005,-1,-1,-1]",
34,7,7,"[-1,-1,-1,-1,-1,1007,-1,1014,-1,-1,-1,-1]","[-1,-1,-1,-1,1004,-1,1001,-1,1003,-1,-1,-1]","[-1,-1,-1,-1,-1,1011,-1,1015,-1,-1,-1,-1]","[-1,-1,-1,-1,1008,-1,1006,-1,1008,-1,-1,-1]","[-1,-1,-1,-1,-1,1004,-1,1004,-1,-1,-1,-1]",
35,7,8,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1015,1004,-1,-1,1004,1005,-1,-1,-1]","[-1,-1,-1,1014,-1,1008,1011,-1,1005,-1,-1,-1]","[-1,-1,-1,1007,-1,1003,1001,-1,1004,-1,-1,-1]","[-1,-1,-1,1001,1015,-1,-1,1011,1003,-1,-1,-1]",
36,7,9,"[-1,-1,-1,-1,1008,1015,-1,1015,1003,-1,-1,-1]","[-1,-1,-1,1008,1004,-1,1005,-1,1004,1004,-1,-1]","[-1,-1,-1,1002,-1,-1,1003,-1,-1,1015,-1,-1]","[-1,-1,-1,1003,1001,-1,1008,-1,1008,1014,-1,-1]","[-1,-1,-1,-1,1013,1004,-1,1011,1002,-1,-1,-1]",
37,8,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1014,1014,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1014,1013,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
38,8,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,-1,1013,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,-1,1012,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1004,-1,1009,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
39,8,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,-1,-1,1016,-1,-1,-1,-1]","[-1,-1,-1,-1,1011,-1,-1,1008,-1,-1,-1,-1]","[-1,-1,-1,-1,1001,-1,-1,1011,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
40,8,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1003,-1,1011,-1,1010,-1,-1,-1,-1]","[-1,-1,-1,1017,-1,-1,-1,1010,-1,-1,-1,-1]","[-1,-1,-1,1009,-1,1010,-1,1006,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
41,8,5,"[-1,-1,1009,1004,1003,1008,1008,1017,1017,1008,1007,-1]","[-1,-1,-1,-1,1011,-1,1007,-1,1016,-1,-1,-1]","[-1,-1,-1,1001,1001,1004,1007,1016,1008,1006,-1,-1]","[-1,-1,-1,-1,1003,-1,1006,-1,1008,-1,-1,-1]","[-1,-1,1006,1005,1005,1005,1002,1002,1002,1015,1015,-1]",
42,8,6,"[-1,1015,1014,1014,1014,1013,1013,1013,1012,1012,1011,-1]","[-1,1011,-1,-1,1012,-1,-1,1010,-1,-1,1010,-1]","[-1,1010,1009,1009,1009,1007,1007,1006,1006,1007,1005,-1]","[-1,1005,-1,-1,1005,-1,-1,1004,-1,-1,1004,-1]","[-1,1004,1003,1003,1003,1002,1002,1002,1001,1001,1001,-1]",
43,9,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1003,1004,1007,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
44,9,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1001,1002,1014,1002,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1002,-1,-1,-1,-1,-1]",
45,9,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1001,1001,1014,1001,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,1006,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,1012,-1,-1,-1,-1]",
46,9,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1004,1012,1025,1002,1007,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,1001,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,1025,-1,-1,-1,-1]",
47,9,5,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1007,1001,1006,1002,1012,1006,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,1003,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,1005,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,1003,-1,-1,-1]",
48,9,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1004,1003,1002,1025,1004,1005,1014,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,1005,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,1002,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,1001,-1,-1,-1]",
49,9,7,"[-1,-1,-1,1005,1012,1025,1002,1004,1005,1004,-1,-1]","[-1,-1,-1,-1,-1,1012,1012,1006,-1,1003,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,1002,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,1025,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,1012,-1,-1]",
50,9,8,"[-1,-1,1001,1012,1025,1003,1006,1012,1001,1006,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,1002,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,1002,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,1002,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,1005,-1,-1]",
51,10,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1015,-1,1004,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1004,1004,1012,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1001,-1,1013,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
52,10,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1004,1012,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1002,1015,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
53,10,3,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,-1,1012,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1015,1004,1015,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1013,-1,1001,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
54,10,4,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1013,-1,-1,1002,-1,-1,-1,-1,-1]","[-1,-1,-1,1002,-1,-1,1012,-1,-1,-1,-1,-1]","[-1,-1,-1,1013,-1,-1,1006,-1,-1,-1,-1,-1]","[-1,-1,-1,1001,-1,-1,1013,-1,-1,-1,-1,-1]",
55,10,5,"[-1,-1,-1,1002,-1,-1,-1,1012,-1,-1,-1,-1]","[-1,-1,-1,1013,-1,-1,-1,1012,-1,-1,-1,-1]","[-1,-1,-1,1004,-1,1004,-1,1013,-1,-1,-1,-1]","[-1,-1,-1,1012,-1,-1,-1,1015,-1,-1,-1,-1]","[-1,-1,-1,1004,-1,-1,-1,1013,-1,-1,-1,-1]",
56,10,6,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1006,-1,-1,-1,-1,1002,-1,-1,-1,-1]","[-1,-1,1015,-1,-1,-1,-1,1006,-1,-1,-1,-1]","[-1,-1,1004,-1,-1,-1,-1,1002,-1,-1,-1,-1]","[-1,-1,1013,-1,-1,-1,-1,1012,-1,-1,-1,-1]",
57,11,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1020,-1,1006,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1005,1003,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1002,-1,1006,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
58,11,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1006,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1002,1003,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1004,1002,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
59,11,3,"[-1,-1,-1,-1,-1,-1,-1,1004,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,-1,1002,1012,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1002,1018,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1018,-1,1002,-1,-1,-1,-1,-1]","[-1,-1,-1,1003,-1,-1,-1,-1,-1,-1,-1,-1]",
60,11,4,"[-1,-1,-1,-1,-1,-1,-1,1018,-1,-1,-1,-1]","[-1,-1,-1,1004,-1,-1,1020,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,1006,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1004,1006,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1020,-1,-1,1005,1012,-1,-1,-1,-1]",
61,11,5,"[-1,-1,-1,1020,-1,-1,-1,1012,-1,-1,-1,-1]","[-1,-1,-1,-1,1006,-1,1004,1032,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1019,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1020,-1,1012,-1,-1,-1,-1,-1]","[-1,-1,-1,1006,-1,-1,-1,1005,-1,-1,-1,-1]",
62,11,6,"[-1,-1,1002,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,1032,1012,-1,-1,1005,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,1005,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1005,1019,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,1032,-1,-1,1006,1019,-1,-1,-1,-1]",
63,11,7,"[-1,-1,-1,1004,-1,-1,-1,1004,-1,-1,-1,-1]","[-1,-1,-1,-1,1020,1004,1032,1002,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1005,1032,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,1005,1002,1032,-1,-1,-1,-1]","[-1,-1,-1,1006,-1,-1,-1,1005,1004,-1,-1,-1]",
64,12,1,"[-1,1026,1012,1025,1031,1017,1012,1018,1025,1025,-1,-1]","[-1,1018,-1,1012,1008,-1,1012,1026,-1,1017,-1,-1]","[-1,1031,1048,1008,1019,1026,1018,1014,1013,1025,-1,-1]","[-1,1013,-1,1001,1012,-1,1012,1048,-1,1014,-1,-1]","[-1,1012,1013,1048,1002,1031,1001,1019,1001,1014,-1,-1]",
65,12,2,"[-1,-1,-1,1008,1048,1002,1025,1014,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1019,1012,1018,-1,-1,-1,-1]","[-1,-1,-1,1012,1002,-1,-1,1013,1019,-1,-1,-1]","[-1,-1,1002,1001,1019,1012,-1,1018,1017,1031,-1,-1]","[-1,-1,-1,-1,-1,1018,-1,-1,-1,-1,-1,-1]",
66,12,3,"[-1,-1,-1,1048,-1,1002,-1,1002,-1,-1,-1,-1]","[-1,-1,-1,1017,1002,1018,1017,1008,-1,-1,-1,-1]","[-1,-1,-1,1014,1008,1025,1017,1001,-1,-1,-1,-1]","[-1,-1,-1,1014,1019,1025,1031,1025,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,-1,1019,-1,-1,-1,-1,-1]",
67,12,4,"[-1,-1,1031,-1,-1,1002,-1,-1,1002,-1,-1,-1]","[-1,-1,1025,-1,-1,1018,-1,-1,1017,-1,-1,-1]","[-1,-1,1013,1048,1017,1013,1017,1001,1019,-1,-1,-1]","[-1,-1,-1,-1,1018,-1,1019,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1012,-1,1008,-1,-1,-1,-1,-1]",
68,13,1,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,1019,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1021,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1021,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]",
69,13,2,"[-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1024,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1022,1012,1024,-1,-1,-1,-1,-1]","[-1,-1,-1,1015,-1,1020,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1005,-1,-1,-1,-1,-1,-1,-1]",
70,13,3,"[-1,-1,-1,-1,-1,1005,-1,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,1005,-1,1020,-1,-1,-1,-1,-1]","[-1,-1,-1,1020,-1,1012,-1,1022,-1,-1,-1,-1]","[-1,-1,-1,-1,1024,-1,1024,-1,-1,-1,-1,-1]","[-1,-1,-1,-1,-1,1022,-1,-1,-1,-1,-1,-1]",
