id,unlockLevel,unlockCondition,conditionParam1,conditionParam2,payLabel,shopId,energyMethod,energyNum,eventTime,nextId,OrdinaryId,midId,bigId,
604,10,1,2023-11-14 19:00:00,2023-11-16 19:00:00,"[5,6]",38,"[380,5]",1900,1440,605,,,,
605,10,-1,,,[],39,"[500,5]",2500,1440,,,,,
606,10,1,2023-11-14 19:00:00,2023-11-16 19:00:00,[7],39,"[500,5]",2500,1440,607,,,,
607,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
700,10,1,2023-11-18 19:00:00,2023-11-20 19:00:00,"[1,2]",36,"[100,5]",500,1440,701,,,,
701,10,-1,,,[],37,"[204,5]",1020,1440,,,,,
702,10,1,2023-11-18 19:00:00,2023-11-20 19:00:00,"[3,4]",37,"[204,5]",1020,1440,703,,,,
703,10,-1,,,[],38,"[380,5]",2000,1440,,,,,
704,10,1,2023-11-18 19:00:00,2023-11-20 19:00:00,"[5,6]",38,"[380,5]",2000,1440,705,,,,
705,10,-1,,,[],39,"[500,5]",2600,1440,,,,,
706,10,1,2023-11-18 19:00:00,2023-11-20 19:00:00,[7],39,"[500,5]",2600,1440,707,,,,
707,10,-1,,,[],40,"[760,5]",3800,1440,,,,,
801,10,1,2023-11-21 19:00:00,2023-11-23 19:00:00,"[1,2]",41,"[172,5]",860,1440,802,,,,
802,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
803,10,1,2023-11-21 19:00:00,2023-11-23 19:00:00,"[3,4]",26,"[350,5]",1750,1440,804,,,,
804,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
805,10,1,2023-11-21 19:00:00,2023-11-23 19:00:00,"[5,6]",38,"[400,5]",2000,1440,806,,,,
806,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
807,10,1,2023-11-21 19:00:00,2023-11-23 19:00:00,[7],40,"[760,5]",3800,1440,808,,,,
808,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
901,10,1,2023-11-25 19:00:00,2023-11-27 19:00:00,"[1,2]",41,"[172,5]",860,1440,902,,,,
902,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
903,10,1,2023-11-25 19:00:00,2023-11-27 19:00:00,"[3,4]",26,"[350,5]",1750,1440,904,,,,
904,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
905,10,1,2023-11-25 19:00:00,2023-11-27 19:00:00,"[5,6]",38,"[400,5]",2000,1440,906,,,,
906,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
907,10,1,2023-11-25 19:00:00,2023-11-27 19:00:00,[7],40,"[760,5]",3800,1440,908,,,,
908,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
911,10,1,2023-11-28 19:00:00,2023-11-30 19:00:00,"[1,2]",41,"[172,5]",860,1440,912,,,,
912,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
913,10,1,2023-11-28 19:00:00,2023-11-30 19:00:00,"[3,4]",26,"[350,5]",1750,1440,914,,,,
914,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
915,10,1,2023-11-28 19:00:00,2023-11-30 19:00:00,"[5,6]",38,"[400,5]",2000,1440,916,,,,
916,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
917,10,1,2023-11-28 19:00:00,2023-11-30 19:00:00,[7],40,"[760,5]",3800,1440,918,,,,
918,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
921,10,1,2023-12-2 19:00:00,2023-12-4 19:00:00,"[1,2]",41,"[172,5]",860,1440,922,,,,
922,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
923,10,1,2023-12-2 19:00:00,2023-12-4 19:00:00,"[3,4]",26,"[350,5]",1750,1440,924,,,,
924,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
925,10,1,2023-12-2 19:00:00,2023-12-4 19:00:00,"[5,6]",38,"[400,5]",2000,1440,926,,,,
926,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
927,10,1,2023-12-2 19:00:00,2023-12-4 19:00:00,[7],40,"[760,5]",3800,1440,928,,,,
928,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
931,10,1,2023-12-5 19:00:00,2023-12-7 19:00:00,"[1,2]",41,"[172,5]",860,1440,932,,,,
932,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
933,10,1,2023-12-5 19:00:00,2023-12-7 19:00:00,"[3,4]",26,"[350,5]",1750,1440,934,,,,
934,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
935,10,1,2023-12-5 19:00:00,2023-12-7 19:00:00,"[5,6]",38,"[400,5]",2000,1440,936,,,,
936,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
937,10,1,2023-12-5 19:00:00,2023-12-7 19:00:00,[7],40,"[760,5]",3800,1440,938,,,,
938,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
941,10,1,2023-12-9 19:00:00,2023-12-11 19:00:00,"[1,2]",41,"[172,5]",860,1440,942,,,,
942,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
943,10,1,2023-12-9 19:00:00,2023-12-11 19:00:00,"[3,4]",26,"[350,5]",1750,1440,944,,,,
944,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
945,10,1,2023-12-9 19:00:00,2023-12-11 19:00:00,"[5,6]",38,"[400,5]",2000,1440,946,,,,
946,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
947,10,1,2023-12-9 19:00:00,2023-12-11 19:00:00,[7],40,"[760,5]",3800,1440,948,,,,
948,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
961,10,1,2023-12-12 19:00:00,2023-12-14 19:00:00,"[1,2]",41,"[172,5]",860,1440,962,,,,
962,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
963,10,1,2023-12-12 19:00:00,2023-12-14 19:00:00,"[3,4]",26,"[350,5]",1750,1440,964,,,,
964,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
965,10,1,2023-12-12 19:00:00,2023-12-14 19:00:00,"[5,6]",38,"[400,5]",2000,1440,966,,,,
966,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
967,10,1,2023-12-12 19:00:00,2023-12-14 19:00:00,[7],40,"[760,5]",3800,1440,968,,,,
968,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
971,10,1,2023-12-16 19:00:00,2023-12-18 19:00:00,"[1,2]",41,"[172,5]",860,1440,972,,,,
972,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
973,10,1,2023-12-16 19:00:00,2023-12-18 19:00:00,"[3,4]",26,"[350,5]",1750,1440,974,,,,
974,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
975,10,1,2023-12-16 19:00:00,2023-12-18 19:00:00,"[5,6]",38,"[400,5]",2000,1440,976,,,,
976,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
977,10,1,2023-12-16 19:00:00,2023-12-18 19:00:00,[7],40,"[760,5]",3800,1440,978,,,,
978,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
981,10,1,2023-12-19 19:00:00,2023-12-21 19:00:00,"[1,2]",41,"[172,5]",860,1440,982,,,,
982,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
983,10,1,2023-12-19 19:00:00,2023-12-21 19:00:00,"[3,4]",26,"[350,5]",1750,1440,984,,,,
984,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
985,10,1,2023-12-19 19:00:00,2023-12-21 19:00:00,"[5,6]",38,"[400,5]",2000,1440,986,,,,
986,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
987,10,1,2023-12-19 19:00:00,2023-12-21 19:00:00,[7],40,"[760,5]",3800,1440,988,,,,
988,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
991,10,1,2023-12-23 19:00:00,2023-12-25 19:00:00,"[1,2]",41,"[172,5]",860,1440,992,,,,
992,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
993,10,1,2023-12-23 19:00:00,2023-12-25 19:00:00,"[3,4]",26,"[350,5]",1750,1440,994,,,,
994,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
995,10,1,2023-12-23 19:00:00,2023-12-25 19:00:00,"[5,6]",38,"[400,5]",2000,1440,996,,,,
996,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
997,10,1,2023-12-23 19:00:00,2023-12-25 19:00:00,[7],40,"[760,5]",3800,1440,998,,,,
998,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1001,10,1,2023-12-26 19:00:00,2023-12-28 19:00:00,"[1,2]",41,"[172,5]",860,1440,1002,,,,
1002,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1003,10,1,2023-12-26 19:00:00,2023-12-28 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1004,,,,
1004,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1005,10,1,2023-12-26 19:00:00,2023-12-28 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1006,,,,
1006,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1007,10,1,2023-12-26 19:00:00,2023-12-28 19:00:00,[7],40,"[760,5]",3800,1440,1008,,,,
1008,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1011,10,1,2023-12-30 19:00:00,2024-1-1 19:00:00,"[1,2]",41,"[172,5]",860,1440,1012,,,,
1012,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1013,10,1,2023-12-30 19:00:00,2024-1-1 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1014,,,,
1014,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1015,10,1,2023-12-30 19:00:00,2024-1-1 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1016,,,,
1016,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1017,10,1,2023-12-30 19:00:00,2024-1-1 19:00:00,[7],40,"[760,5]",3800,1440,1018,,,,
1018,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1021,10,1,2024-1-2 19:00:00,2024-1-4 19:00:00,"[1,2]",41,"[172,5]",860,1440,1022,,,,
1022,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1023,10,1,2024-1-2 19:00:00,2024-1-4 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1024,,,,
1024,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1025,10,1,2024-1-2 19:00:00,2024-1-4 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1026,,,,
1026,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1027,10,1,2024-1-2 19:00:00,2024-1-4 19:00:00,[7],40,"[760,5]",3800,1440,1028,,,,
1028,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1031,10,1,2024-1-6 19:00:00,2024-1-8 19:00:00,"[1,2]",41,"[172,5]",860,1440,1032,,,,
1032,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1033,10,1,2024-1-6 19:00:00,2024-1-8 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1034,,,,
1034,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1035,10,1,2024-1-6 19:00:00,2024-1-8 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1036,,,,
1036,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1037,10,1,2024-1-6 19:00:00,2024-1-8 19:00:00,[7],40,"[760,5]",3800,1440,1038,,,,
1038,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1041,10,1,2024-1-9 19:00:00,2024-1-11 19:00:00,"[1,2]",41,"[172,5]",860,1440,1042,,,,
1042,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1043,10,1,2024-1-9 19:00:00,2024-1-11 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1044,,,,
1044,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1045,10,1,2024-1-9 19:00:00,2024-1-11 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1046,,,,
1046,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1047,10,1,2024-1-9 19:00:00,2024-1-11 19:00:00,[7],40,"[760,5]",3800,1440,1048,,,,
1048,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1051,10,1,2024-1-13 19:00:00,2024-1-15 19:00:00,"[1,2]",41,"[172,5]",860,1440,1052,,,,
1052,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1053,10,1,2024-1-13 19:00:00,2024-1-15 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1054,,,,
1054,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1055,10,1,2024-1-13 19:00:00,2024-1-15 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1056,,,,
1056,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1057,10,1,2024-1-13 19:00:00,2024-1-15 19:00:00,[7],40,"[760,5]",3800,1440,1058,,,,
1058,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1061,10,1,2024-1-16 19:00:00,2024-1-18 19:00:00,"[1,2]",41,"[172,5]",860,1440,1062,,,,
1062,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1063,10,1,2024-1-16 19:00:00,2024-1-18 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1064,,,,
1064,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1065,10,1,2024-1-16 19:00:00,2024-1-18 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1066,,,,
1066,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1067,10,1,2024-1-16 19:00:00,2024-1-18 19:00:00,[7],40,"[760,5]",3800,1440,1068,,,,
1068,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1071,10,1,2024-1-20 19:00:00,2024-1-22 19:00:00,"[1,2]",41,"[172,5]",860,1440,1072,,,,
1072,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1073,10,1,2024-1-20 19:00:00,2024-1-22 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1074,,,,
1074,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1075,10,1,2024-1-20 19:00:00,2024-1-22 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1076,,,,
1076,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1077,10,1,2024-1-20 19:00:00,2024-1-22 19:00:00,[7],40,"[760,5]",3800,1440,1078,,,,
1078,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1081,10,1,2024-3-5 19:00:00,2024-3-7 19:00:00,"[1,2]",41,"[172,5]",860,1440,1082,,,,
1082,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1083,10,1,2024-3-5 19:00:00,2024-3-7 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1084,,,,
1084,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1085,10,1,2024-3-5 19:00:00,2024-3-7 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1086,,,,
1086,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1087,10,1,2024-3-5 19:00:00,2024-3-7 19:00:00,[7],40,"[760,5]",3800,1440,1088,,,,
1088,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1091,10,1,2024-3-9 19:00:00,2024-3-11 19:00:00,"[1,2]",41,"[172,5]",860,1440,1092,,,,
1092,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1093,10,1,2024-3-9 19:00:00,2024-3-11 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1094,,,,
1094,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1095,10,1,2024-3-9 19:00:00,2024-3-11 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1096,,,,
1096,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1097,10,1,2024-3-9 19:00:00,2024-3-11 19:00:00,[7],40,"[760,5]",3800,1440,1098,,,,
1098,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1101,10,1,2024-3-12 19:00:00,2024-3-14 19:00:00,"[1,2]",41,"[172,5]",860,1440,1102,,,,
1102,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1103,10,1,2024-3-12 19:00:00,2024-3-14 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1104,,,,
1104,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1105,10,1,2024-3-12 19:00:00,2024-3-14 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1106,,,,
1106,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1107,10,1,2024-3-12 19:00:00,2024-3-14 19:00:00,[7],40,"[760,5]",3800,1440,1108,,,,
1108,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1111,10,1,2024-3-16 19:00:00,2024-3-18 19:00:00,"[1,2]",41,"[172,5]",860,1440,1112,,,,
1112,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1113,10,1,2024-3-16 19:00:00,2024-3-18 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1114,,,,
1114,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1115,10,1,2024-3-16 19:00:00,2024-3-18 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1116,,,,
1116,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1117,10,1,2024-3-16 19:00:00,2024-3-18 19:00:00,[7],40,"[760,5]",3800,1440,1118,,,,
1118,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1121,10,1,2024-3-19 19:00:00,2024-3-21 19:00:00,"[1,2]",41,"[172,5]",860,1440,1122,,,,
1122,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1123,10,1,2024-3-19 19:00:00,2024-3-21 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1124,,,,
1124,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1125,10,1,2024-3-19 19:00:00,2024-3-21 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1126,,,,
1126,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1127,10,1,2024-3-19 19:00:00,2024-3-21 19:00:00,[7],40,"[760,5]",3800,1440,1128,,,,
1128,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1131,10,1,2024-3-23 19:00:00,2024-3-25 19:00:00,"[1,2]",41,"[172,5]",860,1440,1132,,,,
1132,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1133,10,1,2024-3-23 19:00:00,2024-3-25 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1134,,,,
1134,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1135,10,1,2024-3-23 19:00:00,2024-3-25 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1136,,,,
1136,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1137,10,1,2024-3-23 19:00:00,2024-3-25 19:00:00,[7],40,"[760,5]",3800,1440,1138,,,,
1138,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1141,10,1,2024-3-26 19:00:00,2024-3-28 19:00:00,"[1,2]",41,"[172,5]",860,1440,1142,,,,
1142,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1143,10,1,2024-3-26 19:00:00,2024-3-28 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1144,,,,
1144,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1145,10,1,2024-3-26 19:00:00,2024-3-28 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1146,,,,
1146,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1147,10,1,2024-3-26 19:00:00,2024-3-28 19:00:00,[7],40,"[760,5]",3800,1440,1148,,,,
1148,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1151,10,1,2024-3-30 19:00:00,2024-4-1 19:00:00,"[1,2]",41,"[172,5]",860,1440,1152,,,,
1152,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1153,10,1,2024-3-30 19:00:00,2024-4-1 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1154,,,,
1154,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1155,10,1,2024-3-30 19:00:00,2024-4-1 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1156,,,,
1156,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1157,10,1,2024-3-30 19:00:00,2024-4-1 19:00:00,[7],40,"[760,5]",3800,1440,1158,,,,
1158,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1161,10,1,2024-4-2 19:00:00,2024-4-4 19:00:00,"[1,2]",41,"[172,5]",860,1440,1162,,,,
1162,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1163,10,1,2024-4-2 19:00:00,2024-4-4 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1164,,,,
1164,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1165,10,1,2024-4-2 19:00:00,2024-4-4 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1166,,,,
1166,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1167,10,1,2024-4-2 19:00:00,2024-4-4 19:00:00,[7],40,"[760,5]",3800,1440,1168,,,,
1168,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1171,10,1,2024-2-24 19:00:00,2024-2-26 19:00:00,"[1,2]",41,"[172,5]",860,1440,1172,,,,
1172,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1173,10,1,2024-2-24 19:00:00,2024-2-26 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1174,,,,
1174,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1175,10,1,2024-2-24 19:00:00,2024-2-26 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1176,,,,
1176,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1177,10,1,2024-2-24 19:00:00,2024-2-26 19:00:00,[7],40,"[760,5]",3800,1440,1178,,,,
1178,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1181,10,1,2024-2-27 19:00:00,2024-2-29 19:00:00,"[1,2]",41,"[172,5]",860,1440,1182,,,,
1182,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1183,10,1,2024-2-27 19:00:00,2024-2-29 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1184,,,,
1184,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1185,10,1,2024-2-27 19:00:00,2024-2-29 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1186,,,,
1186,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1187,10,1,2024-2-27 19:00:00,2024-2-29 19:00:00,[7],40,"[760,5]",3800,1440,1188,,,,
1188,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
1191,10,1,2024-3-2 19:00:00,2024-3-4 19:00:00,"[1,2]",41,"[172,5]",860,1440,1192,,,,
1192,10,-1,,,[],42,"[290,5]",1450,1440,,,,,
1193,10,1,2024-3-2 19:00:00,2024-3-4 19:00:00,"[3,4]",26,"[350,5]",1750,1440,1194,,,,
1194,10,-1,,,[],39,"[520,5]",2600,1440,,,,,
1195,10,1,2024-3-2 19:00:00,2024-3-4 19:00:00,"[5,6]",38,"[400,5]",2000,1440,1196,,,,
1196,10,-1,,,[],43,"[640,5]",3200,1440,,,,,
1197,10,1,2024-3-2 19:00:00,2024-3-4 19:00:00,[7],40,"[760,5]",3800,1440,1198,,,,
1198,10,-1,,,[],44,"[1000,5]",5000,1440,,,,,
