id,activityID,group,consumeEnergy,attenuationValue,reward,sequence,giftIcon,
104,13018,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1003,500]]",15,,
120,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,12]","[[42000,1]]",1,,
121,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[1003,15]]",2,,
122,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,40]]",3,,
123,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1001,10]]",4,,
124,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,30]","[[42000,2]]",5,,
125,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,80]]",6,,
126,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1001,20]]",7,,
127,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1002,8000]]",8,,
128,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,80]]",9,,
129,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[42000,4]]",10,,
130,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[11001,1]]",11,,
131,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1003,120]]",12,,
132,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,250]","[[1003,150]]",13,,
133,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1002,15000]]",14,,
134,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,400]","[[1003,150]]",15,,
135,13008,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,500]","[[1003,800]]",16,,
136,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,5]","[[1003,10]]",1,,
137,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[42000,2]]",2,,
138,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,40]","[[1003,40]]",3,,
139,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,25]","[[42000,3]]",4,,
140,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,35]","[[1003,35]]",5,,
141,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,50]]",6,,
142,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,60]","[[1001,15]]",7,,
143,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,30]","[[1002,8000]]",8,,
144,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,40]","[[1003,40]]",9,,
145,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,60]","[[1003,70]]",10,,
146,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,60]","[[1002,15000]]",11,,
147,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[11001,1]]",12,,
148,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,250]","[[1003,300]]",13,,
149,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[11001,1]]",14,,
150,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1003,200]]",15,,
151,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[1001,30]]",16,,
152,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1003,250]]",17,,
153,13009,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,350]","[[60015,1]]",18,,
105,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,15]","[[42000,1]]",1,,
106,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,25]","[[1003,20]]",2,,
107,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[1002,3000]]",3,,
108,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,40]]",4,,
109,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,80]","[[16000,3]]",5,,
110,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[1003,100]]",6,,
111,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[1001,25]]",7,,
112,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[1002,10000]]",8,,
113,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[11001,1]]",9,,
114,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[42000,4]]",10,,
115,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,100]]",11,,
116,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,80]","[[1002,10000]]",12,,
117,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[11001,1]]",13,,
118,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1001,80]]",14,,
119,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1003,400]]",15,,
154,13007,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,450]","[[60015,1]]",16,,
155,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,15]","[[1003,10]]",1,,
156,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,30]","[[42000,2]]",2,,
157,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,25]","[[1003,20]]",3,,
158,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,40]","[[42000,3]]",4,,
159,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,30]","[[1003,25]]",5,,
160,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,90]","[[1003,80]]",6,,
161,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,60]","[[1003,50]]",7,,
162,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,90]","[[1002,4000]]",8,,
163,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,60]","[[1003,50]]",9,,
164,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,130]","[[11001,1]]",10,,
165,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,130]","[[1002,8000]]",11,,
166,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1003,140]]",12,,
167,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1001,35]]",13,,
168,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[42000,3]]",14,,
169,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[11001,1]]",15,,
170,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,180]","[[1001,45]]",16,,
171,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[16000,5]]",17,,
172,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1003,300]]",18,,
173,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1002,15000]]",19,,
174,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,400]","[[1003,400]]",20,,
175,13010,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[60015,1]]",21,,
176,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,10]","[[1003,10]]",1,,
177,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[42000,2]]",2,,
178,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[1003,20]]",3,,
179,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[42000,3]]",4,,
180,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,30]","[[1003,30]]",5,,
181,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,50]]",6,,
182,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,60]","[[1001,20]]",7,,
183,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,80]","[[1002,4000]]",8,,
184,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1003,180]]",9,,
185,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[11001,2]]",10,,
186,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1002,10000]]",11,,
187,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1003,250]]",12,,
188,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1001,70]]",13,,
189,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1002,15000]]",14,,
190,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[11001,1]]",15,,
191,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1001,80]]",16,,
192,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1003,500]]",17,,
193,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1003,1000]]",18,,
194,13011,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[60015,1]]",19,,
195,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,15]","[[1003,10]]",1,,
196,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,30]","[[42000,2]]",2,,
197,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,25]","[[1003,20]]",3,,
198,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,40]","[[42000,3]]",4,,
199,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,30]","[[1003,25]]",5,,
200,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,90]","[[1003,80]]",6,,
201,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,60]","[[1003,50]]",7,,
202,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,90]","[[1002,4000]]",8,,
203,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,60]","[[1003,50]]",9,,
204,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,130]","[[11001,1]]",10,,
205,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,130]","[[1002,8000]]",11,,
206,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1003,140]]",12,,
207,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1001,35]]",13,,
208,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[42000,3]]",14,,
209,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[11001,1]]",15,,
210,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,180]","[[1001,45]]",16,,
211,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[16000,5]]",17,,
212,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1003,300]]",18,,
213,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[1002,15000]]",19,,
214,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,400]","[[1003,400]]",20,,
215,13012,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[60015,1]]",21,,
216,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,40]","[[1003,30]]",1,,
217,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,30]]",2,,
218,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[42000,2]]",3,,
219,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,60]]",4,,
220,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,250]","[[11001,1]]",5,,
221,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,30]]",6,,
222,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,250]","[[11001,1]]",7,,
223,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1001,5]]",8,,
224,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,250]","[[1003,150]]",9,,
225,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[42000,5]]",10,,
226,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1001,5]]",11,,
227,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,60]]",12,,
228,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[11001,1]]",13,,
229,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[1001,30]]",14,,
230,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,60]]",15,,
231,13013,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1003,600]]",16,,
232,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[42000,1]]",1,,
233,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,30]]",2,,
234,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1001,5]]",3,,
235,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,30]","[[1003,20]]",4,,
236,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1003,30]]",5,,
237,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[11001,1]]",6,,
238,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[42000,2]]",7,,
239,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[1003,100]]",8,,
240,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1001,15]]",9,,
241,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,120]","[[11001,1]]",10,,
242,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,80]]",11,,
243,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1001,20]]",12,,
244,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,80]]",13,,
245,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1003,500]]",14,,
246,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1001,15]]",15,,
247,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1002,3000]]",16,,
248,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,200]","[[11001,1]]",17,,
249,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,400]","[[1003,300]]",18,,
250,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,300]","[[1002,3000]]",19,,
251,13014,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,500]","[[1003,800]]",20,,
252,13015,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,15]","[[42000,1]]",1,,
253,13015,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,20]","[[1003,10]]",2,,
254,13015,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1001,5]]",3,,
255,13015,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,150]","[[11001,1]]",4,,
256,13015,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,100]","[[1003,80]]",5,,
257,13015,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,80]","[[1003,50]]",6,,
258,13015,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,80]","[[42000,2]]",7,,
259,13015,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,180]","[[1001,30]]",8,,
260,13015,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[1001,5]]",9,,
261,13015,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,250]","[[11001,2]]",10,,
262,13015,"[1,2,3,4,5,6,7,8,9]","[10,6303]","[6303,50]","[[42000,2]]",11,,
